productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
184343,Duel Power Box Set,Duel Power Box Set,https://tcgplayer-cdn.tcgplayer.com/product/184343_200w.jpg,2,2400,https://cpt.tcgcsv.com/TLt2,2019-01-31T17:45:50.957,1,"Each box of Duel Power contains 6 new Duel Power booster packs with 5 Ultra Rare cards per pack. Duel Power's booster set includes 40 new cards and 60 hot reprints, including the 4 popular ""discard"" effect monsters (from Ghost Ogre & Snow Rabbit to Ghost Belle & Haunted Mansion); popular Spells and Traps like Infinite Impermanence, Card of Demise, and Evenly Matched; Link Monsters from Borreload Dragon to Trickstar Holly Angel; and out-of-print cards like Naturia Beast, High Priestess of Prophecy, and 2015's ""Nekroz"" Ritual Monsters.",89.98,103.85,127.95,79.74,,Normal,,,,,,,,,
186880,Dark Magician,Dark Magician,https://tcgplayer-cdn.tcgplayer.com/product/186880_200w.jpg,2,2400,https://cpt.tcgcsv.com/DMv2,2019-04-03T20:47:39.29,1,<em>The ultimate wizard in terms of attack and defense.</em>,0.4,1.27,20.0,1.3,1.38,Limited,DUPO-EN101,Ultra Rare,DARK,Spellcaster,Normal Monster,2500,2100,,
186882,Elemental HERO Neos,Elemental HERO Neos,https://tcgplayer-cdn.tcgplayer.com/product/186882_200w.jpg,2,2400,https://cpt.tcgcsv.com/GMv2,2024-07-26T17:52:17.187,1,<em>A new Elemental HERO has arrived from Neo-Space! When he initiates a Contact Fusion with a Neo-Spacian his unknown powers are unleashed.</em>,0.15,0.49,5.0,0.33,0.5,Limited,DUPO-EN102,Ultra Rare,LIGHT,Warrior,Normal Monster,2500,2000,,
186885,Stardust Dragon,Stardust Dragon,https://tcgplayer-cdn.tcgplayer.com/product/186885_200w.jpg,2,2400,https://cpt.tcgcsv.com/KMv2,2023-08-30T16:04:13.2,1,"1 Tuner + 1 or more non-Tuner monsters
<br>During either player 's turn, When a card or effect is activated that would destroy a card(s) on the field: You can Tribute this card; negate the activation, and if you do, destroy it. During the End Phase, if this effect was activated this turn (and was not negated): You can Special Summon this card from your GY.",0.89,1.64,4.99,2.01,2.77,Limited,DUPO-EN103,Ultra Rare,WIND,Dragon,Synchro/Effect Monster,2500,2000,,
186886,Number 39: Utopia,Number 39 Utopia,https://tcgplayer-cdn.tcgplayer.com/product/186886_200w.jpg,2,2400,https://cpt.tcgcsv.com/LMv2,2024-07-26T17:52:17.233,1,"2 Level 4 monsters
<br>When any player's monster declares an attack: You can detach 1 material from this card; negate the attack. If this card is targeted for an attack, while it has no material: Destroy this card.",0.03,0.34,2.06,0.19,,Limited,DUPO-EN104,Ultra Rare,LIGHT,Warior,Xyz/Effect Monster,2500,2000,,
186887,Odd-Eyes Pendulum Dragon,Odd Eyes Pendulum Dragon,https://tcgplayer-cdn.tcgplayer.com/product/186887_200w.jpg,2,2400,https://cpt.tcgcsv.com/MMv2,2024-07-26T17:52:17.263,1,"<strong>Pendulum Effect: </strong>You can reduce the battle damage you take from an attack involving a Pendulum Monster you control to 0. During your End Phase: You can destroy this card, and if you do, add 1 Pendulum Monster with 1500 or less ATK from your Deck to your hand. You can only use each Pendulum Effect of ""Odd-Eyes Pendulum Dragon"" once per turn.
<br><strong>Monster Effect: </strong>If this card battles an opponent's monster, any battle damage this card inflicts to your opponent is doubled.",0.03,0.25,2.02,0.17,0.16,Limited,DUPO-EN105,Ultra Rare,DARK,Dragon,Pendulum/Effect Monster,2500,2000,,
186888,Decode Talker,Decode Talker,https://tcgplayer-cdn.tcgplayer.com/product/186888_200w.jpg,2,2400,https://cpt.tcgcsv.com/NMv2,2024-07-26T17:52:17.337,1,"2+ Effect Monsters
<br>Gains 500 ATK for each monster it points to. When your opponent activates a card or effect that targets a card(s) you control (Quick Effect): You can Tribute 1 monster this card points to; negate the activation, and if you do, destroy that card.",0.03,0.28,3.01,0.17,0.11,Limited,DUPO-EN106,Ultra Rare,DARK,Cyberse,Link/Effect Monster,2300,,3,Bottom-Right;Bottom-Left;Top
186889,Magician of Chaos,Magician of Chaos,https://tcgplayer-cdn.tcgplayer.com/product/186889_200w.jpg,2,2400,https://cpt.tcgcsv.com/PMv2,2023-12-23T09:39:10.47,1,"You can Ritual Summon this card with ""Chaos Form"". This card's name becomes ""Dark Magician"" while on the field or in the GY. Once per turn, when a Spell/Trap Card or effect is activated (Quick Effect): You can target 1 card on the field; destroy it. If this Ritual Summoned card is destroyed by battle or card effect: You can Special Summon 1 ""Chaos"" or ""Black Luster Soldier"" Ritual Monster from your hand, except ""Magician of Chaos"", ignoring its Summoning conditions.",1.8,3.1,25.49,2.0,,1st Edition,DUPO-EN001,Ultra Rare,DARK,Spellcaster,Ritual/Effect Monster,2500,2100,,
186889,Magician of Chaos,Magician of Chaos,https://tcgplayer-cdn.tcgplayer.com/product/186889_200w.jpg,2,2400,https://cpt.tcgcsv.com/PMv2,2023-12-23T09:39:10.47,1,"You can Ritual Summon this card with ""Chaos Form"". This card's name becomes ""Dark Magician"" while on the field or in the GY. Once per turn, when a Spell/Trap Card or effect is activated (Quick Effect): You can target 1 card on the field; destroy it. If this Ritual Summoned card is destroyed by battle or card effect: You can Special Summon 1 ""Chaos"" or ""Black Luster Soldier"" Ritual Monster from your hand, except ""Magician of Chaos"", ignoring its Summoning conditions.",1.64,2.22,7.25,1.9,,Unlimited,DUPO-EN001,Ultra Rare,DARK,Spellcaster,Ritual/Effect Monster,2500,2100,,
186890,Dark Cavalry,Dark Cavalry,https://tcgplayer-cdn.tcgplayer.com/product/186890_200w.jpg,2,2400,https://cpt.tcgcsv.com/QMv2,2019-08-09T13:09:56.853,1,"""Dark Magician"" + 1 Warrior monster
<br>Gains 100 ATK for each Spell/Trap on the field and in the GYs. If this card attacks a Defense Position monster, inflict piercing battle damage. When a card or effect is activated that targets a card on the field (Quick Effect): You can discard 1 card; negate the activation, and if you do, destroy it.",9.95,10.68,14.0,10.37,,Unlimited,DUPO-EN002,Ultra Rare,DARK,Spellcaster,Fusion/Effect Monster,2800,2300,,
