productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
80865,Ally of Justice Catastor,Ally of Justice Catastor,https://tcgplayer-cdn.tcgplayer.com/product/80865_200w.jpg,2,179,https://cpt.tcgcsv.com/kmG,2024-03-28T16:22:39.187,1,DTP1-EN031,Duel Terminal Rare Parallel Rare,DARK,Machine,Synchro/Effect Monster,2200,1200,"1 Tuner + 1 or more non-Tuner monsters
If this card battles a non-DARK monster, destroy that monster without applying damage calculation.",,,,,,
80866,Goyo Guardian,Goyo Guardian,https://tcgplayer-cdn.tcgplayer.com/product/80866_200w.jpg,2,179,https://cpt.tcgcsv.com/lmG,2024-03-28T16:22:39.25,1,DTP1-EN030,Duel Terminal Super Parallel Rare,EARTH,Warrior,Synchro/Effect Monster,2800,2000,"1 Tuner + 1 or more non-Tuner monsters
When this card destroys an opponent's monster by battle and sends it to the Graveyard, you can Special Summon that monster to your side of the field in face-up Defense Position.",,,,,,
80867,Blue-Eyes White Dragon,Blue Eyes White Dragon,https://tcgplayer-cdn.tcgplayer.com/product/80867_200w.jpg,2,179,https://cpt.tcgcsv.com/mmG,2024-03-28T16:22:39.297,1,DTP1-EN001,Duel Terminal Super Parallel Rare,LIGHT,Dragon,Normal Monster,3000,2500,"<em>This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale.</em>",5000.0,5000.0,5000.0,,,Limited
80868,Dark Magician,Dark Magician,https://tcgplayer-cdn.tcgplayer.com/product/80868_200w.jpg,2,179,https://cpt.tcgcsv.com/nmG,2024-03-28T16:22:39.327,1,DTP1-EN002,Duel Terminal Rare Parallel Rare,DARK,Spellcaster,Normal Monster,2500,2100,The ultimate wizard in terms of attack and defense.,,,,,,
80869,Red-Eyes B. Dragon,Red Eyes B Dragon,https://tcgplayer-cdn.tcgplayer.com/product/80869_200w.jpg,2,179,https://cpt.tcgcsv.com/pmG,2024-03-28T16:22:39.36,1,DTP1-EN003,Duel Terminal Rare Parallel Rare,DARK,Dragon,Normal Monster,2400,2000,<em>A ferocious dragon with a deadly attack.</em>,,,,,,
80870,Ojama Yellow,Ojama Yellow,https://tcgplayer-cdn.tcgplayer.com/product/80870_200w.jpg,2,179,https://cpt.tcgcsv.com/qmG,2024-03-28T16:22:39.41,1,DTP1-EN004,Duel Terminal Normal Parallel Rare,LIGHT,Beast,Normal Monster,0,1000,"He''s one of the Ojama Trio. It''s said that he butts in by any means necessary. It''s also said that when the three are together, something happens.",,,,,,
80871,Elemental Hero Neos,Elemental Hero Neos,https://tcgplayer-cdn.tcgplayer.com/product/80871_200w.jpg,2,179,https://cpt.tcgcsv.com/rmG,2024-03-28T16:22:39.44,1,DTP1-EN005,Duel Terminal Rare Parallel Rare,LIGHT,Warrior,Normal Monster,2500,2000,A new Elemental Hero has arrived from Neo-Space! When he initiates a Contact Fusion with a Neo-Spacian his unknown powers are unleashed.,,,,,,
80872,Buster Blader,Buster Blader,https://tcgplayer-cdn.tcgplayer.com/product/80872_200w.jpg,2,179,https://cpt.tcgcsv.com/smG,2024-03-28T16:22:39.467,1,DTP1-EN006,Duel Terminal Normal Parallel Rare,EARTH,Warrior,Effect Monster,2600,2300,The ATK of this card increases by 500 points for every Dragon-Type monster on your opponent's side of the field and Graveyard.,499.99,499.99,499.99,150.0,,Limited
80873,Kuriboh,Kuriboh,https://tcgplayer-cdn.tcgplayer.com/product/80873_200w.jpg,2,179,https://cpt.tcgcsv.com/tmG,2024-03-28T16:22:39.513,1,DTP1-EN007,Duel Terminal Normal Parallel Rare,DARK,Fiend,Effect Monster,300,200,"During your opponent's Battle Phase, you can discard this card to reduce the Battle Damage you take from 1 of your opponent's attacking monsters to 0.",,,,,,
80874,Winged Kuriboh,Winged Kuriboh,https://tcgplayer-cdn.tcgplayer.com/product/80874_200w.jpg,2,179,https://cpt.tcgcsv.com/vmG,2024-03-28T16:22:39.56,1,DTP1-EN008,Duel Terminal Normal Parallel Rare,LIGHT,Fairy,Effect Monster,300,200,"When this card on the field is destroyed and sent to the Graveyard, its effect is activated. After activation, during this turn, any Battle Damage that the controller of this card takes becomes 0.",,,,,,
80875,Cyber Dragon,Cyber Dragon,https://tcgplayer-cdn.tcgplayer.com/product/80875_200w.jpg,2,179,https://cpt.tcgcsv.com/wmG,2024-03-28T16:22:39.81,1,DTP1-EN009,Duel Terminal Rare Parallel Rare,LIGHT,Machine,Effect Monster,2100,1600,"If there is a monster on your opponent's side of the field and there are no monsters on your side of the field, you can Special Summon this card from your hand.",1000.0,1149.99,1299.98,,,Limited
80876,Soul Exchange,Soul Exchange,https://tcgplayer-cdn.tcgplayer.com/product/80876_200w.jpg,2,179,https://cpt.tcgcsv.com/xmG,2023-05-18T15:33:08.397,1,DTP1-EN010,Duel Terminal Normal Parallel Rare,SPELL,,Normal Spell,0,0,Select an opponent's Monster and use it as a Tribute in place of one of your own.  You must skip your Battle Phase for the turn in which this card is activated.,499.99,499.99,499.99,,,Limited
80877,Malevolent Nuzzler,Malevolent Nuzzler,https://tcgplayer-cdn.tcgplayer.com/product/80877_200w.jpg,2,179,https://cpt.tcgcsv.com/zmG,2024-03-28T16:22:39.883,1,DTP1-EN011,Duel Terminal Normal Parallel Rare,SPELL,,Equip Spell,,,"Requires 3 Tributes to Normal Summon (cannot be Normal Set). This card's Normal Switch The equipped monster gains 700 ATK. When this card is sent from the field to the Graveyard, you can pay 500 Life Points to return this card to the top of your Deck.",99.99,114.15,128.31,73.99,,Limited
80878,Nobleman of Extermination,Nobleman of Extermination,https://tcgplayer-cdn.tcgplayer.com/product/80878_200w.jpg,2,179,https://cpt.tcgcsv.com/BmG,2023-05-18T15:34:26.497,1,DTP1-EN012,Duel Terminal Normal Parallel Rare,SPELL,,Normal Spell,0,0,"Destroy 1 face-down Spell or Trap Card and remove it from play. If the card is a Trap Card, both players must remove all Trap Cards of the same name from their respective Decks and remove them from play. The Decks are then shuffled.",,,,,,
80879,Burst Stream of Destruction,Burst Stream of Destruction,https://tcgplayer-cdn.tcgplayer.com/product/80879_200w.jpg,2,179,https://cpt.tcgcsv.com/CmG,2023-05-18T15:34:53.293,1,DTP1-EN013,Duel Terminal Normal Parallel Rare,SPELL,,Normal Spell,0,0,You can only activate this card when there is a face-up Blue-Eyes White Dragon on your side of the field. Destroy all monsters on your opponent''s side of the field. Blue-Eyes White Dragon cannot attack during the turn you activate this card.,199.98,199.99,199.99,,,Limited
80880,Dark Magic Attack,Dark Magic Attack,https://tcgplayer-cdn.tcgplayer.com/product/80880_200w.jpg,2,179,https://cpt.tcgcsv.com/DmG,2023-05-18T15:35:08.277,1,DTP1-EN014,Duel Terminal Normal Parallel Rare,SPELL,,Normal Spell,0,0,You can only activate this card while there is a face-up Dark Magician on your side of the field. Destroy all Spell and Trap Cards on your opponent''s side of the field.,,,,,,
80881,Inferno Fire Blast,Inferno Fire Blast,https://tcgplayer-cdn.tcgplayer.com/product/80881_200w.jpg,2,179,https://cpt.tcgcsv.com/FmG,2024-03-28T16:22:39.983,1,DTP1-EN015,Duel Terminal Rare Parallel Rare,SPELL,,Normal Spell,0,0,"Select 1 face-up ""Red-Eyes B. Dragon"" on your side of the field to activate this card. Inflict damage to your opponent equal to the original ATK of the selected ""Red-Eyes B. Dragon"". ""Red-Eyes B. Dragon"" cannot attack during this turn.",,,,,,
80882,Dust Tornado,Dust Tornado,https://tcgplayer-cdn.tcgplayer.com/product/80882_200w.jpg,2,179,https://cpt.tcgcsv.com/GmG,2023-05-18T15:35:38.413,1,DTP1-EN016,Duel Terminal Normal Parallel Rare,TRAP,,Normal Trap,0,0,Target 1 Spell/Trap Card your opponent controls; destroy that target. Then you can Set 1 Spell or Trap Card from your hand.,,,,,,
80883,Mask of Weakness,Mask of Weakness,https://tcgplayer-cdn.tcgplayer.com/product/80883_200w.jpg,2,179,https://cpt.tcgcsv.com/HmG,2024-03-28T16:22:40.11,1,DTP1-EN017,Duel Terminal Normal Parallel Rare,TRAP,,Normal Trap,,,Target 1 attacking monster; that target loses 700 ATK until the End Phase.,80.0,80.0,80.0,78.99,,Limited
80884,Magic Jammer,Magic Jammer,https://tcgplayer-cdn.tcgplayer.com/product/80884_200w.jpg,2,179,https://cpt.tcgcsv.com/JmG,2024-03-28T16:22:40.17,1,DTP1-EN018,Duel Terminal Normal Parallel Rare,SPELL,,Counter Trap,,,"When a Spell Card is activated: Discard 1 card; negate the activation, and if you do, destroy it.",99.99,99.99,99.99,,,Limited
80885,Reinforcements,Reinforcements,https://tcgplayer-cdn.tcgplayer.com/product/80885_200w.jpg,2,179,https://cpt.tcgcsv.com/KmG,2023-05-18T15:36:45.24,1,DTP1-EN019,Duel Terminal Normal Parallel Rare,TRAP,,Normal Trap,0,0,Increase 1 selected monster's ATK by 500 points during the turn this card is activated.,,,,,,
