productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
81103,Vorse Raider,Vorse Raider,https://tcgplayer-cdn.tcgplayer.com/product/81103_200w.jpg,2,1329,https://cpt.tcgcsv.com/5sG,2024-03-28T16:23:38.893,1,DT03-EN001,Duel Terminal Normal Parallel Rare,DARK,Beast-Warrior,Normal Monster,1900,1200,"<em>This wicked Beast-Warrior does every horrid thing imaginable, and loves it! His axe bears the marks of his countless victims.</em>",0.85,1.95,2.99,1.61,,Limited
81104,Blackwing - Bora the Spear,Blackwing Bora the Spear,https://tcgplayer-cdn.tcgplayer.com/product/81104_200w.jpg,2,1329,https://cpt.tcgcsv.com/6sG,2024-03-28T16:23:38.94,1,DT03-EN002,Duel Terminal Normal Parallel Rare,DARK,Winged Beast,Effect Monster,1700,800,"If you control a ""Blackwing"" monster other than ""Blackwing - Bora the Spear"", you can Special Summon this card from your hand. During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent.",28.0,31.79,58.99,35.66,,Limited
81105,Junk Synchron,Junk Synchron,https://tcgplayer-cdn.tcgplayer.com/product/81105_200w.jpg,2,1329,https://cpt.tcgcsv.com/7sG,2024-03-28T16:23:38.97,1,DT03-EN003,Duel Terminal Rare Parallel Rare,DARK,Warrior,Tuner Monster,1300,500,"When this card is Normal Summoned, you can select 1 Level 2 or lower monster from your Graveyard, and Special Summon it in face-up Defense Position. That monster's effect(s) is negated.",4.99,7.75,17.62,7.62,,Limited
81106,Time Wizard,Time Wizard,https://tcgplayer-cdn.tcgplayer.com/product/81106_200w.jpg,2,1329,https://cpt.tcgcsv.com/8sG,2024-03-28T16:23:39.017,1,DT03-EN004,Duel Terminal Normal Parallel Rare,LIGHT,Spellcaster,Effect Monster,500,400,"Once per turn, during your Main Phase, toss a coin and call it. If you call it right, destroy all monsters your opponent controls. If you call it wrong, destroy all monsters you control, and you lose Life Points equal to half the total ATK of the destroyed monsters.",3.5,5.0,9.99,4.63,,Limited
81107,Newdoria,Newdoria,https://tcgplayer-cdn.tcgplayer.com/product/81107_200w.jpg,2,1329,https://cpt.tcgcsv.com/9sG,2024-03-28T16:23:39.057,1,DT03-EN005,Duel Terminal Normal Parallel Rare,DARK,Fiend,Effect Monster,1200,800,"When this card is destroyed by battle and sent to the Graveyard, destroy 1 monster on the field.",2.99,3.0,7.95,1.35,,Limited
81108,Lava Golem,Lava Golem,https://tcgplayer-cdn.tcgplayer.com/product/81108_200w.jpg,2,1329,https://cpt.tcgcsv.com/bsG,2024-03-28T16:23:39.12,1,DT03-EN006,Duel Terminal Super Parallel Rare,FIRE,Fiend,Effect Monster,3000,2500,Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) to your opponent's side of the field by Tributing 2 monsters they control. You cannot Normal Summon/Set the turn you Special Summon this card. During each of the controller's Standby Phases: The controller takes 1000 damage.,11.77,69.99,73.49,5.71,,Limited
81109,Elemental Hero Prisma,Elemental Hero Prisma,https://tcgplayer-cdn.tcgplayer.com/product/81109_200w.jpg,2,1329,https://cpt.tcgcsv.com/csG,2024-03-28T16:23:39.21,1,DT03-EN007,Duel Terminal Normal Parallel Rare,LIGHT,Warrior,Effect Monster,1700,1100,"Once per turn, you can reveal 1 Fusion Monster from your Extra Deck and send 1 Fusion Material Monster listed on that card from your Deck to the Graveyard. Until the End Phase this card's name is treated as the sent monster's name.",14.0,18.99,44.0,6.36,,Limited
81110,Fabled Urustos,Fabled Urustos,https://tcgplayer-cdn.tcgplayer.com/product/81110_200w.jpg,2,1329,https://cpt.tcgcsv.com/dsG,2024-03-28T16:23:39.257,1,DT03-EN008,Duel Terminal Normal Parallel Rare,LIGHT,Fiend,Effect Monster,1500,200,"While you have 2 or less cards in your hand, all face-up Fabled monsters you control gain 400 ATK.",0.24,0.46,2.99,0.24,,Limited
81111,Fabled Krus,Fabled Krus,https://tcgplayer-cdn.tcgplayer.com/product/81111_200w.jpg,2,1329,https://cpt.tcgcsv.com/fsG,2024-03-28T16:23:39.303,1,DT03-EN009,Duel Terminal Rare Parallel Rare,LIGHT,Fiend,Effect Monster,1000,800,"When this card is discarded to the Graveyard, select 1 Level 4 or lower Fabled monster in your Graveyard, except this card, and Special Summon it.",6.4,8.43,30.0,8.11,,Limited
81112,Fabled Topi,Fabled Topi,https://tcgplayer-cdn.tcgplayer.com/product/81112_200w.jpg,2,1329,https://cpt.tcgcsv.com/gsG,2024-03-28T16:23:39.333,1,DT03-EN010,Duel Terminal Normal Parallel Rare,LIGHT,Fiend,Effect Monster,500,200,"If your opponent has 2 or more cards in their hand than you do, you can reveal 1 Fabled monster in your hand and Tribute this face-up card to select 2 Spell or Trap Cards your opponent controls, and destroy them.",0.25,0.5,1.56,0.29,,Limited
81113,Fabled Soulkius,Fabled Soulkius,https://tcgplayer-cdn.tcgplayer.com/product/81113_200w.jpg,2,1329,https://cpt.tcgcsv.com/hsG,2024-03-28T16:23:39.38,1,DT03-EN011,Duel Terminal Super Parallel Rare,LIGHT,Fiend,Effect Monster,2200,2100,"You can send 2 cards, except Fabled Soulkius, from your hand to the Graveyard to Special Summon this card from the Graveyard.",8.79,10.62,29.99,9.99,,Limited
81114,Fabled Miztoji,Fabled Miztoji,https://tcgplayer-cdn.tcgplayer.com/product/81114_200w.jpg,2,1329,https://cpt.tcgcsv.com/jsG,2024-03-28T16:23:39.433,1,DT03-EN012,Duel Terminal Normal Parallel Rare,LIGHT,Fiend,Tuner Monster,400,200,You can send this card from your hand to the Graveyard to select 1 face-up Fabled monster you control. The selected monster is treated as a Tuner monster while face-up on the field.,0.23,0.37,2.99,0.28,,Limited
