productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
92293,Duelist Alliance Booster Box,Duelist Alliance Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/92293_200w.jpg,2,1480,https://cpt.tcgcsv.com/TWL,2017-11-29T20:52:26.297,1,"Pendulum Monsters appear in full force in Duelist Alliance! Half Monster Card and half Spell Card, these magical creatures can swing the tide of battle with Pendulum Summons, the powerful new game mechanic for the Yu-Gi-Oh! TCG. Duelist Alliance also introduces several tournament-level Deck themes that’ll delight Duelists with their intriguing strategies.",249.95,268.45,286.94,,,Normal,,,,,,,
92294,Duelist Alliance Booster Pack,Duelist Alliance Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/92294_200w.jpg,2,1480,https://cpt.tcgcsv.com/VWL,2017-11-29T20:51:41.697,1,,4.0,5.6,7.19,5.62,,Normal,,,,,,,
92309,Dragon Horn Hunter,Dragon Horn Hunter,https://tcgplayer-cdn.tcgplayer.com/product/92309_200w.jpg,2,1480,https://cpt.tcgcsv.com/cXL,2014-08-20T17:00:57.977,1,"Pendulum Effect:  All Normal Monsters gain 200 ATK. You take no battle damage from battles involving Normal Monsters you control.

Monster Effect: <em> The horns were needed to prepare a medicine for her village, suffering from a plague. Unknown to her, the dragons burned and trampled her village, once displaced from their den.</em>",0.14,0.69,1.98,0.59,,Unlimited,DUEA-EN000,Super Rare,DARK,Warrior,Pendulum Monster,2300,1000
92309,Dragon Horn Hunter,Dragon Horn Hunter,https://tcgplayer-cdn.tcgplayer.com/product/92309_200w.jpg,2,1480,https://cpt.tcgcsv.com/cXL,2014-08-20T17:00:57.977,1,"Pendulum Effect:  All Normal Monsters gain 200 ATK. You take no battle damage from battles involving Normal Monsters you control.

Monster Effect: <em> The horns were needed to prepare a medicine for her village, suffering from a plague. Unknown to her, the dragons burned and trampled her village, once displaced from their den.</em>",0.34,0.67,3.26,0.58,,1st Edition,DUEA-EN000,Super Rare,DARK,Warrior,Pendulum Monster,2300,1000
92310,Flash Knight,Flash Knight,https://tcgplayer-cdn.tcgplayer.com/product/92310_200w.jpg,2,1480,https://cpt.tcgcsv.com/dXL,2014-08-20T17:04:16.717,1,The power of the pendulum flashes forth from this shining knight.,0.03,0.27,2.0,0.09,,Unlimited,DUEA-EN001,Rare,LIGHT,Warrior,Pendulum Monster,1800,600
92310,Flash Knight,Flash Knight,https://tcgplayer-cdn.tcgplayer.com/product/92310_200w.jpg,2,1480,https://cpt.tcgcsv.com/dXL,2014-08-20T17:04:16.717,1,The power of the pendulum flashes forth from this shining knight.,0.02,0.25,1.49,0.11,,1st Edition,DUEA-EN001,Rare,LIGHT,Warrior,Pendulum Monster,1800,600
92311,Foucault's Cannon,Foucaults Cannon,https://tcgplayer-cdn.tcgplayer.com/product/92311_200w.jpg,2,1480,https://cpt.tcgcsv.com/fXL,2014-08-20T17:04:46.007,1,"Pendulum Effect  During the End Phase, if this card was activated this turn: You can target 1 face-up Spell/Trap Card on the field; destroy it.

Monster Effect  <em>A mechanical life form, roving through space-time. But the mysterious thing is that its memory i….re… ally gone. W…at is is t….e reason? D…. refuse t… b… interfered w…h?</em>",0.1,0.4,1.48,0.1,,Unlimited,DUEA-EN002,Super Rare,DARK,Spellcaster,Pendulum Monster,2200,1200
92311,Foucault's Cannon,Foucaults Cannon,https://tcgplayer-cdn.tcgplayer.com/product/92311_200w.jpg,2,1480,https://cpt.tcgcsv.com/fXL,2014-08-20T17:04:46.007,1,"Pendulum Effect  During the End Phase, if this card was activated this turn: You can target 1 face-up Spell/Trap Card on the field; destroy it.

Monster Effect  <em>A mechanical life form, roving through space-time. But the mysterious thing is that its memory i….re… ally gone. W…at is is t….e reason? D…. refuse t… b… interfered w…h?</em>",0.09,0.3,1.5,0.11,,1st Edition,DUEA-EN002,Super Rare,DARK,Spellcaster,Pendulum Monster,2200,1200
92312,Metaphys Armed Dragon,Metaphys Armed Dragon,https://tcgplayer-cdn.tcgplayer.com/product/92312_200w.jpg,2,1480,https://cpt.tcgcsv.com/gXL,2014-08-20T17:20:10.387,1,<em>Usually visible despite its phantom existence.</em>,0.04,0.21,1.49,0.13,0.15,Unlimited,DUEA-EN003,Common,LIGHT,Wyrm,Normal Monster,2800,1000
92312,Metaphys Armed Dragon,Metaphys Armed Dragon,https://tcgplayer-cdn.tcgplayer.com/product/92312_200w.jpg,2,1480,https://cpt.tcgcsv.com/gXL,2014-08-20T17:20:10.387,1,<em>Usually visible despite its phantom existence.</em>,0.05,0.24,1.36,0.19,,1st Edition,DUEA-EN003,Common,LIGHT,Wyrm,Normal Monster,2800,1000
92313,Pilgrim Reaper,Pilgrim Reaper,https://tcgplayer-cdn.tcgplayer.com/product/92313_200w.jpg,2,1480,https://cpt.tcgcsv.com/hXL,2014-08-20T17:26:52.45,1,"2 Level 6 monsters<br>This card gains 200 ATK and DEF for every DARK monster in either player's Graveyard. You can detach 1 Xyz Material from this card; each player sends the top 5 cards from their Deck to the Graveyard (or their entire Deck, if less than 5). You can only use this effect of ""Pilgrim Reaper"" once per turn.",0.68,1.24,5.0,0.74,,Unlimited,DUEA-EN099,Common,DARK,Zombie,Effect Monster,,
92313,Pilgrim Reaper,Pilgrim Reaper,https://tcgplayer-cdn.tcgplayer.com/product/92313_200w.jpg,2,1480,https://cpt.tcgcsv.com/hXL,2014-08-20T17:26:52.45,1,"2 Level 6 monsters<br>This card gains 200 ATK and DEF for every DARK monster in either player's Graveyard. You can detach 1 Xyz Material from this card; each player sends the top 5 cards from their Deck to the Graveyard (or their entire Deck, if less than 5). You can only use this effect of ""Pilgrim Reaper"" once per turn.",0.35,0.95,6.99,0.8,,1st Edition,DUEA-EN099,Common,DARK,Zombie,Effect Monster,,
92314,Odd-Eyes Pendulum Dragon (UTR),Odd Eyes Pendulum Dragon UTR,https://tcgplayer-cdn.tcgplayer.com/product/92314_200w.jpg,2,1480,https://cpt.tcgcsv.com/jXL,2023-07-04T08:49:47.427,1,"<b>Pendulum Effect: </b> You can reduce the battle damage you take from a battle involving a Pendulum Monster you control to 0. During your End Phase: You can destroy this card, and if you do, add 1 Pendulum Monster with 1500 or less ATK from your Deck to your hand. You can only use each Pendulum Effect of ""Odd-Eyes Pendulum Dragon"" once per turn.

<br><b>Monster Effect:</b> If this card battles an opponent's monster, any battle damage this card inflicts to your opponent is doubled.",1.0,4.54,35.0,4.18,4.54,Unlimited,DUEA-EN004,Ultimate Rare,DARK,Dragon,Pendulum/Effect Monster,2500,2000
92314,Odd-Eyes Pendulum Dragon (UTR),Odd Eyes Pendulum Dragon UTR,https://tcgplayer-cdn.tcgplayer.com/product/92314_200w.jpg,2,1480,https://cpt.tcgcsv.com/jXL,2023-07-04T08:49:47.427,1,"<b>Pendulum Effect: </b> You can reduce the battle damage you take from a battle involving a Pendulum Monster you control to 0. During your End Phase: You can destroy this card, and if you do, add 1 Pendulum Monster with 1500 or less ATK from your Deck to your hand. You can only use each Pendulum Effect of ""Odd-Eyes Pendulum Dragon"" once per turn.

<br><b>Monster Effect:</b> If this card battles an opponent's monster, any battle damage this card inflicts to your opponent is doubled.",3.58,4.99,60.0,4.09,3.58,1st Edition,DUEA-EN004,Ultimate Rare,DARK,Dragon,Pendulum/Effect Monster,2500,2000
