productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
25059,Elemental Hero Avian,Elemental Hero Avian,https://tcgplayer-cdn.tcgplayer.com/product/25059_200w.jpg,2,193,https://cpt.tcgcsv.com/c2d,2024-03-28T16:28:12.943,1,DP1-EN001,Common,WIND,Warrior,Normal Monster,1000,1000,"A winged Elemental Hero who wheels through the sky and manipulates the wind. His signature move, Featherbreak, gives villainy a blow from sky-high.",0.12,0.31,1.49,0.25,,Unlimited
25059,Elemental Hero Avian,Elemental Hero Avian,https://tcgplayer-cdn.tcgplayer.com/product/25059_200w.jpg,2,193,https://cpt.tcgcsv.com/c2d,2024-03-28T16:28:12.943,1,DP1-EN001,Common,WIND,Warrior,Normal Monster,1000,1000,"A winged Elemental Hero who wheels through the sky and manipulates the wind. His signature move, Featherbreak, gives villainy a blow from sky-high.",0.13,0.49,1.45,0.46,,1st Edition
25060,Elemental Hero Burstinatrix,Elemental Hero Burstinatrix,https://tcgplayer-cdn.tcgplayer.com/product/25060_200w.jpg,2,193,https://cpt.tcgcsv.com/d2d,2024-03-28T16:28:13.063,1,DP1-EN002,Common,FIRE,Warrior,Normal Monster,1200,800,A flame manipulator who is the only woman among the Elemental Heroes. Her Burstfire burns away villainy.,0.1,0.4,2.8,0.39,,Unlimited
25060,Elemental Hero Burstinatrix,Elemental Hero Burstinatrix,https://tcgplayer-cdn.tcgplayer.com/product/25060_200w.jpg,2,193,https://cpt.tcgcsv.com/d2d,2024-03-28T16:28:13.063,1,DP1-EN002,Common,FIRE,Warrior,Normal Monster,1200,800,A flame manipulator who is the only woman among the Elemental Heroes. Her Burstfire burns away villainy.,0.24,0.5,2.99,0.52,,1st Edition
25061,Elemental Hero Clayman,Elemental Hero Clayman,https://tcgplayer-cdn.tcgplayer.com/product/25061_200w.jpg,2,193,https://cpt.tcgcsv.com/f2d,2024-03-28T16:28:13.127,1,DP1-EN003,Common,EARTH,Warrior,Normal Monster,800,2000,An Elemental Hero with a clay body built-to-last. He will preserve his Elemental Hero colleagues at any cost.,0.05,0.48,2.19,0.43,,Unlimited
25061,Elemental Hero Clayman,Elemental Hero Clayman,https://tcgplayer-cdn.tcgplayer.com/product/25061_200w.jpg,2,193,https://cpt.tcgcsv.com/f2d,2024-03-28T16:28:13.127,1,DP1-EN003,Common,EARTH,Warrior,Normal Monster,800,2000,An Elemental Hero with a clay body built-to-last. He will preserve his Elemental Hero colleagues at any cost.,0.25,0.69,2.99,0.71,,1st Edition
25062,Elemental Hero Sparkman,Elemental Hero Sparkman,https://tcgplayer-cdn.tcgplayer.com/product/25062_200w.jpg,2,193,https://cpt.tcgcsv.com/g2d,2024-03-28T16:28:13.22,1,DP1-EN004,Common,LIGHT,Warrior,Normal Monster,1600,1400,An Elemental Hero and a warrior of light who proficiently wields many kinds of armaments. His Shining Surge Flash cuts off the path of villainy.,0.13,0.33,3.11,0.3,,Unlimited
25062,Elemental Hero Sparkman,Elemental Hero Sparkman,https://tcgplayer-cdn.tcgplayer.com/product/25062_200w.jpg,2,193,https://cpt.tcgcsv.com/g2d,2024-03-28T16:28:13.22,1,DP1-EN004,Common,LIGHT,Warrior,Normal Monster,1600,1400,An Elemental Hero and a warrior of light who proficiently wields many kinds of armaments. His Shining Surge Flash cuts off the path of villainy.,0.14,0.42,1.98,0.37,,1st Edition
25063,Winged Kuriboh,Winged Kuriboh,https://tcgplayer-cdn.tcgplayer.com/product/25063_200w.jpg,2,193,https://cpt.tcgcsv.com/h2d,2024-03-28T16:28:13.33,1,DP1-EN005,Rare,LIGHT,Fairy,Effect Monster,300,200,"When this card on the field is destroyed and sent to the Graveyard, its effect is activated. After activation, during this turn, any Battle Damage that the controller of this card takes becomes 0.",0.1,0.49,2.97,0.49,,Unlimited
25063,Winged Kuriboh,Winged Kuriboh,https://tcgplayer-cdn.tcgplayer.com/product/25063_200w.jpg,2,193,https://cpt.tcgcsv.com/h2d,2024-03-28T16:28:13.33,1,DP1-EN005,Rare,LIGHT,Fairy,Effect Monster,300,200,"When this card on the field is destroyed and sent to the Graveyard, its effect is activated. After activation, during this turn, any Battle Damage that the controller of this card takes becomes 0.",0.16,0.75,1.45,0.75,,1st Edition
25064,Winged Kuriboh LV10,Winged Kuriboh LV10,https://tcgplayer-cdn.tcgplayer.com/product/25064_200w.jpg,2,193,https://cpt.tcgcsv.com/j2d,2024-03-28T16:28:13.6,1,DP1-EN006,Rare,LIGHT,Fairy,Effect Monster,300,200,This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by the effect of Transcendent Wings. Tribute this face-up card on your side of the field to destroy all face-up Attack Position monsters on your opponent''s side of the field and inflict damage to your opponent''s Life Points equal to the combined original ATK of those destroyed monster(s). You can only activate this effect during your opponent''s Battle Phase.,0.83,1.59,3.19,1.8,,Unlimited
25064,Winged Kuriboh LV10,Winged Kuriboh LV10,https://tcgplayer-cdn.tcgplayer.com/product/25064_200w.jpg,2,193,https://cpt.tcgcsv.com/j2d,2024-03-28T16:28:13.6,1,DP1-EN006,Rare,LIGHT,Fairy,Effect Monster,300,200,This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by the effect of Transcendent Wings. Tribute this face-up card on your side of the field to destroy all face-up Attack Position monsters on your opponent''s side of the field and inflict damage to your opponent''s Life Points equal to the combined original ATK of those destroyed monster(s). You can only activate this effect during your opponent''s Battle Phase.,1.18,1.45,2.05,1.54,,1st Edition
25065,Wroughtweiler,Wroughtweiler,https://tcgplayer-cdn.tcgplayer.com/product/25065_200w.jpg,2,193,https://cpt.tcgcsv.com/k2d,2024-03-28T16:28:13.72,1,DP1-EN007,Common,EARTH,Beast,Effect Monster,800,1200,"When this card is destroyed as a result of battle and sent to the Graveyard, add from your Graveyard to your hand 1 card that includes Elemental Hero in its card name, and 1 Polymerization.",0.1,0.3,1.49,0.15,,Unlimited
25065,Wroughtweiler,Wroughtweiler,https://tcgplayer-cdn.tcgplayer.com/product/25065_200w.jpg,2,193,https://cpt.tcgcsv.com/k2d,2024-03-28T16:28:13.72,1,DP1-EN007,Common,EARTH,Beast,Effect Monster,800,1200,"When this card is destroyed as a result of battle and sent to the Graveyard, add from your Graveyard to your hand 1 card that includes Elemental Hero in its card name, and 1 Polymerization.",0.08,0.3,1.58,0.16,,1st Edition
25066,Dark Catapulter,Dark Catapulter,https://tcgplayer-cdn.tcgplayer.com/product/25066_200w.jpg,2,193,https://cpt.tcgcsv.com/l2d,2024-03-28T16:28:13.847,1,DP1-EN008,Common,EARTH,Machine,Effect Monster,1000,1500,"During your Standby Phase, if this card is in Defense Position, put 1 counter on this card. Remove from play a number of card(s) in your Graveyard equal to the number of counters on this card to destroy that same number of Spell or Trap Card(s) on the field. Then remove all counter(s) from this card.",0.01,0.22,2.16,0.11,,Unlimited
25066,Dark Catapulter,Dark Catapulter,https://tcgplayer-cdn.tcgplayer.com/product/25066_200w.jpg,2,193,https://cpt.tcgcsv.com/l2d,2024-03-28T16:28:13.847,1,DP1-EN008,Common,EARTH,Machine,Effect Monster,1000,1500,"During your Standby Phase, if this card is in Defense Position, put 1 counter on this card. Remove from play a number of card(s) in your Graveyard equal to the number of counters on this card to destroy that same number of Spell or Trap Card(s) on the field. Then remove all counter(s) from this card.",0.05,0.25,1.36,0.08,,1st Edition
25067,Elemental Hero Bubbleman,Elemental Hero Bubbleman,https://tcgplayer-cdn.tcgplayer.com/product/25067_200w.jpg,2,193,https://cpt.tcgcsv.com/m2d,2024-03-28T16:28:14.003,1,DP1-EN009,Common,WATER,Warrior,Effect Monster,800,1200,"If this is the only card in your hand, you can Special Summon this card from your hand. When this card is Normal Summoned, Flip Summoned or Special Summoned successfully, if there are no other cards on your side of the field and in your hand, you can draw 2 cards from your Deck.",0.14,0.49,2.86,0.41,,Unlimited
