productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
39197,Sonic Chick,Sonic Chick,https://tcgplayer-cdn.tcgplayer.com/product/39197_200w.jpg,2,185,https://cpt.tcgcsv.com/ZHk,2024-03-28T16:43:11.543,1,DP10-EN001,Common,EARTH,Winged Beast,Effect Monster,300,300,This card cannot be destroyed by battle with a monster that has 1900 or more ATK.,0.07,0.25,1.38,0.23,,Unlimited
39197,Sonic Chick,Sonic Chick,https://tcgplayer-cdn.tcgplayer.com/product/39197_200w.jpg,2,185,https://cpt.tcgcsv.com/ZHk,2024-03-28T16:43:11.543,1,DP10-EN001,Common,EARTH,Winged Beast,Effect Monster,300,300,This card cannot be destroyed by battle with a monster that has 1900 or more ATK.,0.1,0.32,1.5,0.43,,1st Edition
39198,Shield Wing,Shield Wing,https://tcgplayer-cdn.tcgplayer.com/product/39198_200w.jpg,2,185,https://cpt.tcgcsv.com/-Hk,2024-03-28T16:43:11.577,1,DP10-EN002,Common,WIND,Winged Beast,Effect Monster,0,900,"Up to twice per turn, if this card would be destroyed by battle, it is not destroyed.",0.24,0.67,1.78,0.75,,Unlimited
39198,Shield Wing,Shield Wing,https://tcgplayer-cdn.tcgplayer.com/product/39198_200w.jpg,2,185,https://cpt.tcgcsv.com/-Hk,2024-03-28T16:43:11.577,1,DP10-EN002,Common,WIND,Winged Beast,Effect Monster,0,900,"Up to twice per turn, if this card would be destroyed by battle, it is not destroyed.",0.25,0.74,3.18,0.75,,1st Edition
39199,Stardust Xiaolong,Stardust Xiaolong,https://tcgplayer-cdn.tcgplayer.com/product/39199_200w.jpg,2,185,https://cpt.tcgcsv.com/_Hk,2024-03-28T16:43:11.623,1,DP10-EN003,Common,LIGHT,Dragon,Effect Monster,100,100,"When you Synchro Summon Stardust Dragon, you can Special Summon this card from your Graveyard in face-up Attack Position. Once per turn, if this card would be destroyed by battle, it is not destroyed.",0.05,0.3,5.0,0.24,,Unlimited
39199,Stardust Xiaolong,Stardust Xiaolong,https://tcgplayer-cdn.tcgplayer.com/product/39199_200w.jpg,2,185,https://cpt.tcgcsv.com/_Hk,2024-03-28T16:43:11.623,1,DP10-EN003,Common,LIGHT,Dragon,Effect Monster,100,100,"When you Synchro Summon Stardust Dragon, you can Special Summon this card from your Graveyard in face-up Attack Position. Once per turn, if this card would be destroyed by battle, it is not destroyed.",0.1,0.45,0.98,0.74,,1st Edition
39200,Drill Synchron,Drill Synchron,https://tcgplayer-cdn.tcgplayer.com/product/39200_200w.jpg,2,185,https://cpt.tcgcsv.com/0Jk,2024-03-28T16:43:11.653,1,DP10-EN004,Common,EARTH,Machine,Tuner Monster,800,300,"While you control this face-up card, during each battle between a Warrior-Type attacking monster you control and a Defense Position monster whose DEF is lower than the ATK of the attacking monster, inflict the difference as Battle Damage to your opponent. Once per turn, when you inflict battle damage to your opponent with this effect, you can draw 1 card.",0.1,0.25,1.7,0.21,,Unlimited
39200,Drill Synchron,Drill Synchron,https://tcgplayer-cdn.tcgplayer.com/product/39200_200w.jpg,2,185,https://cpt.tcgcsv.com/0Jk,2024-03-28T16:43:11.653,1,DP10-EN004,Common,EARTH,Machine,Tuner Monster,800,300,"While you control this face-up card, during each battle between a Warrior-Type attacking monster you control and a Defense Position monster whose DEF is lower than the ATK of the attacking monster, inflict the difference as Battle Damage to your opponent. Once per turn, when you inflict battle damage to your opponent with this effect, you can draw 1 card.",0.11,0.28,1.48,0.28,,1st Edition
39201,Card Breaker,Card Breaker,https://tcgplayer-cdn.tcgplayer.com/product/39201_200w.jpg,2,185,https://cpt.tcgcsv.com/2Jk,2024-03-28T16:43:11.683,1,DP10-EN005,Common,LIGHT,Warrior,Effect Monster,100,900,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned, in face-up Attack Position, by sending 1 card from your Spell & Trap Card Zone to the Graveyard.",0.05,0.25,1.7,0.17,,Unlimited
39201,Card Breaker,Card Breaker,https://tcgplayer-cdn.tcgplayer.com/product/39201_200w.jpg,2,185,https://cpt.tcgcsv.com/2Jk,2024-03-28T16:43:11.683,1,DP10-EN005,Common,LIGHT,Warrior,Effect Monster,100,900,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned, in face-up Attack Position, by sending 1 card from your Spell & Trap Card Zone to the Graveyard.",0.1,0.25,0.99,0.3,,1st Edition
