productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC
46888,Blackwing - Gale the Whirlwind,Blackwing Gale the Whirlwind,https://tcgplayer-cdn.tcgplayer.com/product/46888_200w.jpg,2,186,https://cpt.tcgcsv.com/NMn,2024-03-28T16:43:28.037,1,DP11-EN001,Rare,DARK,Winged Beast,Tuner Monster,1300,400,"If you control a Blackwing monster other than Blackwing - Gale the Whirlwind, you can Special Summon this card from your hand. Once per turn, you can halve the ATK and DEF of 1 face-up monster your opponent controls.",0.21,0.6,9.98,0.56,,1st Edition,
46889,Blackwing - Bora the Spear,Blackwing Bora the Spear,https://tcgplayer-cdn.tcgplayer.com/product/46889_200w.jpg,2,186,https://cpt.tcgcsv.com/PMn,2024-03-28T16:43:28.083,1,DP11-EN002,Rare,DARK,Winged Beast,Effect Monster,1700,800,"If you control a Blackwing monster other than Blackwing - Bora the Spear, you can Special Summon this card from your hand. During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent.",0.3,0.6,5.0,0.61,,1st Edition,
46890,Blackwing - Blizzard the Far North,Blackwing Blizzard the Far North,https://tcgplayer-cdn.tcgplayer.com/product/46890_200w.jpg,2,186,https://cpt.tcgcsv.com/QMn,2024-03-28T16:43:28.113,1,DP11-EN003,Common,DARK,Winged Beast,Tuner Monster,1300,0,"This card cannot be Special Summoned. When this card is Normal Summoned, you can Special Summon 1 Level 4 or lower Blackwing monster from your Graveyard in face-up Defense Position.",0.54,0.99,9.99,0.85,,1st Edition,
46891,Blackwing - Shura the Blue Flame,Blackwing Shura the Blue Flame,https://tcgplayer-cdn.tcgplayer.com/product/46891_200w.jpg,2,186,https://cpt.tcgcsv.com/RMn,2024-03-28T16:43:28.147,1,DP11-EN004,Rare,DARK,Winged Beast,Effect Monster,1800,1200,"When this card destroys an opponent's monster by battle and sends it to the Graveyard, you can Special Summon 1 Blackwing monster with 1500 or less ATK from your Deck. That monster's effect (s) is negated.",1.69,2.47,5.0,2.53,,1st Edition,
46892,Blackwing - Elphin the Raven,Blackwing Elphin the Raven,https://tcgplayer-cdn.tcgplayer.com/product/46892_200w.jpg,2,186,https://cpt.tcgcsv.com/SMn,2024-03-28T16:43:28.177,1,DP11-EN005,Rare,DARK,Winged Beast,Effect Monster,2200,1200,"If you control a face-up Blackwing monster, you can Normal Summon this card without Tributing. When this card is Normal Summoned, you can change the Battle Position of 1 monster your opponent controls.",0.08,0.4,1.5,0.35,,1st Edition,
46893,Blackwing - Mistral the Silver Shield,Blackwing Mistral the Silver Shield,https://tcgplayer-cdn.tcgplayer.com/product/46893_200w.jpg,2,186,https://cpt.tcgcsv.com/TMn,2024-03-28T16:43:28.21,1,DP11-EN006,Common,DARK,Winged Beast,Tuner Monster,100,1800,"If this card on the field is destroyed and sent to the Graveyard, reduce the Battle Damage you take from the next attack this turn to 0.",0.1,0.25,1.49,0.22,,1st Edition,
46894,Blackwing - Fane the Steel Chain,Blackwing Fane the Steel Chain,https://tcgplayer-cdn.tcgplayer.com/product/46894_200w.jpg,2,186,https://cpt.tcgcsv.com/VMn,2024-03-28T16:43:28.257,1,DP11-EN007,Common,DARK,Winged Beast,Effect Monster,500,800,"This card can attack your opponent directly. When this card attacks your opponent directly and inflicts Battle Damage to your opponent, change 1 Attack Position monster your opponent controls to Defense Position.",0.09,0.3,0.99,0.18,,1st Edition,
46895,Blackwing - Ghibli the Searing Wind,Blackwing Ghibli the Searing Wind,https://tcgplayer-cdn.tcgplayer.com/product/46895_200w.jpg,2,186,https://cpt.tcgcsv.com/WMn,2024-03-28T16:43:28.303,1,DP11-EN008,Common,DARK,Winged Beast,Effect Monster,0,1600,"When your opponent declares a direct attack, you can Special Summon this card from your hand. Once per turn, you can switch this card's original ATK and DEF until the End Phase.",0.1,0.26,2.01,0.24,,1st Edition,
46896,Blackwing - Gust the Backblast,Blackwing Gust the Backblast,https://tcgplayer-cdn.tcgplayer.com/product/46896_200w.jpg,2,186,https://cpt.tcgcsv.com/XMn,2024-03-28T16:43:28.333,1,DP11-EN009,Common,DARK,Winged Beast,Effect Monster,900,1400,"If you control no cards, you can Special Summon this card from your hand. While this card is face-up on the field, if your opponent's monster attacks a Blackwing monster you control, the attacking monster loses 300 ATK during the Damage Step only.",0.08,0.3,1.56,0.25,,1st Edition,
46897,Blackwing - Kochi the Daybreak,Blackwing Kochi the Daybreak,https://tcgplayer-cdn.tcgplayer.com/product/46897_200w.jpg,2,186,https://cpt.tcgcsv.com/ZMn,2024-03-28T16:43:28.407,1,DP11-EN010,Rare,DARK,Winged Beast,Tuner Monster,700,1500,"If this card was Special Summoned, this card cannot be used as a Synchro Material Monster.",0.07,0.33,1.51,0.22,,1st Edition,
