productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
25592,Elemental Hero Neos,Elemental Hero Neos,https://tcgplayer-cdn.tcgplayer.com/product/25592_200w.jpg,2,194,https://cpt.tcgcsv.com/Sfd,2024-03-28T16:29:19.513,1,DP03-EN001,Common,LIGHT,Warrior,Normal Monster,2500,2000,A new Elemental Hero has arrived from Neo-Space! When he initiates a Contact Fusion with a Neo-Spacian his unknown powers are unleashed.,0.15,0.38,1.33,0.31,,Unlimited
25592,Elemental Hero Neos,Elemental Hero Neos,https://tcgplayer-cdn.tcgplayer.com/product/25592_200w.jpg,2,194,https://cpt.tcgcsv.com/Sfd,2024-03-28T16:29:19.513,1,DP03-EN001,Common,LIGHT,Warrior,Normal Monster,2500,2000,A new Elemental Hero has arrived from Neo-Space! When he initiates a Contact Fusion with a Neo-Spacian his unknown powers are unleashed.,0.18,0.43,1.33,0.56,,1st Edition
25593,Elemental Hero Bladedge,Elemental Hero Bladedge,https://tcgplayer-cdn.tcgplayer.com/product/25593_200w.jpg,2,194,https://cpt.tcgcsv.com/Tfd,2024-03-28T16:29:19.58,1,DP03-EN002,Rare,EARTH,Warrior,Effect Monster,2600,1800,"During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent''s Life Points.",0.2,0.54,1.51,0.98,,Unlimited
25593,Elemental Hero Bladedge,Elemental Hero Bladedge,https://tcgplayer-cdn.tcgplayer.com/product/25593_200w.jpg,2,194,https://cpt.tcgcsv.com/Tfd,2024-03-28T16:29:19.58,1,DP03-EN002,Rare,EARTH,Warrior,Effect Monster,2600,1800,"During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent''s Life Points.",0.15,0.45,1.51,0.45,,1st Edition
25594,Elemental Hero Wildheart,Elemental Hero Wildheart,https://tcgplayer-cdn.tcgplayer.com/product/25594_200w.jpg,2,194,https://cpt.tcgcsv.com/Vfd,2024-03-28T16:29:19.62,1,DP03-EN003,Common,EARTH,Warrior,Effect Monster,1500,1600,This card is unaffected by the effects of Trap Cards.,0.12,0.42,1.97,0.88,,Unlimited
25594,Elemental Hero Wildheart,Elemental Hero Wildheart,https://tcgplayer-cdn.tcgplayer.com/product/25594_200w.jpg,2,194,https://cpt.tcgcsv.com/Vfd,2024-03-28T16:29:19.62,1,DP03-EN003,Common,EARTH,Warrior,Effect Monster,1500,1600,This card is unaffected by the effects of Trap Cards.,0.1,0.47,1.99,0.6,,1st Edition
25595,Hero Kid,Hero Kid,https://tcgplayer-cdn.tcgplayer.com/product/25595_200w.jpg,2,194,https://cpt.tcgcsv.com/Wfd,2024-03-28T16:29:19.667,1,DP03-EN004,Common,EARTH,Warrior,Effect Monster,300,600,"When this card is Special Summoned, you can Special Summon any number of Hero Kids from your Deck.",0.35,0.65,1.76,0.35,,Unlimited
25595,Hero Kid,Hero Kid,https://tcgplayer-cdn.tcgplayer.com/product/25595_200w.jpg,2,194,https://cpt.tcgcsv.com/Wfd,2024-03-28T16:29:19.667,1,DP03-EN004,Common,EARTH,Warrior,Effect Monster,300,600,"When this card is Special Summoned, you can Special Summon any number of Hero Kids from your Deck.",0.13,0.6,4.07,0.57,,1st Edition
25596,Neo-Spacian Aqua Dolphin,Neo Spacian Aqua Dolphin,https://tcgplayer-cdn.tcgplayer.com/product/25596_200w.jpg,2,194,https://cpt.tcgcsv.com/Xfd,2024-03-28T16:29:19.713,1,DP03-EN005,Rare,WATER,Warrior,Effect Monster,600,800,"Once per turn, by discarding 1 card, look at your opponent''s hand and select 1 Monster Card in it. If you control a monster with ATK greater than or equal to the ATK of the selected Monster Card, destroy the selected card and inflict 500 damage to your opponent. Otherwise, take 500 damage.",0.31,0.75,3.99,0.6,,Unlimited
25596,Neo-Spacian Aqua Dolphin,Neo Spacian Aqua Dolphin,https://tcgplayer-cdn.tcgplayer.com/product/25596_200w.jpg,2,194,https://cpt.tcgcsv.com/Xfd,2024-03-28T16:29:19.713,1,DP03-EN005,Rare,WATER,Warrior,Effect Monster,600,800,"Once per turn, by discarding 1 card, look at your opponent''s hand and select 1 Monster Card in it. If you control a monster with ATK greater than or equal to the ATK of the selected Monster Card, destroy the selected card and inflict 500 damage to your opponent. Otherwise, take 500 damage.",0.25,0.71,1.99,0.66,,1st Edition
