productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extDescription,extUPC
32967,Dark Magician,Dark Magician,https://tcgplayer-cdn.tcgplayer.com/product/32967_200w.jpg,2,184,https://cpt.tcgcsv.com/mch,2024-03-28T16:27:16.64,1,DPYG-EN001,Rare,DARK,Spellcaster,Normal Monster,2500,2100,0.18,0.47,1.98,0.32,,Unlimited,,
32967,Dark Magician,Dark Magician,https://tcgplayer-cdn.tcgplayer.com/product/32967_200w.jpg,2,184,https://cpt.tcgcsv.com/mch,2024-03-28T16:27:16.64,1,DPYG-EN001,Rare,DARK,Spellcaster,Normal Monster,2500,2100,0.25,0.66,1.98,0.43,,1st Edition,,
32968,Summoned Skull,Summoned Skull,https://tcgplayer-cdn.tcgplayer.com/product/32968_200w.jpg,2,184,https://cpt.tcgcsv.com/nch,2024-03-28T16:27:16.693,1,DPYG-EN002,Super Rare,DARK,Fiend,Normal Monster,2500,1200,1.35,2.5,19.99,2.57,,Unlimited,,
32968,Summoned Skull,Summoned Skull,https://tcgplayer-cdn.tcgplayer.com/product/32968_200w.jpg,2,184,https://cpt.tcgcsv.com/nch,2024-03-28T16:27:16.693,1,DPYG-EN002,Super Rare,DARK,Fiend,Normal Monster,2500,1200,2.5,6.95,28.74,7.83,,1st Edition,,
32969,Queen's Knight,Queens Knight,https://tcgplayer-cdn.tcgplayer.com/product/32969_200w.jpg,2,184,https://cpt.tcgcsv.com/pch,2024-03-28T16:27:16.743,1,DPYG-EN003,Common,LIGHT,Warrior,Normal Monster,1500,1600,0.05,0.24,1.75,0.21,,Unlimited,,
32969,Queen's Knight,Queens Knight,https://tcgplayer-cdn.tcgplayer.com/product/32969_200w.jpg,2,184,https://cpt.tcgcsv.com/pch,2024-03-28T16:27:16.743,1,DPYG-EN003,Common,LIGHT,Warrior,Normal Monster,1500,1600,0.12,0.34,2.0,0.37,,1st Edition,,
32970,Jack's Knight,Jacks Knight,https://tcgplayer-cdn.tcgplayer.com/product/32970_200w.jpg,2,184,https://cpt.tcgcsv.com/qch,2024-03-28T16:27:16.773,1,DPYG-EN004,Common,LIGHT,Warrior,Normal Monster,1900,1000,0.07,0.25,1.7,0.2,,Unlimited,,
32970,Jack's Knight,Jacks Knight,https://tcgplayer-cdn.tcgplayer.com/product/32970_200w.jpg,2,184,https://cpt.tcgcsv.com/qch,2024-03-28T16:27:16.773,1,DPYG-EN004,Common,LIGHT,Warrior,Normal Monster,1900,1000,0.14,0.3,1.46,0.25,,1st Edition,,
32971,Kuriboh,Kuriboh,https://tcgplayer-cdn.tcgplayer.com/product/32971_200w.jpg,2,184,https://cpt.tcgcsv.com/rch,2024-03-28T16:27:16.82,1,DPYG-EN005,Common,LIGHT,Fairy,Effect Monster,300,200,0.1,0.31,1.51,0.25,,Unlimited,"During your opponent's Battle Phase, you can discard this card to reduce the Battle Damage you take from 1 of your opponent's attacking monsters to 0.",
32971,Kuriboh,Kuriboh,https://tcgplayer-cdn.tcgplayer.com/product/32971_200w.jpg,2,184,https://cpt.tcgcsv.com/rch,2024-03-28T16:27:16.82,1,DPYG-EN005,Common,LIGHT,Fairy,Effect Monster,300,200,0.25,0.47,1.56,0.47,,1st Edition,"During your opponent's Battle Phase, you can discard this card to reduce the Battle Damage you take from 1 of your opponent's attacking monsters to 0.",
32972,Catapult Turtle,Catapult Turtle,https://tcgplayer-cdn.tcgplayer.com/product/32972_200w.jpg,2,184,https://cpt.tcgcsv.com/sch,2024-03-28T16:27:16.883,1,DPYG-EN006,Common,WATER,Aqua,Effect Monster,1000,2000,0.1,0.25,1.41,0.17,,Unlimited,You can Tribute 1 monster to inflict damage to your opponent equal to half of its ATK.,
32972,Catapult Turtle,Catapult Turtle,https://tcgplayer-cdn.tcgplayer.com/product/32972_200w.jpg,2,184,https://cpt.tcgcsv.com/sch,2024-03-28T16:27:16.883,1,DPYG-EN006,Common,WATER,Aqua,Effect Monster,1000,2000,0.18,0.31,1.99,0.35,,1st Edition,You can Tribute 1 monster to inflict damage to your opponent equal to half of its ATK.,
32973,Buster Blader,Buster Blader,https://tcgplayer-cdn.tcgplayer.com/product/32973_200w.jpg,2,184,https://cpt.tcgcsv.com/tch,2024-03-28T16:27:17.19,1,DPYG-EN007,Common,EARTH,Warrior,Effect Monster,2600,2300,0.11,0.27,19.0,0.27,,Unlimited,This card gains 500 ATK for each Dragon-Type monster on your opponent's side of the field or in their Graveyard.,
32973,Buster Blader,Buster Blader,https://tcgplayer-cdn.tcgplayer.com/product/32973_200w.jpg,2,184,https://cpt.tcgcsv.com/tch,2024-03-28T16:27:17.19,1,DPYG-EN007,Common,EARTH,Warrior,Effect Monster,2600,2300,0.13,0.45,2.14,0.45,,1st Edition,This card gains 500 ATK for each Dragon-Type monster on your opponent's side of the field or in their Graveyard.,
32974,Dark Magician Girl,Dark Magician Girl,https://tcgplayer-cdn.tcgplayer.com/product/32974_200w.jpg,2,184,https://cpt.tcgcsv.com/vch,2024-03-28T16:27:17.27,1,DPYG-EN008,Super Rare,DARK,Spellcaster,Effect Monster,2000,1700,1.0,4.01,25.0,1.84,,Unlimited,This card gains 300 ATK for each Dark Magician or Magician of Black Chaos in either player's Graveyard.,
32974,Dark Magician Girl,Dark Magician Girl,https://tcgplayer-cdn.tcgplayer.com/product/32974_200w.jpg,2,184,https://cpt.tcgcsv.com/vch,2024-03-28T16:27:17.27,1,DPYG-EN008,Super Rare,DARK,Spellcaster,Effect Monster,2000,1700,4.51,12.73,35.99,12.57,,1st Edition,This card gains 300 ATK for each Dark Magician or Magician of Black Chaos in either player's Graveyard.,
32975,Big Shield Gardna,Big Shield Gardna,https://tcgplayer-cdn.tcgplayer.com/product/32975_200w.jpg,2,184,https://cpt.tcgcsv.com/wch,2024-10-01T18:03:16.643,1,DPYG-EN009,Common,EARTH,Warrior,Effect Monster,100,2600,0.04,0.25,1.7,0.21,,Unlimited,"During either player's turn, when this face-down card (and no other cards) is targeted by a Spell Card: Change this card to face-up Defense Position, and if you do, negate the Spell Card's activation. If this card is attacked, change it to Attack Position at the end of the Damage Step.",
32975,Big Shield Gardna,Big Shield Gardna,https://tcgplayer-cdn.tcgplayer.com/product/32975_200w.jpg,2,184,https://cpt.tcgcsv.com/wch,2024-10-01T18:03:16.643,1,DPYG-EN009,Common,EARTH,Warrior,Effect Monster,100,2600,0.13,0.38,0.96,0.31,,1st Edition,"During either player's turn, when this face-down card (and no other cards) is targeted by a Spell Card: Change this card to face-up Defense Position, and if you do, negate the Spell Card's activation. If this card is attacked, change it to Attack Position at the end of the Damage Step.",
32976,Sorcerer of Dark Magic,Sorcerer of Dark Magic,https://tcgplayer-cdn.tcgplayer.com/product/32976_200w.jpg,2,184,https://cpt.tcgcsv.com/xch,2024-03-28T16:27:17.363,1,DPYG-EN010,Super Rare,DARK,Spellcaster,Effect Monster,3200,2800,2.95,6.0,29.99,6.28,,Unlimited,This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing 2 level 6 or higher Spellcaster-Type monsters. You can negate the activation of any trap cards and destroy them.,
32976,Sorcerer of Dark Magic,Sorcerer of Dark Magic,https://tcgplayer-cdn.tcgplayer.com/product/32976_200w.jpg,2,184,https://cpt.tcgcsv.com/xch,2024-03-28T16:27:17.363,1,DPYG-EN010,Super Rare,DARK,Spellcaster,Effect Monster,3200,2800,3.95,8.0,21.0,16.29,,1st Edition,This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing 2 level 6 or higher Spellcaster-Type monsters. You can negate the activation of any trap cards and destroy them.,
32977,King's Knight,Kings Knight,https://tcgplayer-cdn.tcgplayer.com/product/32977_200w.jpg,2,184,https://cpt.tcgcsv.com/zch,2024-03-28T16:27:17.41,1,DPYG-EN011,Common,LIGHT,Warrior,Effect Monster,1600,1400,0.07,0.2,1.75,0.19,,Unlimited,"When this card is Normal Summoned, if you control ""Queen's Knight"", you can Special Summon 1 ""Jack's Knight"" from your Deck.",
32977,King's Knight,Kings Knight,https://tcgplayer-cdn.tcgplayer.com/product/32977_200w.jpg,2,184,https://cpt.tcgcsv.com/zch,2024-03-28T16:27:17.41,1,DPYG-EN011,Common,LIGHT,Warrior,Effect Monster,1600,1400,0.11,0.25,1.45,0.18,,1st Edition,"When this card is Normal Summoned, if you control ""Queen's Knight"", you can Special Summon 1 ""Jack's Knight"" from your Deck.",
32978,Green Gadget,Green Gadget,https://tcgplayer-cdn.tcgplayer.com/product/32978_200w.jpg,2,184,https://cpt.tcgcsv.com/Bch,2024-03-28T16:27:17.483,1,DPYG-EN012,Common,EARTH,Machine,Effect Monster,1400,600,0.08,0.23,1.7,0.11,,Unlimited,"When you Normal or Special Summon this card, you can add 1 ""Red Gadget"" from your Deck to your hand.",
32978,Green Gadget,Green Gadget,https://tcgplayer-cdn.tcgplayer.com/product/32978_200w.jpg,2,184,https://cpt.tcgcsv.com/Bch,2024-03-28T16:27:17.483,1,DPYG-EN012,Common,EARTH,Machine,Effect Monster,1400,600,0.1,0.25,1.41,0.14,,1st Edition,"When you Normal or Special Summon this card, you can add 1 ""Red Gadget"" from your Deck to your hand.",
32979,Red Gadget,Red Gadget,https://tcgplayer-cdn.tcgplayer.com/product/32979_200w.jpg,2,184,https://cpt.tcgcsv.com/Cch,2024-03-28T16:27:17.56,1,DPYG-EN013,Common,EARTH,Machine,Effect Monster,1300,1500,0.08,0.25,1.5,0.13,,Unlimited,"When you Normal or Special Summon this card, you can add 1 Yellow Gadget from your Deck to your hand.",
