productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extDescription,extUPC
24556,"Zure, Knight of Dark World",Zure Knight of Dark World,https://tcgplayer-cdn.tcgplayer.com/product/24556_200w.jpg,2,200,https://cpt.tcgcsv.com/8Rc,2024-03-28T16:45:59.97,1,EEN-EN001,Common,DARK,Fiend,Normal Monster,1800,1500,0.01,0.2,1.36,0.29,,Unlimited,,
24556,"Zure, Knight of Dark World",Zure Knight of Dark World,https://tcgplayer-cdn.tcgplayer.com/product/24556_200w.jpg,2,200,https://cpt.tcgcsv.com/8Rc,2024-03-28T16:45:59.97,1,EEN-EN001,Common,DARK,Fiend,Normal Monster,1800,1500,0.1,0.26,1.99,0.42,,1st Edition,,
24557,V-Tiger Jet,V Tiger Jet,https://tcgplayer-cdn.tcgplayer.com/product/24557_200w.jpg,2,200,https://cpt.tcgcsv.com/9Rc,2024-03-28T16:46:00.017,1,EEN-EN002,Common,LIGHT,Machine,Normal Monster,1600,1800,0.09,0.22,1.41,0.19,,Unlimited,,
24557,V-Tiger Jet,V Tiger Jet,https://tcgplayer-cdn.tcgplayer.com/product/24557_200w.jpg,2,200,https://cpt.tcgcsv.com/9Rc,2024-03-28T16:46:00.017,1,EEN-EN002,Common,LIGHT,Machine,Normal Monster,1600,1800,0.09,0.24,1.95,0.2,,1st Edition,,
24558,Blade Skater,Blade Skater,https://tcgplayer-cdn.tcgplayer.com/product/24558_200w.jpg,2,200,https://cpt.tcgcsv.com/bRc,2024-03-28T16:46:00.047,1,EEN-EN003,Common,EARTH,Warrior,Normal Monster,1400,1500,0.02,0.2,1.36,0.16,,Unlimited,,
24558,Blade Skater,Blade Skater,https://tcgplayer-cdn.tcgplayer.com/product/24558_200w.jpg,2,200,https://cpt.tcgcsv.com/bRc,2024-03-28T16:46:00.047,1,EEN-EN003,Common,EARTH,Warrior,Normal Monster,1400,1500,0.1,0.24,1.5,0.16,,1st Edition,,
24559,Queen's Knight,Queens Knight,https://tcgplayer-cdn.tcgplayer.com/product/24559_200w.jpg,2,200,https://cpt.tcgcsv.com/cRc,2024-03-28T16:46:00.11,1,EEN-EN004,Rare,LIGHT,Warrior,Normal Monster,1500,1600,0.15,0.46,4.99,0.47,,Unlimited,,
24559,Queen's Knight,Queens Knight,https://tcgplayer-cdn.tcgplayer.com/product/24559_200w.jpg,2,200,https://cpt.tcgcsv.com/cRc,2024-03-28T16:46:00.11,1,EEN-EN004,Rare,LIGHT,Warrior,Normal Monster,1500,1600,0.15,0.79,2.99,0.88,,1st Edition,,
24560,Jack's Knight,Jacks Knight,https://tcgplayer-cdn.tcgplayer.com/product/24560_200w.jpg,2,200,https://cpt.tcgcsv.com/dRc,2024-03-28T16:46:00.14,1,EEN-EN005,Rare,LIGHT,Warrior,Normal Monster,1900,1000,0.09,0.36,2.98,0.35,,Unlimited,,
24560,Jack's Knight,Jacks Knight,https://tcgplayer-cdn.tcgplayer.com/product/24560_200w.jpg,2,200,https://cpt.tcgcsv.com/dRc,2024-03-28T16:46:00.14,1,EEN-EN005,Rare,LIGHT,Warrior,Normal Monster,1900,1000,0.2,0.53,2.99,0.53,,1st Edition,,
