productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC
40026,Reborn Tengu,Reborn Tengu,https://tcgplayer-cdn.tcgplayer.com/product/40026_200w.jpg,2,203,https://cpt.tcgcsv.com/x0l,2024-03-28T16:47:06.347,1,EXVC-EN000,Super Rare,WIND,Beast-Warrior,Effect Monster,1700,600,"When this card is removed from the field, Special Summon 1 Reborn Tengu from your Deck.",0.8,2.94,19.0,2.85,,Unlimited,
40026,Reborn Tengu,Reborn Tengu,https://tcgplayer-cdn.tcgplayer.com/product/40026_200w.jpg,2,203,https://cpt.tcgcsv.com/x0l,2024-03-28T16:47:06.347,1,EXVC-EN000,Super Rare,WIND,Beast-Warrior,Effect Monster,1700,600,"When this card is removed from the field, Special Summon 1 Reborn Tengu from your Deck.",0.99,2.73,20.0,2.3,,1st Edition,
40027,Junk Servant,Junk Servant,https://tcgplayer-cdn.tcgplayer.com/product/40027_200w.jpg,2,203,https://cpt.tcgcsv.com/z0l,2024-03-28T16:47:06.44,1,EXVC-EN001,Rare,EARTH,Warrior,Effect Monster,1500,1000,"If you control a face-up Junk monster, you can Special Summon this card from your hand.",1.0,1.75,5.99,1.81,,Unlimited,
40027,Junk Servant,Junk Servant,https://tcgplayer-cdn.tcgplayer.com/product/40027_200w.jpg,2,203,https://cpt.tcgcsv.com/z0l,2024-03-28T16:47:06.44,1,EXVC-EN001,Rare,EARTH,Warrior,Effect Monster,1500,1000,"If you control a face-up Junk monster, you can Special Summon this card from your hand.",1.0,2.08,6.0,1.81,,1st Edition,
40028,Unknown Synchron,Unknown Synchron,https://tcgplayer-cdn.tcgplayer.com/product/40028_200w.jpg,2,203,https://cpt.tcgcsv.com/B0l,2024-03-28T16:47:06.533,1,EXVC-EN002,Common,DARK,Machine,Tuner Monster,0,0,"If your opponent controls a monster and you control no monsters, you can Special Summon this card from your hand. Each player can only use the effect of Unknown Synchron once per Duel.",0.01,0.25,3.25,0.15,,Unlimited,
40028,Unknown Synchron,Unknown Synchron,https://tcgplayer-cdn.tcgplayer.com/product/40028_200w.jpg,2,203,https://cpt.tcgcsv.com/B0l,2024-03-28T16:47:06.533,1,EXVC-EN002,Common,DARK,Machine,Tuner Monster,0,0,"If your opponent controls a monster and you control no monsters, you can Special Summon this card from your hand. Each player can only use the effect of Unknown Synchron once per Duel.",0.08,0.35,20.0,0.44,,1st Edition,
40029,Salvage Warrior,Salvage Warrior,https://tcgplayer-cdn.tcgplayer.com/product/40029_200w.jpg,2,203,https://cpt.tcgcsv.com/C0l,2024-03-28T16:47:06.633,1,EXVC-EN003,Rare,WATER,Warrior,Effect Monster,1900,1600,"When this card is Tribute Summoned, you can Special Summon 1 Tuner monster from your hand or Graveyard.",0.16,0.32,1.55,0.21,,Unlimited,
40029,Salvage Warrior,Salvage Warrior,https://tcgplayer-cdn.tcgplayer.com/product/40029_200w.jpg,2,203,https://cpt.tcgcsv.com/C0l,2024-03-28T16:47:06.633,1,EXVC-EN003,Rare,WATER,Warrior,Effect Monster,1900,1600,"When this card is Tribute Summoned, you can Special Summon 1 Tuner monster from your hand or Graveyard.",0.1,0.32,1.43,0.3,,1st Edition,
40030,Necro Defender,Necro Defender,https://tcgplayer-cdn.tcgplayer.com/product/40030_200w.jpg,2,203,https://cpt.tcgcsv.com/D0l,2024-03-28T16:47:06.74,1,EXVC-EN004,Rare,DARK,Fiend,Effect Monster,0,800,"During your Main Phase, you can remove from play this card from your Graveyard to select 1 monster you control. Until your opponent's next End Phase, that monster cannot be destroyed by battle, and you take no Battle Damage from battles involving it.",0.11,0.31,1.41,0.18,,Unlimited,
40030,Necro Defender,Necro Defender,https://tcgplayer-cdn.tcgplayer.com/product/40030_200w.jpg,2,203,https://cpt.tcgcsv.com/D0l,2024-03-28T16:47:06.74,1,EXVC-EN004,Rare,DARK,Fiend,Effect Monster,0,800,"During your Main Phase, you can remove from play this card from your Graveyard to select 1 monster you control. Until your opponent's next End Phase, that monster cannot be destroyed by battle, and you take no Battle Damage from battles involving it.",0.11,0.3,1.46,0.18,,1st Edition,
40031,Mystic Piper,Mystic Piper,https://tcgplayer-cdn.tcgplayer.com/product/40031_200w.jpg,2,203,https://cpt.tcgcsv.com/F0l,2024-03-28T16:47:06.85,1,EXVC-EN005,Secret Rare,LIGHT,Spellcaster,Effect Monster,0,0,"You can Tribute this card to draw and reveal 1 card. If that card is a  Level 1 Monster Card, you can draw 1 more card. The effect of Mystic Piper can only be activated once per turn.",4.16,8.4,33.99,9.95,,Unlimited,
40031,Mystic Piper,Mystic Piper,https://tcgplayer-cdn.tcgplayer.com/product/40031_200w.jpg,2,203,https://cpt.tcgcsv.com/F0l,2024-03-28T16:47:06.85,1,EXVC-EN005,Secret Rare,LIGHT,Spellcaster,Effect Monster,0,0,"You can Tribute this card to draw and reveal 1 card. If that card is a  Level 1 Monster Card, you can draw 1 more card. The effect of Mystic Piper can only be activated once per turn.",2.36,5.14,60.0,5.14,,1st Edition,
40032,Force Resonator,Force Resonator,https://tcgplayer-cdn.tcgplayer.com/product/40032_200w.jpg,2,203,https://cpt.tcgcsv.com/G0l,2024-03-28T16:47:06.883,1,EXVC-EN006,Common,WATER,Fiend,Tuner Monster,500,500,"You can send this face-up card you control to the Graveyard to select 1 face-up monster you control. If that monster attacks during this turn, your opponent cannot activate cards or effects that target a monster(s) until the end of the Damage Step.",0.17,0.5,1.98,0.23,,Unlimited,
40032,Force Resonator,Force Resonator,https://tcgplayer-cdn.tcgplayer.com/product/40032_200w.jpg,2,203,https://cpt.tcgcsv.com/G0l,2024-03-28T16:47:06.883,1,EXVC-EN006,Common,WATER,Fiend,Tuner Monster,500,500,"You can send this face-up card you control to the Graveyard to select 1 face-up monster you control. If that monster attacks during this turn, your opponent cannot activate cards or effects that target a monster(s) until the end of the Damage Step.",0.15,0.48,2.0,0.38,,1st Edition,
40033,Clock Resonator,Clock Resonator,https://tcgplayer-cdn.tcgplayer.com/product/40033_200w.jpg,2,203,https://cpt.tcgcsv.com/H0l,2024-03-28T16:47:06.93,1,EXVC-EN007,Common,EARTH,Fiend,Tuner Monster,1200,600,"Once per turn, this face-up Defense Position cannot be destroyed by battle or by a card effects.",0.1,0.33,1.0,0.47,,Unlimited,
40033,Clock Resonator,Clock Resonator,https://tcgplayer-cdn.tcgplayer.com/product/40033_200w.jpg,2,203,https://cpt.tcgcsv.com/H0l,2024-03-28T16:47:06.93,1,EXVC-EN007,Common,EARTH,Fiend,Tuner Monster,1200,600,"Once per turn, this face-up Defense Position cannot be destroyed by battle or by a card effects.",0.1,0.25,1.99,0.26,,1st Edition,
40034,Blackwing - Hillen the Tengu-wind,Blackwing Hillen the Tengu wind,https://tcgplayer-cdn.tcgplayer.com/product/40034_200w.jpg,2,203,https://cpt.tcgcsv.com/J0l,2024-03-28T16:47:06.963,1,EXVC-EN008,Super Rare,DARK,Winged Beast,Tuner Monster,0,2300,"When you take 2000 or more Battle Damage your opponent's monster's direct attack while this card is in the graveyard, you can select 1 Level 3 or lower Blackwing monster in your Graveyard. Special Summon that monster and this card from the Graveyard. Their  effects are negated. Each player can only use the effect of Blackwing - Hillen the Tengu-wind once per Duel.",0.45,1.1,10.99,0.79,,Unlimited,
40034,Blackwing - Hillen the Tengu-wind,Blackwing Hillen the Tengu wind,https://tcgplayer-cdn.tcgplayer.com/product/40034_200w.jpg,2,203,https://cpt.tcgcsv.com/J0l,2024-03-28T16:47:06.963,1,EXVC-EN008,Super Rare,DARK,Winged Beast,Tuner Monster,0,2300,"When you take 2000 or more Battle Damage your opponent's monster's direct attack while this card is in the graveyard, you can select 1 Level 3 or lower Blackwing monster in your Graveyard. Special Summon that monster and this card from the Graveyard. Their  effects are negated. Each player can only use the effect of Blackwing - Hillen the Tengu-wind once per Duel.",0.48,0.71,3.99,0.6,,1st Edition,
40035,Blackwing - Kogarashi the Wanderer,Blackwing Kogarashi the Wanderer,https://tcgplayer-cdn.tcgplayer.com/product/40035_200w.jpg,2,203,https://cpt.tcgcsv.com/K0l,2024-03-28T16:47:07.023,1,EXVC-EN009,Ultra Rare,DARK,Winged Beast,Tuner Monster,2300,1600,"When a face-up Blackwing monster you control is destroyed by a card effect and sent to the Graveyard, you can Special Summon this card from your hand. When you Synchro Summon using this card as a Synchro Material Monster, your opponent cannot activate cards or effects.",1.25,2.09,5.0,1.67,,Unlimited,
