productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
191932,Fists of the Gadgets Booster Box,Fists of the Gadgets Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/191932_200w.jpg,2,2471,https://cpt.tcgcsv.com/GNx2,2019-08-14T17:48:30.7,1,Each booster box contains 24 packs of 5 random cards.,083717845232,39.99,59.49,558.6,37.97,,Normal,,,,,,,,,
191933,Fists of the Gadgets Booster Pack,Fists of the Gadgets Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/191933_200w.jpg,2,2471,https://cpt.tcgcsv.com/HNx2,2019-08-14T17:48:34.07,1,Each booster pack contains 5 random cards.,083717845225,3.0,3.49,3.99,2.34,,Normal,,,,,,,,,
196911,Boot-Up Corporal - Command Dynamo,Boot Up Corporal Command Dynamo,https://tcgplayer-cdn.tcgplayer.com/product/196911_200w.jpg,2,2471,https://cpt.tcgcsv.com/fNB2,2024-07-26T18:49:14.58,1,"You can target up to 2 Machine ""Gadget"" monsters you control or in your GY with different names; Special Summon this card from your hand, then equip those targets to this card (regardless of their Type). You can only use this effect of ""Boot-Up Corporal - Command Dynamo"" once per turn. Gains 1000 ATK for each monster equipped to this card by this effect.",,0.05,0.25,2.5,0.15,0.15,1st Edition,FIGA-EN001,Super Rare,EARTH,Machine,Effect Monster,0,2000,,
196912,Boot-Up Admiral - Destroyer Dynamo,Boot Up Admiral Destroyer Dynamo,https://tcgplayer-cdn.tcgplayer.com/product/196912_200w.jpg,2,2471,https://cpt.tcgcsv.com/gNB2,2024-07-26T18:49:14.627,1,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by sending 2 ""Gadget"" Monster Cards from your hand and/or face-up field to the GY. Cannot be destroyed by battle or card effects while you control a ""Gadget"" monster or a ""Gadget"" Monster Card equipped to a monster. Once per turn: You can target 1 other card on the field; destroy it.",,0.15,0.49,6.97,0.38,,1st Edition,FIGA-EN002,Secret Rare,EARTH,Machine,Effect Monster,2500,2500,,
196913,Boot-Up Order - Gear Charge,Boot Up Order Gear Charge,https://tcgplayer-cdn.tcgplayer.com/product/196913_200w.jpg,2,2471,https://cpt.tcgcsv.com/hNB2,2024-07-26T18:49:14.657,1,"When this card is activated: You can target any number of ""Gadget"" Monster Cards you control that are equipped to a monster; Special Summon them. You can discard 1 card; add 1 ""Boot-Up Admiral - Destroyer Dynamo"" from your Deck to your hand. You can only use this effect of ""Boot-Up Order - Gear Charge"" once per turn. You can only activate 1 ""Boot-Up Order - Gear Charge"" per turn.",,0.05,0.27,1.5,0.21,0.18,1st Edition,FIGA-EN003,Super Rare,SPELL,,Continuous Spell,,,,
196914,Boot-Up Order - Gear Force,Boot Up Order Gear Force,https://tcgplayer-cdn.tcgplayer.com/product/196914_200w.jpg,2,2471,https://cpt.tcgcsv.com/jNB2,2024-07-26T18:49:14.69,1,"When either player's monster declares an attack and all monsters you control are face-up Machine monsters (min. 1): Destroy Attack Position monsters your opponent controls, up to the number of Machine monsters you control.",,0.11,0.5,4.97,0.32,0.5,1st Edition,FIGA-EN004,Secret Rare,TRAP,,Normal Trap,,,,
196915,Powerhold the Moving Battery,Powerhold the Moving Battery,https://tcgplayer-cdn.tcgplayer.com/product/196915_200w.jpg,2,2471,https://cpt.tcgcsv.com/kNB2,2024-07-26T18:49:14.75,1,"Special Summon this card as an Effect Monster (Machine/EARTH/Level 4/ATK 0/DEF 2000), then, you can equip 1 Level 4 Machine ""Gadget"" monster from your hand or Deck to this card. (This card is also still a Trap.) If Summoned this way, this card gains ATK equal to double the ATK of the monster equipped to it by this effect.",,0.06,0.25,2.0,0.18,0.18,1st Edition,FIGA-EN005,Super Rare,TRAP,,Continuous Trap,,,,
196916,Green Gadget,Green Gadget,https://tcgplayer-cdn.tcgplayer.com/product/196916_200w.jpg,2,2471,https://cpt.tcgcsv.com/lNB2,2024-07-26T18:49:14.8,1,"When this card is Normal or Special Summoned: You can add 1 ""Red Gadget"" from your Deck to your hand.",,0.08,0.33,2.0,0.24,0.25,1st Edition,FIGA-EN006,Super Rare,EARTH,Machine,Effect Monster,1400,600,,
196917,Red Gadget,Red Gadget,https://tcgplayer-cdn.tcgplayer.com/product/196917_200w.jpg,2,2471,https://cpt.tcgcsv.com/mNB2,2024-07-26T18:49:14.83,1,"When this card is Normal or Special Summoned: You can add 1 ""Yellow Gadget"" from your Deck to your hand.",,0.08,0.3,1.53,0.24,0.24,1st Edition,FIGA-EN007,Super Rare,EARTH,Machine,Effect Monster,1300,1500,,
196918,Yellow Gadget,Yellow Gadget,https://tcgplayer-cdn.tcgplayer.com/product/196918_200w.jpg,2,2471,https://cpt.tcgcsv.com/nNB2,2024-07-26T18:49:14.86,1,"When this card is Normal or Special Summoned: You can add 1 ""Green Gadget"" from your Deck to your hand.",,0.09,0.35,5.2,0.28,0.22,1st Edition,FIGA-EN008,Super Rare,EARTH,Machine,Effect Monster,1200,1200,,
