productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows,extUPC
162113,Flames of Destruction Booster Pack,Flames of Destruction Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/162113_200w.jpg,2,2212,https://cpt.tcgcsv.com/hSj2,2018-03-09T17:46:20.123,1,Each Flames of Destruction booster pack contains 9 random cards.,3.0,4.78,10.0,,,Normal,,,,,,,,,,
162114,Flames of Destruction Booster Box,Flames of Destruction Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/162114_200w.jpg,2,2212,https://cpt.tcgcsv.com/jSj2,2018-03-09T17:46:08.69,1,Each Flames of Destruction booster box contains 24 packs of 9 random cards.,78.99,89.49,183.96,84.99,,Normal,,,,,,,,,,
166309,Protron,Protron,https://tcgplayer-cdn.tcgplayer.com/product/166309_200w.jpg,2,2212,https://cpt.tcgcsv.com/cxl2,2018-06-14T19:27:53.36,1,<em>An original species found in electronic space. The amount of information on it is unknown.</em>,0.05,0.23,1.49,0.13,,1st Edition,FLOD-EN001,Common,EARTH,Cyberse,Normal Monster,100,100,,,
166309,Protron,Protron,https://tcgplayer-cdn.tcgplayer.com/product/166309_200w.jpg,2,2212,https://cpt.tcgcsv.com/cxl2,2018-06-14T19:27:53.36,1,<em>An original species found in electronic space. The amount of information on it is unknown.</em>,0.05,0.2,1.49,0.14,0.11,Unlimited,FLOD-EN001,Common,EARTH,Cyberse,Normal Monster,100,100,,,
166310,Prompthorn,Prompthorn,https://tcgplayer-cdn.tcgplayer.com/product/166310_200w.jpg,2,2212,https://cpt.tcgcsv.com/dxl2,2018-06-14T19:28:19.537,1,"You can Tribute 1 Level 4 or lower Cyberse monster; Special Summon any number of Cyberse Normal Monsters from your Deck and/or GY whose total Levels equal the Level of the Tributed monster, but banish them during the End Phase. You can only use this effect of ""Prompt Horn"" once per turn.",0.03,0.15,1.49,0.06,,Unlimited,FLOD-EN002,Common,DARK,Cyberse,Effect Monster,200,400,,,
166310,Prompthorn,Prompthorn,https://tcgplayer-cdn.tcgplayer.com/product/166310_200w.jpg,2,2212,https://cpt.tcgcsv.com/dxl2,2018-06-14T19:28:19.537,1,"You can Tribute 1 Level 4 or lower Cyberse monster; Special Summon any number of Cyberse Normal Monsters from your Deck and/or GY whose total Levels equal the Level of the Tributed monster, but banish them during the End Phase. You can only use this effect of ""Prompt Horn"" once per turn.",0.02,0.18,1.33,0.05,,1st Edition,FLOD-EN002,Common,DARK,Cyberse,Effect Monster,200,400,,,
166311,Backup Operator,Backup Operator,https://tcgplayer-cdn.tcgplayer.com/product/166311_200w.jpg,2,2212,https://cpt.tcgcsv.com/fxl2,2018-06-14T19:28:41.353,1,"You can target 1 face-up monster your Link Monster points to; Special Summon this card from your hand, and if you do, return that monster to the hand, but banish this card when it leaves the field. You can only use this effect of ""Backup Operator"" once per turn.",0.09,0.25,1.5,0.14,0.11,1st Edition,FLOD-EN003,Rare,LIGHT,Cyberse,Effect Monster,1200,800,,,
166311,Backup Operator,Backup Operator,https://tcgplayer-cdn.tcgplayer.com/product/166311_200w.jpg,2,2212,https://cpt.tcgcsv.com/fxl2,2018-06-14T19:28:41.353,1,"You can target 1 face-up monster your Link Monster points to; Special Summon this card from your hand, and if you do, return that monster to the hand, but banish this card when it leaves the field. You can only use this effect of ""Backup Operator"" once per turn.",0.05,0.25,1.49,0.14,0.13,Unlimited,FLOD-EN003,Rare,LIGHT,Cyberse,Effect Monster,1200,800,,,
166312,Link Streamer,Link Streamer,https://tcgplayer-cdn.tcgplayer.com/product/166312_200w.jpg,2,2212,https://cpt.tcgcsv.com/gxl2,2018-06-14T19:29:00.98,1,"When a Cyberse monster(s) is Normal or Special Summoned to your field while this monster is on the field (except during the Damage Step): You can Special Summon 1 ""Data Token"" (Cyberse/LIGHT/Level 1/ATK 0/DEF 0). You can only use this effect of ""Link Streamer"" once per turn.",0.03,0.21,1.49,0.12,,1st Edition,FLOD-EN004,Common,LIGHT,Cyberse,Effect Monster,1600,1800,,,
166312,Link Streamer,Link Streamer,https://tcgplayer-cdn.tcgplayer.com/product/166312_200w.jpg,2,2212,https://cpt.tcgcsv.com/gxl2,2018-06-14T19:29:00.98,1,"When a Cyberse monster(s) is Normal or Special Summoned to your field while this monster is on the field (except during the Damage Step): You can Special Summon 1 ""Data Token"" (Cyberse/LIGHT/Level 1/ATK 0/DEF 0). You can only use this effect of ""Link Streamer"" once per turn.",0.03,0.15,1.35,0.07,,Unlimited,FLOD-EN004,Common,LIGHT,Cyberse,Effect Monster,1600,1800,,,
166313,Degrade Buster,Degrade Buster,https://tcgplayer-cdn.tcgplayer.com/product/166313_200w.jpg,2,2212,https://cpt.tcgcsv.com/hxl2,2018-06-14T19:29:20.513,1,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 2 Cyberse monsters from your GY. (Quick Effect): You can target 1 monster your opponent controls whose ATK is higher than this card's; banish it until the End Phase. You can only use this effect of ""Degrade Buster"" once per turn.",0.07,0.32,1.99,0.29,,1st Edition,FLOD-EN005,Super Rare,FIRE,Cyberse,Effect Monster,2500,2500,,,
166313,Degrade Buster,Degrade Buster,https://tcgplayer-cdn.tcgplayer.com/product/166313_200w.jpg,2,2212,https://cpt.tcgcsv.com/hxl2,2018-06-14T19:29:20.513,1,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 2 Cyberse monsters from your GY. (Quick Effect): You can target 1 monster your opponent controls whose ATK is higher than this card's; banish it until the End Phase. You can only use this effect of ""Degrade Buster"" once per turn.",0.09,0.34,1.4,0.22,,Unlimited,FLOD-EN005,Super Rare,FIRE,Cyberse,Effect Monster,2500,2500,,,
166314,Trickstar Nightshade,Trickstar Nightshade,https://tcgplayer-cdn.tcgplayer.com/product/166314_200w.jpg,2,2212,https://cpt.tcgcsv.com/jxl2,2025-02-22T05:59:23.377,1,"If this card is sent to the GY as material for the Link Summon of a ""Trickstar"" Link Monster: You can Special Summon this card, but banish it when it leaves the field. You can only use this effect of ""Trickstar Nightshade"" once per turn.",0.1,0.25,1.49,0.24,,1st Edition,FLOD-EN006,Common,LIGHT,Fairy,Effect Monster,100,0,,,
166314,Trickstar Nightshade,Trickstar Nightshade,https://tcgplayer-cdn.tcgplayer.com/product/166314_200w.jpg,2,2212,https://cpt.tcgcsv.com/jxl2,2025-02-22T05:59:23.377,1,"If this card is sent to the GY as material for the Link Summon of a ""Trickstar"" Link Monster: You can Special Summon this card, but banish it when it leaves the field. You can only use this effect of ""Trickstar Nightshade"" once per turn.",0.07,0.25,1.4,0.22,0.18,Unlimited,FLOD-EN006,Common,LIGHT,Fairy,Effect Monster,100,0,,,
166315,Trickstar Mandrake,Trickstar Mandrake,https://tcgplayer-cdn.tcgplayer.com/product/166315_200w.jpg,2,2212,https://cpt.tcgcsv.com/kxl2,2024-07-26T18:49:53.127,1,"If this card is sent from the hand to the GY: You can Special Summon this card in Defense Position, but banish it when it leaves the field. If this card is sent to the GY as material for the Link Summon of a ""Trickstar"" Link Monster: You can target 1 monster an opponent's Link Monster points to; destroy it. You can only use each effect of ""Trickstar Mandrake"" once per turn.",0.05,0.2,1.99,0.18,0.16,Unlimited,FLOD-EN007,Common,LIGHT,Fairy,Effect Monster,0,1000,,,
166315,Trickstar Mandrake,Trickstar Mandrake,https://tcgplayer-cdn.tcgplayer.com/product/166315_200w.jpg,2,2212,https://cpt.tcgcsv.com/kxl2,2024-07-26T18:49:53.127,1,"If this card is sent from the hand to the GY: You can Special Summon this card in Defense Position, but banish it when it leaves the field. If this card is sent to the GY as material for the Link Summon of a ""Trickstar"" Link Monster: You can target 1 monster an opponent's Link Monster points to; destroy it. You can only use each effect of ""Trickstar Mandrake"" once per turn.",0.04,0.24,1.35,0.21,0.15,1st Edition,FLOD-EN007,Common,LIGHT,Fairy,Effect Monster,0,1000,,,
166316,Trickstar Rhodode,Trickstar Rhodode,https://tcgplayer-cdn.tcgplayer.com/product/166316_200w.jpg,2,2212,https://cpt.tcgcsv.com/lxl2,2024-07-26T18:49:53.157,1,"You can discard 1 ""Trickstar"" card, then target 1 ""Trickstar"" Link Monster in your GY: Special Summon it. You can only use this effect of ""Trickstar Rhodode"" once per turn. Each time a card(s) is banished from your opponent's GY, inflict 200 damage to them for each.",0.24,0.48,3.99,0.43,0.48,Unlimited,FLOD-EN008,Super Rare,LIGHT,Fairy,Effect Monster,1400,1900,,,
166316,Trickstar Rhodode,Trickstar Rhodode,https://tcgplayer-cdn.tcgplayer.com/product/166316_200w.jpg,2,2212,https://cpt.tcgcsv.com/lxl2,2024-07-26T18:49:53.157,1,"You can discard 1 ""Trickstar"" card, then target 1 ""Trickstar"" Link Monster in your GY: Special Summon it. You can only use this effect of ""Trickstar Rhodode"" once per turn. Each time a card(s) is banished from your opponent's GY, inflict 200 damage to them for each.",0.15,0.48,1.99,0.37,0.47,1st Edition,FLOD-EN008,Super Rare,LIGHT,Fairy,Effect Monster,1400,1900,,,
166317,Gouki Octostretch,Gouki Octostretch,https://tcgplayer-cdn.tcgplayer.com/product/166317_200w.jpg,2,2212,https://cpt.tcgcsv.com/mxl2,2024-07-26T18:49:53.187,1,"During damage calculation, if an opponent's monster attacks (Quick Effect): You can discard this card; any battle damage you take from that battle is halved. When your opponent activates a card or effect that would inflict damage to you (including during the Damage Step) (Quick Effect): You can discard this card; any damage you take from that effect is halved. If this card is sent from the field to the GY: You can add 1 ""Gouki"" card from your Deck to your hand, except ""Gouki Octostretch"". You can only use this effect of ""Gouki Octostretch"" once per turn.",0.03,0.2,1.49,0.17,0.17,Unlimited,FLOD-EN009,Common,EARTH,Warrior,Effect Monster,0,0,,,
166317,Gouki Octostretch,Gouki Octostretch,https://tcgplayer-cdn.tcgplayer.com/product/166317_200w.jpg,2,2212,https://cpt.tcgcsv.com/mxl2,2024-07-26T18:49:53.187,1,"During damage calculation, if an opponent's monster attacks (Quick Effect): You can discard this card; any battle damage you take from that battle is halved. When your opponent activates a card or effect that would inflict damage to you (including during the Damage Step) (Quick Effect): You can discard this card; any damage you take from that effect is halved. If this card is sent from the field to the GY: You can add 1 ""Gouki"" card from your Deck to your hand, except ""Gouki Octostretch"". You can only use this effect of ""Gouki Octostretch"" once per turn.",0.04,0.25,3.02,0.24,,1st Edition,FLOD-EN009,Common,EARTH,Warrior,Effect Monster,0,0,,,
166318,Gouki Bearhug,Gouki Bearhug,https://tcgplayer-cdn.tcgplayer.com/product/166318_200w.jpg,2,2212,https://cpt.tcgcsv.com/nxl2,2018-06-14T19:32:21,1,"If this card is Special Summoned by the effect of a ""Gouki"" card, or Normal Summoned: You can target 1 face-up monster your opponent controls; its ATK becomes half its original ATK, until the end of this turn. If this card is sent from the field to the GY: You can add 1 ""Gouki"" card from your Deck to your hand, except ""Gouki Bearhug"". You can only use each effect of ""Gouki Bearhug"" once per turn.",0.01,0.17,1.49,0.16,,Unlimited,FLOD-EN010,Common,EARTH,Warrior,Effect Monster,2400,0,,,
