productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
23477,Space Mambo,Space Mambo,https://tcgplayer-cdn.tcgplayer.com/product/23477_200w.jpg,2,204,https://cpt.tcgcsv.com/zpc,2024-03-28T16:47:20.753,1,FET-EN001,Common,WATER,Fish,Normal Monster,1700,1000,A Space Mambo floating in the vast universe. This living relic was found in the ruins of a super civilization on Alphard 4.,0.15,0.46,1.23,0.34,,Unlimited
23477,Space Mambo,Space Mambo,https://tcgplayer-cdn.tcgplayer.com/product/23477_200w.jpg,2,204,https://cpt.tcgcsv.com/zpc,2024-03-28T16:47:20.753,1,FET-EN001,Common,WATER,Fish,Normal Monster,1700,1000,A Space Mambo floating in the vast universe. This living relic was found in the ruins of a super civilization on Alphard 4.,0.25,0.74,2.99,0.57,,1st Edition
23478,Divine Dragon Ragnarok,Divine Dragon Ragnarok,https://tcgplayer-cdn.tcgplayer.com/product/23478_200w.jpg,2,204,https://cpt.tcgcsv.com/Bpc,2024-03-28T16:47:20.83,1,FET-EN002,Common,LIGHT,Dragon,Normal Monster,1500,1000,"A legendary dragon sent by the gods as their instrument. Legends say that if provoked, the whole world will sink beneath the sea.",0.5,0.83,1.61,0.81,,Unlimited
23478,Divine Dragon Ragnarok,Divine Dragon Ragnarok,https://tcgplayer-cdn.tcgplayer.com/product/23478_200w.jpg,2,204,https://cpt.tcgcsv.com/Bpc,2024-03-28T16:47:20.83,1,FET-EN002,Common,LIGHT,Dragon,Normal Monster,1500,1000,"A legendary dragon sent by the gods as their instrument. Legends say that if provoked, the whole world will sink beneath the sea.",0.69,0.99,2.0,1.02,,1st Edition
23479,Chu-Ske The Mouse Fighter,Chu Ske The Mouse Fighter,https://tcgplayer-cdn.tcgplayer.com/product/23479_200w.jpg,2,204,https://cpt.tcgcsv.com/Cpc,2024-03-28T16:47:21.05,1,FET-EN003,Common,EARTH,Beast,Normal Monster,1200,0,"A fiery mouse, traveling the world to become the strongest fighter in the world of mice. Be careful not to touch him, or you will get burned.",0.05,0.25,1.98,0.32,,Unlimited
23479,Chu-Ske The Mouse Fighter,Chu Ske The Mouse Fighter,https://tcgplayer-cdn.tcgplayer.com/product/23479_200w.jpg,2,204,https://cpt.tcgcsv.com/Cpc,2024-03-28T16:47:21.05,1,FET-EN003,Common,EARTH,Beast,Normal Monster,1200,0,"A fiery mouse, traveling the world to become the strongest fighter in the world of mice. Be careful not to touch him, or you will get burned.",0.14,0.3,1.0,0.31,,1st Edition
23480,Insect Knight,Insect Knight,https://tcgplayer-cdn.tcgplayer.com/product/23480_200w.jpg,2,204,https://cpt.tcgcsv.com/Dpc,2024-03-28T16:47:21.147,1,FET-EN004,Common,EARTH,Insect,Normal Monster,1900,1500,"Of all Insect fighters, he is the paragon of the Indestructible Insect Invaders, which only the elite of the elite can join. We can no longer ignore their unmatched battle prowess.",0.35,0.74,1.99,0.7,,Unlimited
23480,Insect Knight,Insect Knight,https://tcgplayer-cdn.tcgplayer.com/product/23480_200w.jpg,2,204,https://cpt.tcgcsv.com/Dpc,2024-03-28T16:47:21.147,1,FET-EN004,Common,EARTH,Insect,Normal Monster,1900,1500,"Of all Insect fighters, he is the paragon of the Indestructible Insect Invaders, which only the elite of the elite can join. We can no longer ignore their unmatched battle prowess.",0.45,0.95,3.18,0.76,,1st Edition
23481,Sacred Phoenix of Nephthys,Sacred Phoenix of Nephthys,https://tcgplayer-cdn.tcgplayer.com/product/23481_200w.jpg,2,204,https://cpt.tcgcsv.com/Fpc,2024-03-28T16:47:21.187,1,FET-EN005,Ultra Rare,FIRE,Winged Beast,Normal Monster,2400,1600,"If this card is destroyed by a card effect, Special Summon this card during your next Standby Phase. If you Special Summon this card successfully in this way, destroy all Spell and Trap Cards on the field.",3.75,13.18,16.5,13.18,,Unlimited
23481,Sacred Phoenix of Nephthys,Sacred Phoenix of Nephthys,https://tcgplayer-cdn.tcgplayer.com/product/23481_200w.jpg,2,204,https://cpt.tcgcsv.com/Fpc,2024-03-28T16:47:21.187,1,FET-EN005,Ultra Rare,FIRE,Winged Beast,Normal Monster,2400,1600,"If this card is destroyed by a card effect, Special Summon this card during your next Standby Phase. If you Special Summon this card successfully in this way, destroy all Spell and Trap Cards on the field.",6.16,11.82,24.95,12.43,,1st Edition
