productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
25725,Crystal Beast Ruby Carbuncle,Crystal Beast Ruby Carbuncle,https://tcgplayer-cdn.tcgplayer.com/product/25725_200w.jpg,2,208,https://cpt.tcgcsv.com/wjd,2024-03-28T16:47:50.643,1,FOTB-EN001,Common,Light,Fairy,Effect Monster,300,300,"When this card is Special Summoned, you can Special Summon as many ""Crystal Beast"" cards as possible from your Spell & Trap Card Zone. If this card is destroyed while it is in a Monster Card Zone, you may place it face-up in your Spell & Trap card Zone as a Continuous Spell Card, instead of sending it to the Graveyard.",0.03,0.25,2.01,0.06,,Unlimited
25725,Crystal Beast Ruby Carbuncle,Crystal Beast Ruby Carbuncle,https://tcgplayer-cdn.tcgplayer.com/product/25725_200w.jpg,2,208,https://cpt.tcgcsv.com/wjd,2024-03-28T16:47:50.643,1,FOTB-EN001,Common,Light,Fairy,Effect Monster,300,300,"When this card is Special Summoned, you can Special Summon as many ""Crystal Beast"" cards as possible from your Spell & Trap Card Zone. If this card is destroyed while it is in a Monster Card Zone, you may place it face-up in your Spell & Trap card Zone as a Continuous Spell Card, instead of sending it to the Graveyard.",0.03,0.23,1.99,0.12,,1st Edition
25726,Crystal Beast Amethyst Cat,Crystal Beast Amethyst Cat,https://tcgplayer-cdn.tcgplayer.com/product/25726_200w.jpg,2,208,https://cpt.tcgcsv.com/xjd,2024-03-28T16:47:50.707,1,FOTB-EN002,Common,Earth,Beast,Effect Monster,1200,400,"This card can attack your opponent directly. When it does so using this effect, any Battle Damage it inflicts to your opponent is halved. If this card is destroyed while it is in a Monster Card Zone, you can place it face-up in your Spell & Trap Card Zone as a Continuous Spell Card, instead of sending it to the Graveyard.",0.05,0.25,1.4,0.15,,Unlimited
25726,Crystal Beast Amethyst Cat,Crystal Beast Amethyst Cat,https://tcgplayer-cdn.tcgplayer.com/product/25726_200w.jpg,2,208,https://cpt.tcgcsv.com/xjd,2024-03-28T16:47:50.707,1,FOTB-EN002,Common,Earth,Beast,Effect Monster,1200,400,"This card can attack your opponent directly. When it does so using this effect, any Battle Damage it inflicts to your opponent is halved. If this card is destroyed while it is in a Monster Card Zone, you can place it face-up in your Spell & Trap Card Zone as a Continuous Spell Card, instead of sending it to the Graveyard.",0.05,0.25,2.01,0.1,,1st Edition
25727,Crystal Beast Emerald Tortoise,Crystal Beast Emerald Tortoise,https://tcgplayer-cdn.tcgplayer.com/product/25727_200w.jpg,2,208,https://cpt.tcgcsv.com/zjd,2024-03-28T16:47:50.753,1,FOTB-EN003,Common,Water,Aqua,Effect Monster,600,2000,"Once per turn, you can change 1 of your monsters that attacked this turn to Defense Position. If this card is destroyed while it is in a Monster Card Zone, you can place it face-up in your Spell & Trap Card Zone as a Continuous Spell Card, instead of sending it to the Graveyard.",0.05,0.25,1.49,0.17,,Unlimited
25727,Crystal Beast Emerald Tortoise,Crystal Beast Emerald Tortoise,https://tcgplayer-cdn.tcgplayer.com/product/25727_200w.jpg,2,208,https://cpt.tcgcsv.com/zjd,2024-03-28T16:47:50.753,1,FOTB-EN003,Common,Water,Aqua,Effect Monster,600,2000,"Once per turn, you can change 1 of your monsters that attacked this turn to Defense Position. If this card is destroyed while it is in a Monster Card Zone, you can place it face-up in your Spell & Trap Card Zone as a Continuous Spell Card, instead of sending it to the Graveyard.",0.01,0.25,1.4,0.14,,1st Edition
25728,Crystal Beast Topaz Tiger,Crystal Beast Topaz Tiger,https://tcgplayer-cdn.tcgplayer.com/product/25728_200w.jpg,2,208,https://cpt.tcgcsv.com/Bjd,2024-03-28T16:47:50.813,1,FOTB-EN004,Rare,Earth,Beast,Effect Monster,1600,1000,"If this card attacks an opponent's monster, it gains 400 ATK during the Damage Step only. If this card is destroyed while it is in a Monster Card Zone as a Continuous Spell Card, instead of sending it to the Graveyard.",0.1,0.69,2.5,0.2,,Unlimited
25728,Crystal Beast Topaz Tiger,Crystal Beast Topaz Tiger,https://tcgplayer-cdn.tcgplayer.com/product/25728_200w.jpg,2,208,https://cpt.tcgcsv.com/Bjd,2024-03-28T16:47:50.813,1,FOTB-EN004,Rare,Earth,Beast,Effect Monster,1600,1000,"If this card attacks an opponent's monster, it gains 400 ATK during the Damage Step only. If this card is destroyed while it is in a Monster Card Zone as a Continuous Spell Card, instead of sending it to the Graveyard.",0.15,0.5,2.99,0.4,,1st Edition
25729,Crystal Beast Amber Mammoth,Crystal Beast Amber Mammoth,https://tcgplayer-cdn.tcgplayer.com/product/25729_200w.jpg,2,208,https://cpt.tcgcsv.com/Cjd,2024-03-28T16:47:50.86,1,FOTB-EN005,Common,Earth,Beast,Effect Monster,1700,1600,"When a face-up ""Crystal Beast"" monster you control is selected as an attack target, you can change the target to this card. If this card is destroyed while it is in a Monster Card Zone, you can place it face-up in your Spell & Trap Card Zone as a Continuous Spell Card instead of sending it to the Graveyard.",0.01,0.25,1.54,0.09,,Unlimited
25729,Crystal Beast Amber Mammoth,Crystal Beast Amber Mammoth,https://tcgplayer-cdn.tcgplayer.com/product/25729_200w.jpg,2,208,https://cpt.tcgcsv.com/Cjd,2024-03-28T16:47:50.86,1,FOTB-EN005,Common,Earth,Beast,Effect Monster,1700,1600,"When a face-up ""Crystal Beast"" monster you control is selected as an attack target, you can change the target to this card. If this card is destroyed while it is in a Monster Card Zone, you can place it face-up in your Spell & Trap Card Zone as a Continuous Spell Card instead of sending it to the Graveyard.",0.01,0.25,1.98,0.13,,1st Edition
