productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
224346,Genesis Impact Booster Pack [1st Edition],Genesis Impact Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/224346_200w.jpg,2,2679,https://cpt.tcgcsv.com/XLP2,2020-12-18T05:03:12.03,1,Each pack contains 7 cards.,083717851530,1.6,2.48,5.0,2.24,,Normal,,,,,,,,,
224347,Genesis Impact Booster Box [1st Edition],Genesis Impact Booster Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/224347_200w.jpg,2,2679,https://cpt.tcgcsv.com/ZLP2,2020-12-18T05:03:12.03,1,Each box contains 24 packs of 7 cards each.,083717851530,37.06,40.0,69.99,37.36,,Normal,,,,,,,,,
228626,"Crowley, the Magistus of Grimoires",Crowley the Magistus of Grimoires,https://tcgplayer-cdn.tcgplayer.com/product/228626_200w.jpg,2,2679,https://cpt.tcgcsv.com/xsR2,2024-07-26T19:17:09.683,1,"You can send 1 Spellcaster monster from your hand or face-up field to the GY; Special Summon this card from your hand. You can declare 1 Attribute; this card becomes that Attribute until the end of this turn. You can banish this card from your GY, then target 1 ""Magistus"" monster you control; equip it with 1 ""Magistus"" monster from your GY, except a Level 4 monster. You can only use each effect of ""Crowley, the Magistus of Grimoires"" once per turn.",,0.05,0.25,2.99,0.2,0.16,1st Edition,GEIM-EN001,Super Rare,DARK,Spellcaster,Effect Monster,1800,1000,,
228627,"Zoroa, the Magistus of Flame",Zoroa the Magistus of Flame,https://tcgplayer-cdn.tcgplayer.com/product/228627_200w.jpg,2,2679,https://cpt.tcgcsv.com/zsR2,2022-07-18T09:29:50.137,1,"You can target 1 ""Magistus"" monster you control; equip it with 1 ""Magistus"" monster from your Extra Deck. If this card becomes equipped with a ""Magistus"" Monster Card: You can Special Summon 1 Level 4 Spellcaster monster from your hand or GY in Defense Position, except ""Zoroa, the Magistus of Flame"", but its effects are negated. You can only use each effect of ""Zoroa, the Magistus of Flame"" once per turn.",,8.0,12.0,44.87,12.01,15.09,1st Edition,GEIM-EN002,Ultra Rare,FIRE,Spellcaster,Tuner/Effect Monster,1500,1500,,
228628,"Rilliona, the Magistus of Verre",Rilliona the Magistus of Verre,https://tcgplayer-cdn.tcgplayer.com/product/228628_200w.jpg,2,2679,https://cpt.tcgcsv.com/BsR2,2024-07-26T19:17:09.73,1,"If this card is Normal or Special Summoned: You can activate 1 of these effects;
<br>• Add 1 ""Magistus"" Spell/Trap from your Deck to your hand.
<br>• Return 1 of your banished Level 4 or lower Spellcaster monsters to your GY.
You can banish this card from your GY, then target 1 ""Magistus"" monster you control; equip it with 1 ""Magistus"" monster from your GY, except a Level 4 monster.
<br>You can only use each effect of ""Rilliona, the Magistus of Verre"" once per turn.",,0.2,1.0,20.95,0.73,1.19,1st Edition,GEIM-EN003,Ultra Rare,LIGHT,Spellcaster,Effect Monster,800,1800,,
228629,"Endymion, the Magistus of Mastery",Endymion the Magistus of Mastery,https://tcgplayer-cdn.tcgplayer.com/product/228629_200w.jpg,2,2679,https://cpt.tcgcsv.com/CsR2,2025-07-24T20:16:22.477,1,"You can target 1 ""Magistus"" monster you control; equip it with 1 ""Magistus"" monster from your Extra Deck. You can target 1 face-up Spell you control; destroy it, and if you do, draw 1 card, then place 1 card from your hand on the bottom of the Deck. You can only use each effect of ""Endymion, the Magistus of Mastery"" once per turn.",,0.03,0.19,1.49,0.17,0.08,1st Edition,GEIM-EN004,Rare,WATER,Spellcaster,Effect Monster,1300,1700,,
228630,"Aiwass, the Magistus Spell Spirit",Aiwass the Magistus Spell Spirit,https://tcgplayer-cdn.tcgplayer.com/product/228630_200w.jpg,2,2679,https://cpt.tcgcsv.com/DsR2,2024-07-26T19:17:09.807,1,"1 ""Magistus"" monster + 1 Spellcaster monster
<br>While this card is an Equip Card, the equipped monster gains 1000 ATK/DEF. During the Main Phase (Quick Effect): You can target 1 other face-up monster on the field; equip this card you control to it. If this card was equipped to an opponent's monster by this effect, take control of the equipped monster, also it cannot activate its effects. You can only use this effect of ""Aiwass, the Magistus Spell Spirit"" once per turn.",,0.15,0.4,1.99,0.38,0.28,1st Edition,GEIM-EN005,Super Rare,WIND,Fiend,Fusion/Effect Monster,2000,2800,,
228631,"Vahram, the Magistus Divinity Dragon",Vahram the Magistus Divinity Dragon,https://tcgplayer-cdn.tcgplayer.com/product/228631_200w.jpg,2,2679,https://cpt.tcgcsv.com/FsR2,2024-07-26T19:17:09.87,1,"1 Tuner + 1+ non-Tuner monsters
<br>While this card is an Equip Card, the equipped monster cannot be destroyed by your opponent's Spell/Trap effects. You can only use each of the following effects of ""Vahram, the Magistus Divinity Dragon"" once per turn. If this Synchro Summoned card is destroyed: You can destroy all face-up cards your opponent controls. At the start of the Damage Step, if the monster this card is equipped to battles an opponent's monster: You can destroy that opponent's monster.",,0.05,0.26,2.0,0.22,0.24,1st Edition,GEIM-EN006,Super Rare,FIRE,Dragon,Synchro/Effect Monster,2500,2900,,
228632,"Ninaruru, the Magistus Glass Goddess",Ninaruru the Magistus Glass Goddess,https://tcgplayer-cdn.tcgplayer.com/product/228632_200w.jpg,2,2679,https://cpt.tcgcsv.com/GsR2,2020-12-18T05:03:12.03,1,"2 Level 4 Spellcaster monsters
<br>While this card is an Equip Card, the equipped monster can make up to 2 attacks on monsters during each Battle Phase. You can only use each of the following effects of ""Ninaruru, the Magistus Glass Goddess"" once per turn. You can detach 1 material from this card, then target 1 Level 4 or higher Spellcaster monster in your GY; add it to your hand. While this card is equipped to a monster: You can target 1 ""Magistus"" card in your Spell & Trap Zone and 1 Spell/Trap your opponent controls; destroy them.",,0.05,0.25,1.99,0.21,0.19,1st Edition,GEIM-EN007,Super Rare,EARTH,Rock,Xyz/Effect Monster,1800,2400,,
228633,"Ninaruru, the Magistus Glass Goddess (CR)",Ninaruru the Magistus Glass Goddess CR,https://tcgplayer-cdn.tcgplayer.com/product/228633_200w.jpg,2,2679,https://cpt.tcgcsv.com/HsR2,2024-12-29T01:33:42.867,1,"2 Level 4 Spellcaster monsters
<br>While this card is an Equip Card, the equipped monster can make up to 2 attacks on monsters during each Battle Phase. You can only use each of the following effects of ""Ninaruru, the Magistus Glass Goddess"" once per turn. You can detach 1 material from this card, then target 1 Level 4 or higher Spellcaster monster in your GY; add it to your hand. While this card is equipped to a monster: You can target 1 ""Magistus"" card in your Spell & Trap Zone and 1 Spell/Trap your opponent controls; destroy them.",,22.74,32.49,49.99,21.72,,1st Edition,GEIM-EN007,Collector's Rare,EARTH,Rock,Xyz/Effect Monster,1800,2400,,
