productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
260853,Ghosts From the Past: The 2nd Haunting Pack [1st Edition],Ghosts From the Past The 2nd Haunting Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/260853_200w.jpg,2,3011,https://cpt.tcgcsv.com/5m63,2022-05-06T04:03:30.457,1,Each pack contains 5 cards.,083717856245,3.96,5.88,7.2,4.97,,Normal,,,,,,,,,
260854,Ghosts From the Past: The 2nd Haunting Mini Box [1st Edition],Ghosts From the Past The 2nd Haunting Mini Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/260854_200w.jpg,2,3011,https://cpt.tcgcsv.com/6m63,2022-05-06T04:03:30.457,1,Each box contains 4 packs with 5 cards each.,083717856252,15.99,21.22,25.0,20.46,,Normal,,,,,,,,,
260911,Ghosts From the Past: The 2nd Haunting Display [1st Edition],Ghosts From the Past The 2nd Haunting Display 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/260911_200w.jpg,2,3011,https://cpt.tcgcsv.com/fn63,2022-05-06T04:03:30.457,1,Features 5 Ghosts From the Past: The 2nd Haunting Mini Boxes. Each box contains 4 packs with 5 cards each.,083717856269,72.5,93.5,200.0,92.35,,Normal,,,,,,,,,
269244,Crystal Beast Rainbow Dragon,Crystal Beast Rainbow Dragon,https://tcgplayer-cdn.tcgplayer.com/product/269244_200w.jpg,2,3011,https://cpt.tcgcsv.com/VJ93,2024-07-26T19:18:12.527,1,"If this face-up card is destroyed in a Monster Zone, you can place it face-up in your Spell & Trap Zone as a Continuous Spell, instead of sending it to the GY. You can only use each of the following effects of ""Crystal Beast Rainbow Dragon"" once per turn. When an attack is declared involving a ""Crystal Beast"" monster: You can Special Summon this card from your hand. You can banish this card treated as a Continuous Spell; Special Summon 1 Level 4 or lower ""Crystal Beast"" monster from your Deck, but negate its effects, and if you do, add 1 ""Ultimate Crystal"" monster from your Deck to your hand.",,0.07,0.25,87.99,0.15,0.15,1st Edition,GFP2-EN001,Ultra Rare,LIGHT,Dragon,Effect Monster,3000,0,,
269245,D/D/D Vice King Requiem,D D D Vice King Requiem,https://tcgplayer-cdn.tcgplayer.com/product/269245_200w.jpg,2,3011,https://cpt.tcgcsv.com/WJ93,2022-05-06T04:03:30.457,1,"<strong>Pendulum Effect:</strong> You can target any number of ""Dark Contract"" cards you control; destroy them, and if you do, Special Summon this card from your Pendulum Zone, then you can increase or decrease its Level by the number destroyed. You can only use this effect of ""D/D/D Vice King Requiem"" once per turn.
<br>
<strong>Monster Effect:</strong> You cannot Special Summon monsters, except ""D/D/D"" monsters. A ""D/D/D"" monster that was Fusion, Synchro, Xyz, or Link Summoned using this card on the field as material gains the following effect.
<br>• Once per turn: You can target 1 card on the field; shuffle 1 ""Dark Contract"" card from your field or GY into the Deck, and if you do, destroy that target, then gain 1000 LP.
You can only use this effect of ""D/D/D Vice King Requiem"" once per turn.",,0.01,0.27,4.99,0.25,0.24,1st Edition,GFP2-EN002,Ultra Rare,DARK,Fiend,Pendulum/Effect Monster,2800,2000,,
269246,Elemental HERO Neos Kluger,Elemental HERO Neos Kluger,https://tcgplayer-cdn.tcgplayer.com/product/269246_200w.jpg,2,3011,https://cpt.tcgcsv.com/XJ93,2022-05-06T04:03:30.457,1,"""Elemental HERO Neos"" + ""Yubel""
<br>Must be Fusion Summoned. Before damage calculation, if this card battles an opponent's monster: You can inflict damage to your opponent equal to that opponent's monster's ATK. If this face-up card is destroyed by battle, or leaves the field because of an opponent's card effect while its owner controls it: You can Special Summon 1 ""Neos Wiseman"" from your hand or Deck, ignoring its Summoning conditions. You can only use this effect of ""Elemental HERO Neos Kluger"" once per turn.",,0.08,0.3,7.99,0.25,0.22,1st Edition,GFP2-EN003,Ultra Rare,LIGHT,Spellcaster,Fusion/Effect Monster,3000,2500,,
269247,Odd-Eyes Rebellion Dragon Overlord,Odd Eyes Rebellion Dragon Overlord,https://tcgplayer-cdn.tcgplayer.com/product/269247_200w.jpg,2,3011,https://cpt.tcgcsv.com/ZJ93,2022-05-06T04:03:30.457,1,"<strong>Pendulum Effect:</strong> Once per turn: You can Special Summon this card from your Pendulum Zone, then Special Summon from your Extra Deck, 1 ""Rebellion"" or ""The Phantom Knights"" monster, using this card as material (this is treated as an Xyz Summon), then you can attach 1 card from your Pendulum Zone to it as material.
<br>
<strong>Monster Effect: 2 Level 7 monsters
<br>You can also Xyz Summon this card by using a ""Rebellion"" Xyz Monster you control as material. (Transfer its materials to this card.) If you can Pendulum Summon Level 7, you can Pendulum Summon this face-up card from your Extra Deck. This card that was Xyz Summoned using a Rank 7 Xyz Monster as material can make up to 3 attacks during each Battle Phase. If this card in the Monster Zone is destroyed: You can place this card in your Pendulum Zone. You can only Special Summon ""Odd-Eyes Rebellion Dragon Overlord(s)"" once per turn.",,0.1,0.4,19.99,0.28,0.37,1st Edition,GFP2-EN004,Ultra Rare,DARK,Dragon,Xyz/Pendulum/Effect Monster,3000,2500,,
269248,Decode Talker Heatsoul,Decode Talker Heatsoul,https://tcgplayer-cdn.tcgplayer.com/product/269248_200w.jpg,2,3011,https://cpt.tcgcsv.com/-J93,2022-05-06T04:03:30.457,1,"2+ Cyberse monsters with different Attributes
Gains 500 ATK for each monster it points to. (Quick Effect): You can pay 1000 LP; draw 1 card, then if your LP are 2000 or less, you can apply this effect.
<br>? Banish this card from the field, and if you do, Special Summon 1 Link-3 or lower Cyberse monster from your Extra Deck, except ""Decode Talker Heatsoul"".
You can only use this effect of ""Decode Talker Heatsoul"" once per turn.",,0.01,0.3,24.99,0.15,0.14,1st Edition,GFP2-EN005,Ultra Rare,FIRE,Cyberse,Link/Effect Monster,2300,,3,Bottom-Right;Bottom-Left
269249,Borrelend Dragon,Borrelend Dragon,https://tcgplayer-cdn.tcgplayer.com/product/269249_200w.jpg,2,3011,https://cpt.tcgcsv.com/_J93,2024-07-26T19:18:12.557,1,"3+ Effect Monsters
<br>Cannot be destroyed by battle or card effects, also neither player can target this card with monster effects. This card can attack all monsters your opponent controls, once each. (Quick Effect): You can target 1 Effect Monster on the field and 1 ""Rokket"" monster in your GY; negate the effects of that monster on the field, and if you do, Special Summon that other monster from your GY. Your opponent cannot activate cards or effects in response to this effect's activation. You can only use this effect of ""Borrelend Dragon"" once per turn.",,0.05,0.35,20.0,0.18,0.16,1st Edition,GFP2-EN006,Ultra Rare,DARK,Dragon,Link/Effect Monster,3500,,5,Bottom-Right;Left;Bottom-Left;Top;Right
269250,Majesty Hyperion,Majesty Hyperion,https://tcgplayer-cdn.tcgplayer.com/product/269250_200w.jpg,2,3011,https://cpt.tcgcsv.com/0K93,2024-07-26T19:18:12.62,1,"You can Special Summon this card (from your hand or GY) by banishing 1 ""The Agent"" monster from your hand, field, or GY. You can only Special Summon ""Majesty Hyperion"" once per turn this way. Any battle damage you take from battles involving your Fairy monsters is also inflicted to your opponent. Once per turn: You can banish 1 Fairy monster from your hand or GY, then target 1 card in either GY; banish it. If ""The Sanctuary in the Sky"" is on the field or in either GY, you can use this effect up to twice per turn.",,0.03,0.25,5.07,0.15,0.1,1st Edition,GFP2-EN007,Ultra Rare,DARK,Fairy,Effect Monster,2100,2700,,
