productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC
26247,Gladiator Beast Octavius,Gladiator Beast Octavius,https://tcgplayer-cdn.tcgplayer.com/product/26247_200w.jpg,2,210,https://cpt.tcgcsv.com/Zvd,2024-03-28T16:49:29.313,1,GLAS-EN000,Secret Rare,Light,Winged Beast,Effect Monster,2500,1200,"When this card is Special Summoned by the effect of a ""Gladiator Beast"" monster, destroy 1 face-down Spell or Trap Card.  At the end of your Battle Phase, if this card attacked or was attacked, return this card to your Deck unless you discard 1 card.",22.17,23.01,23.85,15.86,,Unlimited,
26247,Gladiator Beast Octavius,Gladiator Beast Octavius,https://tcgplayer-cdn.tcgplayer.com/product/26247_200w.jpg,2,210,https://cpt.tcgcsv.com/Zvd,2024-03-28T16:49:29.313,1,GLAS-EN000,Secret Rare,Light,Winged Beast,Effect Monster,2500,1200,"When this card is Special Summoned by the effect of a ""Gladiator Beast"" monster, destroy 1 face-down Spell or Trap Card.  At the end of your Battle Phase, if this card attacked or was attacked, return this card to your Deck unless you discard 1 card.",22.41,27.82,38.98,29.69,,1st Edition,
26248,Chamberlain of the Six Samurai,Chamberlain of the Six Samurai,https://tcgplayer-cdn.tcgplayer.com/product/26248_200w.jpg,2,210,https://cpt.tcgcsv.com/-vd,2024-03-28T16:49:29.36,1,GLAS-EN001,Common,Earth,Warrior,Normal Monster,200,2000,"The Six Samurai are supported from the shadows by this silent, mysterious warrior. His past is unknown to them, but his countless scars are proof of his experience.",0.16,0.22,0.99,0.2,,Unlimited,
26248,Chamberlain of the Six Samurai,Chamberlain of the Six Samurai,https://tcgplayer-cdn.tcgplayer.com/product/26248_200w.jpg,2,210,https://cpt.tcgcsv.com/-vd,2024-03-28T16:49:29.36,1,GLAS-EN001,Common,Earth,Warrior,Normal Monster,200,2000,"The Six Samurai are supported from the shadows by this silent, mysterious warrior. His past is unknown to them, but his countless scars are proof of his experience.",0.1,0.25,1.46,0.28,,1st Edition,
26249,Cloudian - Smoke Ball,Cloudian Smoke Ball,https://tcgplayer-cdn.tcgplayer.com/product/26249_200w.jpg,2,210,https://cpt.tcgcsv.com/_vd,2024-03-28T16:49:29.407,1,GLAS-EN002,Common,Water,Fairy,Normal Monster,200,600,"Smoke Balls are newly born Cloudians.  They fear being alone, and would rather swing and sway in the sky with their friends.",0.18,0.43,1.52,0.41,,Unlimited,
26249,Cloudian - Smoke Ball,Cloudian Smoke Ball,https://tcgplayer-cdn.tcgplayer.com/product/26249_200w.jpg,2,210,https://cpt.tcgcsv.com/_vd,2024-03-28T16:49:29.407,1,GLAS-EN002,Common,Water,Fairy,Normal Monster,200,600,"Smoke Balls are newly born Cloudians.  They fear being alone, and would rather swing and sway in the sky with their friends.",0.12,0.5,9.0,0.5,,1st Edition,
26250,Evil Hero Malicious Edge,Evil Hero Malicious Edge,https://tcgplayer-cdn.tcgplayer.com/product/26250_200w.jpg,2,210,https://cpt.tcgcsv.com/0wd,2024-03-28T16:49:29.447,1,GLAS-EN003,Super Rare,EARTH,Fiend,Effect Monster,2600,1800,"If your opponent controls a monster, you can Normal Summon this card with 1 Tribute. During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent.",3.09,4.9,9.99,3.09,,Unlimited,
26250,Evil Hero Malicious Edge,Evil Hero Malicious Edge,https://tcgplayer-cdn.tcgplayer.com/product/26250_200w.jpg,2,210,https://cpt.tcgcsv.com/0wd,2024-03-28T16:49:29.447,1,GLAS-EN003,Super Rare,EARTH,Fiend,Effect Monster,2600,1800,"If your opponent controls a monster, you can Normal Summon this card with 1 Tribute. During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent.",2.75,3.88,6.99,4.3,,1st Edition,
26251,Evil Hero Infernal Gainer,Evil Hero Infernal Gainer,https://tcgplayer-cdn.tcgplayer.com/product/26251_200w.jpg,2,210,https://cpt.tcgcsv.com/2wd,2024-03-28T16:49:29.507,1,GLAS-EN004,Rare,Earth,Fiend,Effect Monster,1600,0,"During your Main Phase 1, you can remove this card from play and select 1 face-up Fiend-Type monster you control.  That monster can attack twice during each Battle Phase. Special Summon this card in face-up Attack Position during your second Standby Phase after you activate this effect.",0.5,0.65,4.99,0.65,,Unlimited,
26251,Evil Hero Infernal Gainer,Evil Hero Infernal Gainer,https://tcgplayer-cdn.tcgplayer.com/product/26251_200w.jpg,2,210,https://cpt.tcgcsv.com/2wd,2024-03-28T16:49:29.507,1,GLAS-EN004,Rare,Earth,Fiend,Effect Monster,1600,0,"During your Main Phase 1, you can remove this card from play and select 1 face-up Fiend-Type monster you control.  That monster can attack twice during each Battle Phase. Special Summon this card in face-up Attack Position during your second Standby Phase after you activate this effect.",0.45,1.1,5.0,1.1,,1st Edition,
26252,Cloudian - Eye of the Typhoon,Cloudian Eye of the Typhoon,https://tcgplayer-cdn.tcgplayer.com/product/26252_200w.jpg,2,210,https://cpt.tcgcsv.com/3wd,2024-03-28T16:49:29.533,1,GLAS-EN005,Super Rare,WIND,Aqua,Effect Monster,3000,1000,"This card cannot be destroyed by battle. If this card is in face-up Defense Position, destroy it. When this card declares an attacks, change the battle positions of all face-up monsters, except ""Cloudian"" monsters.",0.2,0.51,2.5,0.51,,Unlimited,
26252,Cloudian - Eye of the Typhoon,Cloudian Eye of the Typhoon,https://tcgplayer-cdn.tcgplayer.com/product/26252_200w.jpg,2,210,https://cpt.tcgcsv.com/3wd,2024-03-28T16:49:29.533,1,GLAS-EN005,Super Rare,WIND,Aqua,Effect Monster,3000,1000,"This card cannot be destroyed by battle. If this card is in face-up Defense Position, destroy it. When this card declares an attacks, change the battle positions of all face-up monsters, except ""Cloudian"" monsters.",0.25,0.6,4.99,0.46,,1st Edition,
26253,Cloudian - Ghost Fog,Cloudian Ghost Fog,https://tcgplayer-cdn.tcgplayer.com/product/26253_200w.jpg,2,210,https://cpt.tcgcsv.com/5wd,2024-03-28T16:49:29.597,1,GLAS-EN006,Common,Water,Fiend,Effect Monster,0,0,"This card cannot be Special Summoned. All Battle Damage to either player from a battle involving this monster becomes 0. If this card is destroyed by battle, distribute new Fog Counters equal to the Level of the monster that destroyed it among face-up monsters.",0.12,0.26,1.42,0.21,,Unlimited,
26253,Cloudian - Ghost Fog,Cloudian Ghost Fog,https://tcgplayer-cdn.tcgplayer.com/product/26253_200w.jpg,2,210,https://cpt.tcgcsv.com/5wd,2024-03-28T16:49:29.597,1,GLAS-EN006,Common,Water,Fiend,Effect Monster,0,0,"This card cannot be Special Summoned. All Battle Damage to either player from a battle involving this monster becomes 0. If this card is destroyed by battle, distribute new Fog Counters equal to the Level of the monster that destroyed it among face-up monsters.",0.1,0.3,1.58,0.26,,1st Edition,
26254,Cloudian - Nimbusman,Cloudian Nimbusman,https://tcgplayer-cdn.tcgplayer.com/product/26254_200w.jpg,2,210,https://cpt.tcgcsv.com/6wd,2024-03-28T16:49:29.643,1,GLAS-EN007,Common,Water,Fairy,Effect Monster,1000,1000,"This card cannot be destroyed by battle. If this card is in face-up Defense Position, destroy it.  You can Tribute any number of WATER monsters for the Tribute Summon of this card.  When this card is Tribute Summoned, place 1 Fog Counter on it for each WATER monster you Tributed. This card gains 500 ATK for each Fog Counter on the field.",0.1,0.31,1.99,0.26,,Unlimited,
26254,Cloudian - Nimbusman,Cloudian Nimbusman,https://tcgplayer-cdn.tcgplayer.com/product/26254_200w.jpg,2,210,https://cpt.tcgcsv.com/6wd,2024-03-28T16:49:29.643,1,GLAS-EN007,Common,Water,Fairy,Effect Monster,1000,1000,"This card cannot be destroyed by battle. If this card is in face-up Defense Position, destroy it.  You can Tribute any number of WATER monsters for the Tribute Summon of this card.  When this card is Tribute Summoned, place 1 Fog Counter on it for each WATER monster you Tributed. This card gains 500 ATK for each Fog Counter on the field.",0.15,0.43,1.49,0.28,,1st Edition,
26255,Cloudian - Sheep Cloud,Cloudian Sheep Cloud,https://tcgplayer-cdn.tcgplayer.com/product/26255_200w.jpg,2,210,https://cpt.tcgcsv.com/7wd,2024-03-28T16:49:29.69,1,GLAS-EN008,Super Rare,WATER,Fairy,Effect Monster,0,0,"When this card is destroyed by battle and sent to the Graveyard, Special Summon 2 ""Cloudian Tokens"" (Fairy-Type/WATER/Level 1/ATK 0/DEF 0) in Defense Position. These Tokens cannot be Tributed for a Tribute Summon, unless it is for a ""Cloudian"" monsters.",0.45,0.69,2.23,0.51,,Unlimited,
