productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extDescription,extUPC
35456,Mist Valley Watcher,Mist Valley Watcher,https://tcgplayer-cdn.tcgplayer.com/product/35456_200w.jpg,2,216,https://cpt.tcgcsv.com/8cj,2024-03-28T16:50:09.59,1,GLD3-EN001,Common,WIND,Spellcaster,Normal Monster,1500,1900,0.15,0.25,0.98,0.25,,Limited,,
35457,Vice Dragon,Vice Dragon,https://tcgplayer-cdn.tcgplayer.com/product/35457_200w.jpg,2,216,https://cpt.tcgcsv.com/9cj,2024-03-28T16:50:09.65,1,GLD3-EN002,Gold Rare,DARK,Dragon,Effect Monster,2000,2400,0.35,0.88,20.0,0.65,,Limited,"If your opponent controls a monster and you control no monsters, you can Special Summon this card from your hand. If you do, its original ATK and DEF are halved.",
35458,Amazoness Archer,Amazoness Archer,https://tcgplayer-cdn.tcgplayer.com/product/35458_200w.jpg,2,216,https://cpt.tcgcsv.com/bcj,2024-03-28T16:50:09.713,1,GLD3-EN003,Common,EARTH,Warrior,Effect Monster,1400,1000,0.5,0.69,9.99,0.73,,Limited,You can Tribute 2 monsters you control to inflict 1200 damage to your opponent.,
35459,Amazoness Paladin,Amazoness Paladin,https://tcgplayer-cdn.tcgplayer.com/product/35459_200w.jpg,2,216,https://cpt.tcgcsv.com/ccj,2024-03-28T16:50:09.807,1,GLD3-EN004,Common,EARTH,Warrior,Effect Monster,1700,300,0.26,0.5,2.13,0.38,,Limited,"Increase the ATK of this monster by 100 points for each monster on your side of the field that includes ""Amazoness"" in its card name, or is named ""Amazon Archer"".",
35460,Amazoness Fighter,Amazoness Fighter,https://tcgplayer-cdn.tcgplayer.com/product/35460_200w.jpg,2,216,https://cpt.tcgcsv.com/dcj,2024-03-28T16:50:09.867,1,GLD3-EN005,Common,EARTH,Warrior,Effect Monster,1500,1300,0.2,0.5,2.0,0.53,,Limited,All Battle Damage to this card's controller that he/she takes from a battle involving this monster becomes 0.,
35461,Amazoness Swords Woman,Amazoness Swords Woman,https://tcgplayer-cdn.tcgplayer.com/product/35461_200w.jpg,2,216,https://cpt.tcgcsv.com/fcj,2024-03-28T16:50:09.917,1,GLD3-EN006,Common,EARTH,Warrior,Effect Monster,1500,1600,0.21,0.74,2.89,0.36,,Limited,The opponent takes all Battle Damage to this card's controller that he/she would have taken from a battle involving this card.,
35462,Amazoness Blowpiper,Amazoness Blowpiper,https://tcgplayer-cdn.tcgplayer.com/product/35462_200w.jpg,2,216,https://cpt.tcgcsv.com/gcj,2024-03-28T16:50:09.98,1,GLD3-EN007,Common,EARTH,Warrior,Effect Monster,800,1500,0.12,0.49,1.98,0.47,,Limited,Select 1 face-up monster on your opponent's side of the field during each of your Standby Phases. Decrease the ATK of the selected monster by 500 points until the end of this turn.,
35463,Amazoness Tiger,Amazoness Tiger,https://tcgplayer-cdn.tcgplayer.com/product/35463_200w.jpg,2,216,https://cpt.tcgcsv.com/hcj,2024-03-28T16:50:10.04,1,GLD3-EN008,Common,EARTH,Beast,Effect Monster,1100,1500,0.2,0.5,1.98,0.48,,Limited,"You can only have 1 ""Amazoness Tiger"" on your side of the field. Increase the ATK of this card by 400 points for each monster on your side of the field that includes ""Amazoness"" in its name, or is named ""Amazon Archer"". As long as this card remains face-u",
35464,Destiny HERO - Malicious,Destiny HERO Malicious,https://tcgplayer-cdn.tcgplayer.com/product/35464_200w.jpg,2,216,https://cpt.tcgcsv.com/jcj,2024-03-28T16:50:10.113,1,GLD3-EN009,Common,DARK,Warrior,Effect Monster,800,800,0.3,0.86,130.0,0.43,,Limited,"You can remove this card in your Graveyard from play to select and Special Summon 1 ""Destiny Hero - Malicious"" from your Deck.",
35465,"Freya, Spirit of Victory",Freya Spirit of Victory,https://tcgplayer-cdn.tcgplayer.com/product/35465_200w.jpg,2,216,https://cpt.tcgcsv.com/kcj,2024-03-28T16:50:10.177,1,GLD3-EN010,Common,LIGHT,Fairy,Effect Monster,100,100,0.22,0.47,1.0,0.47,,Limited,"While you control a Fairy-Type monster(s) other than ""Freya, Spirit of Victory"", this card cannot be selected as an attack target. All Fairy-Type monsters you control gain 400 ATK and DEF.",
35466,Nova Summoner,Nova Summoner,https://tcgplayer-cdn.tcgplayer.com/product/35466_200w.jpg,2,216,https://cpt.tcgcsv.com/lcj,2024-03-28T16:50:10.317,1,GLD3-EN011,Common,LIGHT,Fairy,Effect Monster,1400,800,0.9,1.08,4.0,1.1,,Limited,"When this card is destroyed by battle and sent to the Graveyard, you can Special Summon 1 LIGHT Fairy-Type monster with 1500 or less ATK from the Deck. If ""The Sanctuary in the Sky"" is on the field, you can Special Summon 1 ""Airknight Parshath"" instead.",
35467,Exploder Dragon,Exploder Dragon,https://tcgplayer-cdn.tcgplayer.com/product/35467_200w.jpg,2,216,https://cpt.tcgcsv.com/mcj,2024-03-28T16:50:10.44,1,GLD3-EN012,Gold Rare,EARTH,Dragon,Effect Monster,1000,0,0.7,1.0,7.73,1.06,,Limited,"When this card is destroyed by battle and sent to the Graveyard, destroy the monster that destroyed it. While this card is attacking, any Battle Damage either player takes from a battle involving this card becomes 0.",
35468,Goblin Zombie,Goblin Zombie,https://tcgplayer-cdn.tcgplayer.com/product/35468_200w.jpg,2,216,https://cpt.tcgcsv.com/ncj,2024-03-28T16:50:10.563,1,GLD3-EN013,Common,DARK,Zombie,Effect Monster,1100,1050,0.35,0.75,2.83,0.63,,Limited,"When this card inflicts Battle Damage to your opponent, send the top card of their Deck to the Graveyard. When this card is sent from the field to the Graveyard, add 1 Zombie-Type monster with 1200 or less DEF from your Deck to your hand.",
35469,Elemental Hero Prisma,Elemental Hero Prisma,https://tcgplayer-cdn.tcgplayer.com/product/35469_200w.jpg,2,216,https://cpt.tcgcsv.com/pcj,2024-03-28T16:50:10.707,1,GLD3-EN014,Gold Rare,LIGHT,Warrior,Effect Monster,1700,1100,1.92,3.5,29.99,2.29,,Limited,"Once per turn, you can reveal 1 Fusion Monster from your Extra Deck and send 1 Fusion Material Monster listed on that card from your Deck to the Graveyard. Until the End Phase this card's name is treated as the sent monster's name.",
35470,Dimensional Alchemist,Dimensional Alchemist,https://tcgplayer-cdn.tcgplayer.com/product/35470_200w.jpg,2,216,https://cpt.tcgcsv.com/qcj,2024-03-28T16:50:10.827,1,GLD3-EN015,Gold Rare,LIGHT,Fairy,Effect Monster,1300,200,5.98,8.0,16.99,7.05,,Limited,"Once per turn, you can remove from play the top card of your Deck. This card gains 500 ATK until the End Phase. When this card is destroyed and sent from your side of the field to the Graveyard, you can select 1 of your removed from play monsters and retu",
35471,Judgment Dragon,Judgment Dragon,https://tcgplayer-cdn.tcgplayer.com/product/35471_200w.jpg,2,216,https://cpt.tcgcsv.com/rcj,2024-03-28T16:50:10.96,1,GLD3-EN016,Gold Rare,LIGHT,Dragon,Effect Monster,3000,2600,1.17,3.12,7.49,2.87,,Limited,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by having 4 or more ""Lightsworn"" monsters with different names in your Graveyard. You can pay 1000 Life Points to destroy all other cards on the field. During each of",
35472,Amazoness Chain Master,Amazoness Chain Master,https://tcgplayer-cdn.tcgplayer.com/product/35472_200w.jpg,2,216,https://cpt.tcgcsv.com/scj,2024-03-28T16:50:11.047,1,GLD3-EN017,Common,EARTH,Warrior,Effect Monster,1500,1300,0.29,0.5,1.54,0.41,,Limited,"When this card is destroyed by battle and sent to the Graveyard, you can pay 1500 Life Points to look at your opponent's hand, select 1 Monster Card in it, and add that card to your hand.",
35473,Mezuki,Mezuki,https://tcgplayer-cdn.tcgplayer.com/product/35473_200w.jpg,2,216,https://cpt.tcgcsv.com/tcj,2024-03-28T16:50:11.19,1,GLD3-EN018,Gold Rare,EARTH,Zombie,Effect Monster,1700,800,0.9,1.31,9.95,1.01,,Limited,You can remove from play this card from your Graveyard to Special Summon 1 Zombie-Type monster from your Graveyard.,
35474,Plaguespreader Zombie,Plaguespreader Zombie,https://tcgplayer-cdn.tcgplayer.com/product/35474_200w.jpg,2,216,https://cpt.tcgcsv.com/vcj,2024-03-28T16:50:11.313,1,GLD3-EN019,Gold Rare,DARK,Zombie,Tuner/Effect Monster,400,200,2.85,3.66,7.97,3.67,,Limited,"You can return 1 card from your hand to the top of the Deck to Special Summon this card from your Graveyard. If you do, remove this card from play when it is removed from the field.",
35475,Thunder King Rai-Oh,Thunder King Rai Oh,https://tcgplayer-cdn.tcgplayer.com/product/35475_200w.jpg,2,216,https://cpt.tcgcsv.com/wcj,2024-03-28T16:50:11.423,1,GLD3-EN020,Gold Rare,LIGHT,Thunder,Effect Monster,1900,800,4.17,9.42,20.0,6.84,,Limited,"Neither player can add cards from their Deck to their hand except by drawing them. You can send this face-up card to the Graveyard to negate the Special Summon of 1 of your opponent monsters, and destroy it.",
