productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extDescription,extUPC
47554,Millennium Shield,Millennium Shield,https://tcgplayer-cdn.tcgplayer.com/product/47554_200w.jpg,2,217,https://cpt.tcgcsv.com/62p,2024-03-28T16:51:10.85,1,GLD4-EN001,Common,EARTH,Warrior,Normal Monster,0,3000,0.3,0.72,4.99,0.49,,Limited,,
47555,Pendulum Machine,Pendulum Machine,https://tcgplayer-cdn.tcgplayer.com/product/47555_200w.jpg,2,217,https://cpt.tcgcsv.com/72p,2024-03-28T16:51:10.95,1,GLD4-EN002,Common,DARK,Machine,Normal Monster,1750,2000,0.25,0.4,0.99,0.47,,Limited,,
47556,The Wicked Worm Beast,The Wicked Worm Beast,https://tcgplayer-cdn.tcgplayer.com/product/47556_200w.jpg,2,217,https://cpt.tcgcsv.com/82p,2024-03-28T16:51:11.03,1,GLD4-EN003,Common,EARTH,Beast,Effect Monster,1400,700,0.22,0.42,0.99,0.4,,Limited,This face-up card on the field is returned to the owner's hand during the End Phase of your turn.,
47557,Goddess with the Third Eye,Goddess with the Third Eye,https://tcgplayer-cdn.tcgplayer.com/product/47557_200w.jpg,2,217,https://cpt.tcgcsv.com/92p,2024-03-28T16:51:11.107,1,GLD4-EN004,Common,LIGHT,Fairy,Effect Monster,1200,1000,0.48,1.0,15.0,0.62,,Limited,"You can substitute this card for any 1 Fusion-Material Monster. When you do this, the other Fusion-Material Monster(s) must be the correct one(s).",
47558,Beastking of the Swamps,Beastking of the Swamps,https://tcgplayer-cdn.tcgplayer.com/product/47558_200w.jpg,2,217,https://cpt.tcgcsv.com/b2p,2024-03-28T16:51:11.153,1,GLD4-EN005,Common,WATER,Aqua,Effect Monster,1000,1100,2.75,3.68,9.99,3.37,,Limited,"You can substitute this card for any 1 Fusion-Material Monster. When you do this, the other Fusion-Material Monster(s) must be the correct one(s).",
47559,Versago the Destroyer,Versago the Destroyer,https://tcgplayer-cdn.tcgplayer.com/product/47559_200w.jpg,2,217,https://cpt.tcgcsv.com/c2p,2024-03-28T16:51:11.2,1,GLD4-EN006,Common,DARK,Fiend,Effect Monster,1100,900,0.6,1.99,4.99,1.4,,Limited,"You can substitute this card for any 1 Fusion-Material Monster. When you do this, the other Fusion-Material Monster(s) must be the correct one(s).",
47560,Morphing Jar,Morphing Jar,https://tcgplayer-cdn.tcgplayer.com/product/47560_200w.jpg,2,217,https://cpt.tcgcsv.com/d2p,2024-03-28T16:51:11.23,1,GLD4-EN007,Gold Rare,EARTH,Rock,Effect Monster,700,600,3.73,5.0,14.99,4.05,,Limited,"FLIP: Both players discard their hands, then draw 5 cards.",
47561,Goddess of Whim,Goddess of Whim,https://tcgplayer-cdn.tcgplayer.com/product/47561_200w.jpg,2,217,https://cpt.tcgcsv.com/f2p,2024-03-28T16:51:11.293,1,GLD4-EN008,Common,LIGHT,Fairy,Effect Monster,950,700,0.1,0.27,1.0,0.26,,Limited,Toss a coin and call Heads or Tails. Call it right and this card's ATK will be doubled during this turn. Call it wrong and it will be halved during this turn.,
47562,Injection Fairy Lily,Injection Fairy Lily,https://tcgplayer-cdn.tcgplayer.com/product/47562_200w.jpg,2,217,https://cpt.tcgcsv.com/g2p,2024-03-28T16:51:11.323,1,GLD4-EN009,Common,EARTH,Spellcaster,Effect Monster,400,1500,0.36,0.74,4.99,0.73,,Limited,"During the Damage Step when this card battles, you can pay 2000 Life Points to have this card gain 3000 ATK during the Damage Step only.",
47563,Gravekeeper's Spy,Gravekeepers Spy,https://tcgplayer-cdn.tcgplayer.com/product/47563_200w.jpg,2,217,https://cpt.tcgcsv.com/h2p,2024-03-28T16:51:11.37,1,GLD4-EN010,Gold Rare,DARK,Spellcaster,Effect Monster,1200,2000,1.83,2.84,11.83,2.75,,Limited,FLIP: Special Summon 1 Gravekeeper's monster with 1500 or less ATK from your Deck.,
47564,Spirit Reaper,Spirit Reaper,https://tcgplayer-cdn.tcgplayer.com/product/47564_200w.jpg,2,217,https://cpt.tcgcsv.com/j2p,2024-03-28T16:51:11.433,1,GLD4-EN011,Gold Rare,DARK,Zombie,Effect Monster,300,200,1.3,2.32,7.93,2.09,,Limited,"This card cannot be destroyed by battle. Destroy this card when it is targeted by the effect of a Spell, Trap, or Effect Monster. If this card successfully attacks directly, your opponent randomly discards 1 card.",
47565,Chaos Sorcerer,Chaos Sorcerer,https://tcgplayer-cdn.tcgplayer.com/product/47565_200w.jpg,2,217,https://cpt.tcgcsv.com/k2p,2024-03-28T16:51:11.493,1,GLD4-EN012,Gold Rare,DARK,Spellcaster,Effect Monster,2300,2000,6.22,11.1,26.95,11.14,,Limited,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned by banishing 1 LIGHT and 1 DARK monster in your Graveyard. Once per turn during your Main Phase, you can banish 1 face-up monster on the field. If you activate this effect, this card cannot attack during this turn.",
