productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
57386,Hidden Arsenal 5: Steelswarm Invasion - Booster Pack [1st Edition],Hidden Arsenal 5 Steelswarm Invasion Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/57386_200w.jpg,2,228,https://cpt.tcgcsv.com/LZs,2020-06-24T20:45:39.137,1,Each pack contains 9 cards.,4012927242490,5.48,5.48,5.48,6.65,,Normal,,,,,,,
57387,Hidden Arsenal 5: Steelswarm Invasion - Booster Box [1st Edition],Hidden Arsenal 5 Steelswarm Invasion Booster Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/57387_200w.jpg,2,228,https://cpt.tcgcsv.com/MZs,2020-06-24T20:45:55.473,1,Each box contains 24 packs with 9 cards each.,083717888239,75.0,88.99,94.97,89.9,,Normal,,,,,,,
57389,Gem-Knight Garnet,Gem Knight Garnet,https://tcgplayer-cdn.tcgplayer.com/product/57389_200w.jpg,2,228,https://cpt.tcgcsv.com/PZs,2024-03-28T16:55:31.197,1,The Gem-Knight Warrior who carries the Garnet Soul. His flaming Iron Fist crushes all enemies.,,1.62,2.89,4.15,1.51,,Unlimited,HA05-EN001,Super Rare,EARTH,Pyro,Normal Monster,1900,0
57389,Gem-Knight Garnet,Gem Knight Garnet,https://tcgplayer-cdn.tcgplayer.com/product/57389_200w.jpg,2,228,https://cpt.tcgcsv.com/PZs,2024-03-28T16:55:31.197,1,The Gem-Knight Warrior who carries the Garnet Soul. His flaming Iron Fist crushes all enemies.,,1.45,3.0,9.74,4.65,,1st Edition,HA05-EN001,Super Rare,EARTH,Pyro,Normal Monster,1900,0
57390,Gem-Knight Sapphire,Gem Knight Sapphire,https://tcgplayer-cdn.tcgplayer.com/product/57390_200w.jpg,2,228,https://cpt.tcgcsv.com/QZs,2024-03-28T16:55:31.23,1,His Sapphire power commands the waters to protect him from attack. His comrades trust his silent protection.,,0.93,0.93,0.93,1.56,,Unlimited,HA05-EN002,Super Rare,EARTH,Aqua,Normal Monster,0,2100
57390,Gem-Knight Sapphire,Gem Knight Sapphire,https://tcgplayer-cdn.tcgplayer.com/product/57390_200w.jpg,2,228,https://cpt.tcgcsv.com/QZs,2024-03-28T16:55:31.23,1,His Sapphire power commands the waters to protect him from attack. His comrades trust his silent protection.,,0.6,1.65,4.99,1.61,,1st Edition,HA05-EN002,Super Rare,EARTH,Aqua,Normal Monster,0,2100
57391,Gem-Knight Tourmaline,Gem Knight Tourmaline,https://tcgplayer-cdn.tcgplayer.com/product/57391_200w.jpg,2,228,https://cpt.tcgcsv.com/RZs,2024-03-28T16:55:31.307,1,He channels mystic energies and changes them into fighting strength through the power of Tourmaline. Many admire his way of life.,,1.0,1.24,1.95,1.14,,Unlimited,HA05-EN003,Super Rare,EARTH,Thunder,Normal Monster,1600,1800
57391,Gem-Knight Tourmaline,Gem Knight Tourmaline,https://tcgplayer-cdn.tcgplayer.com/product/57391_200w.jpg,2,228,https://cpt.tcgcsv.com/RZs,2024-03-28T16:55:31.307,1,He channels mystic energies and changes them into fighting strength through the power of Tourmaline. Many admire his way of life.,,0.5,1.02,3.52,1.02,,1st Edition,HA05-EN003,Super Rare,EARTH,Thunder,Normal Monster,1600,1800
57392,Gem-Knight Alexandrite,Gem Knight Alexandrite,https://tcgplayer-cdn.tcgplayer.com/product/57392_200w.jpg,2,228,https://cpt.tcgcsv.com/SZs,2024-03-28T16:55:31.34,1,"You can Tribute this card to Special Summon 1 ""Gem-Knight"" Normal Monster from your Deck.",,1.0,1.56,2.11,1.0,,Unlimited,HA05-EN004,Secret Rare,EARTH,Rock,Effect Monster,1800,1200
57392,Gem-Knight Alexandrite,Gem Knight Alexandrite,https://tcgplayer-cdn.tcgplayer.com/product/57392_200w.jpg,2,228,https://cpt.tcgcsv.com/SZs,2024-03-28T16:55:31.34,1,"You can Tribute this card to Special Summon 1 ""Gem-Knight"" Normal Monster from your Deck.",,0.24,1.14,13.34,1.16,,1st Edition,HA05-EN004,Secret Rare,EARTH,Rock,Effect Monster,1800,1200
57393,Gem-Armadillo,Gem Armadillo,https://tcgplayer-cdn.tcgplayer.com/product/57393_200w.jpg,2,228,https://cpt.tcgcsv.com/TZs,2024-03-28T16:55:31.387,1,"When this card is Normal Summoned: You can add to your hand 1 ""Gem-Knight"" monster from your Deck.",,5.0,5.74,9.18,8.63,,Unlimited,HA05-EN005,Secret Rare,EARTH,Rock,Effect Monster,1700,500
57393,Gem-Armadillo,Gem Armadillo,https://tcgplayer-cdn.tcgplayer.com/product/57393_200w.jpg,2,228,https://cpt.tcgcsv.com/TZs,2024-03-28T16:55:31.387,1,"When this card is Normal Summoned: You can add to your hand 1 ""Gem-Knight"" monster from your Deck.",,3.99,8.82,30.0,8.84,,1st Edition,HA05-EN005,Secret Rare,EARTH,Rock,Effect Monster,1700,500
57394,Gem-Merchant,Gem Merchant,https://tcgplayer-cdn.tcgplayer.com/product/57394_200w.jpg,2,228,https://cpt.tcgcsv.com/VZs,2024-03-28T16:55:31.417,1,"During the Damage Step, in either player's turn, when a face-up EARTH Normal Monster you control attacks or is attacked: You can send this card from your hand to the Graveyard; that monster gains 1000 ATK and DEF until the End Phase.",,0.15,0.33,1.99,0.16,,Unlimited,HA05-EN006,Super Rare,EARTH,Spellcaster,Effect Monster,1000,1000
57394,Gem-Merchant,Gem Merchant,https://tcgplayer-cdn.tcgplayer.com/product/57394_200w.jpg,2,228,https://cpt.tcgcsv.com/VZs,2024-03-28T16:55:31.417,1,"During the Damage Step, in either player's turn, when a face-up EARTH Normal Monster you control attacks or is attacked: You can send this card from your hand to the Graveyard; that monster gains 1000 ATK and DEF until the End Phase.",,0.08,0.25,1.44,0.18,,1st Edition,HA05-EN006,Super Rare,EARTH,Spellcaster,Effect Monster,1000,1000
57395,Laval Miller,Laval Miller,https://tcgplayer-cdn.tcgplayer.com/product/57395_200w.jpg,2,228,https://cpt.tcgcsv.com/WZs,2024-03-28T16:55:31.447,1,"When this card is destroyed by battle and sent to the Graveyard: You can send 2 ""Laval"" monsters from your Deck to the Graveyard.",,0.11,0.2,0.75,0.15,,Unlimited,HA05-EN007,Super Rare,FIRE,Pyro,Effect Monster,300,400
57395,Laval Miller,Laval Miller,https://tcgplayer-cdn.tcgplayer.com/product/57395_200w.jpg,2,228,https://cpt.tcgcsv.com/WZs,2024-03-28T16:55:31.447,1,"When this card is destroyed by battle and sent to the Graveyard: You can send 2 ""Laval"" monsters from your Deck to the Graveyard.",,0.1,0.28,2.0,0.2,,1st Edition,HA05-EN007,Super Rare,FIRE,Pyro,Effect Monster,300,400
57396,Soaring Eagle Above the Searing Land,Soaring Eagle Above the Searing Land,https://tcgplayer-cdn.tcgplayer.com/product/57396_200w.jpg,2,228,https://cpt.tcgcsv.com/XZs,2024-03-28T16:55:31.503,1,"If this card is sent to the Graveyard for a Synchro Summon: You can Special Summon this card. You must have 3 or more ""Laval"" monsters with different names in your Graveyard to activate and resolve this effect. If this card is Special Summoned with this effect, banish it when it leaves the field.",,0.1,0.37,1.99,,,Unlimited,HA05-EN008,Super Rare,FIRE,Winged Beast,Tuner Monster,100,0
57396,Soaring Eagle Above the Searing Land,Soaring Eagle Above the Searing Land,https://tcgplayer-cdn.tcgplayer.com/product/57396_200w.jpg,2,228,https://cpt.tcgcsv.com/XZs,2024-03-28T16:55:31.503,1,"If this card is sent to the Graveyard for a Synchro Summon: You can Special Summon this card. You must have 3 or more ""Laval"" monsters with different names in your Graveyard to activate and resolve this effect. If this card is Special Summoned with this effect, banish it when it leaves the field.",,0.09,0.29,5.0,0.15,,1st Edition,HA05-EN008,Super Rare,FIRE,Winged Beast,Tuner Monster,100,0
57397,Laval Warrior,Laval Warrior,https://tcgplayer-cdn.tcgplayer.com/product/57397_200w.jpg,2,228,https://cpt.tcgcsv.com/ZZs,2024-03-28T16:55:31.543,1,"When this card destroys an opponent's monster by battle, inflict damage to your opponent equal to the original ATK of the destroyed monster. You must have 4 or more ""Laval"" monsters with different names in your Graveyard to activated and to resolve this effect.",,0.16,0.25,1.66,0.25,,Unlimited,HA05-EN009,Super Rare,FIRE,Warrior,Effect Monster,1800,500
57397,Laval Warrior,Laval Warrior,https://tcgplayer-cdn.tcgplayer.com/product/57397_200w.jpg,2,228,https://cpt.tcgcsv.com/ZZs,2024-03-28T16:55:31.543,1,"When this card destroys an opponent's monster by battle, inflict damage to your opponent equal to the original ATK of the destroyed monster. You must have 4 or more ""Laval"" monsters with different names in your Graveyard to activated and to resolve this effect.",,0.1,0.26,2.0,0.23,,1st Edition,HA05-EN009,Super Rare,FIRE,Warrior,Effect Monster,1800,500
57398,"Prominence, Molten Swordsman",Prominence Molten Swordsman,https://tcgplayer-cdn.tcgplayer.com/product/57398_200w.jpg,2,228,https://cpt.tcgcsv.com/-Zs,2024-03-28T16:55:31.607,1,"Once per turn, during either player's turn: You can banish 1 ""Laval"" monster from your Graveyard; this card gains 300 ATK until the End Phase.",,0.2,0.62,0.99,0.05,,Unlimited,HA05-EN010,Super Rare,FIRE,Beast-Warrior,Effect Monster,1800,600
57398,"Prominence, Molten Swordsman",Prominence Molten Swordsman,https://tcgplayer-cdn.tcgplayer.com/product/57398_200w.jpg,2,228,https://cpt.tcgcsv.com/-Zs,2024-03-28T16:55:31.607,1,"Once per turn, during either player's turn: You can banish 1 ""Laval"" monster from your Graveyard; this card gains 300 ATK until the End Phase.",,0.05,0.25,1.99,0.14,,1st Edition,HA05-EN010,Super Rare,FIRE,Beast-Warrior,Effect Monster,1800,600
57399,Laval Forest Sprite,Laval Forest Sprite,https://tcgplayer-cdn.tcgplayer.com/product/57399_200w.jpg,2,228,https://cpt.tcgcsv.com/_Zs,2024-03-28T16:55:31.653,1,"When this card is sent from the field to the Graveyard: All face-up ""Laval"" monsters you currently control gain 200 ATK for each ""Laval"" monster in your Graveyard, until the End Phase.",,0.14,0.6,1.0,0.14,,Unlimited,HA05-EN011,Super Rare,FIRE,Pyro,Effect Monster,300,200
57399,Laval Forest Sprite,Laval Forest Sprite,https://tcgplayer-cdn.tcgplayer.com/product/57399_200w.jpg,2,228,https://cpt.tcgcsv.com/_Zs,2024-03-28T16:55:31.653,1,"When this card is sent from the field to the Graveyard: All face-up ""Laval"" monsters you currently control gain 200 ATK for each ""Laval"" monster in your Graveyard, until the End Phase.",,0.16,0.37,4.0,0.26,,1st Edition,HA05-EN011,Super Rare,FIRE,Pyro,Effect Monster,300,200
57400,"Kayenn, the Master Magma Blacksmith",Kayenn the Master Magma Blacksmith,https://tcgplayer-cdn.tcgplayer.com/product/57400_200w.jpg,2,228,https://cpt.tcgcsv.com/0-s,2024-03-28T16:55:31.713,1,"You can banish this card from your Graveyard; all face-up ""Laval monsters your currently control gain 400 ATK.",,0.2,0.41,1.51,0.1,,Unlimited,HA05-EN012,Super Rare,FIRE,Rock,Effect Monster,1200,200
57400,"Kayenn, the Master Magma Blacksmith",Kayenn the Master Magma Blacksmith,https://tcgplayer-cdn.tcgplayer.com/product/57400_200w.jpg,2,228,https://cpt.tcgcsv.com/0-s,2024-03-28T16:55:31.713,1,"You can banish this card from your Graveyard; all face-up ""Laval monsters your currently control gain 400 ATK.",,0.05,0.28,1.39,0.14,,1st Edition,HA05-EN012,Super Rare,FIRE,Rock,Effect Monster,1200,200
