productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extCardType,extMonsterType,extAttack,extDefense,extLinkRating,extLinkArrows
176961,Hidden Summoners Booster Box,Hidden Summoners Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/176961_200w.jpg,2,2343,https://cpt.tcgcsv.com/fPq2,2018-10-18T11:09:49.31,1,Each Hidden Summoners booster box contains 24 packs of 5 random cards.,48.0,74.48,94.95,53.69,,Normal,,,,,,,,,
176962,Hidden Summoners Booster Pack,Hidden Summoners Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/176962_200w.jpg,2,2343,https://cpt.tcgcsv.com/gPq2,2018-10-18T11:09:56.963,1,Each Hidden Summoners booster pack contains 5 random cards.,2.5,4.9,8.89,,,Normal,,,,,,,,,
180305,Awakening of Nephthys,Awakening of Nephthys,https://tcgplayer-cdn.tcgplayer.com/product/180305_200w.jpg,2,2343,https://cpt.tcgcsv.com/78s2,2024-07-26T19:24:24.193,1,"All ""Nephthys"" monsters you control gain 300 ATK. If this face-up card is the Spell & Trap Zone is destroyed by card effect and sent to the GY: You can Special Summon 1 ""Nephthys"" monster from your hand, Deck, or GY, but destroy it during the End Phase. You can only use this effect of ""Awakening of Nephthys"" once per turn.",0.05,0.25,1.38,0.21,0.07,1st Edition,HISU-EN011,Super Rare,TRAP,Continuous Trap,,,,,
180306,Chronicler of Nephthys,Chronicler of Nephthys,https://tcgplayer-cdn.tcgplayer.com/product/180306_200w.jpg,2,2343,https://cpt.tcgcsv.com/88s2,2024-07-26T19:24:24.24,1,"You can target 1 ""Nephthys"" card in your GY, except for ""Chronicler of Nephthys""; destroy 1 card in your hand, and if you do, add that target to your hand. During your next Standby Phase after this card was destroyed by card effect and sent to the GY: You can add 1 ""Nephthys"" card from your GY to your hand, except ""Chronicler of Nephthys"". You can only use each effect of ""Chronicler of Nephthys"" once per turn.",0.07,0.3,2.0,0.2,0.2,1st Edition,HISU-EN003,Super Rare,WIND,Effect Monster,Spellcaster,300,1200,,
180307,Circle of the Fire Kings,Circle of the Fire Kings,https://tcgplayer-cdn.tcgplayer.com/product/180307_200w.jpg,2,2343,https://cpt.tcgcsv.com/98s2,2018-11-15T18:45:47.62,1,"Target 1 FIRE monster you control and 1 FIRE monster in your GY; destroy that monster you control, and if you do, Special Summon that other monster from your GY. You can only activate 1 ""Circle of the Fire Kings"" per turn.",0.09,0.41,1.71,0.32,,1st Edition,HISU-EN056,Super Rare,SPELL,Quick-Play Spell,,,,,
180308,De-Synchro,De Synchro,https://tcgplayer-cdn.tcgplayer.com/product/180308_200w.jpg,2,2343,https://cpt.tcgcsv.com/b8s2,2024-07-26T19:24:24.333,1,"Target 1 Synchro Monster on the field; return that target to the Extra Deck, then, if all of the monsters that were used for the Syncro Summon of that monster are in your GY, you can Special Summon all of them.",0.1,0.34,1.49,0.22,,1st Edition,HISU-EN044,Super Rare,SPELL,Normal Spell,,,,,
180309,Defender of Nephthys,Defender of Nephthys,https://tcgplayer-cdn.tcgplayer.com/product/180309_200w.jpg,2,2343,https://cpt.tcgcsv.com/c8s2,2024-07-26T19:24:24.49,1,"During your Main Phase: You can destroy 1 card in your hand, and if you do, Special Summon 1 Level 4 or lower ""Nephthys"" monster from your hand, except ""Defender of Nephthys"". During your next Standby Phase after this card was destroyed by card effect and sent to the GY: You can destroy 1 ""Nephthys"" monster in your Deck, except ""Defender of Nephthys"". You can only use each effect of ""Defender of Nephthys"" once per turn.",0.1,0.3,2.0,0.23,0.18,1st Edition,HISU-EN004,Super Rare,WIND,Effect Monster,Spellcaster,1400,200,,
180310,Flash Fusion,Flash Fusion,https://tcgplayer-cdn.tcgplayer.com/product/180310_200w.jpg,2,2343,https://cpt.tcgcsv.com/d8s2,2024-07-26T19:24:24.52,1,"Fusion Summon 1 Fusion Monster from your Extra Deck, using monsters you control as Fusion Material. Destroy it during the End Phase.",0.05,0.26,1.49,0.15,,1st Edition,HISU-EN057,Super Rare,SPELL,Quick-Play Spell,,,,,
180311,Fulfillment of the Contract,Fulfillment of the Contract,https://tcgplayer-cdn.tcgplayer.com/product/180311_200w.jpg,2,2343,https://cpt.tcgcsv.com/f8s2,2024-07-26T19:24:24.693,1,"Activate this card by paying 800 LP, then target 1 Ritual Monster in your GY; Special Summon it and equip it with this card. When this card is destroyed, banish the equipped monster.",0.02,0.25,1.49,0.23,,1st Edition,HISU-EN052,Super Rare,SPELL,Equip Spell,,,,,
180312,Fusion Recycling Plant,Fusion Recycling Plant,https://tcgplayer-cdn.tcgplayer.com/product/180312_200w.jpg,2,2343,https://cpt.tcgcsv.com/g8s2,2018-11-15T18:47:19.693,1,"Once per turn: You can discard 1 card; add 1  ""Polymerization"" from your Deck or GY to your hand. Once per turn, during the End Phase: You can target 1 monster in your GY that was used as a Fusion Material for a Fusion Summon this turn; add it to your hand.",0.1,0.31,1.88,0.23,0.13,1st Edition,HISU-EN058,Super Rare,SPELL,Field Spell,,,,,
180313,Gozen Match,Gozen Match,https://tcgplayer-cdn.tcgplayer.com/product/180313_200w.jpg,2,2343,https://cpt.tcgcsv.com/h8s2,2021-11-10T16:26:00.14,1,Each player can only control 1 attribute of monster. Send all other face-up monster they control to the GY.,0.1,0.99,10.0,0.5,0.45,1st Edition,HISU-EN060,Super Rare,TRAP,Continuous Trap,,,,,
180314,Hand of Nephthys,Hand of Nephthys,https://tcgplayer-cdn.tcgplayer.com/product/180314_200w.jpg,2,2343,https://cpt.tcgcsv.com/j8s2,2024-07-26T19:24:24.803,1,"You can Tribute this card and 1 other monster: Special Summon 1 ""Sacred Phoenix of Nephthys"" from your hand or Deck.",0.09,0.3,1.41,0.28,0.15,1st Edition,HISU-EN013,Super Rare,WIND,Effect Monster,Spellcaster,600,600,,
180315,Last Hope of Nephthys,Last Hope of Nephthys,https://tcgplayer-cdn.tcgplayer.com/product/180315_200w.jpg,2,2343,https://cpt.tcgcsv.com/k8s2,2018-11-15T18:50:48.45,1,"Target 1 other ""Nephthys"" card you control and 1 card your opponent controls; destroy them. You can only activate 1 ""Last Hope of Nephthys"" per turn.",0.08,0.25,10.17,0.18,0.15,1st Edition,HISU-EN010,Super Rare,SPELL,Normal Spell,,,,,
180316,Manju of the Ten Thousand Hands,Manju of the Ten Thousand Hands,https://tcgplayer-cdn.tcgplayer.com/product/180316_200w.jpg,2,2343,https://cpt.tcgcsv.com/l8s2,2024-07-26T19:24:24.847,1,When this card is Normal or Flip Summoned: You can add 1 Ritual Monster or 1 Ritual Spell from your Deck to your hand.,0.15,0.93,4.5,0.93,,1st Edition,HISU-EN047,Super Rare,LIGHT,Effect Monster,Fairy,1400,1000,,
