productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
478084,Invasion of Chaos Booster Pack (25th Anniversary Edition),Invasion of Chaos Booster Pack 25th Anniversary Edition,https://tcgplayer-cdn.tcgplayer.com/product/478084_200w.jpg,2,23056,https://cpt.tcgcsv.com/JfR5,2023-04-21T04:04:56.53,1,"For years, you could only get your hands on these coveted packs as part of the Legendary Collection, but now, just in time to celebrate the 25th anniversary of the card game, they’re being made available as a standalone booster!
<br>
<br>Invasion of Chaos unleashed a variety of powerful cards that rewarded Duelists who packed their Decks with LIGHT and DARK Attribute monsters. The legendary Black Luster Soldier – Envoy of the Beginning and Chaos Emperor Dragon – Envoy of the End dominated Duels and the Spell-retrieving Dark Magician of Chaos joined them thanks to the incredibly powerful Dimension Fusion Spell Card! This printing will feature both Secret Rares from the set.
<br>
<br>Each Invasion of Chaos Booster Pack (25th Anniversary Edition) contains 9 cards.",083717885146,3.0,3.95,27.45,3.43,,Normal,,,,,,,
487111,Chaos Emperor Dragon - Envoy of the End,Chaos Emperor Dragon Envoy of the End,https://tcgplayer-cdn.tcgplayer.com/product/487111_200w.jpg,2,23056,https://cpt.tcgcsv.com/fSV5,2023-04-24T21:26:28.093,1,Effect: This card can only be Special Summoned by removing 1 LIGHT and 1 DARK monster in your Graveyard from play. Pay 1000 of your Life Points to send all cards in both players' hands and on the field to the Graveyard. Inflict 300 points of damage to your opponent's Life Points for each card that is sent to the Graveyard by this effect.,,4.6,7.0,505.44,6.09,9.99,Unlimited,IOC-EN000,Secret Rare,DARK,Dragon,Effect Monster,3000,2500
487112,Ojama Yellow,Ojama Yellow,https://tcgplayer-cdn.tcgplayer.com/product/487112_200w.jpg,2,23056,https://cpt.tcgcsv.com/gSV5,2023-04-24T21:28:03.24,1,"<em>He's one of the Ojama Trio. It's said that he butts in by any means necessary. It's also said that when the three are together, something happens.</em>",,0.01,0.2,2.9,0.18,0.18,Unlimited,IOC-EN001,Common,LIGHT,Beast,Normal Monster,0,1000
487113,Ojama Black,Ojama Black,https://tcgplayer-cdn.tcgplayer.com/product/487113_200w.jpg,2,23056,https://cpt.tcgcsv.com/hSV5,2023-04-24T21:28:05.193,1,"<em>He's one of the Ojama Trio. It's said that he butts in by any means necessary. It's also said that when the three are together, something happens.</em>",,0.09,0.25,1.01,0.24,0.25,Unlimited,IOC-EN002,Common,LIGHT,Beast,Normal Monster,0,1000
487117,Soul Tiger,Soul Tiger,https://tcgplayer-cdn.tcgplayer.com/product/487117_200w.jpg,2,23056,https://cpt.tcgcsv.com/mSV5,2023-04-24T21:28:06.973,1,<em>The soul of a tiger that is said to devour human souls. He is a famous soul that you wouldn't want to run into in a dark alley.</em>,,0.05,0.15,0.99,0.09,0.08,Unlimited,IOC-EN003,Common,EARTH,Beast,Normal Monster,0,2100
487124,Big Koala,Big Koala,https://tcgplayer-cdn.tcgplayer.com/product/487124_200w.jpg,2,23056,https://cpt.tcgcsv.com/vSV5,2023-04-24T21:28:08.74,1,"<em>A species of huge Des Koala. He's meek, but people are afraid of him because he's very powerful.</em>",,0.04,0.15,1.36,0.13,,Unlimited,IOC-EN004,Common,EARTH,Beast,Normal Monster,2700,2000
487125,Des Kangaroo,Des Kangaroo,https://tcgplayer-cdn.tcgplayer.com/product/487125_200w.jpg,2,23056,https://cpt.tcgcsv.com/wSV5,2024-07-26T19:29:55.767,1,"Effect: When the ATK of a monster that attacks this monster is lower than the DEF of this monster, destroy the attacking monster. Damage calculation is applied normally.",,0.02,0.19,0.99,0.11,,Unlimited,IOC-EN005,Common,DARK,Beast,Effect Monster,1500,1700
487127,Crimson Ninja,Crimson Ninja,https://tcgplayer-cdn.tcgplayer.com/product/487127_200w.jpg,2,23056,https://cpt.tcgcsv.com/zSV5,2024-07-26T19:29:55.813,1,"Flip: Select 1 Trap Card on the field and destroy it. If the selected card is Set, pick up and see the card. If it is a Trap Card, it is destroyed. If it is a Spell Card, return it to its original position.",,0.01,0.13,0.83,0.11,,Unlimited,IOC-EN006,Common,EARTH,Warrior,Normal Monster,300,300
487128,Strike Ninja,Strike Ninja,https://tcgplayer-cdn.tcgplayer.com/product/487128_200w.jpg,2,23056,https://cpt.tcgcsv.com/BSV5,2023-04-24T21:28:14.827,1,Effect: You can remove this card from play until the End Phase of this turn by removing 2 DARK monsters in your Graveyard from play. You can use this effect during either player's turn. You can only use this effect once per turn.,,2.5,4.27,49.97,3.54,4.64,Unlimited,IOC-EN007,Ultra Rare,DARK,Warrior,Effect Monster,1700,1200
487129,Gale Lizard,Gale Lizard,https://tcgplayer-cdn.tcgplayer.com/product/487129_200w.jpg,2,23056,https://cpt.tcgcsv.com/CSV5,2024-07-26T19:29:55.86,1,FLIP: Select 1 Monster Card on you opponent's side of the field and return it to its owner's hand.,,0.04,0.15,0.99,0.14,,Unlimited,IOC-EN008,Common,WATER,Reptile,Effect Monster,1400,700
487130,Spirit of the Pot of Greed,Spirit of the Pot of Greed,https://tcgplayer-cdn.tcgplayer.com/product/487130_200w.jpg,2,23056,https://cpt.tcgcsv.com/DSV5,2024-07-26T19:29:55.893,1,"Effect: When this card is in face-up Attack Position on the field, if a player activates ""Pot of Greed"", he/she can draw 1 more card.",,0.05,0.2,1.16,0.16,,Unlimited,IOC-EN009,Common,LIGHT,Fairy,Effect Monster,100,100
487131,Chopman the Desperate Outlaw,Chopman the Desperate Outlaw,https://tcgplayer-cdn.tcgplayer.com/product/487131_200w.jpg,2,23056,https://cpt.tcgcsv.com/FSV5,2024-07-26T19:29:55.953,1,"Effect: When this card is Flip Summoned successfully, you can equip 1 Equip Spell Card in your Graveyard to this card.",,0.01,0.12,1.32,0.09,0.04,Unlimited,IOC-EN010,Common,DARK,Zombie,Effect Monster,1100,500
487132,Sasuke Samurai #3,Sasuke Samurai 3,https://tcgplayer-cdn.tcgplayer.com/product/487132_200w.jpg,2,23056,https://cpt.tcgcsv.com/GSV5,2023-04-24T21:30:49.923,1,"Effect: When this card inflicts Battle Damage to your opponent's Life Points, your opponent draws cards until his/her hand has 7 cards.",,0.05,0.19,1.07,0.12,0.25,Unlimited,IOC-EN011,Rare,LIGHT,Warrior,Effect Monster,1000,1000
487133,D.D. Scout Plane,DD Scout Plane,https://tcgplayer-cdn.tcgplayer.com/product/487133_200w.jpg,2,23056,https://cpt.tcgcsv.com/HSV5,2024-07-26T19:29:56,1,"Effect: If this card is removed from play, Special Summon this card in face-up Attack Position on your side of the field during the End Phase of this turn.",,0.25,0.69,5.48,0.65,0.87,Unlimited,IOC-EN012,Super Rare,DARK,Machine,Effect Monster,800,1200
487134,Berserk Gorilla,Berserk Gorilla,https://tcgplayer-cdn.tcgplayer.com/product/487134_200w.jpg,2,23056,https://cpt.tcgcsv.com/JSV5,2023-04-24T21:30:50.85,1,"Effect: If this card is in face-up Defense Position on the field, destroy this card. The controller of this card must attack with this card when possible.",,0.5,0.84,2.1,0.74,0.84,Unlimited,IOC-EN013,Rare,EARTH,Beast,Effect Monster,2000,1000
487135,Freed the Brave Wanderer,Freed the Brave Wanderer,https://tcgplayer-cdn.tcgplayer.com/product/487135_200w.jpg,2,23056,https://cpt.tcgcsv.com/KSV5,2024-02-21T16:39:12.047,1,Effect: Remove 2 LIGHT monsters in your Graveyard from play to destroy 1 face-up monster on the field with higher ATK than this card. You can only use this effect once per turn.,,0.5,1.47,3.98,1.58,3.98,Unlimited,IOC-EN014,Super Rare,LIGHT,Warrior,Effect Monster,1700,1200
487136,Coach Goblin,Coach Goblin,https://tcgplayer-cdn.tcgplayer.com/product/487136_200w.jpg,2,23056,https://cpt.tcgcsv.com/LSV5,2024-07-26T19:29:56.03,1,"Effect: As long as this card remains face-up on your side of the field, you can return 1 Normal Monster Card in your hand to the bottom of your Deck during your End Phase to draw 1 card from your Deck. You can only use this effect once per turn.",,0.01,0.1,0.74,0.06,,Unlimited,IOC-EN015,Common,EARTH,Fiend,Effect Monster,1200,1500
487137,Witch Doctor of Chaos,Witch Doctor of Chaos,https://tcgplayer-cdn.tcgplayer.com/product/487137_200w.jpg,2,23056,https://cpt.tcgcsv.com/MSV5,2024-07-26T19:29:56.093,1,FLIP: Select 1 Monster Card from you or your opponent's Graveyard. Remove it from play.,,0.01,0.15,1.34,0.1,,Unlimited,IOC-EN016,Common,DARK,Spellcaster,Effect Monster,500,500
487138,Chaos Necromancer,Chaos Necromancer,https://tcgplayer-cdn.tcgplayer.com/product/487138_200w.jpg,2,23056,https://cpt.tcgcsv.com/NSV5,2023-04-24T21:30:54.027,1,Effect: The ATK of this card becomes the number of Monster Cards in your Graveyard x 300 points.,,0.01,0.16,1.07,0.15,0.15,Unlimited,IOC-EN017,Common,DARK,Fiend,Effect Monster,0,0
487139,Chaosrider Gustaph,Chaosrider Gustaph,https://tcgplayer-cdn.tcgplayer.com/product/487139_200w.jpg,2,23056,https://cpt.tcgcsv.com/PSV5,2024-07-26T19:29:56.157,1,Effect: You can remove up to 2 Spell Cards in your Graveyard from play to increase the ATK of this monster by 300 points for each card removed from play until the end of your opponent's next turn. This effect can only be used once during your turn.,,0.15,0.6,8.99,0.6,4.95,Unlimited,IOC-EN018,Super Rare,WIND,Warrior,Effect Monster,1400,1500
487140,Inferno,Inferno,https://tcgplayer-cdn.tcgplayer.com/product/487140_200w.jpg,2,23056,https://cpt.tcgcsv.com/QSV5,2023-04-24T21:30:55.597,1,"Effect: This card can only be Special Summoned by removing 1 FIRE monster in your Graveyard from play. When this card destroys an opponent's monster and sends it to the Graveyard as a result of battle, inflict 1500 points of damage to your opponent's Life Points.",,0.01,0.15,1.43,0.16,0.16,Unlimited,IOC-EN019,Common,FIRE,Pyro,Effect Monster,1100,1900
487141,Fenrir,Fenrir,https://tcgplayer-cdn.tcgplayer.com/product/487141_200w.jpg,2,23056,https://cpt.tcgcsv.com/RSV5,2023-04-24T21:30:56.343,1,"Effect: This card can only be Special Summoned by removing 2 WATER monsters in your Graveyard from play. When this card destroys an opponent's monster as a result of battle, your opponent skips his/her next Draw Phase.",,0.02,0.15,0.99,0.11,0.1,Unlimited,IOC-EN020,Common,WATER,Beast,Effect Monster,1400,1200
487142,Gigantes,Gigantes,https://tcgplayer-cdn.tcgplayer.com/product/487142_200w.jpg,2,23056,https://cpt.tcgcsv.com/SSV5,2023-04-24T21:30:58.487,1,"Effect: This card can only be Special Summoned by removing 1 EARTH monster in your Graveyard from play. When this card is destroyed and sent to the Graveyard as a result of battle, destroy all Spell and Trap Cards on the field.",,0.14,0.25,1.34,0.24,0.35,Unlimited,IOC-EN021,Common,EARTH,Rock,Effect Monster,1900,1300
487143,Silpheed,Silpheed,https://tcgplayer-cdn.tcgplayer.com/product/487143_200w.jpg,2,23056,https://cpt.tcgcsv.com/TSV5,2023-04-24T21:30:58.173,1,"Effect: This card can only be Special Summoned by removing 1 WIND monster in your Graveyard from play. When this card is destroyed and sent to the Graveyard as a result of battle, your opponent discards 1 card randomly from his/her hand.",,0.01,0.11,0.94,0.11,0.05,Unlimited,IOC-EN022,Common,WIND,Fairy,Effect Monster,1700,700
487144,Chaos Sorcerer,Chaos Sorcerer,https://tcgplayer-cdn.tcgplayer.com/product/487144_200w.jpg,2,23056,https://cpt.tcgcsv.com/VSV5,2023-04-25T18:47:23.637,1,"Effect: This card can only be Special Summoned by removing 1 LIGHT and 1 DARK monster in your Graveyard from play. Once during each of your turns, you can remove 1 face-up monster on the field from play. If you activate this effect, this card cannot attack during this turn.",,0.2,0.49,1.36,0.45,0.74,Unlimited,IOC-EN023,Common,DARK,Spellcaster,Effect Monster,2300,2000
487145,Gren Maju Da Eiza,Gren Maju Da Eiza,https://tcgplayer-cdn.tcgplayer.com/product/487145_200w.jpg,2,23056,https://cpt.tcgcsv.com/WSV5,2024-07-26T19:29:56.467,1,Effect: The ATK and DEF of this card become the number of your cards removed from play x 400 points.,,0.05,0.25,1.43,0.18,0.17,Unlimited,IOC-EN024,Common,FIRE,Fiend,Effect Monster,,
487146,Black Luster Soldier - Envoy of the Beginning,Black Luster Soldier Envoy of the Beginning,https://tcgplayer-cdn.tcgplayer.com/product/487146_200w.jpg,2,23056,https://cpt.tcgcsv.com/XSV5,2023-04-25T18:47:25.293,1,"Cannot be Normal Summoned/Set. This card can only be Special Summoned (from your hand) by banishing 1 LIGHT and 1 DARK monster from your GY. Once per turn, you can activate 1 of these effects:
<br>• Target 1 monster on the field; banish it. This card cannot attack the turn this effect is activated.
<br>• If this attacking card destroys an opponent's monster by battle: it can make a second attack in a row.",,13.78,16.0,28.07,14.06,28.06,Unlimited,IOC-EN025,Ultra Rare,LIGHT,Warrior,Effect Monster,3000,2500
487148,Drillago,Drillago,https://tcgplayer-cdn.tcgplayer.com/product/487148_200w.jpg,2,23056,https://cpt.tcgcsv.com/-SV5,2023-04-25T18:47:26.22,1,"If the only cards on your opponent's side of the field are face-up monsters with ATK 1600 or more, this monster can attack your opponent's Life Points directly.",,0.08,0.2,1.6,0.16,0.45,Unlimited,IOC-EN026,Rare,DARK,Machine,Effect Monster,1600,1100
487150,Lekunga,Lekunga,https://tcgplayer-cdn.tcgplayer.com/product/487150_200w.jpg,2,23056,https://cpt.tcgcsv.com/0TV5,2023-04-25T18:47:27.197,1,"Effect: Remove 2 WATER monsters in your Graveyard from play to Special Summon 1 ""Lekunga Token"" (Plant-Type/WATER/2 Stars/ATK 700/DEF 700) in Attack Position on your side of the field.",,0.1,0.25,2.0,0.17,0.25,Unlimited,IOC-EN027,Rare,WATER,Plant,Effect Monster,1700,500
487151,Lord Poison,Lord Poison,https://tcgplayer-cdn.tcgplayer.com/product/487151_200w.jpg,2,23056,https://cpt.tcgcsv.com/2TV5,2023-04-25T18:47:27.947,1,"Effect: Then this card is destroyed and sent to the Graveyard as a result of battle, Special Summon 1 Plant-Type monster in your Graveyard except ""Lord Poison"" on your side of the field.",,0.09,0.19,0.75,0.19,,Unlimited,IOC-EN028,Common,WATER,Plant,Effect Monster,1500,1000
487152,Bowganian,Bowganian,https://tcgplayer-cdn.tcgplayer.com/product/487152_200w.jpg,2,23056,https://cpt.tcgcsv.com/3TV5,2023-04-25T18:47:28.83,1,"Effect: During each of your Standby Phases, inflict 600 points of damage to your opponent's Life Points.",,0.02,0.14,0.74,0.09,0.08,Unlimited,IOC-EN029,Common,DARK,Machine,Effect Monster,1300,1000
487153,Granadora,Granadora,https://tcgplayer-cdn.tcgplayer.com/product/487153_200w.jpg,2,23056,https://cpt.tcgcsv.com/5TV5,2023-04-25T18:47:29.627,1,"Effect: When this monster is Normal Summoned, Flip Summoned, or Special Summoned successfully, increase your Life Points by 1000 points. When this card is destroyed and sent to the Graveyard, you take 2000 points of damage.",,0.01,0.15,0.74,0.15,0.1,Unlimited,IOC-EN030,Common,WATER,Reptile,Effect Monster,1900,700
487154,Fuhma Shuriken,Fuhma Shuriken,https://tcgplayer-cdn.tcgplayer.com/product/487154_200w.jpg,2,23056,https://cpt.tcgcsv.com/6TV5,2023-04-25T18:47:30.567,1,"You can only equip this card to a monster that includes ""Ninja"" in its card name. Increase the ATK of the equipped monster by 700 points. When this card is sent from the field to the Graveyard, inflict 700 points of damage to your opponent's Life Points.",,0.05,0.2,1.07,0.15,,Unlimited,IOC-EN031,Rare,SPELL,,Normal Spell,0,0
487155,Heart of the Underdog,Heart of the Underdog,https://tcgplayer-cdn.tcgplayer.com/product/487155_200w.jpg,2,23056,https://cpt.tcgcsv.com/7TV5,2023-04-25T18:47:31.313,1,"During your Draw Phase, if the card you draw is a Normal Monster Card, you can draw 1 more card by showing the card to your opponent.",,0.1,0.36,1.49,0.35,,Unlimited,IOC-EN032,Common,SPELL,,Normal Spell,0,0
487156,Wild Nature's Release,Wild Natures Release,https://tcgplayer-cdn.tcgplayer.com/product/487156_200w.jpg,2,23056,https://cpt.tcgcsv.com/8TV5,2024-07-26T19:29:56.777,1,Increase the ATK of 1 face-up Beast-Type or Beast-Warrior-Type Monster on the field by an amount equal to its DEF. Destroy the monster during the End Phase.,,0.19,0.55,7.95,0.54,4.49,Unlimited,IOC-EN033,Super Rare,SPELL,,Normal Spell,0,0
487159,Ojama Delta Hurricane!!,Ojama Delta Hurricane,https://tcgplayer-cdn.tcgplayer.com/product/487159_200w.jpg,2,23056,https://cpt.tcgcsv.com/cTV5,2023-04-25T18:47:32.86,1,"You can only activate this card when ""Ojama Green"", ""Ojama Yellow"" and ""Ojama Black"" are face-up on your side of the field, Destroy all cards on your opponent's side of the field.",,0.05,0.16,1.15,0.15,,Unlimited,IOC-EN034,Common,SPELL,,Normal Spell,0,0
487160,Stumbling,Stumbling,https://tcgplayer-cdn.tcgplayer.com/product/487160_200w.jpg,2,23056,https://cpt.tcgcsv.com/dTV5,2023-04-25T18:47:33.54,1,"As long as this card remains face-up on the field, any monster that is Normal Summoned, Flip Summoned or Special Summoned successfully is changed to Defense Position.",,0.17,0.3,1.2,0.32,0.32,Unlimited,IOC-EN035,Common,SPELL,,Normal Spell,0,0
487161,Chaos End,Chaos End,https://tcgplayer-cdn.tcgplayer.com/product/487161_200w.jpg,2,23056,https://cpt.tcgcsv.com/fTV5,2023-04-25T18:47:34.253,1,You can only activate this card when 7 or more of your cards are removed from play. Destroy all Monster Cards on the field.,,0.01,0.14,1.35,0.13,0.05,Unlimited,IOC-EN036,Common,SPELL,,Normal Spell,0,0
487162,Yellow Luster Shield,Yellow Luster Shield,https://tcgplayer-cdn.tcgplayer.com/product/487162_200w.jpg,2,23056,https://cpt.tcgcsv.com/gTV5,2024-07-26T19:29:56.84,1,Increase the DEF of all monsters on your side of the field by 300 points.,,0.01,0.11,1.23,0.11,,Unlimited,IOC-EN037,Common,SPELL,,Normal Spell,0,0
487163,Chaos Greed,Chaos Greed,https://tcgplayer-cdn.tcgplayer.com/product/487163_200w.jpg,2,23056,https://cpt.tcgcsv.com/hTV5,2023-04-25T18:47:35.75,1,You can only activate this card when 4 or more of your cards are removed from play and there are no cards in your Graveyard. Draw 2 cards from your Deck.,,0.01,0.12,1.32,0.12,0.03,Unlimited,IOC-EN038,Common,SPELL,,Normal Spell,0,0
