productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
213512,Invasion of Chaos Booster Pack - Worldwide English [Unlimited Edition],Invasion of Chaos Booster Pack Worldwide English Unlimited Edition,https://tcgplayer-cdn.tcgplayer.com/product/213512_200w.jpg,2,22887,https://cpt.tcgcsv.com/gqK2,2022-12-22T21:54:37.903,1,Each Invasion of Chaos Booster Pack [Unlimited Edition] comes with 9 random cards in Unlimited Edition printing.,3.99,5.34,20.0,5.18,,Normal,,,,,,,
476916,Witch Doctor of Chaos,Witch Doctor of Chaos,https://tcgplayer-cdn.tcgplayer.com/product/476916_200w.jpg,2,22887,https://cpt.tcgcsv.com/lNQ5,2022-12-23T19:22:08.18,0,FLIP: Select 1 Monster Card from you or your opponent's Graveyard. Remove it from play.,0.1,0.1,0.1,,,Unlimited,IOC-EN016,Common,DARK,Spellcaster,Effect Monster,500,500
476917,Chaos Emperor Dragon - Envoy of the End,Chaos Emperor Dragon Envoy of the End,https://tcgplayer-cdn.tcgplayer.com/product/476917_200w.jpg,2,22887,https://cpt.tcgcsv.com/mNQ5,2022-12-23T19:24:15.73,1,Effect: This card can only be Special Summoned by removing 1 LIGHT and 1 DARK monster in your Graveyard from play. Pay 1000 of your Life Points to send all cards in both players' hands and on the field to the Graveyard. Inflict 300 points of damage to your opponent's Life Points for each card that is sent to the Graveyard by this effect.,49.12,50.49,57.63,49.87,,Unlimited,IOC-EN000,Secret Rare,DARK,Dragon,Effect Monster,3000,2500
476918,Ojama Yellow,Ojama Yellow,https://tcgplayer-cdn.tcgplayer.com/product/476918_200w.jpg,2,22887,https://cpt.tcgcsv.com/nNQ5,2022-12-23T19:24:47.397,1,,0.25,1.59,2.35,,,Unlimited,IOC-EN001,Common,LIGHT,Beast,Normal Monster,0,1000
476919,Ojama Black,Ojama Black,https://tcgplayer-cdn.tcgplayer.com/product/476919_200w.jpg,2,22887,https://cpt.tcgcsv.com/pNQ5,2022-12-23T19:26:06.647,1,,0.44,0.81,0.95,0.77,,Unlimited,IOC-EN002,Common,LIGHT,Beast,Normal Monster,0,1000
476920,Soul Tiger,Soul Tiger,https://tcgplayer-cdn.tcgplayer.com/product/476920_200w.jpg,2,22887,https://cpt.tcgcsv.com/qNQ5,2022-12-23T19:28:12.913,1,,0.95,0.96,0.96,0.65,,Unlimited,IOC-EN003,Common,EARTH,Beast,Normal Monster,0,2100
476921,Big Koala,Big Koala,https://tcgplayer-cdn.tcgplayer.com/product/476921_200w.jpg,2,22887,https://cpt.tcgcsv.com/rNQ5,2022-12-23T19:28:47.927,1,,0.16,0.87,2.0,,,Unlimited,IOC-EN004,Common,EARTH,Beast,Normal Monster,2700,2000
476923,Des Kangaroo,Des Kangaroo,https://tcgplayer-cdn.tcgplayer.com/product/476923_200w.jpg,2,22887,https://cpt.tcgcsv.com/tNQ5,2022-12-23T19:29:23.763,1,"Effect: When the ATK of a monster that attacks this monster is lower than the DEF of this monster, destroy the attacking monster. Damage calculation is applied normally.",0.38,1.39,2.44,,,Unlimited,IOC-EN005,Common,DARK,Beast,Effect Monster,1500,1700
476926,Crimson Ninja,Crimson Ninja,https://tcgplayer-cdn.tcgplayer.com/product/476926_200w.jpg,2,22887,https://cpt.tcgcsv.com/xNQ5,2022-12-23T19:33:13.103,1,"Flip: Select 1 Trap Card on the field and destroy it. If the selected card is Set, pick up and see the card. If it is a Trap Card, it is destroyed. If it is a Spell Card, return it to its original position.",0.2,1.49,1.55,1.0,,Unlimited,IOC-EN006,Common,EARTH,Warrior,Normal Monster,300,300
476927,Strike Ninja,Strike Ninja,https://tcgplayer-cdn.tcgplayer.com/product/476927_200w.jpg,2,22887,https://cpt.tcgcsv.com/zNQ5,2022-12-23T19:33:47.887,1,Effect: You can remove this card from play until the End Phase of this turn by removing 2 DARK monsters in your Graveyard from play. You can use this effect during either player's turn. You can only use this effect once per turn.,16.87,17.51,18.15,4.99,,Unlimited,IOC-EN007,Ultra Rare,DARK,Warrior,Effect Monster,1700,1200
