productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
152716,Official Judge Token: TKN4-EN015,Official Judge Token TKN4 EN015,https://tcgplayer-cdn.tcgplayer.com/product/152716_200w.jpg,2,2149,https://cpt.tcgcsv.com/l6f2,2025-05-05T20:32:25.797,1,TKN4-EN015,Super Rare,Token Monster,This card can be used as any Token.,3.99,12.98,30.0,5.72,,Unlimited
152717,Official Judge Token: TKN4-EN020,Official Judge Token TKN4 EN020,https://tcgplayer-cdn.tcgplayer.com/product/152717_200w.jpg,2,2149,https://cpt.tcgcsv.com/m6f2,2021-07-23T20:18:26.127,1,TKN4-EN020,Super Rare,Token Monster,This card can be used as any Token.,5.09,11.74,14.5,5.54,,Unlimited
152718,Official Judge Token: TKN4-EN021,Official Judge Token TKN4 EN021,https://tcgplayer-cdn.tcgplayer.com/product/152718_200w.jpg,2,2149,https://cpt.tcgcsv.com/n6f2,2021-07-23T20:18:32.467,1,TKN4-EN021,Super Rare,Token Monster,This card can be used as any Token.,5.49,36.99,54.99,,,Unlimited
152719,Official Judge Token: TKN4-EN022,Official Judge Token TKN4 EN022,https://tcgplayer-cdn.tcgplayer.com/product/152719_200w.jpg,2,2149,https://cpt.tcgcsv.com/p6f2,2021-07-23T20:18:38.86,1,TKN4-EN022,Super Rare,Token Monster,This card can be used as any Token.,6.82,7.5,7.9,7.28,,Unlimited
152720,Official Judge Token: TKN4-EN023,Official Judge Token TKN4 EN023,https://tcgplayer-cdn.tcgplayer.com/product/152720_200w.jpg,2,2149,https://cpt.tcgcsv.com/q6f2,2021-07-23T20:18:45.48,1,TKN4-EN023,Super Rare,Token Monster,This card can be used as any Token.,9.9,15.05,60.0,11.0,,Unlimited
152721,Official Judge Token: TKN4-EN026,Official Judge Token TKN4 EN026,https://tcgplayer-cdn.tcgplayer.com/product/152721_200w.jpg,2,2149,https://cpt.tcgcsv.com/r6f2,2021-07-23T20:18:51.657,1,TKN4-EN026,Super Rare,Token Monster,This card can be used as any Token.,4.96,7.36,10.38,6.36,,Unlimited
194593,Official Judge Field Center Token: Seal of Orichalcos (2019 UDS Qualifier),Official Judge Field Center Token Seal of Orichalcos 2019 UDS Qualifier,https://tcgplayer-cdn.tcgplayer.com/product/194593_200w.jpg,2,2149,https://cpt.tcgcsv.com/TRz2,2019-07-17T15:44:30.123,0,,Promo,Field Center,,34.95,41.06,199.99,36.3,,Limited
194594,Official Judge Field Center Token: Darklord Ixchel,Official Judge Field Center Token Darklord Ixchel,https://tcgplayer-cdn.tcgplayer.com/product/194594_200w.jpg,2,2149,https://cpt.tcgcsv.com/VRz2,2019-07-19T19:11:19.457,1,,Promo,Field Center,,80.0,80.0,80.0,76.29,,Limited
194595,Official Judge Field Center Token: Dark Magician Girl the Dragon Knight,Official Judge Field Center Token Dark Magician Girl the Dragon Knight,https://tcgplayer-cdn.tcgplayer.com/product/194595_200w.jpg,2,2149,https://cpt.tcgcsv.com/WRz2,2020-01-13T21:10:19.667,1,,Promo,Field Center,,89.95,115.0,250.0,106.93,,Limited
194863,Official Judge Field Center Token: Apprentice Illusion Magician,Official Judge Field Center Token Apprentice Illusion Magician,https://tcgplayer-cdn.tcgplayer.com/product/194863_200w.jpg,2,2149,https://cpt.tcgcsv.com/hZz2,2019-12-23T14:43:42.107,1,,Promo,Field Center,,24.84,30.0,150.0,27.6,,Limited
