productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
631603,Justice Hunters Booster Box [1st Edition],Justice Hunters Booster Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/631603_200w.jpg,2,24320,https://cpt.tcgcsv.com/5G37,2025-08-01T04:11:17.98,1,"Justice Hunters brings you three brand-new themes ready to shake up the Yu-Gi-Oh! TRADING CARD GAME, each focusing on a different type of Extra Deck monster!
<br>Dragontails combine Dragons and Spellcasters for a new Fusion-based Deck theme. Besides powerful new Fusion Monsters and Fusion Spells, Dragontail monsters have extra abilities to empower your Fusion Summons. Whenever you use a Dragontail monster as Fusion Material, you get a free Dragontail Spell or Trap from your Deck. (Some Dragontails do more than that, like also destroying or negating your opponent’s cards, too!) Every Dragontail monster also has an additional special ability, like returning itself to your Deck after use, or allowing you to Fusion Summon during your opponent’s turn. Gaze up at the stars and discover a magical new Fusion world!
<br>Who let the dogs out?! Meet the K9 team, the crimefighters of the future, ready to send your opponent’s monsters straight to the pound! K9 is a rapid deployment Xyzfocused Deck that lets you pop out quick Level 5 monsters and Xyz Summon – even during your opponent’s turn! If you have an old favorite Rank 5 Xyz Monster, get ready to bring it back to active duty, since K9 effects work well with ANY Rank 5 Xyz Monster!
<br>Mmm. Yummy.
<br>Justice Hunters is a Deck Build Pack that will introduce 3 new themes into the TCG market.
<br>We refer to these as SP Boosters and the last release of this product type was Crossover Breakers in December 2024.
<br>Given our reduced number of product releases for the calendar year, there will be higher demand for this type of configuration as players are looking for new themes to play.
<br>Notes about the themes:
<br>Dracotails - combine Dragons and Spellcasters for a new Fusion-based Deck theme
<br>Yummy - A Synchro theme that is as cute as it is powerful
<br>K9 - Rapid deployment Xyz-focused Deck that lets you pop out quick Level 5 monsters and Xyz Summon
<br>We have also made a change in the configuration of rarities of cards for these SP Boosters that started with Crossover Breakers.
<br>From the Rare card pool of 40 cards, some of these will also be upgraded to Super Rare within the set.
<br>Additionally, there will also be 15 cards available Collector’s Rare and additional cards also available as Starlight Rares.
<br>All of these multiple rarities are something that both collectors and players love.
<br>Justice Hunters contains 60 cards:
<br>10 Ultra Rares
<br>10 Super Rares
<br>40 Rares (some also available as Super Rare upgrades)
<br>15 cards also available as Collector’s Rares
<br>Plus additional cards also available as Starlight Rares
<br>Each pack contains 7 cards:
<br>1 foil card per pack
<br>6 Rare cards per pack
<br>*Set contents and names are subject to change",083717868408,51.99,66.05,98.99,58.27,,Normal,,,,,,,,,
631605,Justice Hunters Booster Pack [1st Edition],Justice Hunters Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/631605_200w.jpg,2,24320,https://cpt.tcgcsv.com/7G37,2025-08-01T04:11:17.98,1,"Justice Hunters brings you three brand-new themes ready to shake up the Yu-Gi-Oh! TRADING CARD GAME, each focusing on a different type of Extra Deck monster!
<br>Dragontails combine Dragons and Spellcasters for a new Fusion-based Deck theme. Besides powerful new Fusion Monsters and Fusion Spells, Dragontail monsters have extra abilities to empower your Fusion Summons. Whenever you use a Dragontail monster as Fusion Material, you get a free Dragontail Spell or Trap from your Deck. (Some Dragontails do more than that, like also destroying or negating your opponent’s cards, too!) Every Dragontail monster also has an additional special ability, like returning itself to your Deck after use, or allowing you to Fusion Summon during your opponent’s turn. Gaze up at the stars and discover a magical new Fusion world!
<br>Who let the dogs out?! Meet the K9 team, the crimefighters of the future, ready to send your opponent’s monsters straight to the pound! K9 is a rapid deployment Xyzfocused Deck that lets you pop out quick Level 5 monsters and Xyz Summon – even during your opponent’s turn! If you have an old favorite Rank 5 Xyz Monster, get ready to bring it back to active duty, since K9 effects work well with ANY Rank 5 Xyz Monster!
<br>Mmm. Yummy.
<br>Justice Hunters is a Deck Build Pack that will introduce 3 new themes into the TCG market.
<br>We refer to these as SP Boosters and the last release of this product type was Crossover Breakers in December 2024.
<br>Given our reduced number of product releases for the calendar year, there will be higher demand for this type of configuration as players are looking for new themes to play.
<br>Notes about the themes:
<br>Dracotails - combine Dragons and Spellcasters for a new Fusion-based Deck theme
<br>Yummy - A Synchro theme that is as cute as it is powerful
<br>K9 - Rapid deployment Xyz-focused Deck that lets you pop out quick Level 5 monsters and Xyz Summon
<br>We have also made a change in the configuration of rarities of cards for these SP Boosters that started with Crossover Breakers.
<br>From the Rare card pool of 40 cards, some of these will also be upgraded to Super Rare within the set.
<br>Additionally, there will also be 15 cards available Collector’s Rare and additional cards also available as Starlight Rares.
<br>All of these multiple rarities are something that both collectors and players love.
<br>Justice Hunters contains 60 cards:
<br>10 Ultra Rares
<br>10 Super Rares
<br>40 Rares (some also available as Super Rare upgrades)
<br>15 cards also available as Collector’s Rares
<br>Plus additional cards also available as Starlight Rares
<br>Each pack contains 7 cards:
<br>1 foil card per pack
<br>6 Rare cards per pack
<br>*Set contents and names are subject to change",083717868392,2.87,4.15,7.3,2.99,,Normal,,,,,,,,,
645205,Dracotail Lukias,Dracotail Lukias,https://tcgplayer-cdn.tcgplayer.com/product/645205_200w.jpg,2,24320,https://cpt.tcgcsv.com/76b7,2025-08-07T12:54:56.2,1,"If this card is Normal or Special Summoned: You can add 1 ""Dracotail"" monster from your Deck to your hand, except ""Dracotail Lukias"". If this card is sent to the GY as material for a Fusion Summon: You can Set 1 ""Dracotail"" Spell/Trap from your Deck. You can only use each effect of ""Dracotail Lukias"" once per turn.",,7.96,9.99,29.99,9.38,,1st Edition,JUSH-EN001,Ultra Rare,EARTH,Spellcaster,Effect Monster,1800,700,,
645206,Dracotail Lukias (CR),Dracotail Lukias CR,https://tcgplayer-cdn.tcgplayer.com/product/645206_200w.jpg,2,24320,https://cpt.tcgcsv.com/86b7,2025-08-07T12:54:56.247,1,"If this card is Normal or Special Summoned: You can add 1 ""Dracotail"" monster from your Deck to your hand, except ""Dracotail Lukias"". If this card is sent to the GY as material for a Fusion Summon: You can Set 1 ""Dracotail"" Spell/Trap from your Deck. You can only use each effect of ""Dracotail Lukias"" once per turn.",,15.49,16.77,40.0,16.15,15.82,1st Edition,JUSH-EN001,Collector's Rare,EARTH,Spellcaster,Effect Monster,1800,700,,
645207,Dracotail Faimena,Dracotail Faimena,https://tcgplayer-cdn.tcgplayer.com/product/645207_200w.jpg,2,24320,https://cpt.tcgcsv.com/96b7,2025-08-07T12:54:56.293,1,"During the Main Phase (Quick Effect): You can discard this card; Fusion Summon 1 Dragon or Spellcaster Fusion Monster from your Extra Deck, using monsters from your hand or field. If this card is sent to the GY as material for a Fusion Summon: You can Set 1 ""Dracotail"" Spell/Trap from your Deck. You can only use each effect of ""Dracotail Faimena"" once per turn.",,13.5,17.0,40.0,15.19,17.14,1st Edition,JUSH-EN002,Ultra Rare,WATER,Spellcaster,Effect Monster,1300,2500,,
645208,Dracotail Faimena (Starlight Rare),Dracotail Faimena Starlight Rare,https://tcgplayer-cdn.tcgplayer.com/product/645208_200w.jpg,2,24320,https://cpt.tcgcsv.com/b6b7,2025-08-07T12:54:56.34,1,"During the Main Phase (Quick Effect): You can discard this card; Fusion Summon 1 Dragon or Spellcaster Fusion Monster from your Extra Deck, using monsters from your hand or field. If this card is sent to the GY as material for a Fusion Summon: You can Set 1 ""Dracotail"" Spell/Trap from your Deck. You can only use each effect of ""Dracotail Faimena"" once per turn.",,48.89,67.12,199.99,61.5,49.95,1st Edition,JUSH-EN002,Starlight Rare,WATER,Spellcaster,Effect Monster,1300,2500,,
645209,Dracotail Pan,Dracotail Pan,https://tcgplayer-cdn.tcgplayer.com/product/645209_200w.jpg,2,24320,https://cpt.tcgcsv.com/c6b7,2025-08-07T12:54:56.387,1,"If this card is sent to the GY as material for a Fusion Summon: You can Set 1 ""Dracotail"" Spell/Trap from your Deck, then you can destroy 1 monster on the field. If a face-up Fusion Monster(s) you control is destroyed by an opponent's card effect, while this card is in your GY (except during the Damage Step): You can place this card on the bottom of your Deck, and if you do, Special Summon 1 non-Fusion ""Dracotail"" monster from your GY. You can only use each effect of ""Dracotail Pan"" once per turn.",,0.01,0.1,4.99,0.08,0.03,1st Edition,JUSH-EN003,Rare,WIND,Dragon,Effect Monster,2700,1700,,
645210,Dracotail Pan (Super Rare),Dracotail Pan Super Rare,https://tcgplayer-cdn.tcgplayer.com/product/645210_200w.jpg,2,24320,https://cpt.tcgcsv.com/d6b7,2025-08-07T12:54:56.433,1,"If this card is sent to the GY as material for a Fusion Summon: You can Set 1 ""Dracotail"" Spell/Trap from your Deck, then you can destroy 1 monster on the field. If a face-up Fusion Monster(s) you control is destroyed by an opponent's card effect, while this card is in your GY (except during the Damage Step): You can place this card on the bottom of your Deck, and if you do, Special Summon 1 non-Fusion ""Dracotail"" monster from your GY. You can only use each effect of ""Dracotail Pan"" once per turn.",,0.06,0.69,9.99,0.6,0.86,1st Edition,JUSH-EN003,Super Rare,WIND,Dragon,Effect Monster,2700,1700,,
645211,Dracotail Urgula,Dracotail Urgula,https://tcgplayer-cdn.tcgplayer.com/product/645211_200w.jpg,2,24320,https://cpt.tcgcsv.com/f6b7,2025-08-07T12:54:56.48,1,"If this card is sent to the GY as material for a Fusion Summon: You can Set 1 ""Dracotail"" Spell/Trap from your Deck, then you can destroy 1 Spell/Trap on the field. If this card is in your GY: You can target 1 Spellcaster ""Dracotail"" monster in your GY; place this card on the bottom of your Deck, and if you do, add that monster to your hand. You can only use each effect of ""Dracotail Urgula"" once per turn.",,0.01,0.12,4.99,0.08,0.03,1st Edition,JUSH-EN004,Rare,FIRE,Dragon,Effect Monster,2400,1000,,
645212,Dracotail Mululu,Dracotail Mululu,https://tcgplayer-cdn.tcgplayer.com/product/645212_200w.jpg,2,24320,https://cpt.tcgcsv.com/g6b7,2025-08-07T12:54:56.53,1,"During the Main Phase (Quick Effect): You can Fusion Summon 1 ""Dracotail"" Fusion Monster from your Extra Deck, using monsters from your hand or field, also you cannot Special Summon from the Extra Deck for the rest of this turn, except Fusion Monsters. If this card is sent to the GY as material for a Fusion Summon: You can Set 1 ""Dracotail"" Spell/Trap from your Deck, then you can negate the effects of 1 face-up monster your opponent controls. You can only use each effect of ""Dracotail Mululu"" once per turn.",,9.12,12.85,34.99,11.54,11.0,1st Edition,JUSH-EN005,Ultra Rare,DARK,Dragon,Effect Monster,1100,1500,,
