productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extDefense,extAttack,extLinkRating,extLinkArrows
236330,King's Court Booster Box [1st Edition],Kings Court Booster Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/236330_200w.jpg,2,2808,https://cpt.tcgcsv.com/DxV2,2022-02-14T13:56:38.893,1,Each box contains 24 packs of 7 random cards.,083717853299,40.0,55.4,109.99,50.05,,Normal,,,,,,,,,
236333,King's Court Booster Pack [1st Edition],Kings Court Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/236333_200w.jpg,2,2808,https://cpt.tcgcsv.com/HxV2,2022-02-14T13:57:11.96,1,Each pack contains 7 random cards.,083717853282,2.54,3.0,27.45,2.54,,Normal,,,,,,,,,
242828,Arcana Triumph Joker,Arcana Triumph Joker,https://tcgplayer-cdn.tcgplayer.com/product/242828_200w.jpg,2,2808,https://cpt.tcgcsv.com/B8Z2,2022-05-27T09:33:40.097,1,"If this card is in your hand or GY: You can send 1 ""Queen's Knight"", ""King's Knight"", and ""Jack's Knight"" from your hand and/or face-up Monster Zone to the GY; Special Summon this card. This card gains 500 ATK x the combined number of cards in both players' hands. You can discard 1 card; destroy all face-up cards your opponent controls with the same type (Monster, Spell, or Trap) as the discarded card.",,1.0,2.32,25.0,1.7,3.02,1st Edition,KICO-EN001,Ultra Rare,LIGHT,Warrior,Effect Monster,2500,,,
242829,Joker's Knight,Jokers Knight,https://tcgplayer-cdn.tcgplayer.com/product/242829_200w.jpg,2,2808,https://cpt.tcgcsv.com/C8Z2,2022-05-11T15:51:32.39,1,"You can send 1 ""Queen's Knight"", ""King's Knight"", or ""Jack's Knight"" from your Deck to the GY; Special Summon this card from your hand, and if you do, this card's name becomes the sent monster's name until the End Phase. During the End Phase, if this card is in your GY: You can target 1 other LIGHT Warrior monster in your GY; shuffle it into the Deck, and if you do, add this card to your hand. You can only use each effect of ""Joker's Knight"" once per turn.",,1.85,3.65,22.79,3.0,3.78,1st Edition,KICO-EN002,Ultra Rare,LIGHT,Warrior,Effect Monster,1400,2000,,
242830,Imperial Bower,Imperial Bower,https://tcgplayer-cdn.tcgplayer.com/product/242830_200w.jpg,2,2808,https://cpt.tcgcsv.com/D8Z2,2022-08-05T05:58:00.5,1,"If you control no other monsters: You can Tribute this card; take 2 different monsters from your Deck among ""Queen's Knight"", ""King's Knight"", and/or ""Jack's Knight"", and either add to your hand or Special Summon each monster. You can only use this effect of ""Imperial Bower"" once per turn.",,1.15,2.55,30.0,2.55,3.07,1st Edition,KICO-EN003,Ultra Rare,LIGHT,Warrior,Effect Monster,1500,1500,,
242831,Joker's Straight,Jokers Straight,https://tcgplayer-cdn.tcgplayer.com/product/242831_200w.jpg,2,2808,https://cpt.tcgcsv.com/F8Z2,2024-07-20T04:35:24.69,1,"Discard 1 card, Special Summon 1 ""Queen's Knight"" from your Deck, add 1 ""King's Knight"" or ""Jack's Knight"" from your Deck to your hand, then, immediately after this effect resolves, you can Normal Summon 1 monster. You cannot Special Summon monsters from the Extra Deck for the rest of this turn, except LIGHT Warrior monsters. During the End Phase, if this card is in your GY: You can target 1 LIGHT Warrior monster in your GY; shuffle it into the Deck, and if you do, add this card to your hand. You can only use each effect of ""Joker's Straight"" once per turn.",,7.0,10.98,20.0,9.49,11.17,1st Edition,KICO-EN004,Ultra Rare,SPELL,,Normal Spell,,,,
242832,Face Card Fusion,Face Card Fusion,https://tcgplayer-cdn.tcgplayer.com/product/242832_200w.jpg,2,2808,https://cpt.tcgcsv.com/G8Z2,2024-07-26T19:34:49.42,1,"Fusion Summon 1 LIGHT Warrior Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Material. If you control ""Queen's Knight"", ""King's Knight"", or ""Jack's Knight"", you can use 1 monster from your Deck as Fusion Material. You can only activate 1 ""Face Card Fusion"" per turn.",,0.1,0.3,1.62,0.29,0.35,1st Edition,KICO-EN005,Super Rare,SPELL,,Normal Spell,,,,
242833,Thunderspeed Summon,Thunderspeed Summon,https://tcgplayer-cdn.tcgplayer.com/product/242833_200w.jpg,2,2808,https://cpt.tcgcsv.com/H8Z2,2024-07-26T19:34:49.447,1,"During the Main or Battle Phase: Immediately after this effect resolves, Normal Summon 1 Level 10 monster, or, if you control ""Queen's Knight"", ""King's Knight"", and ""Jack's Knight"", you can apply this effect instead.
<br>• Add 1 Level 10 non-DARK monster with ? ATK from your Deck to your hand, then, immediately after this effect resolves, you can Normal Summon 1 Level 10 monster.
<br>You can only activate 1 ""Thunderspeed Summon"" per turn.",,0.05,0.3,25.0,0.27,,1st Edition,KICO-EN006,Super Rare,SPELL,,Quick-Play Spell,,,,
242834,Joker's Wild,Jokers Wild,https://tcgplayer-cdn.tcgplayer.com/product/242834_200w.jpg,2,2808,https://cpt.tcgcsv.com/J8Z2,2024-07-26T19:34:49.493,1,"During the Main or Battle Phase: Send 1 Spell from your Deck to the GY that specifically lists all of ""Queen's Knight"", ""King's Knight"", and ""Jack's Knight""; this effect becomes that Spell's effect when that card is activated. During the End Phase, if this card is in your GY: You can target 1 LIGHT Warrior monster in your GY; shuffle it into the Deck, and if you do, add this card to your hand. You can only use each effect of ""Joker's Wild"" once per turn.",,0.08,0.25,2.0,0.24,0.2,1st Edition,KICO-EN007,Super Rare,TRAP,,Normal Trap,,,,
242835,Court of Cards,Court of Cards,https://tcgplayer-cdn.tcgplayer.com/product/242835_200w.jpg,2,2808,https://cpt.tcgcsv.com/K8Z2,2024-07-26T19:34:49.523,1,"If you control no monsters, or only control ""Queen's Knight"", ""King's Knight"", and/or ""Jack's Knight"": You can Special Summon 1 ""Queen's Knight"", ""King's Knight"", or ""Jack's Knight"" from your hand or GY. You can banish up to 1 each ""Queen's Knight"", ""King's Knight"", and/or ""Jack's Knight"" from your hand and/or GY; draw the same number of cards you banished. You can only use 1 ""Court of Cards"" effect per turn, and only once that turn.",,0.03,0.25,1.84,0.19,0.21,1st Edition,KICO-EN008,Super Rare,TRAP,,Continuous Trap,,,,
