productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extCardType,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extMonsterType,extAttack,extDefense
137437,After the Struggle,After the Struggle,https://tcgplayer-cdn.tcgplayer.com/product/137437_200w.jpg,2,22885,https://cpt.tcgcsv.com/M-62,2025-05-13T15:39:10.04,1,LOD-EN086,Rare,SPELL,Normal Spell,This card can only be activated during Main Phase 1. All monsters on both sides of the field that have been involved in damage calculation are destroyed during the End Step of the turn.,0.5,15.0,20.99,1.49,,Unlimited,,,
476541,Yata-Garasu,Yata Garasu,https://tcgplayer-cdn.tcgplayer.com/product/476541_200w.jpg,2,22885,https://cpt.tcgcsv.com/RDQ5,2022-12-22T14:09:38.25,1,LOD-EN000,Secret Rare,WIND,Spirit Monster,"This card cannot be Special Summoned. This card returns to the owner''s hand during the End Phase of the turn that it is Normal Summoned, Flip Summoned or flipped face-up. When this card inflicts Battle Damage to your opponent''s Life Points, your opponent skips his/her next Draw Phase.",35.0,39.69,89.99,105.0,,Unlimited,Fiend,200,100
476545,Dark Ruler Ha Des,Dark Ruler Ha Des,https://tcgplayer-cdn.tcgplayer.com/product/476545_200w.jpg,2,22885,https://cpt.tcgcsv.com/WDQ5,2022-12-22T14:12:11.053,0,LOD-EN001,Ultra Rare,DARK,Effect Monster,"As long as this card remains face-up on the field, negate the effects of Effect Monsters destroyed by Fiend-Type monsters on your side of the field in battle. This card cannot be Special Summoned from the Graveyard.",39.94,41.27,59.97,,,Unlimited,Fiend,2450,1600
476548,Dark Balter the Terrible,Dark Balter the Terrible,https://tcgplayer-cdn.tcgplayer.com/product/476548_200w.jpg,2,22885,https://cpt.tcgcsv.com/-DQ5,2022-12-22T14:13:58.257,1,LOD-EN002,Super Rare,DARK,Fusion/Effect Monster,"""Possessed Dark Soul"" + ""Frontier Wiseman""
<BR>This monster can only be Fusion Summoned by the above Fusion Material Monsters. When a Normal Spell Card is activated, negate the effect by paying 1000 Life Points. Also negate the effect of an Effect Monster that is destroyed by this monster in battle.",11.67,13.32,19.99,16.99,,Unlimited,Fiend,2000,1200
476551,Lesser Fiend,Lesser Fiend,https://tcgplayer-cdn.tcgplayer.com/product/476551_200w.jpg,2,22885,https://cpt.tcgcsv.com/2FQ5,2022-12-22T14:14:36.833,1,LOD-EN003,Rare,DARK,Effect Monster,"As long as this monster remains face-up on the field, monsters destroyed by this monster in battle are removed from play instead of being sent to the Graveyard.",,,,,,,Fiend,2100,1000
476553,Possessed Dark Soul,Possessed Dark Soul,https://tcgplayer-cdn.tcgplayer.com/product/476553_200w.jpg,2,22885,https://cpt.tcgcsv.com/5FQ5,2022-12-22T14:15:38.807,1,LOD-EN004,Common,DARK,Effect Monster,Offer this face-up card as a Tribute to take control of all face-up Level 3 or lower monsters on your opponent''s side of the field until they are destroyed or removed from the field.,0.22,0.26,0.3,0.1,,Unlimited,Fiend,1200,800
476556,Winged Minion,Winged Minion,https://tcgplayer-cdn.tcgplayer.com/product/476556_200w.jpg,2,22885,https://cpt.tcgcsv.com/8FQ5,2022-12-22T14:17:37.47,1,LOD-EN005,Common,DARK,Effect Monster,Offer this face-up card as a Tribute to select 1 Fiend-Type monster and increase its ATK and DEF by 700 points as long as it remains face-up on the field.,1.0,2.48,3.15,,,Unlimited,Fiend,700,700
476558,Skull Knight #2,Skull Knight 2,https://tcgplayer-cdn.tcgplayer.com/product/476558_200w.jpg,2,22885,https://cpt.tcgcsv.com/bFQ5,2022-12-22T14:19:13.477,1,LOD-EN006,Common,DARK,Effect Monster,"If you Tribute Summon a monster by offering this monster as a Tribute, Special Summon 1 Skull Knight #2 from your Deck in face-up Attack or Defense Position. Your Deck is then shuffled.",0.1,0.99,1.0,,,Unlimited,Fiend,1000,1200
476565,Ryu-Kishin Clown,Ryu Kishin Clown,https://tcgplayer-cdn.tcgplayer.com/product/476565_200w.jpg,2,22885,https://cpt.tcgcsv.com/kFQ5,2022-12-22T14:21:42.483,0,LOD-EN007,Common,DARK,Effect Monster,"When this card is Summoned (including Flip Summon and Special Summon), select 1 face-up monster on the field and change its battle position.",,,,,,,Fiend,800,500
476572,Twin-Headed Wolf,Twin Headed Wolf,https://tcgplayer-cdn.tcgplayer.com/product/476572_200w.jpg,2,22885,https://cpt.tcgcsv.com/sFQ5,2022-12-22T14:25:50.747,1,LOD-EN008,Common,DARK,Effect Monster,"When there is another face-up Fiend-Type monster on your side of the field, negate the effect of Flip Effect Monsters destroyed by this card in battle.",0.99,1.0,1.0,1.0,,Unlimited,Fiend,1500,1000
476573,Opticlops,Opticlops,https://tcgplayer-cdn.tcgplayer.com/product/476573_200w.jpg,2,22885,https://cpt.tcgcsv.com/tFQ5,2022-12-22T14:27:02.79,0,LOD-EN009,Rare,DARK,Normal Monster,"A one-eyed giant that serves the Dark Ruler Ha Des, it skewers its enemies with its sharp horn, shattering them to pieces.",0.25,1.12,1.99,,,Unlimited,Fiend,1800,1700
