productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC
543034,Red-Eyes B. Dragon,Red Eyes B Dragon,https://tcgplayer-cdn.tcgplayer.com/product/543034_200w.jpg,2,23469,https://cpt.tcgcsv.com/Jdm6,2024-03-15T04:03:12.62,0,LDK2-ENJ01,Common,DARK,Dragon,Normal Monster,2400,2000,"<em>A ferocious dragon with a deadly attack.</em><br>
<em>(Disclaimer: This card features a 2020 Copyright date.)</em>",0.16,0.23,0.89,0.19,,Unlimited,
543035,Red-Eyes Black Flare Dragon,Red Eyes Black Flare Dragon,https://tcgplayer-cdn.tcgplayer.com/product/543035_200w.jpg,2,23469,https://cpt.tcgcsv.com/Kdm6,2024-03-15T04:03:12.62,0,LDK2-ENJ02,Common,DARK,Dragon,Gemini/Effect Monster,2400,2000,"This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is a Normal Monster on the field, you can Normal Summon it to have it become an Effect Monster with this effect.<br>
<br>
• If damage calculation is performed involving this card, at the end of the Battle Phase: You can inflict damage to your opponent equal to this card's original ATK. You can only use this effect of ""Red-Eyes Black Flare Dragon"" once per turn.<br>
<em>(Disclaimer: This card features a 2020 Copyright date.)</em>",0.1,0.35,1.7,0.28,,Unlimited,
543036,Red-Eyes Archfiend of Lightning,Red Eyes Archfiend of Lightning,https://tcgplayer-cdn.tcgplayer.com/product/543036_200w.jpg,2,23469,https://cpt.tcgcsv.com/Ldm6,2024-03-15T04:03:12.62,0,LDK2-ENJ03,Common,DARK,Fiend,Gemini/Effect Monster,2500,1200,"This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is a Normal Monster on the field, you can Normal Summon it to have it become an Effect Monster with this effect.<br>
<br>
• Once per turn: You can destroy all face-up monsters your opponent controls with DEF lower than this card's ATK.<br>
<em>(Disclaimer: This card features a 2020 Copyright date.)</em>",0.2,0.49,1.16,0.25,,Unlimited,
543037,Red-Eyes Retro Dragon,Red Eyes Retro Dragon,https://tcgplayer-cdn.tcgplayer.com/product/543037_200w.jpg,2,23469,https://cpt.tcgcsv.com/Mdm6,2024-03-15T04:03:12.62,0,LDK2-ENJ04,Common,DARK,Dragon,Effect Monster,1700,1600,"If a Level 7 or lower ""Red-Eyes"" monster(s) you control, except ""Red-Eyes B. Chick"", is destroyed by your opponent's attack or card effect and sent to your Graveyard, while this card is in your hand: You can Special Summon this card in Defense Position, and if you do, Special Summon as many of those destroyed monsters as possible in the same position they were in when destroyed. You can Tribute this card; you can Normal Summon 1 ""Red-Eyes"" monster during your Main Phase this turn, except ""Red-Eyes B. Chick"", in addition to your Normal Summon/Set. (You can only gain this effect once per turn.)<br>
<em>(Disclaimer: This card features a 2020 Copyright date.)</em>",0.1,0.2,0.74,0.2,,Unlimited,
543038,The Black Stone of Legend,The Black Stone of Legend,https://tcgplayer-cdn.tcgplayer.com/product/543038_200w.jpg,2,23469,https://cpt.tcgcsv.com/Ndm6,2024-03-15T04:03:12.62,0,LDK2-ENJ05,Ultra Rare,DARK,Dragon,Effect Monster,0,0,"You can Tribute this card; Special Summon 1 Level 7 or lower ""Red-Eyes"" monster from your Deck, except ""Red-Eyes B. Chick"". If this card is in your Graveyard: You can target 1 Level 7 or lower ""Red-Eyes"" monster in your Graveyard, except ""Red-Eyes B. Chick""; shuffle it into the Deck, and if you do, add this card to your hand. You can only use 1 ""The Black Stone of Legend"" effect per turn, and only once that turn.<br>
<em>(Disclaimer: This card features a 2020 Copyright date.)</em>",0.76,1.25,19.0,0.9,,Unlimited,
543039,Black Metal Dragon,Black Metal Dragon,https://tcgplayer-cdn.tcgplayer.com/product/543039_200w.jpg,2,23469,https://cpt.tcgcsv.com/Pdm6,2024-03-15T04:03:12.62,0,LDK2-ENJ06,Common,DARK,Dragon,Effect Monster,600,600,"You can target 1 ""Red-Eyes"" monster you control, except ""Red-Eyes B. Chick""; equip this monster from your hand or field to that target. It gains 600 ATK. If this card is sent from the field to the Graveyard: You can add 1 ""Red-Eyes"" card from your Deck to your hand, except ""Red-Eyes B. Chick"".<br>
<em>(Disclaimer: This card features a 2020 Copyright date.)</em>",0.45,0.95,2.99,0.81,,Unlimited,
543040,Axe Raider,Axe Raider,https://tcgplayer-cdn.tcgplayer.com/product/543040_200w.jpg,2,23469,https://cpt.tcgcsv.com/Qdm6,2024-03-15T04:03:12.62,0,LDK2-ENJ07,Common,EARTH,Warrior,Normal Monster,1700,1150,"<em>An axe-wielding monster of tremendous strength and agility.<br>
<em>(Disclaimer: This card features a 2020 Copyright date.)</em>",0.02,0.12,1.5,0.11,,Unlimited,
543041,Alligator's Sword,Alligators Sword,https://tcgplayer-cdn.tcgplayer.com/product/543041_200w.jpg,2,23469,https://cpt.tcgcsv.com/Rdm6,2024-03-15T04:03:12.62,0,LDK2-ENJ08,Common,EARTH,,Normal Monster,1500,1200,"<em>'ey, dis mighty lissard man can swing his sword so fast, dat it's more dan da speed a sound!<br>
<em>(Disclaimer: This card features a 2020 Copyright date.)</em>",0.06,0.13,1.5,0.1,,Unlimited,
543042,Baby Dragon,Baby Dragon,https://tcgplayer-cdn.tcgplayer.com/product/543042_200w.jpg,2,23469,https://cpt.tcgcsv.com/Sdm6,2024-03-15T04:03:12.62,0,LDK2-ENJ09,Common,WIND,Dragon,Normal Monster,1200,700,"<em>Much more than just a child, this dragon is gifted with untapped power.<br>
<em>(Disclaimer: This card features a 2020 Copyright date.)</em>",0.08,0.14,2.5,0.1,,Unlimited,
543043,Jinzo,Jinzo,https://tcgplayer-cdn.tcgplayer.com/product/543043_200w.jpg,2,23469,https://cpt.tcgcsv.com/Tdm6,2024-03-15T04:03:12.62,0,LDK2-ENJ10,Common,DARK,Machine,Effect Monster,2400,1500,"Trap Cards, and their effects on the field, cannot be activated. Negate all Trap Card effects on the field.<br>
<em>(Disclaimer: This card features a 2020 Copyright date.)</em>",0.15,0.23,0.79,0.23,,Unlimited,
543044,Goblin Attack Force,Goblin Attack Force,https://tcgplayer-cdn.tcgplayer.com/product/543044_200w.jpg,2,23469,https://cpt.tcgcsv.com/Vdm6,2024-03-15T04:03:12.62,0,LDK2-ENJ11,Common,EARTH,Warrior,Effect Monster,2300,0,"If this card attacks, it is changed to Defense Position at the end of the Battle Phase, and its battle position cannot be changed until the End Phase of your next turn.<br>
<em>(Disclaimer: This card features a 2020 Copyright date.)</em>",0.05,0.15,0.74,0.13,,Unlimited,
543045,Gearfried the Iron Knight,Gearfried the Iron Knight,https://tcgplayer-cdn.tcgplayer.com/product/543045_200w.jpg,2,23469,https://cpt.tcgcsv.com/Wdm6,2024-03-15T04:03:12.62,0,LDK2-ENJ12,Common,EARTH,Warrior,Effect Monster,1800,1600,"When an Equip Card(s) is equipped to this card: Destroy that Equip Card(s).<br>
<em>(Disclaimer: This card features a 2020 Copyright date.)</em>",0.03,0.12,1.5,0.1,,Unlimited,
543046,Rocket Warrior,Rocket Warrior,https://tcgplayer-cdn.tcgplayer.com/product/543046_200w.jpg,2,23469,https://cpt.tcgcsv.com/Xdm6,2024-03-15T04:03:12.62,0,LDK2-ENJ13,Common,LIGHT,Warrior,Effect Monster,1500,1300,"During your Battle Phase, this cannot be destroyed by battle and you take no battle damage from attacks involving this card. If this card attacks a monster, after damage calculation: That attack target loses 500 ATK until the end of this turn.<br>
<em>(Disclaimer: This card features a 2020 Copyright date.)</em>",0.05,0.14,1.5,0.07,,Unlimited,
543047,Blue Flame Swordsman,Blue Flame Swordsman,https://tcgplayer-cdn.tcgplayer.com/product/543047_200w.jpg,2,23469,https://cpt.tcgcsv.com/Zdm6,2024-03-15T04:03:12.62,0,LDK2-ENJ14,Common,FIRE,Warrior,Effect Monster,1800,1600,"Once per turn, during either player's Battle Phase: You can target 1 other Warrior-Type monster you control; this card loses exactly 600 ATK, and if it does, that monster gains 600 ATK. When this card you control is destroyed by your opponent's card (by battle or card effect) and sent to your Graveyard: You can banish this card from your Graveyard, then target 1 FIRE Warrior-Type monster in your Graveyard; Special Summon that target.<br>
<em>(Disclaimer: This card features a 2020 Copyright date.)</em>",0.11,0.19,1.99,0.14,,Unlimited,
543048,Time Wizard,Time Wizard,https://tcgplayer-cdn.tcgplayer.com/product/543048_200w.jpg,2,23469,https://cpt.tcgcsv.com/-dm6,2024-03-15T04:03:12.62,0,LDK2-ENJ15,Common,LIGHT,Spellcaster,Effect Monster,500,400,"Once per turn: You can toss a coin and call it. If you call it right, destroy all monsters your opponent controls. If you call it wrong, destroy as many monsters you control as possible, and if you do, you take damage equal to half the total ATK those destroyed monsters had on the field.<br>
<em>(Disclaimer: This card features a 2020 Copyright date.)</em>",0.16,0.24,1.05,0.2,,Unlimited,
543049,Phoenix Gearfried,Phoenix Gearfried,https://tcgplayer-cdn.tcgplayer.com/product/543049_200w.jpg,2,23469,https://cpt.tcgcsv.com/_dm6,2024-03-15T04:03:12.62,0,LDK2-ENJ16,Common,FIRE,Warrior,Gemini/Effect Monster,2800,2200,"This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is face-up on the field, you can Normal Summon it to have it become an Effect Monster with this effect.<br>
<br>
• If your opponent activates a Spell Card: You can target 1 Gemini monster in your Graveyard; Special Summon that target. During either player's turn, when a Spell/Trap Card is activated that targets a monster(s) on the field: You can send 1 face-up Equip Card you control to the Graveyard; negate the activation, and if you do, destroy it.<br>
<em>(Disclaimer: This card features a 2020 Copyright date.)</em>",0.05,0.14,1.5,0.07,,Unlimited,
543050,Gemini Summoner,Gemini Summoner,https://tcgplayer-cdn.tcgplayer.com/product/543050_200w.jpg,2,23469,https://cpt.tcgcsv.com/0fm6,2024-03-15T04:03:12.62,0,LDK2-ENJ17,Common,WATER,Spellcaster,Effect Monster,1500,0,"Once per turn, during your opponent's End Phase, you can pay 500 Life Points to Normal Summon or Set 1 Gemini monster from your hand, or Normal Summon 1 face-up Gemini monster you control. Once per turn, if this card would be destroyed by battle, it is not destroyed.<br>
<em>(Disclaimer: This card features a 2020 Copyright date.)</em>",0.03,0.14,1.99,0.08,,Unlimited,
543051,Blazewing Butterfly,Blazewing Butterfly,https://tcgplayer-cdn.tcgplayer.com/product/543051_200w.jpg,2,23469,https://cpt.tcgcsv.com/2fm6,2024-03-15T04:03:12.62,0,LDK2-ENJ18,Common,FIRE,Insect,Gemini/Effect Monster,1500,1500,"This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is face-up on the field, you can Normal Summon it to have it be treated as an Effect Monster with this effect:<br>
<br>
• You can Tribute this card to Special Summon 1 Gemini monster from your Graveyard, except ""Blazewing Butterfly"". A Gemini monster Special Summoned by this effect is treated as an Effect Monster, and gains its effect.<br>
<em>(Disclaimer: This card features a 2020 Copyright date.)</em>",0.04,0.15,1.5,0.07,,Unlimited,
543052,Dark Valkyria,Dark Valkyria,https://tcgplayer-cdn.tcgplayer.com/product/543052_200w.jpg,2,23469,https://cpt.tcgcsv.com/3fm6,2024-03-15T04:03:12.62,0,LDK2-ENJ19,Common,DARK,Fairy,Gemini/Effect Monster,1800,1050,"This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is a Normal Monster on the field, you can Normal Summon it to have it become an Effect Monster with this effect.<br>
<br>
• Once, while this card is face-up on the field: You can place 1 Spell Counter on it. This card gains 300 ATK for each Spell Counter on it. You can remove 1 Spell Counter from this card, then target 1 monster on the field; destroy that target.<br>
<em>(Disclaimer: This card features a 2020 Copyright date.)</em>",0.1,0.14,1.5,0.14,,Unlimited,
543053,Command Knight,Command Knight,https://tcgplayer-cdn.tcgplayer.com/product/543053_200w.jpg,2,23469,https://cpt.tcgcsv.com/5fm6,2024-03-15T04:03:12.62,0,LDK2-ENJ20,Common,FIRE,Warrior,Effect Monster,1200,1900,"All Warrior-Type monsters you control gain 400 ATK. If you control another monster, monsters your opponent controls cannot target this card for an attack.<br>
<em>(Disclaimer: This card features a 2020 Copyright date.)</em>",0.05,0.15,1.5,0.05,,Unlimited,
543054,Valkyrian Knight,Valkyrian Knight,https://tcgplayer-cdn.tcgplayer.com/product/543054_200w.jpg,2,23469,https://cpt.tcgcsv.com/6fm6,2024-03-15T04:03:12.62,0,LDK2-ENJ21,Common,FIRE,Warrior,Effect Monster,1900,1200,"Monsters your opponent controls cannot target face-up Warrior-Type monsters for attacks, except ""Valkyrian Knight"". When this card is destroyed by battle and sent to the Graveyard: You can banish 1 Warrior-Type monster and this card from your Graveyard, then target 1 Level 5 or higher Warrior-Type monster in your Graveyard; Special Summon that target.<br>
<em>(Disclaimer: This card features a 2020 Copyright date.)</em>",0.05,0.15,2.99,0.1,,Unlimited,
543055,Keeper of the Shrine,Keeper of the Shrine,https://tcgplayer-cdn.tcgplayer.com/product/543055_200w.jpg,2,23469,https://cpt.tcgcsv.com/7fm6,2024-03-15T04:03:12.62,0,LDK2-ENJ22,Common,DARK,Dragon,Effect Monster,0,2100,"This card can be treated as 2 Tributes for the Tribute Summon of a Dragon-Type monster. While this card is in your hand or Graveyard, if a face-up Dragon-Type monster on the field, except ""Keeper of the Shrine"", is sent to the Graveyard by a card effect or because it was destroyed by battle: You can Special Summon this card, then, if that monster sent to the Graveyard is a Normal Monster, you can add 1 Dragon-Type Normal Monster from your Graveyard to your hand. You can only use this effect of ""Keeper of the Shrine"" once per turn.<br>
<em>(Disclaimer: This card features a 2020 Copyright date.)</em>",0.05,0.14,2.99,0.08,,Unlimited,
