productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extUPC
123451,Legendary Decks II Collector's Set [1st Edition],Legendary Decks II Collectors Set 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/123451_200w.jpg,2,1841,https://cpt.tcgcsv.com/2p_,2024-03-13T21:44:37.227,1,"Each Legendary Decks II Collector's Set contains:
<br>
<br><b>-</b> 43-card Deck based on Yugi and his ""Exodia the Forbidden One"", including the 3 playable versions of the Egyptian God cards.
<br><b>-</b> 43-card Deck based on Kaiba and his ""Blue-Eyes White Dragon"".
<br><b>-</b> 43-card Deck based on Joey and his ""Red-Eyes B. Dragon"", including ""Red-Eyes Black Flare Dragon"" and ""Red-Eyes Archfiend of Lightning"".
<br><b>-</b> 3 new Secret Rare cards: ""Eternal Soul"", ""Dark Burning Attack"", and ""Dark Burning Magic"".
<br><b>-</b> 3 Ultra Rare Token cards.
<br>
<br>Each of the three decks include 3 Ultra Rares and 40 commons.
<br><em>(Disclaimer: This sealed product features a 1996/2014 Copyright date.)</em>",189.83,194.97,200.0,187.79,,Normal,,,,,,,,
123481,Slifer the Sky Dragon,Slifer the Sky Dragon,https://tcgplayer-cdn.tcgplayer.com/product/123481_200w.jpg,2,1841,https://cpt.tcgcsv.com/Fp_,2016-10-07T22:11:44.86,1,"Requires 3 Tributes to Normal Summon (cannot be Normal Set). This card's Normal Summon cannot be negated. When Normal Summoned, cards and effects cannot be activated. Once per turn, during the End Phase, if this card was Special Summoned: Send it to the Graveyard. This card gains 1000 ATK and DEF for each card in your hand. If a monster(s) is Normal or Special Summoned to your opponent's field in face-up Attack Position: That monster(s) loses 2000 ATK, then if its ATK has been reduced to 0 as a result, destroy it.",0.25,0.99,3.26,0.8,1.32,Limited,LDK2-ENS01,Ultra Rare,DIVINE,Divine-Beast,Effect Monster,0,0,
123482,Obelisk the Tormentor,Obelisk the Tormentor,https://tcgplayer-cdn.tcgplayer.com/product/123482_200w.jpg,2,1841,https://cpt.tcgcsv.com/Gp_,2016-10-07T22:12:24.893,1,"Requires 3 Tributes to Normal Summon (cannot be Normal Set). This card's Normal Summon cannot be negated. When Normal Summoned, cards and effects cannot be activated. Cannot be targeted by Spells, Traps, or card effects. Once per turn, during the End Phase, if this card was Special Summoned: Send it to the Graveyard. You can Tribute 2 monsters; destroy all monsters your opponent controls. This card cannot declare an attack the turn this effect is activated.",0.2,0.64,3.0,0.61,0.26,Limited,LDK2-ENS02,Ultra Rare,DIVINE,Divine-Beast,Effect Monster,4000,4000,
123483,The Winged Dragon of Ra,The Winged Dragon of Ra,https://tcgplayer-cdn.tcgplayer.com/product/123483_200w.jpg,2,1841,https://cpt.tcgcsv.com/Hp_,2022-12-12T11:42:34.033,1,"Cannot be Special Summoned. Requires 3 Tributes to Normal Summon (cannot be Normal Set). This card's Normal Summon cannot be negated. When Normal Summoned, other cards and effects cannot be activated. When this card is Normal Summoned: You can pay Life Points so that you only have 100 left; this card gains ATK and DEF equal to the amount of Life Points paid. You can pay 1000 Life Points, then target 1 monster on the field; destroy that target.",1.0,2.63,9.99,2.87,8.99,Limited,LDK2-ENS03,Ultra Rare,DIVINE,Divine-Beast,Effect Monster,0,0,
123484,The Legendary Exodia Incarnate,The Legendary Exodia Incarnate,https://tcgplayer-cdn.tcgplayer.com/product/123484_200w.jpg,2,1841,https://cpt.tcgcsv.com/Jp_,2024-10-18T17:03:25.143,1,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by Tributing 1 ""Forbidden One"" monster, and cannot be Special Summoned by other ways. This card gains 1000 ATK for each ""Forbidden One"" monster in your Graveyard. Unaffected by other cards' effects. Once per turn, during your End Phase: Add 1 ""Forbidden One"" monster from your Graveyard to your hand. When this card is destroyed by battle and sent to the Graveyard: You can reveal any number of ""Forbidden One"" monsters in your hand, and if you do, draw 1 card for each.",0.15,0.83,10.0,0.89,,1st Edition,LDK2-ENY01,Ultra Rare,DARK,Spellcaster,Effect Monster,0,0,
123484,The Legendary Exodia Incarnate,The Legendary Exodia Incarnate,https://tcgplayer-cdn.tcgplayer.com/product/123484_200w.jpg,2,1841,https://cpt.tcgcsv.com/Jp_,2024-10-18T17:03:25.143,1,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by Tributing 1 ""Forbidden One"" monster, and cannot be Special Summoned by other ways. This card gains 1000 ATK for each ""Forbidden One"" monster in your Graveyard. Unaffected by other cards' effects. Once per turn, during your End Phase: Add 1 ""Forbidden One"" monster from your Graveyard to your hand. When this card is destroyed by battle and sent to the Graveyard: You can reveal any number of ""Forbidden One"" monsters in your hand, and if you do, draw 1 card for each.",0.2,0.8,50.0,0.8,1.43,Unlimited,LDK2-ENY01,Ultra Rare,DARK,Spellcaster,Effect Monster,0,0,
123485,Ties of the Brethren,Ties of the Brethren,https://tcgplayer-cdn.tcgplayer.com/product/123485_200w.jpg,2,1841,https://cpt.tcgcsv.com/Kp_,2019-07-09T15:24:41.607,1,"Pay 2000 LP, then target 1 Level 4 or lower monster you control; for the rest of this turn after this card resolves, you cannot Special Summon monsters, also Special Summon 2 monsters from your Deck, with the same Type, Attribute, and Level as that monster, but with different names from each other and that monster. You cannot conduct your Battle Phase the turn you activate this card.",0.04,0.39,9.99,0.22,,1st Edition,LDK2-ENY02,Ultra Rare,SPELL,,Normal Spell,,,
123485,Ties of the Brethren,Ties of the Brethren,https://tcgplayer-cdn.tcgplayer.com/product/123485_200w.jpg,2,1841,https://cpt.tcgcsv.com/Kp_,2019-07-09T15:24:41.607,1,"Pay 2000 LP, then target 1 Level 4 or lower monster you control; for the rest of this turn after this card resolves, you cannot Special Summon monsters, also Special Summon 2 monsters from your Deck, with the same Type, Attribute, and Level as that monster, but with different names from each other and that monster. You cannot conduct your Battle Phase the turn you activate this card.",0.03,0.31,5.0,0.17,,Unlimited,LDK2-ENY02,Ultra Rare,SPELL,,Normal Spell,,,
123486,Obliterate!!!,Obliterate,https://tcgplayer-cdn.tcgplayer.com/product/123486_200w.jpg,2,1841,https://cpt.tcgcsv.com/Lp_,2024-10-30T11:35:05.573,1,"You can target 1 monster on the field; send 1 ""Forbidden One"" monster or ""Exodia"" card from your hand or Deck to the Graveyard, and if you do, return that target to the hand. If this card is sent from the Spell & Trap Zone to the Graveyard: You can target 1 ""Forbidden One"" monster or ""Exodia"" card in your Graveyard; add it to your hand. You can only use 1 ""Obliterate!!!"" effect per turn, and only once that turn.",0.39,1.0,4.99,1.0,,1st Edition,LDK2-ENY03,Ultra Rare,TRAP,,Normal Trap,,,
123486,Obliterate!!!,Obliterate,https://tcgplayer-cdn.tcgplayer.com/product/123486_200w.jpg,2,1841,https://cpt.tcgcsv.com/Lp_,2024-10-30T11:35:05.573,1,"You can target 1 monster on the field; send 1 ""Forbidden One"" monster or ""Exodia"" card from your hand or Deck to the Graveyard, and if you do, return that target to the hand. If this card is sent from the Spell & Trap Zone to the Graveyard: You can target 1 ""Forbidden One"" monster or ""Exodia"" card in your Graveyard; add it to your hand. You can only use 1 ""Obliterate!!!"" effect per turn, and only once that turn.",0.19,0.99,4.97,1.01,1.98,Unlimited,LDK2-ENY03,Ultra Rare,TRAP,,Normal Trap,,,
