productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
260858,Legendary Duelists: Duels From the Deep Booster Pack [1st Edition],Legendary Duelists Duels From the Deep Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/260858_200w.jpg,2,3013,https://cpt.tcgcsv.com/bm63,2022-06-17T20:44:54.663,1,Each pack contains 5 cards.,083717857020,0.76,1.76,7.06,0.95,,Normal,,,,,,,,,
260859,Legendary Duelists: Duels From the Deep Booster Box [1st Edition],Legendary Duelists Duels From the Deep Booster Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/260859_200w.jpg,2,3013,https://cpt.tcgcsv.com/cm63,2022-06-17T20:44:47.587,1,Each box contains 36 packs of 5 random cards.,083717857037,22.84,35.99,119.98,25.39,,Normal,,,,,,,,,
274740,Number 101: Silent Honor ARK,Number 101 Silent Honor ARK,https://tcgplayer-cdn.tcgplayer.com/product/274740_200w.jpg,2,3013,https://cpt.tcgcsv.com/QVc3,2024-08-17T21:49:08.407,1,"2 Level 4 monsters
<br>You can detach 2 materials from this card, then target 1 Special Summoned monster your opponent controls in face-up Attack Position; attach it to this card as material. You can only use this effect of ""Number 101: Silent Honor ARK"" once per turn. If this face-up card on the field would be destroyed by battle or card effect, you can detach 1 material from this card instead.",,15.76,24.41,100.0,21.23,24.95,1st Edition,LED9-EN000,Ghost Rare,WATER,Aqua,Xyz/Effect Monster,2100,1000,,
274741,Abyss Shark,Abyss Shark,https://tcgplayer-cdn.tcgplayer.com/product/274741_200w.jpg,2,3013,https://cpt.tcgcsv.com/RVc3,2022-06-17T04:03:09.2,1,"If this card is used for the Xyz Summon of a ""Number"" monster, it can be treated as a Level 3 or 4 monster. If all monsters you control are WATER (min. 1): You can Special Summon this card from your hand, and if you do, add 1 Level 3, 4, or 5 Fish monster from your Deck to your hand, except ""Abyss Shark"". For the rest of this turn, you cannot Special Summon monsters, except WATER monsters, also, double the first battle damage inflicted to your opponent this turn by your ""Number"" monster battling another monster. You can only use this effect of ""Abyss Shark"" once per turn.",,0.01,0.5,24.99,0.29,0.26,1st Edition,LED9-EN001,Ultra Rare,WATER,Fish,Effect Monster,1200,700,,
274742,Crystal Shark,Crystal Shark,https://tcgplayer-cdn.tcgplayer.com/product/274742_200w.jpg,2,3013,https://cpt.tcgcsv.com/SVc3,2024-08-12T19:50:57.553,1,"If this card is used for the Xyz Summon of a ""Number"" monster, it can be treated as a Level 3 or 4 monster. If this card is in your hand or GY: You can target 1 WATER monster on the field; Special Summon this card (but banish this card when it leaves the field), and if you do, halve that monster's ATK, also, you cannot Special Summon monsters from the Extra Deck for the rest of this turn, except Xyz Monsters. You can only use this effect of ""Crystal Shark"" once per turn.",,0.01,0.25,4.99,0.11,0.1,1st Edition,LED9-EN002,Super Rare,WATER,Fish,Effect Monster,1100,800,,
274743,N.As.H. Knight,NAsH Knight,https://tcgplayer-cdn.tcgplayer.com/product/274743_200w.jpg,2,3013,https://cpt.tcgcsv.com/TVc3,2024-08-12T19:50:57.627,1,"2 Level 5 monsters
<br>Cannot be destroyed by battle while a ""Number"" monster is on the field. During the Main Phase (Quick Effect): You can detach 2 materials from this card; attach 1 ""Number"" Xyz Monster from your Extra Deck to this card as material that has a number between ""101"" and ""107"" in its name, then you can attach 1 other face-up monster on the field to this card as material. You can only use this effect of ""N.As.H. Knight"" once per turn.",,0.37,1.28,14.99,0.93,0.98,1st Edition,LED9-EN003,Super Rare,WATER,Aqua,Xyz/Effect Monster,1700,2700,,
274744,CXyz N.As.Ch. Knight,CXyz NAsCh Knight,https://tcgplayer-cdn.tcgplayer.com/product/274744_200w.jpg,2,3013,https://cpt.tcgcsv.com/VVc3,2024-08-12T19:50:57.707,1,"3 Level 6 monsters
<br>You can also Xyz Summon this card by using ""N.As.H. Knight"" you control. (Transfer its materials to this card.) Cannot be destroyed by card effects. You can detach 1 material from this card; Special Summon from your Extra Deck, 1 ""Number"" Xyz Monster that has a number between ""101"" and ""107"" in its name, using this face-up card you control as material, but destroy it during your opponent's next End Phase. (This is treated as an Xyz Summon. Transfer its materials to the Summoned monster.) You can only use this effect of ""CXyz N.As.Ch. Knight"" once per turn.",,0.32,1.25,14.99,0.99,0.99,1st Edition,LED9-EN004,Super Rare,WATER,Aqua,Xyz/Effect Monster,2000,3000,,
274747,Barian's Chaos Draw,Barians Chaos Draw,https://tcgplayer-cdn.tcgplayer.com/product/274747_200w.jpg,2,3013,https://cpt.tcgcsv.com/ZVc3,2025-08-11T16:27:33.327,1,"To activate this card, you must draw it for your normal draw in your Draw Phase, reveal it, and keep it revealed until Main Phase 1. During that Main Phase: You can activate 1 of these effects;
<br>• Send 1 ""Seventh"" Normal Spell from your Deck to the GY; this effect becomes that Spell's effect when that card is activated.
<br>• Special Summon up to 2 monsters from your Deck, but negate their effects, then immediately after this effect resolves, Xyz Summon 1 ""Number"" monster using materials you control, including both those monsters.",,0.03,0.25,4.99,0.16,0.16,1st Edition,LED9-EN005,Super Rare,SPELL,,Normal Spell,,,,
274748,Seventh Ascension,Seventh Ascension,https://tcgplayer-cdn.tcgplayer.com/product/274748_200w.jpg,2,3013,https://cpt.tcgcsv.com/-Vc3,2025-04-29T01:29:53.06,1,"Take 1 card from your Deck (either a ""Barian's"" Spell/Trap, a ""Rank-Up-Magic"" Quick-Play Spell, or a ""Seventh"" Spell/Trap except ""Seventh Ascension""), and either add it to your hand or place it on top of your Deck. If your opponent controls a monster Special Summoned from the Extra Deck: You can banish this card from your GY and send 1 ""Rank-Up-Magic"" Spell from your hand to the GY; this effect becomes that Spell's effect when that card is activated. You can only use each effect of ""Seventh Ascension"" once per turn.",,0.35,1.53,99.99,1.6,1.7,1st Edition,LED9-EN006,Ultra Rare,SPELL,,Normal Spell,,,,
274751,Seventh Eternity,Seventh Eternity,https://tcgplayer-cdn.tcgplayer.com/product/274751_200w.jpg,2,3013,https://cpt.tcgcsv.com/2Wc3,2024-08-12T19:50:58.08,1,"Target 1 ""Number"" Xyz Monster you control that has a number between ""101"" and ""107"" in its name, or 1 Xyz Monster you control that has any such monsters as material, then activate 1 of these effects;
<br>• Negate the effects of 1 monster your opponent controls with ATK less than or equal to the targeted monster's ATK, until the end of this turn.
<br>• Detach all materials from the targeted monster, then you can Special Summon 1 ""Number"" Xyz Monster from your GY.
<br>You can only use this effect of ""Seventh Eternity"" once per turn.",,0.01,0.15,1.5,0.08,0.05,1st Edition,LED9-EN007,Rare,TRAP,,Continuous Trap,,,,
