productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
227889,Legendary Duelists: Season 2 Box [1st Edition],Legendary Duelists Season 2 Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/227889_200w.jpg,2,2743,https://cpt.tcgcsv.com/P9R2,2022-12-19T13:00:14.553,1,"Each Legendary Duelists: Season 2 box contains:
<br>• 1 of 5 collectible dice
<br>• 1 of 10 Secret Rare variant cards
<br>• 2 packs with 18 cards each: 1 standard Ultra Rare, 2 colorful Ultra Rares (blue, green, or purple), and 15 Commons.
<br>• The set contains: 30 Ultra Rares, 91 Commons",083717851820,18.7,27.96,41.98,24.18,,Normal,,,,,,,,,
227893,Legendary Duelists: Season 2 Booster Pack [1st Edition],Legendary Duelists Season 2 Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/227893_200w.jpg,2,2743,https://cpt.tcgcsv.com/T9R2,2021-01-27T21:20:42.487,1,Each booster pack contains 3 Ultra Rares and 15 Commons.,083717851813,10.66,11.99,19.96,9.33,,Normal,,,,,,,,,
229435,Legendary Duelists: Season 2 Box Display [1st Edition],Legendary Duelists Season 2 Box Display 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/229435_200w.jpg,2,2743,https://cpt.tcgcsv.com/KNR2,2021-01-27T21:21:06.76,1,"Contains 8 <em>Legendary Duelists: Season 2</em> boxes. Each Legendary Duelists: Season 2 box contains a grand total of:
<br>• 1 Secret Rare
<br>• 6 Ultra Rares (2 standard Ultra Rares, 4 colorful Ultra Rares)
<br>• 30 Commons",083717851837,146.99,165.0,166.6,107.99,,Normal,,,,,,,,,
230221,Blue-Eyes White Dragon,Blue Eyes White Dragon,https://tcgplayer-cdn.tcgplayer.com/product/230221_200w.jpg,2,2743,https://cpt.tcgcsv.com/r6S2,2023-11-29T10:35:27.947,1,"<em>This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale.</em>",,1.76,2.82,6.5,2.59,1.94,1st Edition,LDS2-EN001,Ultra Rare,LIGHT,Dragon,Normal Monster,3000,2500,,
230222,Kaibaman,Kaibaman,https://tcgplayer-cdn.tcgplayer.com/product/230222_200w.jpg,2,2743,https://cpt.tcgcsv.com/s6S2,2021-01-22T05:03:22.56,1,"You can Tribute this card; Special Summon 1 ""Blue-Eyes White Dragon"" from your hand.",,0.05,0.25,1.49,0.19,0.18,1st Edition,LDS2-EN002,Common,LIGHT,Warrior,Effect Monster,200,700,,
230223,Decoy Dragon,Decoy Dragon,https://tcgplayer-cdn.tcgplayer.com/product/230223_200w.jpg,2,2743,https://cpt.tcgcsv.com/t6S2,2021-01-22T05:03:22.56,1,"If this card is targeted for an attack: Target 1 Level 7 or higher Dragon-Type monster in your Graveyard; Special Summon it, and if you do, change the attack target to it and perform damage calculation.",,0.05,0.25,1.55,0.15,0.18,1st Edition,LDS2-EN003,Common,FIRE,Dragon,Effect Monster,300,200,,
230224,The White Stone of Legend,The White Stone of Legend,https://tcgplayer-cdn.tcgplayer.com/product/230224_200w.jpg,2,2743,https://cpt.tcgcsv.com/v6S2,2024-08-12T19:53:01.58,1,"If this card is sent to the GY: Add 1 ""Blue-Eyes White Dragon"" from your Deck to your hand.",,0.1,0.34,1.67,0.28,0.25,1st Edition,LDS2-EN004,Common,LIGHT,Dragon,Tuner/Effect Monster,300,250,,
230226,Malefic Blue-Eyes White Dragon,Malefic Blue Eyes White Dragon,https://tcgplayer-cdn.tcgplayer.com/product/230226_200w.jpg,2,2743,https://cpt.tcgcsv.com/x6S2,2024-08-12T19:53:01.627,1,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 1 ""Blue-Eyes White Dragon"" from your Deck. There can only be 1 ""Malefic"" monster on the field. Other monsters you control cannot declare an attack. If there is no face-up Field Spell Card on the field, destroy this card.",,0.1,0.36,3.97,0.33,0.37,1st Edition,LDS2-EN005,Common,DARK,Dragon,Effect Monster,3000,2500,,
230227,Maiden with Eyes of Blue,Maiden with Eyes of Blue,https://tcgplayer-cdn.tcgplayer.com/product/230227_200w.jpg,2,2743,https://cpt.tcgcsv.com/z6S2,2024-08-12T19:53:01.66,1,"When a card or effect is activated that targets this card (Quick Effect): You can Special Summon 1 ""Blue-Eyes White Dragon"" from your hand, Deck, or GY. When this card is targeted for an attack: You can negate the attack, and if you do, change the battle position of this card, then you can Special Summon 1 ""Blue-Eyes White Dragon"" from your hand, Deck, or GY. You can only use 1 ""Maiden with Eyes of Blue"" effect per turn, and only once that turn.",,0.15,0.3,1.57,0.28,1.37,1st Edition,LDS2-EN006,Common,LIGHT,Spellcaster,Tuner/Effect Monster,0,0,,
230228,Priestess with Eyes of Blue,Priestess with Eyes of Blue,https://tcgplayer-cdn.tcgplayer.com/product/230228_200w.jpg,2,2743,https://cpt.tcgcsv.com/B6S2,2024-08-12T19:53:01.69,1,"When a card or effect is activated that targets this card (Quick Effect): You can send 1 Effect Monster you control to the GY, and if you do, add up to 2 ""Blue-Eyes"" monsters with different names from your Deck to your hand. If this card is in your GY: You can target 1 ""Blue-Eyes"" monster you control; shuffle it into the Deck, and if you do, Special Summon this card. You can only use 1 ""Priestess with Eyes of Blue"" effect per turn, and only once that turn.",,0.15,0.4,1.99,0.26,0.27,1st Edition,LDS2-EN007,Common,LIGHT,Spellcaster,Tuner/Effect Monster,0,0,,
