productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
272035,Legendary Duelists: Season 3 Booster Pack [1st Edition],Legendary Duelists Season 3 Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/272035_200w.jpg,2,3076,https://cpt.tcgcsv.com/KQb3,2022-07-25T17:09:57.667,1,Each booster pack contains 3 Ultra Rares and 15 Commons.,83717856474,3.19,3.95,5.99,3.64,,Normal,,,,,,,
272036,Legendary Duelists: Season 3 Box [1st Edition],Legendary Duelists Season 3 Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/272036_200w.jpg,2,3076,https://cpt.tcgcsv.com/LQb3,2022-07-22T04:03:10.677,1,"Each Legendary Duelists: Season 3 box contains a grand total of:
<br>• 1 of ""several"" collectible dice
<br>• 1 of 10 Secret Rares
<br>• 6 of 30 Ultra Rares (2 standard Ultra Rares and 4 colorful Ultra Rares)
<br>• 30 of 91 Commons",83717856481,6.99,10.89,19.98,9.91,,Normal,,,,,,,
272251,Legendary Duelists: Season 3 Box Display [1st Edition],Legendary Duelists Season 3 Box Display 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/272251_200w.jpg,2,3076,https://cpt.tcgcsv.com/2Wb3,2022-07-22T04:03:10.677,1,"Contains 8 <em>Legendary Duelists: Season 3</em> boxes. Each Legendary Duelists: Season 3 box contains a grand total of:
<br>• 1 Secret Rare
<br>• 6 Ultra Rares (2 standard Ultra Rares, 2 red Ultra Rares, 2 blue Ultra Rares)
<br>• 30 Commons",083717856498,38.01,69.99,179.97,53.09,,Normal,,,,,,,
276110,Sangan,Sangan,https://tcgplayer-cdn.tcgplayer.com/product/276110_200w.jpg,2,3076,https://cpt.tcgcsv.com/dsd3,2022-07-22T19:28:14.757,1,"If this card is sent from the field to the GY: Add 1 monster with 1500 or less ATK from your Deck to your hand, but you cannot activate cards, or the effects of cards, with that name for the rest of this turn. You can only use this effect of ""Sangan"" once per turn.",,0.92,2.29,11.79,2.27,6.3,1st Edition,LDS3-EN001,Ultra Rare,DARK,Fiend,Effect Monster,1000,600
276111,Dark Necrofear,Dark Necrofear,https://tcgplayer-cdn.tcgplayer.com/product/276111_200w.jpg,2,3076,https://cpt.tcgcsv.com/fsd3,2022-07-22T18:30:54.933,1,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 3 Fiend monsters from your GY. During the End Phase, if this card is in your GY because it was destroyed in your Monster Zone by an opponent's card and sent there this turn: Target 1 face-up monster your opponent controls; equip this card to that target. While this card is equipped to a monster by this effect, take control of that monster.",,0.08,0.3,4.0,0.19,,1st Edition,LDS3-EN002,Ultra Rare,DARK,Fiend,Effect Monster,2200,2800
276112,Jowgen the Spiritualist,Jowgen the Spiritualist,https://tcgplayer-cdn.tcgplayer.com/product/276112_200w.jpg,2,3076,https://cpt.tcgcsv.com/gsd3,2022-07-22T04:03:10.677,1,You can discard 1 random card from your hand to the GY; destroy all Special Summoned monsters on the field. Neither player can Special Summon monsters.,,0.1,0.33,4.99,0.37,,1st Edition,LDS3-EN003,Common,LIGHT,Spellcaster,Effect Monster,200,1300
276113,Gernia,Gernia,https://tcgplayer-cdn.tcgplayer.com/product/276113_200w.jpg,2,3076,https://cpt.tcgcsv.com/hsd3,2022-07-22T04:03:10.677,1,"During your next Standby Phase, after this face-up card you control was destroyed and sent to your GY by an opponent's card effect: Special Summon it.",,0.03,0.25,4.0,0.16,,1st Edition,LDS3-EN004,Ultra Rare,DARK,Zombie,Effect Monster,1300,1200
276114,Necroface,Necroface,https://tcgplayer-cdn.tcgplayer.com/product/276114_200w.jpg,2,3076,https://cpt.tcgcsv.com/jsd3,2022-07-22T14:38:56.937,1,"If this card is Normal Summoned: Shuffle all banished cards into the Deck. This card gains 100 ATK for each card shuffled into the Main Deck by this effect. If this card is banished: Each player banishes 5 cards from the top of their Deck (or their entire Deck, if less than 5).",,0.06,0.28,2.12,0.13,,1st Edition,LDS3-EN006,Common,DARK,Zombie,Effect Monster,1200,1800
276115,Onomatopickup,Onomatopickup,https://tcgplayer-cdn.tcgplayer.com/product/276115_200w.jpg,2,3076,https://cpt.tcgcsv.com/ksd3,2022-07-22T19:19:58.387,1,"When this card is activated: You can add 1 ""Onomat"" card from your Deck to your hand, except ""Onomatopickup"". You can target 1 ""Zubaba"", ""Gagaga"", ""Gogogo"", or ""Dododo"" monster you control; all monsters you currently control become that monster's Level until the end of this turn (even if this card leaves the field). You can only use this effect of ""Onomatopickup"" once per turn. You can only activate 1 ""Onomatopickup"" per turn.",,0.01,0.32,1.49,0.32,0.09,1st Edition,LDS3-EN128,Common,SPELL,,Continuous Spell,,
276116,Doomcaliber Knight,Doomcaliber Knight,https://tcgplayer-cdn.tcgplayer.com/product/276116_200w.jpg,2,3076,https://cpt.tcgcsv.com/lsd3,2022-07-31T13:17:22.823,1,"Cannot be Special Summoned. If a monster effect is activated (Quick Effect): Tribute this face-up card; negate the activation, and if you do, destroy that monster.",,0.05,0.22,1.49,0.2,,1st Edition,LDS3-EN005,Common,DARK,Fiend,Effect Monster,1900,1800
