productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
240555,Legendary Duelists: Synchro Storm Booster Pack [1st Edition],Legendary Duelists Synchro Storm Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/240555_200w.jpg,2,2829,https://cpt.tcgcsv.com/7fX2,2021-10-29T04:03:10.187,1,Each pack contains 5 random cards.,083717853732,0.87,2.18,7.06,0.98,,Normal,,,,,,,
240556,Legendary Duelists: Synchro Storm Booster Box [1st Edition],Legendary Duelists Synchro Storm Booster Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/240556_200w.jpg,2,2829,https://cpt.tcgcsv.com/8fX2,2021-10-29T04:03:10.187,1,Each box contains 36 packs of 5 random cards.,083717853749,25.02,34.85,73.99,28.98,,Normal,,,,,,,
251316,Clear Wing Synchro Dragon,Clear Wing Synchro Dragon,https://tcgplayer-cdn.tcgplayer.com/product/251316_200w.jpg,2,2829,https://cpt.tcgcsv.com/lx03,2024-08-12T19:54:41.233,1,"1 Tuner + 1+ non-Tuner monsters
<br>Once per turn, when another Level 5 or higher monster activates its effect on the field (Quick Effect): You can negate the activation, and if you do, destroy it. Once per turn, when a monster effect is activated that targets 1 Level 5 or higher monster on the field (and no other cards) (Quick Effect): You can negate the activation, and if you do, destroy it. If this card's effect destroys a monster, this card gains ATK equal to the destroyed monster's original ATK until the end of this turn.",,0.32,0.5,4.57,0.41,,1st Edition,LED8-EN001,Super Rare,WIND,Dragon,Synchro/Effect Monster,2500,2000
251317,Speedroid Fuki-Modoshi Piper,Speedroid Fuki Modoshi Piper,https://tcgplayer-cdn.tcgplayer.com/product/251317_200w.jpg,2,2829,https://cpt.tcgcsv.com/mx03,2024-08-12T19:54:41.267,1,"If this card is Normal or Special Summoned: You can excavate cards from the top of your Deck equal to the number of other WIND monsters you control, add 1 excavated card to your hand, also place the rest on the bottom of your Deck in any order. You can banish this card from your GY, then target 1 Level 3 or higher WIND monster you control; reduce its Level by 2. You can only use each effect of ""Speedroid Fuki-Modoshi Piper"" once per turn.",,0.01,0.32,3.01,0.34,0.43,1st Edition,LED8-EN002,Super Rare,WIND,Machine,Tuner/Effect Monster,1000,1000
251318,Speedroid Ultra Hound,Speedroid Ultra Hound,https://tcgplayer-cdn.tcgplayer.com/product/251318_200w.jpg,2,2829,https://cpt.tcgcsv.com/nx03,2024-08-12T19:54:41.313,1,"When this card is Normal Summoned: You can send 1 ""Speedroid"" card from your Deck to the GY. During your Main Phase, except the turn this card was sent to the GY: You can banish this card from your GY, then target 1 ""Speedroid"" monster in your GY; shuffle it into the Deck, and if you do, Special Summon 1 ""Speedroid"" Synchro Monster from your Extra Deck with the same Level but a different name, but negate its effects. You can only use this effect of ""Speedroid Ultra Hound"" once per turn.",,0.25,0.49,3.01,0.45,,1st Edition,LED8-EN003,Super Rare,WIND,Machine,Effect Monster,800,800
251319,Hi-Speedroid Cork Shooter,Hi Speedroid Cork Shooter,https://tcgplayer-cdn.tcgplayer.com/product/251319_200w.jpg,2,2829,https://cpt.tcgcsv.com/px03,2021-10-29T04:03:10.187,1,"1 Tuner + 1+ non-Tuner monsters
<br>If this card is Synchro Summoned: You can activate 1 of these effects;
<br>• Add 1 ""Speedroid"" Spell/Trap from your Deck to your hand.
<br>• If all materials that were used for the Synchro Summon of this card were ""Speedroid"" monsters, and are all in your GY, Special Summon all of them.
<br>• You cannot Special Summon monsters the turn you activate this effect, except WIND monsters. You can only use this effect of ""Hi-Speedroid Cork Shooter"" once per turn.",,3.31,4.99,15.97,4.19,14.19,1st Edition,LED8-EN004,Ultra Rare,WIND,Machine,Synchro/Tuner/Effect Monster,500,1000
251320,Crystal Clear Wing Synchro Dragon,Crystal Clear Wing Synchro Dragon,https://tcgplayer-cdn.tcgplayer.com/product/251320_200w.jpg,2,2829,https://cpt.tcgcsv.com/qx03,2022-06-29T13:58:58.377,1,"1 Tuner Synchro Monster + 1 non-Tuner ""Clear Wing"" monster
<br>Once per turn, when your opponent activates a monster effect (except during the Damage Step) (Quick Effect): You can activate this effect; until the end of this turn, this face-up card is unaffected by the activated effects of your opponent's monsters, also this card gains ATK equal to that opponent's monster's original ATK. Once per turn, when a Spell/Trap Card or effect is activated (Quick Effect): You can negate the activation, and if you do, destroy that card. If this Synchro Summoned card you control is sent to your GY by an opponent's card: You can add 1 WIND monster from your Deck to your hand.",,0.39,1.41,42.69,1.22,1.21,1st Edition,LED8-EN005,Ultra Rare,WIND,Dragon,Synchro/Effect Monster,3000,2500
251321,Crystal Clear Wing Synchro Dragon (Ghost Rare),Crystal Clear Wing Synchro Dragon Ghost Rare,https://tcgplayer-cdn.tcgplayer.com/product/251321_200w.jpg,2,2829,https://cpt.tcgcsv.com/rx03,2022-11-21T17:20:55.37,1,"1 Tuner Synchro Monster + 1 non-Tuner ""Clear Wing"" monster
<br>Once per turn, when your opponent activates a monster effect (except during the Damage Step) (Quick Effect): You can activate this effect; until the end of this turn, this face-up card is unaffected by the activated effects of your opponent's monsters, also this card gains ATK equal to that opponent's monster's original ATK. Once per turn, when a Spell/Trap Card or effect is activated (Quick Effect): You can negate the activation, and if you do, destroy that card. If this Synchro Summoned card you control is sent to your GY by an opponent's card: You can add 1 WIND monster from your Deck to your hand.",,13.99,18.97,499.0,19.24,14.99,1st Edition,LED8-EN005,Ghost Rare,WIND,Dragon,Synchro/Effect Monster,3000,2500
251323,Hi-Speedroid Clear Wing Rider,Hi Speedroid Clear Wing Rider,https://tcgplayer-cdn.tcgplayer.com/product/251323_200w.jpg,2,2829,https://cpt.tcgcsv.com/tx03,2024-08-12T19:54:41.33,1,"1 WIND Tuner + 1 non-Tuner WIND Synchro Monster
<br>Once per turn, during your Main Phase: You can roll a six-sided die and shuffle WIND monsters from your GY into your Deck, up to the result, then, you can destroy cards your opponent controls up to the number shuffled, and if you do, this card gains 500 ATK for each card destroyed by this effect, until the end of this turn. During your opponent's Main Phase (Quick Effect): You can Tribute this Synchro Summoned card; Special Summon up to 2 Level 7 WIND Synchro Monsters with different names from each other from your Extra Deck.",,0.14,0.49,4.99,0.34,0.5,1st Edition,LED8-EN006,Ultra Rare,WIND,Machine,Synchro/Effect Monster,3500,2000
251325,Speedroid Dupligate,Speedroid Dupligate,https://tcgplayer-cdn.tcgplayer.com/product/251325_200w.jpg,2,2829,https://cpt.tcgcsv.com/wx03,2024-08-12T19:54:41.363,1,"Banish 1 WIND monster from your GY, then target 1 card your opponent controls; return it to the hand. During your Main Phase, if this card is in your GY: You can target 1 Level 2 or higher ""Speedroid"" monster you control; reduce its Level by 1, and if you do, Special Summon this card as a Normal Monster (Machine/Tuner/WIND/Level 1/ATK 0/DEF 0). (This card is NOT treated as a Trap.) You can only use this effect of ""Speedroid Dupligate"" once per Duel.",,0.01,0.2,2.0,0.11,0.1,1st Edition,LED8-EN008,Rare,TRAP,,Normal Trap,,
