productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
144947,Red-Eyes B. Dragon,Red Eyes B Dragon,https://tcgplayer-cdn.tcgplayer.com/product/144947_200w.jpg,2,2049,https://cpt.tcgcsv.com/Z-92,2020-12-14T18:38:49.833,1,LEDU-EN000,Common,DARK,Dragon,Normal Monster,2400,2000,<em>A ferocious dragon with a deadly attack.</em>,0.13,0.6,3.99,0.55,,1st Edition
144948,Red-Eyes Baby Dragon,Red Eyes Baby Dragon,https://tcgplayer-cdn.tcgplayer.com/product/144948_200w.jpg,2,2049,https://cpt.tcgcsv.com/--92,2017-09-08T17:40:59.62,1,LEDU-EN001,Ultra Rare,DARK,Dragon,Effect Monster,1200,700,"When this card is destroyed by battle and sent to the GY: You can Special Summon 1 Level 7 or lower ""Red-Eyes"" monster from your Deck, and if you do, equip this card from the GY to it. It gains 300 ATK. If this card is sent to the GY while equipped to a monster: You can add 1 Level 1 Dragon monster from your Deck or GY to your hand.",7.88,10.03,23.99,8.84,,1st Edition
144949,Gearfried the Red-Eyes Iron Knight,Gearfried the Red Eyes Iron Knight,https://tcgplayer-cdn.tcgplayer.com/product/144949_200w.jpg,2,2049,https://cpt.tcgcsv.com/_-92,2019-08-20T13:44:14.233,1,LEDU-EN002,Ultra Rare,DARK,Warrior,Effect Monster,1800,1600,"Once per turn, if either player equips an Equip Card(s) to this card: You can destroy those Equip Cards, then you can destroy 1 Spell/Trap your opponent controls. Once per turn: You can send 1 Equip Card you control that is equipped to this card to the GY, then target 1 Level 7 or lower ""Red-Eyes"" monster in your GY; Special Summon it.",3.0,4.27,9.9,3.93,,1st Edition
144951,Red-Eyes Slash Dragon,Red Eyes Slash Dragon,https://tcgplayer-cdn.tcgplayer.com/product/144951_200w.jpg,2,2049,https://cpt.tcgcsv.com/2_92,2019-10-23T13:36:09.53,1,LEDU-EN003,Ultra Rare,DARK,Dragon,Fusion/Effect Monster,2800,2400,"""Red-Eyes B. Dragon"" + 1 Warrior monster
<br>When a ""Red-Eyes"" monster declares an attack: You can target 1 Warrior monster in your GY; equip it to this card as an Equip Spell Card with this effect. • The equipped monster gains 200 ATK.
<br>When a card or effect is activated that targets a card(s) you control (Quick Effect): You can send 1 Equip Card you control to the GY; negate the activation, and if you do, destroy that card. If this card is destroyed by battle or card effect: You can Special Summon as many monsters that were equipped to this card as possible from your GY.",13.68,18.15,59.99,17.86,,1st Edition
144952,Red-Eyes Fang with Chain,Red Eyes Fang with Chain,https://tcgplayer-cdn.tcgplayer.com/product/144952_200w.jpg,2,2049,https://cpt.tcgcsv.com/3_92,2017-09-08T17:42:05.383,1,LEDU-EN004,Ultra Rare,TRAP,,Normal Trap,,,"Target 1 ""Red-Eyes"" monster you control; equip this card to it. It can make up to 2 attacks on monsters during each Battle Phase. You can send this Equip Card to the GY, then target 1 Effect Monster on the field; equip that target to the monster this card was equipped to, and if you do, while a monster is equipped to it by this effect, its ATK/DEF become equal to the original ATK/DEF of that equipped monster.",10.91,13.39,98.88,13.4,,1st Edition
144953,Red-Eyes Retro Dragon,Red Eyes Retro Dragon,https://tcgplayer-cdn.tcgplayer.com/product/144953_200w.jpg,2,2049,https://cpt.tcgcsv.com/5_92,2017-09-08T17:42:21.98,1,LEDU-EN005,Common,DARK,Dragon,Effect Monster,1700,1600,"If a Level 7 or lower ""Red-Eyes"" monster(s) you control, except ""Red-Eyes B. Chick"", is destroyed by your opponent's attack or card effect and sent to your Graveyard, while this card is in your hand: You can Special Summon this card in Defense Position, and if you do, Special Summon as many of those destroyed monsters as possible in the same position they were in when destroyed. You can Tribute this card; you can Normal Summon 1 ""Red-Eyes"" monster during your Main Phase this turn, except ""Red-Eyes B. Chick"", in addition to your Normal Summon/Set. (You can only gain this effect once per turn.)",0.16,0.35,1.98,0.2,,1st Edition
144954,Red-Eyes Fusion,Red Eyes Fusion,https://tcgplayer-cdn.tcgplayer.com/product/144954_200w.jpg,2,2049,https://cpt.tcgcsv.com/6_92,2017-09-08T17:42:40.823,1,LEDU-EN006,Common,SPELL,,Normal Spell,,,"Fusion Summon 1 Fusion Monster that lists a ""Red-Eyes"" monster as Material from your Extra Deck, using monsters from your hand, Deck, or field as Fusion Materials, and if you do, its name becomes ""Red-Eyes B. Dragon"". You cannot Normal or Special Summon other monsters the turn you activate this card. You can only activate 1 ""Red-Eyes Fusion"" per turn.",0.5,0.89,4.95,0.78,,1st Edition
144955,Inferno Fire Blast,Inferno Fire Blast,https://tcgplayer-cdn.tcgplayer.com/product/144955_200w.jpg,2,2049,https://cpt.tcgcsv.com/7_92,2017-09-08T17:42:59.83,1,LEDU-EN007,Common,SPELL,,Normal Spell,,,"Target 1 face-up ""Red-Eyes B. Dragon"" you control; inflict damage to your opponent equal to its original ATK. ""Red-Eyes B. Dragon"" cannot attack the turn you activate this card.",0.1,0.3,1.36,0.24,,1st Edition
144957,Amazoness Princess,Amazoness Princess,https://tcgplayer-cdn.tcgplayer.com/product/144957_200w.jpg,2,2049,https://cpt.tcgcsv.com/9_92,2017-09-08T17:43:43.717,1,LEDU-EN008,Super Rare,EARTH,Warrior,Effect Monster,1200,900,"This card's name becomes ""Amazoness Queen"" while it is on the field or in the GY. If this card is Normal or Special Summoned: You can add 1 ""Amazoness"" Spell/Trap from your Deck to your hand. You can only use this effect of ""Amazoness Princess"" once per turn. When this card declares an attack: You can send 1 other card from your hand or field to the GY; Special Summon 1 ""Amazoness"" monster from your Deck in Defense Position, except ""Amazoness Princess"".",1.53,2.15,12.99,1.8,,1st Edition
144959,Amazoness Baby Tiger,Amazoness Baby Tiger,https://tcgplayer-cdn.tcgplayer.com/product/144959_200w.jpg,2,2049,https://cpt.tcgcsv.com/c_92,2017-09-08T17:44:36.727,1,LEDU-EN009,Ultra Rare,EARTH,,Effect Monster,500,500,"This card's name becomes ""Amazoness Tiger"" while on the field or in the GY. If an ""Amazoness"" monster(s) is Normal or Special Summoned to your field while this card is in your hand or GY: You can Special Summon this card. You can only use this effect of ""Amazoness Baby Tiger"" once per turn. Gains 100 ATK for each ""Amazoness"" card in your GY.",2.0,3.07,8.0,3.01,,1st Edition
