productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extLinkRating,extLinkArrows,extDefense
176846,Legendary Hero Decks Collector's Set,Legendary Hero Decks Collectors Set,https://tcgplayer-cdn.tcgplayer.com/product/176846_200w.jpg,2,2336,https://cpt.tcgcsv.com/XLq2,2018-09-19T17:29:48.073,1,"Get ready to dispense some Dueling justice this holiday season when the Yu-Gi-Oh! TRADING CARD GAME presents Legendary Hero Decks! This box set comes with 3 unique Decks featuring the kind of monsters you’d want on your side if the fate of the world depended on the outcome of a Duel!
<br><br>Each Legendary Hero Decks box set contains 150 cards:
<br>
<br>• Three 40-card Decks with 10-card Extra Decks.
<br>• Each Deck has 5 Ultra Rares and 45 Commons.
<br><em>(Set content subject to change.)</em>",43.2,48.02,100.0,46.57,,Normal,,,,,,,,,
177586,Xtra HERO Dread Decimator,Xtra HERO Dread Decimator,https://tcgplayer-cdn.tcgplayer.com/product/177586_200w.jpg,2,2336,https://cpt.tcgcsv.com/L2r2,2023-06-22T19:20:53.987,1,"2+ ""HERO"" monsters
<br>This card, also any ""HERO"" monsters it points to, gains 100 ATK for each ""HERO"" monster with different names in your GY. If this card attacks a Defense Position monster, inflict piercing battle damage.",0.1,0.99,5.0,0.8,1.95,1st Edition,LEHD-ENA00,Ultra Rare,DARK,Warrior,Link/Effect Monster,2500,3,Bottom-Right;Bottom;Bottom-Left,
177587,Destiny HERO - Dogma,Destiny HERO Dogma,https://tcgplayer-cdn.tcgplayer.com/product/177587_200w.jpg,2,2336,https://cpt.tcgcsv.com/M2r2,2025-09-20T00:30:49.05,1,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by Tributing 3 monsters, including at least 1 ""Destiny HERO"" monster. Once per turn, if you still control this face-up card during your opponent's next Standby Phase after you Special Summoned it this way: Halve your opponent's LP.",0.03,0.24,1.49,0.15,0.13,1st Edition,LEHD-ENA01,Common,DARK,Warrior,Effect Monster,3400,,,2400
177588,Destiny HERO - Plasma,Destiny HERO Plasma,https://tcgplayer-cdn.tcgplayer.com/product/177588_200w.jpg,2,2336,https://cpt.tcgcsv.com/N2r2,2024-08-12T19:55:30.823,1,Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by Tributing 3 monsters. Negate the effects of face-up monsters while your opponent controls them. Once per turn: You can target 1 monster your opponent controls; equip that target to this card (max. 1). This card gains ATK equal to half the original ATK of the monster equipped to it by this effect.,0.19,0.3,2.23,0.22,0.2,1st Edition,LEHD-ENA02,Common,DARK,Warrior,Effect Monster,1900,,,600
177589,Destiny HERO - Dreadmaster,Destiny HERO Dreadmaster,https://tcgplayer-cdn.tcgplayer.com/product/177589_200w.jpg,2,2336,https://cpt.tcgcsv.com/P2r2,2018-10-08T15:37:17.523,1,"If this card is Special Summoned by ""Clock Tower Prison"": Destroy all monsters you control, except ""Destiny HERO"" monsters, also, after that, you can Special Summon up to 2 ""Destiny HERO"" monsters from your GY. After this card is Special Summoned, for the rest of this turn, ""Destiny HERO"" monsters you control cannot be destroyed, also you take no battle damage when they battle. The ATK/DEF of this card are equal to the combined original ATK of all other ""Destiny HERO"" monsters you control.",0.08,0.26,1.49,0.27,0.16,1st Edition,LEHD-ENA03,Common,DARK,Warrior,Effect Monster,,,,
177590,Destiny HERO - Malicious,Destiny HERO Malicious,https://tcgplayer-cdn.tcgplayer.com/product/177590_200w.jpg,2,2336,https://cpt.tcgcsv.com/Q2r2,2022-07-02T18:47:56.6,1,"You can banish this card from your GY; Special Summon 1 ""Destiny HERO - Malicious"" from your Deck.",0.14,0.96,6.97,0.94,0.91,1st Edition,LEHD-ENA04,Common,DARK,Warrior,Effect Monster,800,,,800
177591,Destiny HERO - Malicious (UR),Destiny HERO Malicious UR,https://tcgplayer-cdn.tcgplayer.com/product/177591_200w.jpg,2,2336,https://cpt.tcgcsv.com/R2r2,2024-04-16T12:01:05.677,1,"You can banish this card from your GY; Special Summon 1 ""Destiny HERO - Malicious"" from your Deck.",0.1,0.5,8.99,0.38,0.24,1st Edition,LEHD-ENA04,Ultra Rare,DARK,Warrior,Effect Monster,800,,,800
177592,Destiny HERO - Celestial,Destiny HERO Celestial,https://tcgplayer-cdn.tcgplayer.com/product/177592_200w.jpg,2,2336,https://cpt.tcgcsv.com/S2r2,2024-08-12T19:55:30.887,1,"When this card declares an attack: You can target 1 face-up Spell your opponent controls; destroy it, and if you do, inflict 500 damage to your opponent. While you have no cards in your hand, except the turn this card was sent to the GY: You can banish this card and 1 ""Destiny HERO"" monster from your GY; draw 2 cards. You can only use this effect of ""Destiny HERO - Celestial"" once per turn.",0.05,0.35,2.29,0.19,0.17,1st Edition,LEHD-ENA05,Common,DARK,Warrior,Effect Monster,1600,,,1400
177593,Destiny HERO - Diamond Dude,Destiny HERO Diamond Dude,https://tcgplayer-cdn.tcgplayer.com/product/177593_200w.jpg,2,2336,https://cpt.tcgcsv.com/T2r2,2023-05-28T11:14:59.377,1,"Once per turn: You can excavate the top card of your Deck, and if it is a Normal Spell, send it to the GY, otherwise place it on the bottom of your Deck. During the Main Phase of your next turn, you can activate the effect of that Spell in your GY (even if you no longer control this face-up card).",0.09,0.22,1.49,0.14,0.11,1st Edition,LEHD-ENA06,Common,DARK,Warrior,Effect Monster,1400,,,1600
177594,Destiny HERO - Dread Servant,Destiny HERO Dread Servant,https://tcgplayer-cdn.tcgplayer.com/product/177594_200w.jpg,2,2336,https://cpt.tcgcsv.com/V2r2,2018-10-08T15:41:28.863,1,"If this card is Normal Summoned: Place 1 Clock Counter on each ""Clock Tower Prison"". When this card is destroyed by battle and sent to the GY: You can target 1 Spell/Trap you control; destroy that target.",0.05,0.24,1.49,0.22,0.11,1st Edition,LEHD-ENA07,Common,DARK,Warrior,Effect Monster,400,,,700
