productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extUPC
562065,Light of Destruction - Booster Box (2020 Date Reprint),Light of Destruction Booster Box 2020 Date Reprint,https://tcgplayer-cdn.tcgplayer.com/product/562065_200w.jpg,2,23579,https://cpt.tcgcsv.com/kRv6,2024-09-13T17:59:26.68,1,"Light of Destruction was the first glimpse into the Realm of Light where the Lightsworn dwelled, training to deliver justice in whatever form that would take. Whether it be a paladin, a sorceress, an angel or even a dragon larger than any mountain; they would appear to destroy the wicked and vanish without a trace.
<br>Over the next few months Duelists will have 3 chances to bolster their forces of justice with this Light of Destruction unlimited print, Structure Deck: Realm of Light unlimited print and brand-new cards available in the upcoming core booster Legacy of Destruction!
<br>Light of Destruction was not only renowned for its introduction of Lightsworn but also some iconic cards that were played for many years following its release such as Gladiator Beast Gyzarus, Hero Blast and Substitoad. You can relive those eras with the Time Wizard format! It also introduced cards that have been used even more recently! Cards such as Fossil Dyna Pachycephalo and Deck Lockdown.
<br>There is so much packed into this retro booster! Honestly though, there is just one more thing…for the first time since 2008 you can see Honest making its return in glorious Ghost rare.
<br>The complete Light of Destruction booster set contains 100 cards",62.99,79.98,95.0,77.49,,Normal,,,,,,,,
562066,Light of Destruction - Booster Pack [2020 Date Reprint],Light of Destruction Booster Pack 2020 Date Reprint,https://tcgplayer-cdn.tcgplayer.com/product/562066_200w.jpg,2,23579,https://cpt.tcgcsv.com/lRv6,2024-09-13T18:00:13.56,1,"Light of Destruction was the first glimpse into the Realm of Light where the Lightsworn dwelled, training to deliver justice in whatever form that would take. Whether it be a paladin, a sorceress, an angel or even a dragon larger than any mountain; they would appear to destroy the wicked and vanish without a trace.
<br>Over the next few months Duelists will have 3 chances to bolster their forces of justice with this Light of Destruction unlimited print, Structure Deck: Realm of Light unlimited print and brand-new cards available in the upcoming core booster Legacy of Destruction!
<br>Light of Destruction was not only renowned for its introduction of Lightsworn but also some iconic cards that were played for many years following its release such as Gladiator Beast Gyzarus, Hero Blast and Substitoad. You can relive those eras with the Time Wizard format! It also introduced cards that have been used even more recently! Cards such as Fossil Dyna Pachycephalo and Deck Lockdown.
<br>There is so much packed into this retro booster! Honestly though, there is just one more thing…for the first time since 2008 you can see Honest making its return in glorious Ghost rare.
<br>The complete Light of Destruction booster set contains 100 cards",4.7,4.99,6.65,4.89,,Normal,,,,,,,,
562176,Guardian of Order,Guardian of Order,https://tcgplayer-cdn.tcgplayer.com/product/562176_200w.jpg,2,23579,https://cpt.tcgcsv.com/xTv6,2025-05-15T19:26:07.483,0,"If you control 2 or more LIGHT monsters, you can Special Summon this card from your hand. you can only control 1 ""Guardian of Order"".",0.95,1.72,9.99,1.72,,Unlimited,LODT-EN000,Secret Rare,LIGHT,Warior,Effect Monster,2500,1200,
562177,Honest,Honest,https://tcgplayer-cdn.tcgplayer.com/product/562177_200w.jpg,2,23579,https://cpt.tcgcsv.com/zTv6,2025-05-15T19:26:07.553,0,"During your Main Phase, you can return this card from the field to it's owner's hand. During either player's Damage Step, when a face-up LIGHT monster you control battles, you can send this card from your hand to the Graveyard to have that monster gain ATK equal to the ATK of the opponent's monster it is battling, until the End Phase.",13.1,14.41,25.99,10.68,,Unlimited,LODT-EN001,Secret Rare,LIGHT,Fairy,Effect Monster,1100,1900,
562178,Honest (Ghost Rare),Honest Ghost Rare,https://tcgplayer-cdn.tcgplayer.com/product/562178_200w.jpg,2,23579,https://cpt.tcgcsv.com/BTv6,2025-05-15T19:26:07.6,0,"During your Main Phase, you can return this card from the field to it's owner's hand. During either player's Damage Step, when a face-up LIGHT monster you control battles, you can send this card from your hand to the Graveyard to have that monster gain ATK equal to the ATK of the opponent's monster it is battling, until the End Phase.",53.0,58.94,120.0,53.49,,Unlimited,LODT-EN001,Ghost Rare,LIGHT,,,1100,1900,
562179,Cross Porter,Cross Porter,https://tcgplayer-cdn.tcgplayer.com/product/562179_200w.jpg,2,23579,https://cpt.tcgcsv.com/CTv6,2025-05-15T19:26:07.633,0,"You can send 1 monster you control to the Graveyard and Special Summon 1 ""Neo-Spacian"" monster from your hand. When this card is sent to the Graveyard, you can add 1 ""Neo-Spacian"" monster from your Deck to your hand.",3.99,3.99,3.99,,,1st Edition,LODT-EN002,Common,DARK,Warrior,Effect Monster,400,400,
562179,Cross Porter,Cross Porter,https://tcgplayer-cdn.tcgplayer.com/product/562179_200w.jpg,2,23579,https://cpt.tcgcsv.com/CTv6,2025-05-15T19:26:07.633,0,"You can send 1 monster you control to the Graveyard and Special Summon 1 ""Neo-Spacian"" monster from your hand. When this card is sent to the Graveyard, you can add 1 ""Neo-Spacian"" monster from your Deck to your hand.",0.05,0.25,1.19,0.09,,Unlimited,LODT-EN002,Common,DARK,Warrior,Effect Monster,400,400,
562180,Miracle Flipper,Miracle Flipper,https://tcgplayer-cdn.tcgplayer.com/product/562180_200w.jpg,2,23579,https://cpt.tcgcsv.com/DTv6,2025-05-15T19:26:07.68,0,"If you control a ""Miracle Flipper"", you cannot Summon this card. Your opponent cannot select another face-up monster as an attack target. If this card is destroyed by battle, Special Summon it to your opponent's side of the field at the end of the Battle Phase. If this card is destroyed by the effect of a Spell or Trap Card, destroy 1 monster your opponent controls.",0.01,0.13,0.5,0.11,,Unlimited,LODT-EN003,Common,LIGHT,Spellcaster,Effect Monster,300,500,
562181,Destiny Hero - Dread Servant,Destiny Hero Dread Servant,https://tcgplayer-cdn.tcgplayer.com/product/562181_200w.jpg,2,23579,https://cpt.tcgcsv.com/FTv6,2025-05-15T19:26:07.727,0,"When this card is Normal Summoned, place 1 Clock Counter on ""Clock Tower Prison."" When this card is destroyed by battle and sent to the Graveyard, you can destroy 1 Spell or Trap Card you control.",0.06,0.06,0.06,,,1st Edition,LODT-EN004,Common,DARK,Warrior,Effect Monster,400,700,
562181,Destiny Hero - Dread Servant,Destiny Hero Dread Servant,https://tcgplayer-cdn.tcgplayer.com/product/562181_200w.jpg,2,23579,https://cpt.tcgcsv.com/FTv6,2025-05-15T19:26:07.727,0,"When this card is Normal Summoned, place 1 Clock Counter on ""Clock Tower Prison."" When this card is destroyed by battle and sent to the Graveyard, you can destroy 1 Spell or Trap Card you control.",0.02,0.15,0.74,0.04,,Unlimited,LODT-EN004,Common,DARK,Warrior,Effect Monster,400,700,
