productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC
26695,Honest,Honest,https://tcgplayer-cdn.tcgplayer.com/product/26695_200w.jpg,2,247,https://cpt.tcgcsv.com/WHd,2013-05-09T12:13:41.653,1,LODT-EN001,Secret Rare,Light,Fairy,Effect Monster,1100,1900,"During your Main Phase, you can return this card from the field to it's owner's hand. During either player's Damage Step, when a face-up LIGHT monster you control battles, you can send this card from your hand to the Graveyard to have that monster gain ATK equal to the ATK of the opponent's monster it is battling, until the End Phase.",28.63,33.31,59.94,38.63,,Unlimited,
26695,Honest,Honest,https://tcgplayer-cdn.tcgplayer.com/product/26695_200w.jpg,2,247,https://cpt.tcgcsv.com/WHd,2013-05-09T12:13:41.653,1,LODT-EN001,Secret Rare,Light,Fairy,Effect Monster,1100,1900,"During your Main Phase, you can return this card from the field to it's owner's hand. During either player's Damage Step, when a face-up LIGHT monster you control battles, you can send this card from your hand to the Graveyard to have that monster gain ATK equal to the ATK of the opponent's monster it is battling, until the End Phase.",50.0,85.42,126.1,97.24,,1st Edition,
26696,Cross Porter,Cross Porter,https://tcgplayer-cdn.tcgplayer.com/product/26696_200w.jpg,2,247,https://cpt.tcgcsv.com/XHd,2013-05-09T12:13:41.653,1,LODT-EN002,Common,Dark,Warrior,Effect Monster,400,400,"You can send 1 monster you control to the Graveyard and Special Summon 1 ""Neo-Spacian"" monster from your hand. When this card is sent to the Graveyard, you can add 1 ""Neo-Spacian"" monster from your Deck to your hand.",0.1,0.35,1.49,0.34,,Unlimited,
26696,Cross Porter,Cross Porter,https://tcgplayer-cdn.tcgplayer.com/product/26696_200w.jpg,2,247,https://cpt.tcgcsv.com/XHd,2013-05-09T12:13:41.653,1,LODT-EN002,Common,Dark,Warrior,Effect Monster,400,400,"You can send 1 monster you control to the Graveyard and Special Summon 1 ""Neo-Spacian"" monster from your hand. When this card is sent to the Graveyard, you can add 1 ""Neo-Spacian"" monster from your Deck to your hand.",0.25,0.54,1.99,0.54,,1st Edition,
26697,Miracle Flipper,Miracle Flipper,https://tcgplayer-cdn.tcgplayer.com/product/26697_200w.jpg,2,247,https://cpt.tcgcsv.com/ZHd,2013-05-09T12:13:41.653,1,LODT-EN003,Common,Light,Spellcaster,Effect Monster,300,500,"If you control a ""Miracle Flipper"", you cannot Summon this card. Your opponent cannot select another face-up monster as an attack target. If this card is destroyed by battle, Special Summon it to your opponent's side of the field at the end of the Battle Phase. If this card is destroyed by the effect of a Spell or Trap Card, destroy 1 monster your opponent controls.",0.04,0.25,1.35,0.14,,Unlimited,
26697,Miracle Flipper,Miracle Flipper,https://tcgplayer-cdn.tcgplayer.com/product/26697_200w.jpg,2,247,https://cpt.tcgcsv.com/ZHd,2013-05-09T12:13:41.653,1,LODT-EN003,Common,Light,Spellcaster,Effect Monster,300,500,"If you control a ""Miracle Flipper"", you cannot Summon this card. Your opponent cannot select another face-up monster as an attack target. If this card is destroyed by battle, Special Summon it to your opponent's side of the field at the end of the Battle Phase. If this card is destroyed by the effect of a Spell or Trap Card, destroy 1 monster your opponent controls.",0.1,0.32,1.77,0.33,,1st Edition,
26698,Destiny Hero - Dread Servant,Destiny Hero Dread Servant,https://tcgplayer-cdn.tcgplayer.com/product/26698_200w.jpg,2,247,https://cpt.tcgcsv.com/-Hd,2013-05-09T12:13:41.653,1,LODT-EN004,Common,Dark,Warrior,Effect Monster,400,700,"When this card is Normal Summoned, place 1 Clock Counter on ""Clock Tower Prison."" When this card is destroyed by battle and sent to the Graveyard, you can destroy 1 Spell or Trap Card you control.",0.1,0.26,1.41,0.26,,Unlimited,
26698,Destiny Hero - Dread Servant,Destiny Hero Dread Servant,https://tcgplayer-cdn.tcgplayer.com/product/26698_200w.jpg,2,247,https://cpt.tcgcsv.com/-Hd,2013-05-09T12:13:41.653,1,LODT-EN004,Common,Dark,Warrior,Effect Monster,400,700,"When this card is Normal Summoned, place 1 Clock Counter on ""Clock Tower Prison."" When this card is destroyed by battle and sent to the Graveyard, you can destroy 1 Spell or Trap Card you control.",0.09,0.38,0.99,0.39,0.31,1st Edition,
26699,Volcanic Queen,Volcanic Queen,https://tcgplayer-cdn.tcgplayer.com/product/26699_200w.jpg,2,247,https://cpt.tcgcsv.com/_Hd,2018-10-23T17:44:09.67,1,LODT-EN005,Common,FIRE,Pyro,Effect Monster,2500,1200,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned from your hand to your opponent's side of the field by Tributing 1 monster your opponent controls. If you Special Summon this card, you cannot Normal Summon or Set this turn. Once per turn, you can send 1 other card you control to the Graveyard to inflict 1000 damage to your opponent. During your End Phase, either Tribute 1 other monster or take 1000 damage.",0.1,0.43,4.99,0.26,,Unlimited,
26699,Volcanic Queen,Volcanic Queen,https://tcgplayer-cdn.tcgplayer.com/product/26699_200w.jpg,2,247,https://cpt.tcgcsv.com/_Hd,2018-10-23T17:44:09.67,1,LODT-EN005,Common,FIRE,Pyro,Effect Monster,2500,1200,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned from your hand to your opponent's side of the field by Tributing 1 monster your opponent controls. If you Special Summon this card, you cannot Normal Summon or Set this turn. Once per turn, you can send 1 other card you control to the Graveyard to inflict 1000 damage to your opponent. During your End Phase, either Tribute 1 other monster or take 1000 damage.",0.19,0.49,4.98,0.4,,1st Edition,
