productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
231514,Lightning Overdrive Booster Pack [1st Edition],Lightning Overdrive Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/231514_200w.jpg,2,2779,https://cpt.tcgcsv.com/jDS2,2021-06-04T22:10:46.18,1,Each pack contains 9 random cards.,083717852759,1.83,3.61,8.44,2.42,,Normal,,,,,,,,,
231515,Lightning Overdrive Booster Box [1st Edition],Lightning Overdrive Booster Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/231515_200w.jpg,2,2779,https://cpt.tcgcsv.com/kDS2,2021-06-04T22:10:51.973,1,"Each box contains 24 packs, with each pack containing 9 random cards.",083717852766,33.72,59.99,84.99,36.14,,Normal,,,,,,,,,
239453,Diviner of the Herald,Diviner of the Herald,https://tcgplayer-cdn.tcgplayer.com/product/239453_200w.jpg,2,2779,https://cpt.tcgcsv.com/5PW2,2022-01-15T20:27:35.23,1,"If this card is Normal or Special Summoned: You can send 1 Fairy monster from your Deck or Extra Deck to the GY, and if you do, increase this card's Level by that monster's Level, until the end of this turn. If this card is Tributed: You can Special Summon 1 Level 2 or lower Fairy monster from your hand or Deck, except ""Diviner of the Herald"". You can only use each effect of ""Diviner of the Herald"" once per turn.",,5.33,24.99,75.0,6.18,19.75,1st Edition,LIOV-EN000,Secret Rare,LIGHT,Fairy,Tuner/Effect Monster,500,300,,
239454,ZW - Pegasus Twin Saber,ZW Pegasus Twin Saber,https://tcgplayer-cdn.tcgplayer.com/product/239454_200w.jpg,2,2779,https://cpt.tcgcsv.com/6PW2,2024-08-12T19:58:41.517,1,"You can only control 1 ""ZW - Pegasus Twin Saber"". If your opponent's LP are at least 2000 higher than yours, you can Special Summon this card (from your hand). You can target 1 ""Utopia"" monster you control; equip this card you control to it as an Equip Spell that gives it 1000 ATK. Once per turn, while this card is equipped to a monster, you can negate a monster effect activated on your opponent's field.",,0.01,0.18,1.49,0.09,0.1,1st Edition,LIOV-EN001,Common,LIGHT,Beast,Effect Monster,1000,2100,,
239455,ZS - Armed Sage,ZS Armed Sage,https://tcgplayer-cdn.tcgplayer.com/product/239455_200w.jpg,2,2779,https://cpt.tcgcsv.com/7PW2,2024-10-11T08:58:26.23,1,"If the only monster you control is 1 Level 4 monster not named ""ZS - Armed Sage"", you can Special Summon this card (from your hand). A ""Utopia"" Xyz Monster that was Summoned using this card on the field as material gains this effect.
<br>• If this card is Xyz Summoned: You can add 1 ""ZW -"" monster from your Deck to your hand.
You can only use this effect of ""ZS - Armed Sage"" once per turn.",,0.01,0.17,1.49,0.06,0.05,1st Edition,LIOV-EN002,Common,LIGHT,Warrior,Effect Monster,300,900,,
239456,ZS - Ascended Sage,ZS Ascended Sage,https://tcgplayer-cdn.tcgplayer.com/product/239456_200w.jpg,2,2779,https://cpt.tcgcsv.com/8PW2,2023-07-27T13:05:08.827,1,"If you control no cards, you can Special Summon this card (from your hand). A ""Utopia"" Xyz Monster that was Summoned using this card on the field as material gains this effect.
<br>• If this card is Xyz Summoned: You can add 1 ""Rank-Up-Magic"" Normal Spell from your Deck to your hand.
<br>You can only use this effect of ""ZS - Ascended Sage"" once per turn.",,0.25,0.72,15.0,0.38,,1st Edition,LIOV-EN003,Ultra Rare,LIGHT,Warrior,Effect Monster,900,300,,
239457,Supreme Sovereign Serpent of Golgonda,Supreme Sovereign Serpent of Golgonda,https://tcgplayer-cdn.tcgplayer.com/product/239457_200w.jpg,2,2779,https://cpt.tcgcsv.com/9PW2,2024-08-12T19:58:41.647,1,"While ""Great Sand Sea - Gold Golgonda"" is on the field, this card's original ATK becomes 3000. You can only use each of the following effects of ""Supreme Sovereign Serpent of Golgonda"" once per turn. While this card is in your hand or GY, if you control a face-up card in your Field Zone: You can Special Summon this card, but banish it when it leaves the field. If ""Great Sand Sea - Gold Golgonda"" on the field would be destroyed by card effect, you can banish 1 monster from your GY instead.",,0.01,0.3,2.0,0.18,0.23,1st Edition,LIOV-EN004,Super Rare,FIRE,Reptile,Effect Monster,,0,,
239458,Springans Brothers,Springans Brothers,https://tcgplayer-cdn.tcgplayer.com/product/239458_200w.jpg,2,2779,https://cpt.tcgcsv.com/bPW2,2024-10-25T03:39:54.797,1,"If this card is sent from the hand or Deck to the GY: You can target 1 ""Springans"" monster in your GY, except ""Springans Brothers""; Special Summon it in Defense Position. If this card is in your hand, field, or GY: You can target 1 ""Springans"" Xyz Monster you control; attach this card to it as material. You can only use each effect of ""Springans Brothers"" once per turn.",,0.01,0.2,1.49,0.13,0.19,1st Edition,LIOV-EN005,Common,FIRE,Machine,Effect Monster,300,1800,,
239460,Amazement Administrator Arlekino,Amazement Administrator Arlekino,https://tcgplayer-cdn.tcgplayer.com/product/239460_200w.jpg,2,2779,https://cpt.tcgcsv.com/dPW2,2021-06-04T04:03:41.01,1,"Once per turn: You can banish any number of ""Attraction"" Traps from your GY, then target that many cards your opponent controls; destroy them. You can only use each of the following effects of ""Amazement Administrator Arlekino"" once per turn. If a Trap Card is activated (except during the Damage Step): You can Special Summon this card from your hand. If your opponent Normal or Special Summons a monster(s) (except during the Damage Step): You can target 1 of those face-up monsters they control; equip 1 ""Attraction"" Trap from your Deck to that target.",,0.75,1.72,26.79,1.3,0.75,1st Edition,LIOV-EN006,Secret Rare,DARK,Psychic,Effect Monster,2600,2200,,
239461,Amazement Ambassador Bufo,Amazement Ambassador Bufo,https://tcgplayer-cdn.tcgplayer.com/product/239461_200w.jpg,2,2779,https://cpt.tcgcsv.com/fPW2,2024-08-12T19:58:41.743,1,"When this card is Normal Summoned: You can target 1 ""Attraction"" Trap in your GY and 1 face-up monster your opponent controls; equip that Trap to your opponent's monster. (Quick Effect): You can target 1 of your ""Attraction"" Traps equipped to a monster; equip it to 1 ""Amazement"" monster you control or 1 face-up monster your opponent controls. You can only use this effect of ""Amazement Ambassador Bufo"" once per turn.",,0.01,0.15,1.49,0.09,0.09,1st Edition,LIOV-EN007,Common,EARTH,Beast,Effect Monster,1600,900,,
239462,Amazement Attendant Comica,Amazement Attendant Comica,https://tcgplayer-cdn.tcgplayer.com/product/239462_200w.jpg,2,2779,https://cpt.tcgcsv.com/gPW2,2021-06-04T04:03:41.01,1,"When this card is Normal Summoned: You can Set 1 ""Attraction"" Trap directly from your Deck. (Quick Effect): You can target 1 of your ""Attraction"" Traps equipped to a monster; equip it to 1 ""Amazement"" monster you control or 1 face-up monster your opponent controls. You can only use this effect of ""Amazement Attendant Comica"" once per turn.",,0.18,0.74,7.99,0.51,0.48,1st Edition,LIOV-EN008,Ultra Rare,LIGHT,Machine,Effect Monster,1400,1800,,
239463,Roxrose Dragon,Roxrose Dragon,https://tcgplayer-cdn.tcgplayer.com/product/239463_200w.jpg,2,2779,https://cpt.tcgcsv.com/hPW2,2024-08-12T19:58:41.777,1,"If this card is Normal or Special Summoned: You can add 1 card that specifically lists ""Black Rose Dragon"" in its text, from your Deck to your hand, except ""Roxrose Dragon"". While this card is in your GY, if a face-up ""Rose Dragon"" monster(s) or Plant Synchro Monster(s) you control is destroyed by battle or an opponent's card effect: You can add this card to your hand. You can only use each effect of ""Roxrose Dragon"" once per turn.",,0.2,0.73,12.0,0.53,1.49,1st Edition,LIOV-EN009,Super Rare,DARK,Dragon,Tuner/Effect Monster,1600,1200,,
239464,Ruddy Rose Witch,Ruddy Rose Witch,https://tcgplayer-cdn.tcgplayer.com/product/239464_200w.jpg,2,2779,https://cpt.tcgcsv.com/jPW2,2024-08-12T19:58:41.807,1,"You can Tribute this card; add 1 ""Witch of the Black Rose"" from your Deck to your hand, and if you do, take 1 Level 3 or lower Plant monster from your Deck and place it on top of your Deck, then immediately after this effect resolves, you can Normal Summon 1 ""Witch of the Black Rose"" from your hand. You can banish this card from your GY; return 1 of your ""Black Rose Dragon"" or ""Ruddy Rose Dragon"" that is banished or in your GY to the Extra Deck. You can only use each effect of ""Ruddy Rose Witch"" once per turn.",,0.05,0.5,2.0,0.49,0.5,1st Edition,LIOV-EN010,Super Rare,LIGHT,Plant,Tuner/Effect Monster,800,1700,,
