productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extMonsterType
21724,Adhesion Trap Hole,Adhesion Trap Hole,https://tcgplayer-cdn.tcgplayer.com/product/21724_200w.jpg,2,250,https://cpt.tcgcsv.com/vJb,2017-09-18T20:20:05.51,1,MFC-050,Common,TRAP,Normal Trap,0,0,"You can only activate this card when your opponent successfully Normal Summons, Flip Summons, or Special Summons a monster. As long as that monster remains face-up on the field, the original ATK of the monster is halved.",0.16,0.42,1.59,0.68,,Unlimited,
21724,Adhesion Trap Hole,Adhesion Trap Hole,https://tcgplayer-cdn.tcgplayer.com/product/21724_200w.jpg,2,250,https://cpt.tcgcsv.com/vJb,2017-09-18T20:20:05.51,1,MFC-050,Common,TRAP,Normal Trap,0,0,"You can only activate this card when your opponent successfully Normal Summons, Flip Summons, or Special Summons a monster. As long as that monster remains face-up on the field, the original ATK of the monster is halved.",0.22,0.55,1.75,1.18,,1st Edition,
21727,Aitsu,Aitsu,https://tcgplayer-cdn.tcgplayer.com/product/21727_200w.jpg,2,250,https://cpt.tcgcsv.com/zJb,2013-05-09T12:13:41.653,1,MFC-056,Common,FIRE,Normal Monster,100,100,"He seems to be very unreliable, but he might have incredible potential.",0.08,0.22,3.01,0.2,,Unlimited,Fairy
21727,Aitsu,Aitsu,https://tcgplayer-cdn.tcgplayer.com/product/21727_200w.jpg,2,250,https://cpt.tcgcsv.com/zJb,2013-05-09T12:13:41.653,1,MFC-056,Common,FIRE,Normal Monster,100,100,"He seems to be very unreliable, but he might have incredible potential.",0.13,0.38,1.98,0.33,,1st Edition,Fairy
21729,Amazoness Archers,Amazoness Archers,https://tcgplayer-cdn.tcgplayer.com/product/21729_200w.jpg,2,250,https://cpt.tcgcsv.com/CJb,2024-07-22T14:15:26.82,1,MFC-096,Super Rare,TRAP,Normal Trap,0,0,"This card can only be activated when your opponent attacks and you control a monster on your side of the field that includes ""Amazoness"" in its card name, or is named ""Amazon Archer"". All monsters on your opponent's side of the field become face-up Attack Position (Flip Effects are not activated) and as long as they remain face-up on the field decrease their ATK by 500 points. Your opponent must attack with all of these monsters this turn.",0.3,0.96,5.99,0.89,,Unlimited,
21729,Amazoness Archers,Amazoness Archers,https://tcgplayer-cdn.tcgplayer.com/product/21729_200w.jpg,2,250,https://cpt.tcgcsv.com/CJb,2024-07-22T14:15:26.82,1,MFC-096,Super Rare,TRAP,Normal Trap,0,0,"This card can only be activated when your opponent attacks and you control a monster on your side of the field that includes ""Amazoness"" in its card name, or is named ""Amazon Archer"". All monsters on your opponent's side of the field become face-up Attack Position (Flip Effects are not activated) and as long as they remain face-up on the field decrease their ATK by 500 points. Your opponent must attack with all of these monsters this turn.",1.18,2.09,9.99,1.87,,1st Edition,
21730,Amazoness Blowpiper,Amazoness Blowpiper,https://tcgplayer-cdn.tcgplayer.com/product/21730_200w.jpg,2,250,https://cpt.tcgcsv.com/DJb,2013-05-09T12:13:41.653,1,MFC-062,Common,EARTH,Effect Monster,800,1500,Select 1 face-up monster on your opponent''s side of the field during each of your Standby Phases. Decrease the ATK of the selected monster by 500 points until the end of this turn.,0.13,0.35,1.5,0.38,,Unlimited,Warrior
21730,Amazoness Blowpiper,Amazoness Blowpiper,https://tcgplayer-cdn.tcgplayer.com/product/21730_200w.jpg,2,250,https://cpt.tcgcsv.com/DJb,2013-05-09T12:13:41.653,1,MFC-062,Common,EARTH,Effect Monster,800,1500,Select 1 face-up monster on your opponent''s side of the field during each of your Standby Phases. Decrease the ATK of the selected monster by 500 points until the end of this turn.,0.18,0.55,1.27,0.77,,1st Edition,Warrior
21731,Amazoness Fighter,Amazoness Fighter,https://tcgplayer-cdn.tcgplayer.com/product/21731_200w.jpg,2,250,https://cpt.tcgcsv.com/FJb,2021-12-29T16:48:08.12,1,MFC-060,Common,EARTH,Effect Monster,1500,1300,All Battle Damage to this card''s controller that he/she takes from a battle involving this monster becomes 0.,0.36,1.01,2.99,1.03,,Unlimited,Warrior
21731,Amazoness Fighter,Amazoness Fighter,https://tcgplayer-cdn.tcgplayer.com/product/21731_200w.jpg,2,250,https://cpt.tcgcsv.com/FJb,2021-12-29T16:48:08.12,1,MFC-060,Common,EARTH,Effect Monster,1500,1300,All Battle Damage to this card''s controller that he/she takes from a battle involving this monster becomes 0.,0.73,2.42,3.96,2.42,,1st Edition,Warrior
21732,Amazoness Paladin,Amazoness Paladin,https://tcgplayer-cdn.tcgplayer.com/product/21732_200w.jpg,2,250,https://cpt.tcgcsv.com/GJb,2013-05-09T12:13:41.653,1,MFC-059,Common,EARTH,Effect Monster,1700,300,"Increase the ATK of this monster by 100 points for each monster on your side of the field that includes Amazoness in its card name, or is named Amazon Archer.",0.1,0.3,1.46,0.3,,Unlimited,Warrior
21732,Amazoness Paladin,Amazoness Paladin,https://tcgplayer-cdn.tcgplayer.com/product/21732_200w.jpg,2,250,https://cpt.tcgcsv.com/GJb,2013-05-09T12:13:41.653,1,MFC-059,Common,EARTH,Effect Monster,1700,300,"Increase the ATK of this monster by 100 points for each monster on your side of the field that includes Amazoness in its card name, or is named Amazon Archer.",0.2,0.5,1.56,0.42,,1st Edition,Warrior
21733,Amazoness Spellcaster,Amazoness Spellcaster,https://tcgplayer-cdn.tcgplayer.com/product/21733_200w.jpg,2,250,https://cpt.tcgcsv.com/HJb,2013-05-09T12:13:41.653,1,MFC-084,Common,SPELL,Normal Spell,0,0,"Until the end of this turn, switch the original ATK of 1 face-up monster on your side of the field that includes Amazoness in its card name, or is named Amazon Archer, with the original ATK of 1 face-up monster on your opponent''s side of the field.",0.05,0.35,1.46,0.35,,Unlimited,
21733,Amazoness Spellcaster,Amazoness Spellcaster,https://tcgplayer-cdn.tcgplayer.com/product/21733_200w.jpg,2,250,https://cpt.tcgcsv.com/HJb,2013-05-09T12:13:41.653,1,MFC-084,Common,SPELL,Normal Spell,0,0,"Until the end of this turn, switch the original ATK of 1 face-up monster on your side of the field that includes Amazoness in its card name, or is named Amazon Archer, with the original ATK of 1 face-up monster on your opponent''s side of the field.",0.08,0.49,1.99,0.63,,1st Edition,
21734,Amazoness Swords Woman,Amazoness Swords Woman,https://tcgplayer-cdn.tcgplayer.com/product/21734_200w.jpg,2,250,https://cpt.tcgcsv.com/JJb,2013-05-09T12:13:41.653,1,MFC-061,Ultra Rare,EARTH,Effect Monster,1500,1600,The opponent takes all Battle Damage to this card''s controller that he/she takes from a battle involving this monster.,3.36,7.21,20.0,6.97,,Unlimited,Warrior
21734,Amazoness Swords Woman,Amazoness Swords Woman,https://tcgplayer-cdn.tcgplayer.com/product/21734_200w.jpg,2,250,https://cpt.tcgcsv.com/JJb,2013-05-09T12:13:41.653,1,MFC-061,Ultra Rare,EARTH,Effect Monster,1500,1600,The opponent takes all Battle Damage to this card''s controller that he/she takes from a battle involving this monster.,8.46,18.32,46.6,17.88,,1st Edition,Warrior
21735,Amazoness Tiger,Amazoness Tiger,https://tcgplayer-cdn.tcgplayer.com/product/21735_200w.jpg,2,250,https://cpt.tcgcsv.com/KJb,2013-05-09T12:13:41.653,1,MFC-063,Rare,EARTH,Effect Monster,1100,1500,"Only 1 Amazoness Tiger can exist on your side of the field at a time. Increase the ATK of this monster by 400 points for each monster on your side of the field that includes Amazoness in its name, or is named Amazon Archer. As long as this card remains face-up on the field, your opponent cannot select another monster on your side of the field that includes Amazoness in its name, or is named Amazon Archer, as an attack target.",0.25,0.49,1.56,0.57,,Unlimited,Beast
