productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
282045,Magnificent Mavens Booster Pack,Magnificent Mavens Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/282045_200w.jpg,2,3154,https://cpt.tcgcsv.com/WQg3,2022-11-04T04:03:10.947,1,Each pack contains 5 cards.,083717858164,7.96,9.86,20.99,8.42,,Normal,,,,,,,,,
282048,Magnificent Mavens Box,Magnificent Mavens Box,https://tcgplayer-cdn.tcgplayer.com/product/282048_200w.jpg,2,3154,https://cpt.tcgcsv.com/-Qg3,2022-11-04T04:03:10.947,1,"Magnificent Mavens, the 2022 Holiday Box booster set, combines dozens of popular cards from previous sets with new cards for Sky Strikers, Mayakashis, Witchcrafters, and Ishizu Ishtar’s Deck from the original animated series!
<br>
<br>The all-foil Ultra Rare booster set includes new cards for these 4 themes, plus dozens of cards available once again, including hot cards like Black Luster Soldier – Soldier of Chaos, Swordsoul of Mo Ye, Traptrix Sera, and Blue-Eyes Abyss Dragon. Each 2022 Holiday Box ""Magnificent Mavens"" contains:
<br>• 1 pack of 70 card sleeves (in 1 of 6 new sleeve designs: “Sky Striker”, “Mayakashi”, or “Witchcrafter”)
<br>• 4 booster packs with 5 Ultra Rare cards per pack
<br>
<br>The 2022 Holiday Box booster set includes a mix of new and old cards.
<br>Select cards are available in the Egyptian Hieroglyphic Pharaoh’s Rare Ultra Rare foil style",083717858171,19.83,34.38,99.99,33.83,,Normal,,,,,,,,,
282050,Magnificent Mavens Box Display,Magnificent Mavens Box Display,https://tcgplayer-cdn.tcgplayer.com/product/282050_200w.jpg,2,3154,https://cpt.tcgcsv.com/0Rg3,2022-11-04T04:03:10.947,1,Each display contains 5 Magnificent Mavens Boxes.,083717858188,144.95,200.0,319.96,144.9,,Normal,,,,,,,,,
450979,Surgical Striker - H.A.M.P.,Surgical Striker HAMP,https://tcgplayer-cdn.tcgplayer.com/product/450979_200w.jpg,2,3154,https://cpt.tcgcsv.com/CpD5,2022-11-04T04:03:10.947,1,"(This card is always treated as a ""Sky Striker"" card.)
<br>If you control a ""Sky Striker Ace"" monster, you can Special Summon this card (from your hand) to either field by Tributing 1 monster from that field. You can only Special Summon ""Surgical Striker - H.A.M.P."" once per turn this way. When this card is destroyed by battle: You can target 1 card your opponent controls; destroy it.",,0.1,0.38,4.99,0.25,,1st Edition,MAMA-EN001,Ultra Rare,DARK,Machine,Effect Monster,2500,2500,,
450980,Aileron,Aileron,https://tcgplayer-cdn.tcgplayer.com/product/450980_200w.jpg,2,3154,https://cpt.tcgcsv.com/DpD5,2022-11-04T04:03:10.947,1,"(This card is always treated as a ""Sky Striker"" card.)
<br>A ""Sky Striker Ace"" monster equipped with this card gains 400 ATK. You can only use 1 of the following effects of ""Aileron"" per turn, and only once that turn. During the Main Phase (Quick Effect): You can target 1 ""Sky Striker Ace"" monster you control; equip this card from your hand or field to it. If this card on the field is destroyed: You can send 1 ""Sky Striker"" Spell from your Deck to the GY.",,0.03,0.25,4.99,0.15,,1st Edition,MAMA-EN002,Ultra Rare,WIND,Machine,Effect Monster,0,0,,
450981,Sky Striker Mobilize - Linkage!,Sky Striker Mobilize Linkage,https://tcgplayer-cdn.tcgplayer.com/product/450981_200w.jpg,2,3154,https://cpt.tcgcsv.com/FpD5,2022-11-04T04:03:10.947,1,"If you control no monsters in your Main Monster Zone: You cannot Special Summon monsters from the Extra Deck for the rest of this turn after this card resolves, except ""Sky Striker Ace"" monsters, also send 1 other card you control to the GY, and if you do, Special Summon 1 ""Sky Striker Ace"" monster from your Extra Deck to the Extra Monster Zone, and if you have at least 1 LIGHT and 1 DARK ""Sky Striker Ace"" monsters on your field and/or in your GY, the Summoned monster gains 1000 ATK.",,3.22,6.0,18.0,4.69,13.23,1st Edition,MAMA-EN003,Ultra Rare,SPELL,,Quick-Play Spell,,,,
450983,Sky Striker Ace - Raye,Sky Striker Ace Raye,https://tcgplayer-cdn.tcgplayer.com/product/450983_200w.jpg,2,3154,https://cpt.tcgcsv.com/HpD5,2022-11-04T04:03:10.947,1,"(Quick Effect): You can Tribute this card; Special Summon 1 ""Sky Striker Ace"" monster from your Extra Deck to the Extra Monster Zone. While this card is in your GY, if a face-up ""Sky Striker Ace"" Link Monster you control is destroyed by battle, or leaves the field because of an opponent's card effect: You can Special Summon this card. You can only use each effect of ""Sky Striker Ace - Raye"" once per turn.",,0.09,0.4,4.99,0.3,,1st Edition,MAMA-EN004,Ultra Rare,DARK,Warrior,Effect Monster,1500,1500,,
450984,Sky Striker Ace - Kagari,Sky Striker Ace Kagari,https://tcgplayer-cdn.tcgplayer.com/product/450984_200w.jpg,2,3154,https://cpt.tcgcsv.com/JpD5,2024-11-15T06:18:37.943,1,"1 non-FIRE ""Sky Striker Ace"" monster
<br>If this card is Special Summoned: You can target 1 ""Sky Striker"" Spell in your GY; add it to your hand. Gains 100 ATK for each Spell in your GY. You can only Special Summon ""Sky Striker Ace - Kagari(s)"" once per turn.",,0.37,0.99,4.99,0.72,,1st Edition,MAMA-EN005,Ultra Rare,FIRE,Machine,Link/Effect Monster,1500,,1,Top-Left
450985,Sky Striker Ace - Shizuku,Sky Striker Ace Shizuku,https://tcgplayer-cdn.tcgplayer.com/product/450985_200w.jpg,2,3154,https://cpt.tcgcsv.com/KpD5,2022-11-04T04:03:10.947,1,"1 non-WATER ""Sky Striker Ace"" monster
<br>Monsters your opponent controls lose 100 ATK/DEF for each Spell in your GY. Once per turn, during the End Phase, if this card was Special Summoned this turn: You can add 1 ""Sky Striker"" Spell from your Deck to your hand, with a name different from the cards in your GY. You can only Special Summon ""Sky Striker Ace - Shizuku(s)"" once per turn.",,0.09,0.5,9.99,0.23,,1st Edition,MAMA-EN006,Ultra Rare,WATER,Machine,Link/Effect Monster,1500,,1,Top-Right
450989,Sky Striker Ace - Hayate,Sky Striker Ace Hayate,https://tcgplayer-cdn.tcgplayer.com/product/450989_200w.jpg,2,3154,https://cpt.tcgcsv.com/PpD5,2022-11-04T04:03:10.947,1,"1 non-WIND ""Sky Striker Ace"" monster
<br>You can only Special Summon ""Sky Striker Ace - Hayate(s)"" once per turn. This card can attack directly. After damage calculation, if this card battled: You can send 1 ""Sky Striker"" card from your Deck to the GY.",,0.33,0.89,4.99,0.69,,1st Edition,MAMA-EN007,Ultra Rare,WIND,Machine,Link/Effect Monster,1500,,1,Bottom-Left
