productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
220322,Maximum Gold Mini-Box Set [1st Edition],Maximum Gold Mini Box Set 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/220322_200w.jpg,2,2693,https://cpt.tcgcsv.com/s8N2,2020-11-13T05:03:19.113,1,Each box will include 4 Maximum Gold packs with 7 cards each: 2 Premium Gold Rares and 5 gold-letter Rares.,083717851066,29.99,35.44,49.99,30.08,,Normal,,,,,,,,,
220323,Maximum Gold Mini-Booster Pack [1st Edition],Maximum Gold Mini Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/220323_200w.jpg,2,2693,https://cpt.tcgcsv.com/t8N2,2020-11-13T05:03:19.113,1,Each booster pack contains 7 random cards each. <em>(2 Premium Gold Rares and 5 gold-letter Rares)</em>,083717851059,6.0,10.0,12.76,9.49,,Normal,,,,,,,,,
220324,Maximum Gold Display [1st Edition],Maximum Gold Display 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/220324_200w.jpg,2,2693,https://cpt.tcgcsv.com/v8N2,2020-11-13T05:03:19.113,1,"Each Premium Gold Display contains 5 Maximum Gold Mini-Box Sets, each containing 4 Mini-Packs of 7 cards.",083717851073,115.0,137.99,200.0,132.88,,Normal,,,,,,,,,
227414,Blue-Eyes White Dragon,Blue Eyes White Dragon,https://tcgplayer-cdn.tcgplayer.com/product/227414_200w.jpg,2,2693,https://cpt.tcgcsv.com/j-Q2,2023-09-01T14:16:52.14,1,"<em>This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale.</em>",,14.99,21.85,37.73,16.71,24.76,1st Edition,MAGO-EN001,Premium Gold Rare,LIGHT,Dragon,Normal Monster,3000,2500,,
227415,Dark Magician,Dark Magician,https://tcgplayer-cdn.tcgplayer.com/product/227415_200w.jpg,2,2693,https://cpt.tcgcsv.com/k-Q2,2024-09-27T13:05:34.693,1,<em>The ultimate wizard in terms of attack and defense.</em>,,5.99,8.66,25.0,8.48,16.99,1st Edition,MAGO-EN002,Premium Gold Rare,DARK,Spellcaster,Normal Monster,2500,2100,,
227416,Red-Eyes Black Dragon,Red Eyes Black Dragon,https://tcgplayer-cdn.tcgplayer.com/product/227416_200w.jpg,2,2693,https://cpt.tcgcsv.com/l-Q2,2024-06-17T14:03:49.383,1,<em>A ferocious dragon with a deadly attack.</em>,,1.99,4.42,16.97,3.39,4.99,1st Edition,MAGO-EN003,Premium Gold Rare,DARK,Dragon,Normal Monster,2400,2000,,
227417,Elemental HERO Stratos,Elemental HERO Stratos,https://tcgplayer-cdn.tcgplayer.com/product/227417_200w.jpg,2,2693,https://cpt.tcgcsv.com/m-Q2,2025-03-20T21:10:16.33,1,"When this card is Normal or Special Summoned: You can activate 1 of these effects.
<br>• Destroy Spells/Traps on the field, up to the number of ""HERO"" monsters you control, except this card.
<br>• Add 1 ""HERO"" monster from your Deck to your hand.",,1.35,2.79,15.56,2.29,5.32,1st Edition,MAGO-EN004,Premium Gold Rare,WIND,Warrior,Effect Monster,1800,300,,
227418,Infernity Mirage,Infernity Mirage,https://tcgplayer-cdn.tcgplayer.com/product/227418_200w.jpg,2,2693,https://cpt.tcgcsv.com/n-Q2,2024-08-12T20:06:31.047,1,"This card cannot be Special Summoned from the Graveyard. If you have no cards in your hand, you can Tribute this card to select 2 ""Infernity"" monsters in your Graveyard. Special Summon those monsters.",,0.03,0.3,2.99,0.25,0.15,1st Edition,MAGO-EN005,Premium Gold Rare,DARK,Fiend,Effect Monster,0,0,,
227419,Droll & Lock Bird,Droll and Lock Bird,https://tcgplayer-cdn.tcgplayer.com/product/227419_200w.jpg,2,2693,https://cpt.tcgcsv.com/p-Q2,2025-03-20T21:09:33.47,1,"If a card(s) is added from the Main Deck to your opponent's hand, except during the Draw Phase (Quick Effect): You can send this card from your hand to the GY; for the rest of this turn, cards cannot be added from either player's Main Deck to the hand.",,2.69,4.22,18.89,2.88,4.97,1st Edition,MAGO-EN006,Premium Gold Rare,WIND,Spellcaster,Effect Monster,0,0,,
227420,Tour Guide From the Underworld,Tour Guide From the Underworld,https://tcgplayer-cdn.tcgplayer.com/product/227420_200w.jpg,2,2693,https://cpt.tcgcsv.com/q-Q2,2024-02-11T08:10:24.99,1,"When this card is Normal Summoned: You can Special Summon 1 Level 3 Fiend monster from your hand or Deck, but negate its effects, also it cannot be used as Synchro Material.",,0.41,1.0,14.87,0.69,,1st Edition,MAGO-EN007,Premium Gold Rare,DARK,Fiend,Effect Monster,1000,600,,
227421,Tour Guide From the Underworld (Alternate Art),Tour Guide From the Underworld Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/227421_200w.jpg,2,2693,https://cpt.tcgcsv.com/r-Q2,2022-12-26T16:26:08.437,1,"When this card is Normal Summoned: You can Special Summon 1 Level 3 Fiend monster from your hand or Deck, but negate its effects, also it cannot be used as Synchro Material.",,0.34,1.0,9.98,0.62,1.01,1st Edition,MAGO-EN007,Premium Gold Rare,DARK,Fiend,Effect Monster,1000,600,,
