productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
517371,Maze of Millennia Booster Box [1st Edition],Maze of Millennia Booster Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/517371_200w.jpg,2,23315,https://cpt.tcgcsv.com/rZ86,2024-01-19T05:03:14.467,1,Each box contains 24 packs consisting of 7 cards.,083717864042,41.99,77.37,114.95,47.59,,Normal,,,,,,,,,
517377,Maze of Millennia Booster Pack [1st Edition],Maze of Millennia Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/517377_200w.jpg,2,23315,https://cpt.tcgcsv.com/zZ86,2024-01-19T05:03:14.467,1,Each pack contains 7 cards.,083717864035,2.0,3.27,8.44,2.49,,Normal,,,,,,,,,
532189,Junk Warrior (Quarter Century Secret Rare),Junk Warrior Quarter Century Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/532189_200w.jpg,2,23315,https://cpt.tcgcsv.com/PTg6,2024-01-19T13:44:58.39,1,"""Junk Synchron"" + 1 or more non-Tuner monsters
<br>If this card is Synchro Summoned: It gains ATK equal to the total ATK of all Level 2 or lower monsters you currently control.",,18.96,29.01,87.99,27.23,20.18,1st Edition,MZMI-EN000,Quarter Century Secret Rare,DARK,Warrior,Effect Synchro Monster,2300,1300,,
532190,Fighting Flame Swordsman,Fighting Flame Swordsman,https://tcgplayer-cdn.tcgplayer.com/product/532190_200w.jpg,2,23315,https://cpt.tcgcsv.com/QTg6,2025-04-23T12:33:43.98,1,"If this card is Normal or Special Summoned: You can add 1 Spell/Trap that mentions ""Flame Swordsman"" from your Deck to your hand. If this card is sent to the GY: You can send 1 ""Flame Swordsman"" or 1 monster that mentions it from your Deck or Extra Deck to the GY, except ""Fighting Flame Swordsman"". You can only use each effect of ""Fighting Flame Swordsman"" once per turn.",,1.49,3.36,46.87,1.99,4.64,1st Edition,MZMI-EN001,Ultra Rare,FIRE,Warrior,Effect Monster,1800,1600,,
532192,Fighting Flame Swordsman (CR),Fighting Flame Swordsman CR,https://tcgplayer-cdn.tcgplayer.com/product/532192_200w.jpg,2,23315,https://cpt.tcgcsv.com/STg6,2025-04-23T12:34:27.23,1,"If this card is Normal or Special Summoned: You can add 1 Spell/Trap that mentions ""Flame Swordsman"" from your Deck to your hand. If this card is sent to the GY: You can send 1 ""Flame Swordsman"" or 1 monster that mentions it from your Deck or Extra Deck to the GY, except ""Fighting Flame Swordsman"". You can only use each effect of ""Fighting Flame Swordsman"" once per turn.",,19.99,29.23,49.61,22.47,29.97,1st Edition,MZMI-EN001,Collector's Rare,FIRE,Warrior,Effect Monster,1800,1600,,
532202,"Salamandra, the Flying Flame Dragon",Salamandra the Flying Flame Dragon,https://tcgplayer-cdn.tcgplayer.com/product/532202_200w.jpg,2,23315,https://cpt.tcgcsv.com/3Vg6,2025-04-23T12:20:22.873,1,"While this card is equipped to ""Flame Swordsman"" or a monster that mentions it, the equipped monster gains 700 ATK. You can only use each of the following effects of ""Salamandra, the Flying Flame Dragon"" once per turn. If this card is in your hand or GY: You can target 1 Warrior monster you control; equip this card to that monster you control as an Equip Spell. If this card is sent to the GY: You can add 1 ""Salamandra"" Spell/Trap from your Deck to your hand.",,0.23,0.46,9.95,0.4,0.31,1st Edition,MZMI-EN002,Super Rare,FIRE,Dragon,Effect Monster,700,1600,,
532203,Mirage Swordsman,Mirage Swordsman,https://tcgplayer-cdn.tcgplayer.com/product/532203_200w.jpg,2,23315,https://cpt.tcgcsv.com/5Vg6,2024-01-19T13:52:30.143,1,"If a face-up FIRE Fusion Monster(s) you control is destroyed by battle or card effect: You can Special Summon this card from your GY (if it was there when the monster was destroyed) or hand (even if not). At the start of the Damage Step, if this card battles an opponent's monster: You can destroy both battling monsters. If this card is destroyed by battle or another card's effect: You can Special Summon 1 Level 7 or lower monster that is ""Flame Swordsman"" or mentions it, from your Deck or Extra Deck. You can only use each effect of ""Mirage Swordsman"" once per turn.",,0.02,0.25,3.99,0.26,0.29,1st Edition,MZMI-EN003,Rare,FIRE,Warrior,Effect Monster,2800,2000,,
532204,Ultimate Flame Swordsman,Ultimate Flame Swordsman,https://tcgplayer-cdn.tcgplayer.com/product/532204_200w.jpg,2,23315,https://cpt.tcgcsv.com/6Vg6,2024-08-12T20:07:51.93,1,"""Flame Swordsman"" + ""Fighting Flame Dragon""
<br>
You can target 1 monster your opponent controls; destroy it, and if you do, inflict 500 damage to your opponent. This is a Quick Effect if this card is equipped with an Equip Card. At the start of the Damage Step, if this card battles: You can double this card's ATK until the end of this turn, but if you do, destroy it during the End Phase of this turn. You can only use each effect of ""Ultimate Flame Swordsman"" once per turn.",,0.5,1.1,9.92,1.03,1.48,1st Edition,MZMI-EN004,Super Rare,FIRE,Warrior,Effect Fusion Monster,2800,1600,,
532205,Ultimate Flame Swordsman (CR),Ultimate Flame Swordsman CR,https://tcgplayer-cdn.tcgplayer.com/product/532205_200w.jpg,2,23315,https://cpt.tcgcsv.com/7Vg6,2024-05-09T01:48:36.283,1,"""Flame Swordsman"" + ""Fighting Flame Dragon""
<br>
You can target 1 monster your opponent controls; destroy it, and if you do, inflict 500 damage to your opponent. This is a Quick Effect if this card is equipped with an Equip Card. At the start of the Damage Step, if this card battles: You can double this card's ATK until the end of this turn, but if you do, destroy it during the End Phase of this turn. You can only use each effect of ""Ultimate Flame Swordsman"" once per turn.",,25.85,29.41,57.75,28.41,31.86,1st Edition,MZMI-EN004,Collector's Rare,FIRE,Warrior,Effect Fusion Monster,2800,1600,,
532206,Fighting Flame Dragon,Fighting Flame Dragon,https://tcgplayer-cdn.tcgplayer.com/product/532206_200w.jpg,2,23315,https://cpt.tcgcsv.com/8Vg6,2024-01-19T13:54:11.287,1,"1 Dragon monster + 1 FIRE Warrior monster
<br>
Except during the Damage Step (Quick Effect): You can target 1 Warrior Fusion Monster you control; equip this card from your field or GY to that monster you control as an Equip Spell. You can only use this effect of ""Fighting Flame Dragon"" once per turn. While this card is equipped to ""Flame Swordsman"" or a monster that mentions it, the equipped monster gains 700 ATK and can make a second attack during each Battle Phase.",,0.19,0.4,1.49,0.38,0.49,1st Edition,MZMI-EN005,Rare,FIRE,Dragon,Effect Fusion Monster,1700,1600,,
