productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
213511,Metal Raiders Booster Pack - Worldwide English [Unlimited Edition],Metal Raiders Booster Pack Worldwide English Unlimited Edition,https://tcgplayer-cdn.tcgplayer.com/product/213511_200w.jpg,2,22882,https://cpt.tcgcsv.com/fqK2,2022-12-21T15:48:13.057,1,Each Metal Raiders Booster Pack [Unlimited Edition] comes with 9 random cards in Unlimited Edition printing.,9.99,13.64,16.79,10.54,,Normal,,,,,,,
476222,Gate Guardian,Gate Guardian,https://tcgplayer-cdn.tcgplayer.com/product/476222_200w.jpg,2,22882,https://cpt.tcgcsv.com/svQ5,2025-02-06T15:08:23.013,1,"This card can only be Special Summoned by offering Sanga of the Thunder, Kazejin and Suijin as a Tribute.",15.7,23.93,70.0,28.62,,Unlimited,MRD-EN000,Secret Rare,DARK,Warrior,Effect Monster,3750,3400
476231,Feral Imp,Feral Imp,https://tcgplayer-cdn.tcgplayer.com/product/476231_200w.jpg,2,22882,https://cpt.tcgcsv.com/FvQ5,2025-02-06T15:06:27.953,1,"A playful little fiend that lurks in the dark, waiting to attack an unwary enemy.",3.0,3.0,3.0,,,Unlimited,MRD-EN001,Common,DARK,Fiend,Normal Monster,1300,1400
476237,"Winged Dragon, Guardian of the Fortress #1",Winged Dragon Guardian of the Fortress 1,https://tcgplayer-cdn.tcgplayer.com/product/476237_200w.jpg,2,22882,https://cpt.tcgcsv.com/MvQ5,2025-02-06T14:40:59.21,1,A dragon commonly found guarding mountain fortresses. Its signature attack is a sweeping dive from out of the blue.,0.25,0.3,1.24,0.74,,Unlimited,MRD-EN002,Common,WIND,Dragon,Normal Monster,1400,1200
476241,Summoned Skull,Summoned Skull,https://tcgplayer-cdn.tcgplayer.com/product/476241_200w.jpg,2,22882,https://cpt.tcgcsv.com/RvQ5,2025-03-21T09:50:23.18,1,"A fiend with dark powers for confusing the enemy. Among the Fiend-Type monsters, this monster boasts considerable force.",23.74,25.53,150.0,53.11,,Unlimited,MRD-EN003,Ultra Rare,DARK,Fiend,Normal Monster,2500,1200
476243,Rock Ogre Grotto #1,Rock Ogre Grotto 1,https://tcgplayer-cdn.tcgplayer.com/product/476243_200w.jpg,2,22882,https://cpt.tcgcsv.com/TvQ5,2025-02-06T15:03:49.6,1,"Protected by a solid body of rock, this monster throws a bone-shattering punch.",0.2,0.23,21.47,,,Unlimited,MRD-EN004,Common,EARTH,Rock,Normal Monster,800,1200
476245,Armored Lizard,Armored Lizard,https://tcgplayer-cdn.tcgplayer.com/product/476245_200w.jpg,2,22882,https://cpt.tcgcsv.com/WvQ5,2025-02-06T14:23:44.99,1,A lizard with a very tough hide and a vicious bite.,0.25,0.74,2.0,0.74,,Unlimited,MRD-EN005,Common,EARTH,Reptile,Normal Monster,1500,1200
476248,Killer Needle,Killer Needle,https://tcgplayer-cdn.tcgplayer.com/product/476248_200w.jpg,2,22882,https://cpt.tcgcsv.com/-vQ5,2025-02-06T15:24:00.46,1,A huge bee with exceptional strength that''s particularly dangerous in a swarm.,0.4,0.5,0.89,0.74,,Unlimited,MRD-EN006,Common,WIND,Insect,Normal Monster,1200,1000
476256,Larvae Moth,Larvae Moth,https://tcgplayer-cdn.tcgplayer.com/product/476256_200w.jpg,2,22882,https://cpt.tcgcsv.com/8wQ5,2025-02-06T14:57:12.49,1,This monster can only be Special Summoned by offering Petit Moth as a Tribute on the 2nd of your turns after Petit Moth has been equipped with Cocoon of Evolution.,0.85,0.94,0.99,,,Unlimited,MRD-EN007,Common,EARTH,Insect,Effect Monster,500,400
476262,Harpie Lady,Harpie Lady,https://tcgplayer-cdn.tcgplayer.com/product/476262_200w.jpg,2,22882,https://cpt.tcgcsv.com/gwQ5,2025-02-06T15:19:12.07,1,This human-shaped animal with wings is beautiful to watch but deadly in battle.,0.58,1.12,9.74,0.28,,Unlimited,MRD-EN008,Common,WIND,Winged Beast,Normal Monster,1300,1400
476263,Harpie Lady Sisters,Harpie Lady Sisters,https://tcgplayer-cdn.tcgplayer.com/product/476263_200w.jpg,2,22882,https://cpt.tcgcsv.com/hwQ5,2025-02-06T15:19:33.383,1,This monster can only be Special Summoned with the Spell Card Elegant Egotist.,2.23,5.9,10.14,2.75,,Unlimited,MRD-EN009,Super Rare,WIND,Winged Beast,Effect Monster,1950,2100
476268,Kojikocy,Kojikocy,https://tcgplayer-cdn.tcgplayer.com/product/476268_200w.jpg,2,22882,https://cpt.tcgcsv.com/nwQ5,2025-02-06T15:21:54.473,0,A man-hunter with powerful arms that can crush boulders.,0.32,0.55,1.45,,,Unlimited,MRD-EN010,Common,EARTH,Warrior,Normal Monster,1500,1200
476271,Cocoon of Evolution,Cocoon of Evolution,https://tcgplayer-cdn.tcgplayer.com/product/476271_200w.jpg,2,22882,https://cpt.tcgcsv.com/rwQ5,2025-02-06T14:44:29.18,1,"You may treat this card as an Equip Spell Card on a face-up Petit Moth on the field. When equipped, the ATK and DEF of Petit Moth becomes the same as Cocoon of Evolution.",0.25,0.59,0.65,0.49,,Unlimited,MRD-EN011,Common,EARTH,Insect,Effect Monster,0,2000
476274,Crawling Dragon,Crawling Dragon,https://tcgplayer-cdn.tcgplayer.com/product/476274_200w.jpg,2,22882,https://cpt.tcgcsv.com/vwQ5,2025-02-06T14:45:28.843,1,"This weakened dragon can no longer fly, but is still a deadly force to be reckoned with.",0.3,3.7,4.97,0.3,,Unlimited,MRD-EN012,Common,EARTH,Dragon,Normal Monster,1600,1400
476275,Armored Zombie,Armored Zombie,https://tcgplayer-cdn.tcgplayer.com/product/476275_200w.jpg,2,22882,https://cpt.tcgcsv.com/wwQ5,2025-02-06T14:24:08.773,1,This warrior blindly swings a deadly blade with devastating force.,0.15,0.26,1.48,0.19,,Unlimited,MRD-EN013,Common,DARK,Zombie,Normal Monster,1500,0
