productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
115951,Millennium Pack - Booster Box [1st Edition],Millennium Pack Booster Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/115951_200w.jpg,2,1760,https://cpt.tcgcsv.com/2pX,2020-06-23T20:19:58.243,1,There are 5 cards per pack and 36 packs per box.,268.52,268.52,268.52,,,Normal,,,,,,,
115952,Millennium Pack - Booster Pack [1st Edition],Millennium Pack Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/115952_200w.jpg,2,1760,https://cpt.tcgcsv.com/3pX,2020-06-23T20:20:34.597,1,There are 5 cards per pack and 36 packs per box.,10.84,11.0,39.96,11.31,,Normal,,,,,,,
116681,The Winged Dragon of Ra - Immortal Phoenix,The Winged Dragon of Ra Immortal Phoenix,https://tcgplayer-cdn.tcgplayer.com/product/116681_200w.jpg,2,1760,https://cpt.tcgcsv.com/FHX,2016-04-15T12:54:25.1,1,"Cannot be Normal Summoned/Set. Must be Special Summoned by its own effect, and cannot be Special Summoned by other ways. If ""The Winged Dragon of Ra"" is sent from the field to your Graveyard while this card is in your Graveyard: Special Summon this card. Cards and effects cannot be activated in response to this effect's activation. This card is unaffected by other cards' effects. You can pay 1000 LP; send 1 monster on the field to the Graveyard. Once per turn, during the End Phase: Send this card to the Graveyard, and if you do, Special Summon 1 ""The Winged Dragon of Ra - Sphere Mode"" from your hand, Deck, or Graveyard, ignoring its Summoning conditions.",3.39,4.32,19.99,4.19,,1st Edition,MIL1-EN001,Ultra Rare,DIVINE,Divine-Beast,Effect Monster,4000,4000
116950,Curse of Dragonfire,Curse of Dragonfire,https://tcgplayer-cdn.tcgplayer.com/product/116950_200w.jpg,2,1760,https://cpt.tcgcsv.com/0PX,2016-04-15T12:49:48.813,1,"If this card is Normal or Special Summoned: You can target 1 Field Spell Card on the field; destroy it. Once per turn: You can Fusion Summon 1 Fusion Monster from your Extra Deck, using monsters you control as Fusion Materials, including this card.",0.58,1.43,4.99,1.34,,1st Edition,MIL1-EN002,Ultra Rare,DARK,Dragon,Effect Monster,2000,1500
116951,Holding Arms,Holding Arms,https://tcgplayer-cdn.tcgplayer.com/product/116951_200w.jpg,2,1760,https://cpt.tcgcsv.com/2PX,2016-04-15T12:50:52.653,1,"If this card is Normal or Special Summoned: Target 1 face-up monster your opponent controls; while this card is face-up on the field, that face-up monster cannot attack, also its effects are negated. While that face-up monster is on the field, this card cannot be destroyed by battle or card effects.",0.25,0.78,9.99,0.49,,1st Edition,MIL1-EN003,Super Rare,DARK,Fiend,Effect Monster,500,1200
116952,Holding Legs,Holding Legs,https://tcgplayer-cdn.tcgplayer.com/product/116952_200w.jpg,2,1760,https://cpt.tcgcsv.com/3PX,2016-04-15T12:51:25.773,1,"If this card is Summoned: Return all Set Spell and Trap Cards on the field to the hand. You can banish this card from your Graveyard, then target 1 Set Spell/Trap Card your opponent controls; that Set card cannot be activated until the end of your opponent's next turn.",0.24,0.75,9.99,0.47,,1st Edition,MIL1-EN004,Super Rare,DARK,Fiend,Effect Monster,800,600
116953,Gandora the Dragon of Destruction,Gandora the Dragon of Destruction,https://tcgplayer-cdn.tcgplayer.com/product/116953_200w.jpg,2,1760,https://cpt.tcgcsv.com/5PX,2016-04-15T12:50:40.817,1,"Cannot be Special Summoned. You can pay half your LP; destroy as many cards on the field as possible (other than this card), and if you do, banish them. This card gains 300 ATK for each card destroyed this way. During the End Phase of the turn this card was Summoned: Send it to the Graveyard.",0.1,0.25,1.49,0.23,,1st Edition,MIL1-EN005,Common,DARK,Dragon,Effect Monster,0,0
116954,Gilford the Lightning,Gilford the Lightning,https://tcgplayer-cdn.tcgplayer.com/product/116954_200w.jpg,2,1760,https://cpt.tcgcsv.com/6PX,2016-04-15T12:50:47.04,1,You can Tribute 3 monsters to Tribute Summon (but not Set) this card. If you do: Destroy all monsters your opponent controls.,0.15,0.43,1.49,0.39,,1st Edition,MIL1-EN006,Common,LIGHT,Warrior,Effect Monster,2800,1400
116955,Exodius the Ultimate Forbidden Lord,Exodius the Ultimate Forbidden Lord,https://tcgplayer-cdn.tcgplayer.com/product/116955_200w.jpg,2,1760,https://cpt.tcgcsv.com/7PX,2016-04-15T12:50:12.68,1,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by shuffling all monsters in your Graveyard into the Deck, and cannot be Special Summoned by other ways. When this card declares an attack: Send 1 monster from your hand or Deck to the Graveyard. This card gains 1000 ATK for each Normal Monster in your Graveyard. If this face-up card would leave the field, banish it instead. If there are 5 different ""Forbidden One"" cards in your Graveyard that were sent there by this card's effect, you win the Duel.",0.36,0.8,4.99,0.6,,1st Edition,MIL1-EN007,Common,DARK,Spellcaster,Effect Monster,0,0
116956,Relinquished,Relinquished,https://tcgplayer-cdn.tcgplayer.com/product/116956_200w.jpg,2,1760,https://cpt.tcgcsv.com/8PX,2016-04-15T12:53:20.947,1,"You can Ritual Summon this card with ""Black Illusion Ritual"". Once per turn: You can target 1 monster your opponent controls; equip that target to this card. (You can only equip 1 monster at a time to this card with this effect.) This card's ATK and DEF become equal to that equipped monster's. If this card would be destroyed by battle, destroy that equipped monster instead. While equipped with that monster, any battle damage you take from battles involving this card inflicts equal effect damage to your opponent.",0.25,0.5,1.49,0.43,,1st Edition,MIL1-EN008,Common,DARK,Spellcaster,Ritual/Effect Monster,0,0
