productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
198516,Mystic Fighters Booster Box,Mystic Fighters Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/198516_200w.jpg,2,2528,https://cpt.tcgcsv.com/lqC2,2019-11-21T16:06:06.857,1,Each booster box contains 24 packs of 5 random cards.,083717846499,251.86,259.95,259.95,252.38,,Normal,,,,,,,
198517,Mystic Fighters Booster Pack,Mystic Fighters Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/198517_200w.jpg,2,2528,https://cpt.tcgcsv.com/mqC2,2019-11-21T16:07:56.807,1,Each booster pack contains 5 random cards.,083717847069,12.66,12.71,12.76,12.66,,Normal,,,,,,,
203835,Mathmech Sigma,Mathmech Sigma,https://tcgplayer-cdn.tcgplayer.com/product/203835_200w.jpg,2,2528,https://cpt.tcgcsv.com/KxF2,2024-08-12T20:15:45.4,1,"If you control no monsters in the Extra Monster Zone, while this card is in your hand or GY: You can Special Summon this card, but banish it when it leaves the field, also you cannot Special Summon monsters from the Extra Deck for the rest of this turn, except Cyberse monsters. You can only use this effect of ""Mathmech Sigma"" once per turn. If this card you control is used as Synchro Material for a ""Mathmech"" monster, you can treat it as a non-Tuner.",,0.02,0.5,12.45,0.34,,1st Edition,MYFI-EN001,Super Rare,LIGHT,Cyberse,Tuner/Effect Monster,1000,1500
203836,Mathmech Nabla,Mathmech Nabla,https://tcgplayer-cdn.tcgplayer.com/product/203836_200w.jpg,2,2528,https://cpt.tcgcsv.com/LxF2,2019-11-25T15:50:14.67,1,"You can Tribute 1 Cyberse monster; Special Summon 1 ""Mathmech"" monster from your Deck. If this card is sent to the GY: You can target 1 Cyberse monster you control in the Extra Monster Zone; it can make up to 2 attacks on monsters during each Battle Phase this turn. You can only use each effect of ""Mathmech Nabla"" once per turn.",,0.04,0.94,8.99,0.68,3.89,1st Edition,MYFI-EN002,Super Rare,DARK,Cyberse,Tuner/Effect Monster,1000,1500
203841,Mathmech Addition,Mathmech Addition,https://tcgplayer-cdn.tcgplayer.com/product/203841_200w.jpg,2,2528,https://cpt.tcgcsv.com/RxF2,2024-01-20T10:07:00.92,1,"You can target 1 face-up monster on the field; you cannot Special Summon monsters from the Extra Deck for the rest of this turn, except Cyberse monsters, also Special Summon this card from your hand (but it cannot attack this turn), and if you do, the targeted monster gains 1000 ATK until the end of this turn. You can only use this effect of ""Mathmech Addition"" once per turn.",,0.01,0.92,15.99,0.46,,1st Edition,MYFI-EN003,Super Rare,FIRE,Cyberse,Effect Monster,1000,1000
203843,Mathmech Subtraction,Mathmech Subtraction,https://tcgplayer-cdn.tcgplayer.com/product/203843_200w.jpg,2,2528,https://cpt.tcgcsv.com/TxF2,2023-05-11T10:22:32.467,1,"You can target 1 face-up monster on the field; you cannot Special Summon monsters from the Extra Deck for the rest of this turn, except Cyberse monsters, also Special Summon this card from your hand (but it cannot attack this turn), and if you do, the targeted monster loses 1000 ATK until the end of this turn. You can only use this effect of ""Mathmech Subtraction"" once per turn.",,0.4,2.23,9.99,1.67,1.67,1st Edition,MYFI-EN004,Super Rare,FIRE,Cyberse,Effect Monster,1000,1000
203846,Mathmech Multiplication,Mathmech Multiplication,https://tcgplayer-cdn.tcgplayer.com/product/203846_200w.jpg,2,2528,https://cpt.tcgcsv.com/XxF2,2024-08-12T20:15:45.463,1,"You can target 1 Level 4 Cyberse monster you control; its Level becomes 8 until the end of this turn. If this card is sent to the GY: You can target 1 Cyberse monster you control in the Extra Monster Zone; its ATK becomes doubled until the end of this turn. You can only use each effect of ""Mathmech Multiplication"" once per turn.",,0.02,0.56,4.0,0.41,0.4,1st Edition,MYFI-EN005,Super Rare,EARTH,Cyberse,Effect Monster,500,2000
203848,Mathmech Division,Mathmech Division,https://tcgplayer-cdn.tcgplayer.com/product/203848_200w.jpg,2,2528,https://cpt.tcgcsv.com/-xF2,2024-08-12T20:15:45.563,1,"You can Tribute 1 Cyberse monster you control in the Extra Monster Zone; Special Summon up to 1 Level 4 Cyberse monster each from your hand and GY. If this card is sent to the GY: You can target 1 face-up monster on the field; its ATK becomes halved until the end of this turn. You can only use each effect of ""Mathmech Division"" once per turn.",,0.04,0.43,3.0,0.31,0.2,1st Edition,MYFI-EN006,Super Rare,EARTH,Cyberse,Effect Monster,1500,1000
203849,Geomathmech Magma,Geomathmech Magma,https://tcgplayer-cdn.tcgplayer.com/product/203849_200w.jpg,2,2528,https://cpt.tcgcsv.com/_xF2,2022-04-09T11:21:56.08,1,"1 Tuner + 1+ non-Tuner monsters
<br>When this card destroys a monster by battle: You can target up to 2 cards your opponent controls; destroy them. If this card is destroyed by battle, or if this card in its owner's possession is destroyed by an opponent's card effect: You can add 1 ""Mathmech"" Spell/Trap from your Deck to your hand. You can only use each effect of ""Geomathmech Magma"" once per turn.",,0.45,1.04,8.0,1.11,2.2,1st Edition,MYFI-EN007,Secret Rare,FIRE,Cyberse,Synchro/Tuner/Effect Monster,2500,0
203850,Geomathmech Final Sigma,Geomathmech Final Sigma,https://tcgplayer-cdn.tcgplayer.com/product/203850_200w.jpg,2,2528,https://cpt.tcgcsv.com/0zF2,2019-11-21T20:02:41.463,1,"1 Tuner + 1+ non-Tuner monsters
<br>Unaffected by card effects, except ""Mathmech"" cards, while in the Extra Monster Zone. If this card in the Extra Monster Zone battles an opponent's monster, any battle damage it inflicts to your opponent is doubled. If this card is destroyed by battle, or if this card in its owner's possession is destroyed by an opponent's card effect: You can add 1 ""Mathmech"" card from your Deck to your hand. You can only use this effect of ""Geomathmech Final Sigma"" once per turn.",,0.2,1.14,20.0,0.66,1.31,1st Edition,MYFI-EN008,Secret Rare,FIRE,Cyberse,Synchro/Effect Monster,3000,0
203851,Primathmech Laplacian,Primathmech Laplacian,https://tcgplayer-cdn.tcgplayer.com/product/203851_200w.jpg,2,2528,https://cpt.tcgcsv.com/2zF2,2019-11-21T20:02:43.01,1,"3 Level 4 monsters
<br>If a ""Mathmech"" card(s) you control would be destroyed by card effect, you can detach 1 material from this card instead. If this card is Xyz Summoned: You can detach up to 3 materials from it, then choose that many effects (you cannot choose the same effect twice, and you resolve them in the listed order, skipping any that were not chosen);
<br>• Send 1 random card from your opponent's hand to the GY.
<br>• Send 1 monster your opponent controls to the GY.
<br>• Send 1 Spell/Trap your opponent controls to the GY.
<br>You can only use this effect of ""Primathmech Laplacian"" once per turn.",,1.0,4.98,50.0,3.97,3.96,1st Edition,MYFI-EN009,Secret Rare,EARTH,Cyberse,Xyz/Effect Monster,2000,0
