productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
93827,Noble Knights of the Round Table Box Set,Noble Knights of the Round Table Box Set,https://tcgplayer-cdn.tcgplayer.com/product/93827_200w.jpg,2,1492,https://cpt.tcgcsv.com/zxM,2014-12-10T21:03:24.51,1,"Hear ye, hear ye!

The Noble Knights have been appearing in Yu-Gi-Oh! TRADING CARD GAME booster sets for the past two years. Now, Duelists can call one and all to their majestic Round Table this holiday season, with the new Noble Knights of the Round Table Box Set*! In addition to a pre-constructed Deck of Noble Knights, this box set includes a host of chivalric pageantry that will make this one holiday to remember!",349.99,674.99,999.99,282.49,,Normal,,,,,,,
94985,Merlin,Merlin,https://tcgplayer-cdn.tcgplayer.com/product/94985_200w.jpg,2,1492,https://cpt.tcgcsv.com/K_M,2019-07-17T18:53:16,1,"You can only use each effect of ""Merlin"" once per turn.

<br>You can Tribute this card; Special Summon 1 ""Noble Knight"" monster from your Deck. You cannot Special Summon monsters the turn you activate this effect, except ""Noble Knight"" monsters.

<br>During either player's turn: You can banish this card from your Graveyard; immediately after this effect resolves, Synchro Summon 1 ""Noble Knight"" Synchro Monster using monsters you control.

<br>During either player's turn: You can banish this card from your Graveyard; immediately after this effect resolves, Xyz Summon 1 ""Noble Knight"" Xyz Monster using monsters you control.",0.48,0.98,5.29,0.74,,Limited,NKRT-EN001,Platinum Rare,DARK,Spellcaster,Effect Monster,1400,500
94986,Noble Knight Bedwyr,Noble Knight Bedwyr,https://tcgplayer-cdn.tcgplayer.com/product/94986_200w.jpg,2,1492,https://cpt.tcgcsv.com/L_M,2019-07-17T18:56:00.783,1,"When this card is Normal or Special Summoned: You can send 1 ""Noble Arms"" Equip Spell Card from your Deck to the Graveyard. During either player's turn: You can target 1 ""Noble Arms"" Equip Spell Card and 1 appropriate monster on the field; equip that Equip Spell Card to that appropriate monster. This effect can only be used once while this card is face-up on the field.",0.54,1.0,5.0,0.96,,Limited,NKRT-EN002,Platinum Rare,LIGHT,Warrior,Effect Monster,1600,1500
94987,Noble Knight Artorigus,Noble Knight Artorigus,https://tcgplayer-cdn.tcgplayer.com/product/94987_200w.jpg,2,1492,https://cpt.tcgcsv.com/M_M,2019-07-17T18:55:54.683,1,"No one shall ever know the truth behind
That fateful day. Artorigus went forth
To where the brilliant sword didst lay.
'Twas the first of many feats so great,
A legend through and through. We sing of him,
Artorigus, the Noble and the brave.
-From the Tales of the Noble Knights",0.2,0.76,3.99,0.74,,Limited,NKRT-EN003,Platinum Rare,LIGHT,Warrior,Normal Monster,1800,1800
94988,Noble Knight Gawayn,Noble Knight Gawayn,https://tcgplayer-cdn.tcgplayer.com/product/94988_200w.jpg,2,1492,https://cpt.tcgcsv.com/N_M,2020-11-23T18:59:12.5,1,"If you control a LIGHT Normal Monster, you can Special Summon this card (from your hand) in face-up Defense Position.",0.79,1.33,3.99,0.97,,Limited,NKRT-EN004,Platinum Rare,LIGHT,Warrior,Effect Monster,1900,500
94989,Noble Knight Medraut,Noble Knight Medraut,https://tcgplayer-cdn.tcgplayer.com/product/94989_200w.jpg,2,1492,https://cpt.tcgcsv.com/P_M,2019-07-17T18:56:32.453,1,"This card is treated as a Normal Monster while face-up on the field. While equipped with a ""Noble Arms"" Equip Spell Card, this card becomes an Effect Monster with these effects. // *This card becomes DARK and its Level is increased by 1. Once per turn, if you control no other monsters: You can Special Summon 1 ""Noble Knight"" monster from your Deck in face-up Defense Position, except ""Noble Knight Medraut"", and if you do, destroy 1 Equip Spell Card you control.",0.3,0.97,4.99,0.93,,Limited,NKRT-EN006,Platinum Rare,LIGHT,Warrior,Effect Monster,1700,1000
94990,Noble Knight Gwalchavad,Noble Knight Gwalchavad,https://tcgplayer-cdn.tcgplayer.com/product/94990_200w.jpg,2,1492,https://cpt.tcgcsv.com/Q_M,2019-07-17T18:56:28.383,1,"This card is treated as a Normal Monster while face-up on the field. While equipped with a “Noble Arms” Equip Spell Card, this card becomes an Effect Monster with this effect. // * You can target 1 “Noble Knight” monster in your Graveyard; add it to your hand, and if you do, destroy 1 “Noble Arms” Equip Spell Card you control. You can only use this effect of “Noble Knight Gwalchavad” once per turn.",0.25,0.93,3.99,0.53,,Limited,NKRT-EN007,Platinum Rare,LIGHT,Warrior,Effect Monster,1500,1800
94991,Noble Knight Drystan,Noble Knight Drystan,https://tcgplayer-cdn.tcgplayer.com/product/94991_200w.jpg,2,1492,https://cpt.tcgcsv.com/R_M,2019-07-17T18:56:15.347,1,"While you control another ""Noble Knight"" monster, your opponent cannot target your monsters with less than 1800 ATK, except this card, for attacks or with card effects. When a ""Noble Arms"" Equip Spell Card is equipped to this card: Target 1 face-up card on the field; destroy that target. You can only use this effect of ""Noble Knight Drystan"" once per turn.",0.25,0.75,3.99,0.74,,Limited,NKRT-EN008,Platinum Rare,LIGHT,Warrior,Effect Monster,1800,800
94992,Noble Knight Borz,Noble Knight Borz,https://tcgplayer-cdn.tcgplayer.com/product/94992_200w.jpg,2,1492,https://cpt.tcgcsv.com/S_M,2019-07-17T18:56:10.613,1,"This card is treated as a Normal Monster while face-up on the field. While equipped with a ""Noble Arms"" Equip Spell Card, this card becomes an Effect Monster with these effects.
? This card becomes DARK and its Level is increased by 1. During your Main Phase: You can reveal 3 ""Noble Arms"" cards from your Deck, have your opponent randomly add 1 of them to your hand, and send the rest to the Graveyard. You can only use this effect of ""Noble Knight Borz"" once per turn.",0.18,0.5,3.99,0.42,,Limited,NKRT-EN009,Platinum Rare,LIGHT,Warrior,Effect Monster,1700,900
94993,Noble Knight Peredur,Noble Knight Peredur,https://tcgplayer-cdn.tcgplayer.com/product/94993_200w.jpg,2,1492,https://cpt.tcgcsv.com/T_M,2019-07-17T18:56:36.03,1,"While equipped with a ""Noble Arms"" Equip Spell Card, this card becomes DARK and its Level is increased by 1. When this card is sent to the Graveyard while equipped with a ""Noble Arms"" Equip Spell Card: Target 1 ""Noble Arms"" card in your Graveyard; add that target to your hand.",0.2,0.74,3.99,0.42,,Limited,NKRT-EN010,Platinum Rare,LIGHT,Warrior,Effect Monster,1900,300
94994,Noble Knight Eachtar,Noble Knight Eachtar,https://tcgplayer-cdn.tcgplayer.com/product/94994_200w.jpg,2,1492,https://cpt.tcgcsv.com/V_M,2019-07-17T18:56:20.227,1,"You can banish 2 ""Noble Knight"" monsters from your Graveyard; Special Summon this card from your hand or Graveyard. You can only use this effect of ""Noble Knight Eachtar"" once per turn. A Synchro or Xyz Summon of a ""Noble Knight"" monster using this card as a Material cannot be negated, also your opponent cannot activate cards or effects when that monster is Special Summoned.",0.1,0.48,3.99,0.32,,Limited,NKRT-EN011,Platinum Rare,DARK,Warrior,Effect Monster,1600,2000
94995,Ignoble Knight of Black Laundsallyn,Ignoble Knight of Black Laundsallyn,https://tcgplayer-cdn.tcgplayer.com/product/94995_200w.jpg,2,1492,https://cpt.tcgcsv.com/W_M,2019-07-17T18:52:46.733,1,"You can send 1 face up LIGHT Normal Monster you control to the Graveyard. Special Summon this card from your hand or Graveyard. You can Tribute 1 ""Noble Knight"" monster; add 1 ""Noble Arms"" card from your Deck to your hand. You can only use this effect of ""Ignoble Knight of Black Laundsallyn"" once per turn. You can only control 1 face-up ""Ignoble Knight of Black Laundsallyn"".",0.25,0.62,3.99,0.63,,Limited,NKRT-EN005,Platinum Rare,DARK,Warrior,Effect Monster,2000,800
