productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extLinkRating,extLinkArrows
241452,Cyber Dragon (UTR),Cyber Dragon UTR,https://tcgplayer-cdn.tcgplayer.com/product/241452_200w.jpg,2,2850,https://cpt.tcgcsv.com/3CX2,2023-08-04T15:19:50.36,1,OP16-EN001,Ultimate Rare,LIGHT,Machine,Effect Monster,2100,1600,"If only your opponent controls a monster, you can Special Summon this card (from your hand).",42.9,54.12,330.01,51.54,49.38,Unlimited,,
241456,Firewall Dragon (UTR),Firewall Dragon UTR,https://tcgplayer-cdn.tcgplayer.com/product/241456_200w.jpg,2,2850,https://cpt.tcgcsv.com/8CX2,2023-08-04T15:20:02.753,1,OP16-EN002,Ultimate Rare,LIGHT,Cyberse,Link/Effect Monster,2500,,"2+ monsters
<br>Once while face-up on the field (Quick Effect): You can target monsters on the field and/or GY up to the number of monsters co-linked to this card; return them to the hand. If a monster this card points to is destroyed by battle or sent to the GY: You can Special Summon 1 Cyberse monster from your hand. You can only use each effect of ""Firewall Dragon"" once per turn.",7.15,10.99,124.99,9.0,7.25,Unlimited,4,Left;Bottom;Top;Right
241458,Forbidden Droplet (UTR),Forbidden Droplet UTR,https://tcgplayer-cdn.tcgplayer.com/product/241458_200w.jpg,2,2850,https://cpt.tcgcsv.com/bCX2,2024-05-15T13:11:07.94,1,OP16-EN003,Ultimate Rare,SPELL,,Quick-Play Spell,,,"Send any number of other cards from your hand and/or field to the GY; choose that many Effect Monsters your opponent controls, and until the end of this turn, their ATK is halved, also their effects are negated. In response to this card's activation, your opponent cannot activate cards, or the effects of cards, with the same original type (Monster/Spell/Trap) as the cards sent to the GY to activate this card. You can only activate 1 ""Forbidden Droplet"" per turn.",68.39,85.48,460.0,75.14,68.4,Unlimited,,
241460,Cyber-Stein,Cyber Stein,https://tcgplayer-cdn.tcgplayer.com/product/241460_200w.jpg,2,2850,https://cpt.tcgcsv.com/dCX2,2021-06-15T20:35:06.217,1,OP16-EN004,Super Rare,DARK,Machine,Effect Monster,700,500,"(This card is not treated as a ""Cyber"" card.)
<br>You can pay 5000 LP; Special Summon 1 Fusion Monster from your Extra Deck in Attack Position.",0.84,3.0,29.99,1.24,,Unlimited,,
241461,King of the Skull Servants,King of the Skull Servants,https://tcgplayer-cdn.tcgplayer.com/product/241461_200w.jpg,2,2850,https://cpt.tcgcsv.com/fCX2,2021-06-15T20:35:17.47,1,OP16-EN005,Super Rare,DARK,Zombie,Effect Monster,,0,"The original ATK of this card is the combined number of ""King of the Skull Servants"" and ""Skull Servant"" in your GY x 1000. When this card is destroyed by battle and sent to the GY: You can banish 1 other ""King of the Skull Servants"" or 1 ""Skull Servant"" from your GY; Special Summon this card.",3.17,5.0,19.91,4.59,4.96,Unlimited,,
241463,Mausoleum of the Emperor,Mausoleum of the Emperor,https://tcgplayer-cdn.tcgplayer.com/product/241463_200w.jpg,2,2850,https://cpt.tcgcsv.com/hCX2,2021-06-15T20:37:20.21,1,OP16-EN006,Super Rare,SPELL,,Field Spell,,,"During the Main Phase: The turn player can activate these effect(s).
<br>• Pay 1000 LP; immediately after this effect resolves , Normal Summon 1 monster from your hand that requires 1 Tribute, without Tributing.
<br>• Pay 2000 LP; immediately after this effect resolves, Normal Summon 1 monster from your hand that requires 2 Tributes, without Tributing.
<br><em>(This is their one Normal Summon / Set for that turn.)</em>",0.2,0.5,3.99,0.35,,Unlimited,,
241465,Token Stampede,Token Stampede,https://tcgplayer-cdn.tcgplayer.com/product/241465_200w.jpg,2,2850,https://cpt.tcgcsv.com/kCX2,2021-07-23T19:56:12.95,1,OP16-EN007,Super Rare,TRAP,,Continuous Trap,,,"All Tokens in Attack Position gain 1000 ATK, also they cannot be destroyed by battle.",0.07,0.3,20.0,0.19,,Unlimited,,
241466,Phonon Pulse Dragon,Phonon Pulse Dragon,https://tcgplayer-cdn.tcgplayer.com/product/241466_200w.jpg,2,2850,https://cpt.tcgcsv.com/lCX2,2025-05-15T19:36:15.743,1,OP16-EN008,Super Rare,DARK,Dragon,Synchro/Tuner/Effect Monster,1900,800,"1 Tuner + 1+ non-Tuner monsters
<br>When this card is Synchro Summoned: You can declare a Level from 1 to 3; this card becomes that Level, also you cannot Special Summon for the rest of this turn, except for a Synchro Summon using this card as material. You can only Special Summon ""Phonon Pulse Dragon(s)"" once per turn.",0.1,0.4,4.99,0.24,,Unlimited,,
241467,Tri-Brigade Nervall,Tri Brigade Nervall,https://tcgplayer-cdn.tcgplayer.com/product/241467_200w.jpg,2,2850,https://cpt.tcgcsv.com/mCX2,2021-06-15T20:38:00.893,1,OP16-EN009,Super Rare,WIND,Winged Beast,Effect Monster,,,"You can banish any number of Beast, Beast-Warrior, and/or Winged Beast monsters in your GY; Special Summon 1 Beast, Beast-Warrior, or Winged Beast Link Monster from your Extra Deck, with Link Rating equal to the number banished, also you can only use Beast, Beast-Warrior, and Winged Beast monsters as Link Material for the rest of this turn. If this card is sent to the GY: You can add 1 ""Tri-Brigade"" monster from your Deck to your hand, except ""Tri-Brigade Nervall"". You can only use each effect of ""Tri-Brigade Nervall"" once per turn.",0.12,0.49,5.0,0.28,,Unlimited,,
241475,Geonator Transverser,Geonator Transverser,https://tcgplayer-cdn.tcgplayer.com/product/241475_200w.jpg,2,2850,https://cpt.tcgcsv.com/wCX2,2021-06-15T20:44:42.167,1,OP16-EN010,Super Rare,EARTH,Rock,Link/Effect Monster,1200,,"2 Effect Monsters
<br>This linked card and monsters it points to cannot be destroyed by your opponent's card effects. If this card points to 2 monsters: You can switch control of those monsters. You can only use this effect of ""Geonator Transverser"" once per turn.",0.11,0.35,2.99,0.29,,Unlimited,2,Bottom-Left;Top-Right
