productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
482378,Spright Blue (UTR),Spright Blue UTR,https://tcgplayer-cdn.tcgplayer.com/product/482378_200w.jpg,2,22936,https://cpt.tcgcsv.com/BZS5,2025-01-06T12:22:18.813,1,OP21-EN001,Ultimate Rare,DARK,Thunder,Effect Monster,1100,1000,"If you control a Level/Rank 2 monster, you can Special Summon this card (from your hand). You can only Special Summon ""Spright Blue"" once per turn this way. If this card is Special Summoned: You can add 1 ""Spright"" monster from your Deck to your hand, except ""Spright Blue"". You can only use this effect of ""Spright Blue"" once per turn.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",6.4,13.23,50.0,7.72,13.47,Unlimited
482379,Tearlaments Reinoheart (UTR),Tearlaments Reinoheart UTR,https://tcgplayer-cdn.tcgplayer.com/product/482379_200w.jpg,2,22936,https://cpt.tcgcsv.com/CZS5,2023-08-04T15:36:38.363,1,OP21-EN002,Ultimate Rare,WATER,Warrior,Effect Monster,1500,2100,"If this card is Normal or Special Summoned: You can send 1 ""Tearlaments"" monster from your Deck to the GY, except ""Tearlaments Reinoheart"". If this card is sent to the GY by card effect: You can Special Summon this card (but banish it when it leaves the field), and if you do, send 1 ""Tearlaments"" card from your hand to the GY. You can only use each effect of ""Tearlaments Reinoheart"" once per turn.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",8.76,12.99,48.99,9.23,11.17,Unlimited
482380,Kashtira Fenrir (UTR),Kashtira Fenrir UTR,https://tcgplayer-cdn.tcgplayer.com/product/482380_200w.jpg,2,22936,https://cpt.tcgcsv.com/DZS5,2023-08-04T15:36:21.383,1,OP21-EN003,Ultimate Rare,EARTH,Psychic,Effect Monster,2400,2400,"If you control no monsters, you can Special Summon this card (from your hand). You can only use each of the following effects of ""Kashtira Fenrir"" once per turn. During your Main Phase: You can add 1 ""Kashtira"" monster from your Deck to your hand. When this card declares an attack, or if your opponent activates a monster effect (except during the Damage Step): You can target 1 face-up card your opponent controls; banish it, face-down.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",24.48,34.12,79.94,31.13,59.96,Unlimited
482431,Spright Red,Spright Red,https://tcgplayer-cdn.tcgplayer.com/product/482431_200w.jpg,2,22936,https://cpt.tcgcsv.com/F-S5,2023-02-08T14:57:23.887,0,OP21-EN004,Super Rare,FIRE,Thunder,Effect Monster,1200,1800,"If you control a Level/Link 2 monster, you can Special Summon this card (from your hand). You can only Special Summon ""Spright Red"" once per turn this way. When your opponent activates a monster effect (Quick Effect): You can Tribute 1 other Level/Rank/Link 2 monster; negate that effect, then if you Tributed a Rank/Link 2 monster to activate this effect, you can destroy that monster. You can only use this effect of ""Spright Red"" once per turn.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",0.01,0.25,10.0,0.16,,Unlimited
482432,Tearlaments Merrli,Tearlaments Merrli,https://tcgplayer-cdn.tcgplayer.com/product/482432_200w.jpg,2,22936,https://cpt.tcgcsv.com/G-S5,2023-02-08T14:57:32.907,0,OP21-EN005,Super Rare,DARK,Aqua,Effect Monster,800,2000,"If this card is Normal or Special Summoned: You can send the top 3 cards of your Deck to the GY. If this card is sent to the GY by card effect (except during the Damage Step): You can Fusion Summon 1 Fusion Monster from your Extra Deck, by placing Fusion Materials mentioned on it from your hand, field, and/or GY, including this card from your GY, on the bottom of the Deck in any order. You can only use each effect of ""Tearlaments Merrli"" once per turn.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",0.02,0.63,9.99,0.36,,Unlimited
482433,Tearlaments Havnis,Tearlaments Havnis,https://tcgplayer-cdn.tcgplayer.com/product/482433_200w.jpg,2,22936,https://cpt.tcgcsv.com/H-S5,2023-02-08T14:57:40.867,0,OP21-EN006,Super Rare,DARK,Aqua,Effect Monster,1600,1000,"When your opponent activates a monster effect on the field (Quick Effect): You can Special Summon this card from your hand, and if you do, send the top 3 cards of your Deck to the GY. If this card is sent to the GY by card effect (except during the Damage Step): You can Fusion Summon 1 Fusion Monster from your Extra Deck, by placing Fusion Materials mentioned on it from your hand, field, and/or GY, including this card from your GY, on the bottom of the Deck in any order. You can only use each effect of ""Tearlaments Havnis"" once per turn.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",0.19,0.5,9.99,0.32,,Unlimited
482434,Tobari the Sky Ninja,Tobari the Sky Ninja,https://tcgplayer-cdn.tcgplayer.com/product/482434_200w.jpg,2,22936,https://cpt.tcgcsv.com/J-S5,2023-02-08T14:57:48.513,0,OP21-EN007,Super Rare,EARTH,Winged Beast,Effect Monster,0,0,"This card cannot be destroyed by battle or card effect the turn it was Special Summoned or flipped face-up. You can only use each of the following effects of ""Tobari the Sky Ninja"" once per turn. You can send this card from your hand to the GY; Special Summon 1 ""Ninja"" monster from your hand in face-up or face-down Defense Position. During your opponent's Main or Battle Phase (Quick Effect): You can Fusion Summon 1 ""Ninja"" Fusion Monster from your Extra Deck, using monsters from your hand or field as material.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",0.1,0.3,1.99,0.17,,Unlimited
482435,Scareclaw Kashtira,Scareclaw Kashtira,https://tcgplayer-cdn.tcgplayer.com/product/482435_200w.jpg,2,22936,https://cpt.tcgcsv.com/K-S5,2023-02-08T14:58:06.97,0,OP21-EN008,Super Rare,EARTH,Psychic,Effect Monster,0,2600,"During the Main Phase (Quick Effect): You can Special Summon this card from your hand, and if you do, banish 1 ""Kashtira"" or ""Scareclaw"" card from your hand or GY. You can only use this effect of ""Scareclaw Kashtira"" once per turn. This card can attack while in face-up Defense Position. If it does, apply its DEF for damage calculation. If your ""Kashtira"" or ""Scareclaw"" monster battles an opponent's monster, that opponent's monster's effects are negated until the end of this turn.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",0.01,0.38,8.61,0.29,,Unlimited
482436,Number 29: Mannequin Cat,Number 29 Mannequin Cat,https://tcgplayer-cdn.tcgplayer.com/product/482436_200w.jpg,2,22936,https://cpt.tcgcsv.com/L-S5,2023-02-08T14:58:15.82,0,OP21-EN009,Super Rare,LIGHT,Beast,Effect Xyz Monster,2000,900,"2 Level 2 monsters
<br>Once per turn: You can detach 1 material from this card, then target 1 monster in your opponent's GY; Special Summon it to your opponent's field. If a monster(s) is Special Summoned to your opponent's field, while you control this monster (except during the Damage Step): You can target 1 face-up monster your opponent controls; Special Summon 1 monster with the same Type or Attribute from your hand, Deck, or GY. You can only use this effect of ""Number 29: Mannequin Cat"" once per turn.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",0.14,0.38,9.99,0.31,,Unlimited
482437,Epurrely Happiness,Epurrely Happiness,https://tcgplayer-cdn.tcgplayer.com/product/482437_200w.jpg,2,22936,https://cpt.tcgcsv.com/M-S5,2023-10-30T00:05:47.867,0,OP21-EN010,Super Rare,LIGHT,Fairy,Effect Xyz Monster,2000,100,"2 Level 2 monsters
<br>At the end of the Damage Step, if this card battled: You can add 1 ""Purrely"" card from your Deck to your hand, also, if this card has ""Purrely Happy Memory"" as material, you can halve the ATK of 1 face-up monster on the field. Up to thrice per turn, when you activate a ""Purrely"" Quick-Play Spell Card (Quick Effect): You can attach that card on the field to this card as material, then you can return 1 Spell/Trap your opponent controls to the hand.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",0.01,0.3,8.39,0.17,,Unlimited
