productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDescription,extLinkRating,extLinkArrows,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extDefense
154613,Decode Talker (UTR),Decode Talker UTR,https://tcgplayer-cdn.tcgplayer.com/product/154613_200w.jpg,2,2157,https://cpt.tcgcsv.com/hSf2,2023-08-04T15:47:39.06,1,OP06-EN001,Ultimate Rare,DARK,Cyberse,Link/Effect Monster,2300,"2+ Effect Monsters
<br>Gains 500 ATK for each monster it points to. When your opponent activates a card or effect that targets a card(s) you control (Quick Effect): You can Tribute 1 monster this card points to; negate the activation, and if you do, destroy that card.",3,Bottom-Right;Bottom-Left;Top,4.72,7.17,66.0,6.69,,Unlimited,
154614,Brilliant Fusion (UTR),Brilliant Fusion UTR,https://tcgplayer-cdn.tcgplayer.com/product/154614_200w.jpg,2,2157,https://cpt.tcgcsv.com/jSf2,2023-08-04T15:47:28.73,1,OP06-EN002,Ultimate Rare,SPELL,,Continuous Spell,,"When this card is activated: Fusion Summon 1 ""Gem-Knight"" Fusion Monster from your Extra Deck, using monsters from your Deck as Fusion Material, but change its ATK/DEF to 0. If this card leaves the field, destroy that monster. Once per turn: You can discard 1 Spell Card; the monster Special Summoned by this card's effect gains ATK/DEF equal to its original ATK/DEF, until the end of your opponent's turn. You can only activate 1 ""Brilliant Fusion"" per turn.",,,26.67,30.83,120.0,28.19,,Unlimited,
154615,Invocation (UTR),Invocation UTR,https://tcgplayer-cdn.tcgplayer.com/product/154615_200w.jpg,2,2157,https://cpt.tcgcsv.com/kSf2,2023-08-04T15:47:44.027,1,OP06-EN003,Ultimate Rare,SPELL,,Normal Spell,,"Fusion Summon 1 Fusion Monster from your Extra Deck, using monsters from your hand as Fusion Material. If Summoning an ""Invoked"" Fusion Monster this way, you can also banish monsters from your field and/or either player's GY as Fusion Material. If this card is in your GY: You can target 1 of your banished ""Aleister the Invoker""; shuffle this card into the Deck, and if you do, add that card to your hand. You can only use this effect of ""Invocation"" once per turn.",,,28.88,39.77,200.0,29.78,34.75,Unlimited,
154616,Revendread Slayer,Revendread Slayer,https://tcgplayer-cdn.tcgplayer.com/product/154616_200w.jpg,2,2157,https://cpt.tcgcsv.com/lSf2,2017-12-27T20:01:09.407,1,OP06-EN004,Super Rare,DARK,Zombie,Ritual/Effect Monster,2400,"You can Ritual Summon this card with any ""Vendread"" Ritual Spell. Once per battle, if this card battles an opponent's monster, during damage calculation (Quick Effect): You can banish 1 Zombie monster from your GY; this card gains 300 ATK. If this Ritual Summoned card is sent to the GY: You can add 1 Ritual Spell from your Deck to your hand, and if you do, send 1 ""Vendread"" monster from your Deck to the GY. You can only use this effect of ""Revendread Slayer"" once per turn.",,,1.27,2.57,15.99,2.07,,Unlimited,0
154617,Fairy Tail - Rella,Fairy Tail Rella,https://tcgplayer-cdn.tcgplayer.com/product/154617_200w.jpg,2,2157,https://cpt.tcgcsv.com/mSf2,2017-12-27T19:41:50.317,1,OP06-EN005,Super Rare,LIGHT,Spellcaster,Effect Monster,1850,"Neither player can target monsters on the field with Spell Cards or effects, except this one. Once per turn: You can discard 1 Spell; equip 1 Equip Spell from your hand, Deck, or GY to this card, but return that Equip Spell to the hand during the End Phase.",,,0.15,0.77,4.99,0.36,,Unlimited,1000
154618,Paleozoic Canadia,Paleozoic Canadia,https://tcgplayer-cdn.tcgplayer.com/product/154618_200w.jpg,2,2157,https://cpt.tcgcsv.com/nSf2,2017-12-27T19:53:39.683,1,OP06-EN006,Super Rare,TRAP,,Normal Trap,,"Target 1 face-up monster your opponent controls; change it to face-down Defense Position. Once per Chain, when a Trap Card is activated while this card is in your GY: You can Special Summon this card as a Normal Monster (Aqua/WATER/Level 2/ATK 1200/DEF 0). (This card is NOT treated as a Trap.) If Summoned this way, this card is unaffected by monster effects, also banish it when it leaves the field.",,,2.28,3.46,28.58,2.41,,Unlimited,
154619,Paleozoic Eldonia,Paleozoic Eldonia,https://tcgplayer-cdn.tcgplayer.com/product/154619_200w.jpg,2,2157,https://cpt.tcgcsv.com/pSf2,2017-12-27T19:55:02.213,1,OP06-EN007,Super Rare,TRAP,,Normal Trap,,"Target 1 face-up monster on the field; it gains 500 ATK/DEF until the end of this turn. Once per Chain, when a Trap Card is activated while this card is in your GY: You can Special Summon this card as a Normal Monster (Aqua/WATER/Level 2/ATK 1200/DEF 0). (This card is NOT treated as a Trap.) If Summoned this way, this card is unaffected by monster effects, also banish it when it leaves the field.",,,0.18,0.5,4.99,0.37,,Unlimited,
154620,Paleozoic Hallucigenia,Paleozoic Hallucigenia,https://tcgplayer-cdn.tcgplayer.com/product/154620_200w.jpg,2,2157,https://cpt.tcgcsv.com/qSf2,2025-05-15T19:32:15.5,1,OP06-EN008,Super Rare,TRAP,,Normal Trap,,"Target 1 face-up monster on the field; its ATK/DEF become half its current ATK/DEF until the end of this turn. Once per Chain, when a Trap Card is activated while this card is in your GY: You can Special Summon this card as a Normal Monster (Aqua/WATER/Level 2/ATK 1200/DEF 0). (This card is NOT treated as a Trap.) If Summoned this way, this card is unaffected by monster effects, also banish it when it leaves the field.",,,0.2,0.63,4.99,0.41,,Unlimited,
154621,Set Rotation,Set Rotation,https://tcgplayer-cdn.tcgplayer.com/product/154621_200w.jpg,2,2157,https://cpt.tcgcsv.com/rSf2,2022-07-04T09:10:57.71,1,OP06-EN009,Super Rare,SPELL,,Quick-Play Spell,,"Set 2 Field Spells with different names from your Deck on the field (1 on your field, and 1 on your opponent's field). While either of those cards remain Set on the field, neither player can activate or Set other Field Spells.",,,0.15,0.74,23.99,0.46,,Unlimited,
154622,Black Metal Dragon,Black Metal Dragon,https://tcgplayer-cdn.tcgplayer.com/product/154622_200w.jpg,2,2157,https://cpt.tcgcsv.com/sSf2,2022-07-05T16:16:23.01,1,OP06-EN010,Super Rare,DARK,Dragon,Effect Monster,600,"You can target 1 ""Red-Eyes"" monster you control; equip this monster from your hand or field to that target. It gains 600 ATK. If this card is sent from the field to the GY: You can add 1 ""Red-Eyes"" card from your Deck to your hand.",,,1.87,4.03,33.0,4.28,2.0,Unlimited,600
154627,Windwitch - Winter Bell,Windwitch Winter Bell,https://tcgplayer-cdn.tcgplayer.com/product/154627_200w.jpg,2,2157,https://cpt.tcgcsv.com/zSf2,2017-12-27T20:05:35.063,1,OP06-EN011,Super Rare,WIND,Spellcaster,Synchro/Effect Monster,2400,"1 Tuner + 1+ non-Tuner WIND monsters
<br>You can target 1 ""Windwitch"" monster in your GY; inflict damage to your opponent equal to that target's Level x 200. During either player's Battle Phase (Quick Effect): You can target 1 ""Windwitch"" monster you control; Special Summon 1 monster from your hand with a Level less than or equal to that monster, but it cannot attack this turn. You can only use each effect of ""Windwitch - Winter Bell"" once per turn.",,,0.49,0.99,9.99,0.54,0.5,Unlimited,2000
154629,Trickstar Lilybell,Trickstar Lilybell,https://tcgplayer-cdn.tcgplayer.com/product/154629_200w.jpg,2,2157,https://cpt.tcgcsv.com/CSf2,2017-12-27T20:03:10.317,1,OP06-EN012,Super Rare,LIGHT,Fairy,Effect Monster,800,"If this card is added to your hand, except by drawing it: You can Special Summon it from your hand. You can only use this effect of ""Trickstar Lilybell"" once per turn. This card can attack directly. When this card inflicts battle damage to your opponent: You can target 1 ""Trickstar"" monster in your GY; add it to your hand.",,,0.75,1.54,19.99,1.28,,Unlimited,2000
