productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC
26602,Gladiator Beast Andal,Gladiator Beast Andal,https://tcgplayer-cdn.tcgplayer.com/product/26602_200w.jpg,2,258,https://cpt.tcgcsv.com/3Gd,2013-05-09T12:13:41.653,1,PTDN-EN001,Common,Earth,Beast-Warrior,Normal Monster,1900,1500,This one-eyed warrior bear is an aggressive hunter that strikes down its prey with the powerful swipes of its claws. No one can bear the brunt of his tremendously fast and heavy blows.,0.23,0.59,3.0,0.62,,Unlimited,
26602,Gladiator Beast Andal,Gladiator Beast Andal,https://tcgplayer-cdn.tcgplayer.com/product/26602_200w.jpg,2,258,https://cpt.tcgcsv.com/3Gd,2013-05-09T12:13:41.653,1,PTDN-EN001,Common,Earth,Beast-Warrior,Normal Monster,1900,1500,This one-eyed warrior bear is an aggressive hunter that strikes down its prey with the powerful swipes of its claws. No one can bear the brunt of his tremendously fast and heavy blows.,0.22,0.74,5.29,0.6,,1st Edition,
26603,Atlantean Pikeman,Atlantean Pikeman,https://tcgplayer-cdn.tcgplayer.com/product/26603_200w.jpg,2,258,https://cpt.tcgcsv.com/5Gd,2018-11-16T15:09:23.303,1,PTDN-EN002,Common,WATER,Sea Serpent,Normal Monster,1400,0,"The Great Ocean Lord, who reigns over the depths, is served by these lancers. Deep-sea creatures exist in fear of facing the stream of attacks their lances are capable of.",0.01,0.25,1.39,0.29,,Unlimited,
26603,Atlantean Pikeman,Atlantean Pikeman,https://tcgplayer-cdn.tcgplayer.com/product/26603_200w.jpg,2,258,https://cpt.tcgcsv.com/5Gd,2018-11-16T15:09:23.303,1,PTDN-EN002,Common,WATER,Sea Serpent,Normal Monster,1400,0,"The Great Ocean Lord, who reigns over the depths, is served by these lancers. Deep-sea creatures exist in fear of facing the stream of attacks their lances are capable of.",0.02,0.25,1.41,0.21,,1st Edition,
26604,Rainbow Dark Dragon,Rainbow Dark Dragon,https://tcgplayer-cdn.tcgplayer.com/product/26604_200w.jpg,2,258,https://cpt.tcgcsv.com/6Gd,2013-05-09T12:13:41.653,1,PTDN-EN003,Secret Rare,Dark,Dragon,Effect Monster,4000,0,This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by removing from play 7 DARK monsters with different names from your Graveyard. You can remove from play all other DARK monsters you control and from your Graveyard to have this card gain 500 ATK for each card removed.,17.99,32.5,57.74,23.39,,Unlimited,
26604,Rainbow Dark Dragon,Rainbow Dark Dragon,https://tcgplayer-cdn.tcgplayer.com/product/26604_200w.jpg,2,258,https://cpt.tcgcsv.com/6Gd,2013-05-09T12:13:41.653,1,PTDN-EN003,Secret Rare,Dark,Dragon,Effect Monster,4000,0,This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by removing from play 7 DARK monsters with different names from your Graveyard. You can remove from play all other DARK monsters you control and from your Graveyard to have this card gain 500 ATK for each card removed.,33.49,51.23,223.28,38.23,,1st Edition,
26605,Samsara Lotus,Samsara Lotus,https://tcgplayer-cdn.tcgplayer.com/product/26605_200w.jpg,2,258,https://cpt.tcgcsv.com/7Gd,2013-05-09T12:13:41.653,1,PTDN-EN004,Common,Dark,Plant,Effect Monster,0,0,"During your End Phase, if you control no Spell or Trap Cards, you can Special Summon this card from your Graveyard in face-up Attack Position. This card's controller takes 1000 damage during each of their Standby Phases.",0.05,0.3,2.97,0.27,,Unlimited,
26605,Samsara Lotus,Samsara Lotus,https://tcgplayer-cdn.tcgplayer.com/product/26605_200w.jpg,2,258,https://cpt.tcgcsv.com/7Gd,2013-05-09T12:13:41.653,1,PTDN-EN004,Common,Dark,Plant,Effect Monster,0,0,"During your End Phase, if you control no Spell or Trap Cards, you can Special Summon this card from your Graveyard in face-up Attack Position. This card's controller takes 1000 damage during each of their Standby Phases.",0.1,0.3,1.49,0.25,,1st Edition,
26606,Regenerating Rose,Regenerating Rose,https://tcgplayer-cdn.tcgplayer.com/product/26606_200w.jpg,2,258,https://cpt.tcgcsv.com/8Gd,2013-05-09T12:13:41.653,1,PTDN-EN005,Common,Dark,Plant,Effect Monster,0,1500,"When this card is destroyed by battle and sent to the Graveyard, you can Special Summon 2 ""Regenerating Rose Tokens"" (Plant-Type/DARK/Level 3/ATK 1200/DEF 1200).",0.1,0.26,1.43,0.35,,Unlimited,
26606,Regenerating Rose,Regenerating Rose,https://tcgplayer-cdn.tcgplayer.com/product/26606_200w.jpg,2,258,https://cpt.tcgcsv.com/8Gd,2013-05-09T12:13:41.653,1,PTDN-EN005,Common,Dark,Plant,Effect Monster,0,1500,"When this card is destroyed by battle and sent to the Graveyard, you can Special Summon 2 ""Regenerating Rose Tokens"" (Plant-Type/DARK/Level 3/ATK 1200/DEF 1200).",0.09,0.3,1.0,0.4,,1st Edition,
26607,Yubel,Yubel,https://tcgplayer-cdn.tcgplayer.com/product/26607_200w.jpg,2,258,https://cpt.tcgcsv.com/9Gd,2013-05-09T12:13:41.653,1,PTDN-EN006,Super Rare,Dark,Fiend,Effect Monster,0,0,"This card cannot be destroyed by battle. You take no Battle Damage from battles involving this card. When this face-up Attack Position card is attacked by an opponent's monster, before damage calculation inflict damage to your opponent equal to that monster's ATK. During your End Phase, Tribute 1 monster or destroy this card. When this card is destroyed, except by its own effect, you can Special Summon 1 ""Yubel - Terror Incarnate"" from your hand, Deck, or Graveyard.",2.72,4.8,33.58,3.09,,Unlimited,
