productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extCardType,extMonsterType,extAttack,extDefense,extLinkRating,extLinkArrows
220329,Phantom Rage Booster Box [1st Edition],Phantom Rage Booster Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/220329_200w.jpg,2,2694,https://cpt.tcgcsv.com/C8N2,2020-11-06T05:03:05.723,1,Each box contains 24 packs of 9 random cards.,083717850830,48.06,68.44,89.99,49.88,,Normal,,,,,,,,,
220330,Phantom Rage Booster Pack [1st Edition],Phantom Rage Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/220330_200w.jpg,2,2694,https://cpt.tcgcsv.com/D8N2,2020-11-06T05:03:05.723,1,Each pack contains 9 random cards.,083717850823,2.39,4.95,6.27,2.39,,Normal,,,,,,,,,
221422,Phantom Rage Booster Box Case [1st Edition],Phantom Rage Booster Box Case 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/221422_200w.jpg,2,2694,https://cpt.tcgcsv.com/sBN2,2020-11-06T05:03:05.723,1,Each case contains 12 boxes. Each box contains 24 packs of 9 random cards each.,083717850847,,,,,,,,,,,,,,,
226152,Myutant Cry,Myutant Cry,https://tcgplayer-cdn.tcgplayer.com/product/226152_200w.jpg,2,2694,https://cpt.tcgcsv.com/3tQ2,2025-05-15T19:39:34.533,1,"During the Main Phase: Fusion Summon 1 ""Myutant"" Fusion Monster from your Extra Deck, by shuffling the Fusion Materials listed on it into the Deck, from among your cards on the field, in your GY, and/or your face-up banished cards. You can only activate 1 ""Myutant Cry"" per turn.",,0.02,0.17,1.49,0.09,,1st Edition,PHRA-EN000,Common,TRAP,Normal Trap,,,,,
226153,Raider's Wing,Raiders Wing,https://tcgplayer-cdn.tcgplayer.com/product/226153_200w.jpg,2,2694,https://cpt.tcgcsv.com/5tQ2,2020-11-06T05:03:05.723,1,"(This card is always treated as a ""The Phantom Knights"" and ""Raidraptor"" card.)
<br>If this card is in your hand or GY: You can detach 1 material from your DARK Xyz Monster; Special Summon this card, but banish it when it leaves the field. You can only use this effect of ""Raider's Wing"" once per turn. An Xyz Monster whose original Attribute is DARK and has this card as material gains this effect.
<br>• Your opponent cannot target this card with card effects.",,0.58,1.84,19.99,1.05,1.24,1st Edition,PHRA-EN001,Ultra Rare,DARK,Effect Monster,Winged Beast,0,2000,,
226154,The Phantom Knights of Stained Greaves,The Phantom Knights of Stained Greaves,https://tcgplayer-cdn.tcgplayer.com/product/226154_200w.jpg,2,2694,https://cpt.tcgcsv.com/6tQ2,2024-04-19T09:30:00.047,1,"If a ""The Phantom Knights"" monster(s) is Special Summoned to your field (except during the Damage Step): You can Special Summon this card from your hand, then you can increase the Level of this card by 1. You can banish this card from your GY; Special Summon 1 ""The Phantom Knights"" monster from your hand, except ""The Phantom Knights of Stained Greaves"", then you can increase its Level by 1. You can only use each effect of ""The Phantom Knights of Stained Greaves"" once per turn.",,0.01,0.18,1.49,0.09,0.04,1st Edition,PHRA-EN002,Common,DARK,Effect Monster,Warrior,1200,600,,
226155,The Phantom Knights of Torn Scales,The Phantom Knights of Torn Scales,https://tcgplayer-cdn.tcgplayer.com/product/226155_200w.jpg,2,2694,https://cpt.tcgcsv.com/7tQ2,2023-10-18T08:55:30.463,1,"You can discard 1 card; send 1 ""Phantom Knights"" card from your Deck to the GY, except ""The Phantom Knights of Torn Scales"". If another ""Phantom Knights"" card in your GY is banished, while this card is in your GY: You can Special Summon this card, but banish it when it leaves the field. You can only use each effect of ""The Phantom Knights of Torn Scales"" once per turn.",,0.7,3.0,32.65,2.22,2.17,1st Edition,PHRA-EN003,Secret Rare,DARK,Effect Monster,Warrior,600,1600,,
226156,Raidraptor - Heel Eagle,Raidraptor Heel Eagle,https://tcgplayer-cdn.tcgplayer.com/product/226156_200w.jpg,2,2694,https://cpt.tcgcsv.com/8tQ2,2020-11-06T05:03:05.723,1,"If all monsters you control are ""Raidraptor"" monsters (min. 1): You can Special Summon this card from your hand. You can banish this card from your GY, then target 1 ""Raidraptor"" Spell/Trap in your GY; add it to your hand. You can only use each effect of ""Raidraptor - Heel Eagle"" once per turn.",,0.01,0.2,1.49,0.1,0.12,1st Edition,PHRA-EN004,Common,DARK,Effect Monster,Winged Beast,700,700,,
226157,Raidraptor - Strangle Lanius,Raidraptor Strangle Lanius,https://tcgplayer-cdn.tcgplayer.com/product/226157_200w.jpg,2,2694,https://cpt.tcgcsv.com/9tQ2,2020-11-06T05:03:05.723,1,"If you control a DARK monster: You can Special Summon this card from your hand, also you cannot Special Summon monsters for the rest of this turn, except DARK monsters. If you control an Xyz Monster with a DARK Xyz Monster as material: You can target 1 Level 4 or lower ""Raidraptor"" monster in your GY; Special Summon it, but its effects are negated. You can only use each effect of ""Raidraptor - Strangle Lanius"" once per turn.",,1.27,2.52,19.99,1.86,1.87,1st Edition,PHRA-EN005,Super Rare,DARK,Effect Monster,Winged Beast,1600,1100,,
226158,Tri-Brigade Nervall,Tri Brigade Nervall,https://tcgplayer-cdn.tcgplayer.com/product/226158_200w.jpg,2,2694,https://cpt.tcgcsv.com/btQ2,2025-05-15T19:39:34.563,1,"You can banish any number of Beast, Beast-Warrior, and/or Winged Beast monsters in your GY; Special Summon 1 Beast, Beast-Warrior, or Winged Beast Link Monster from your Extra Deck, with Link Rating equal to the number banished, also you can only use Beast, Beast-Warrior, and Winged Beast monsters as Link Material for the rest of this turn. If this card is sent to the GY: You can add 1 ""Tri-Brigade"" monster from your Deck to your hand, except ""Tri-Brigade Nervall"". You can only use each effect of ""Tri-Brigade Nervall"" once per turn.",,0.03,0.25,1.99,0.13,,1st Edition,PHRA-EN006,Common,WIND,Effect Monster,Winged Beast,0,2000,,
