productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
476229,Jinzo,Jinzo,https://tcgplayer-cdn.tcgplayer.com/product/476229_200w.jpg,2,22883,https://cpt.tcgcsv.com/CvQ5,2022-12-21T17:50:22.653,1,PSV-EN000,Secret Rare,DARK,Machine,Effect Monster,2400,1500,"As long as this card remains face-up on the field, all Trap Cards cannot be activated. The effects of all face-up Trap Cards are also negated.",35.0,42.65,50.29,50.29,,Unlimited
476230,Steel Ogre Grotto #2,Steel Ogre Grotto 2,https://tcgplayer-cdn.tcgplayer.com/product/476230_200w.jpg,2,22883,https://cpt.tcgcsv.com/DvQ5,2022-12-21T17:50:33.687,1,PSV-EN001,Common,EARTH,Machine,Normal Monster,1900,2200,A mechanized iron doll with tremendous strength.,0.23,0.25,0.75,0.24,,Unlimited
476232,Three-Headed Geedo,Three Headed Geedo,https://tcgplayer-cdn.tcgplayer.com/product/476232_200w.jpg,2,22883,https://cpt.tcgcsv.com/GvQ5,2022-12-21T17:50:53.003,1,PSV-EN002,Common,DARK,Fiend,Normal Monster,1200,1400,A three-headed nocturnal monster that is absolutely ruthless when fighting.,0.06,0.99,0.99,0.05,,Unlimited
476233,Parasite Paracide,Parasite Paracide,https://tcgplayer-cdn.tcgplayer.com/product/476233_200w.jpg,2,22883,https://cpt.tcgcsv.com/HvQ5,2022-12-21T17:51:04.633,1,PSV-EN003,Super Rare,EARTH,Insect,Effect Monster,500,300,"FLIP: Put this card face-up in your opponent''s Deck and shuffle it. When your opponent draws this card, it is immediately Special Summoned on your opponent''s side of the field face-up in Defense Position and inflicts 1000 points of Direct Damage to your opponent''s Life Points. From this point, all face-up Monster Cards on your opponent''s side of the field are treated as Insect-Type monsters as long as this card remains face-up on the field.",4.73,4.9,6.12,4.74,,Unlimited
476234,7 Completed,7 Completed,https://tcgplayer-cdn.tcgplayer.com/product/476234_200w.jpg,2,22883,https://cpt.tcgcsv.com/JvQ5,2022-12-21T17:51:13.733,1,PSV-EN004,Common,SPELL,,Equip Spell,0,0,A Machine-Type monster equipped with this card increases either its ATK or DEF by 700 points. You cannot change your choice as long as this card remains face-up on the field.,1.0,1.0,3.12,,,Unlimited
476236,Lightforce Sword,Lightforce Sword,https://tcgplayer-cdn.tcgplayer.com/product/476236_200w.jpg,2,22883,https://cpt.tcgcsv.com/LvQ5,2022-12-21T17:51:25.97,1,PSV-EN005,Rare,TRAP,,Normal Trap,0,0,"Select 1 card at random from your opponent''s hand. Keep it face-down and place it outside of the field. During your opponent''s 4th turn, the card is returned to his/her hand in the Standby Phase.",0.45,0.5,1.21,0.74,,Unlimited
476238,Chain Destruction,Chain Destruction,https://tcgplayer-cdn.tcgplayer.com/product/476238_200w.jpg,2,22883,https://cpt.tcgcsv.com/NvQ5,2022-12-21T17:51:33.807,1,PSV-EN006,Ultra Rare,TRAP,,Normal Trap,0,0,"You can activate this card when a monster with an ATK of 2000 points or less is summoned (including Special Summon). This monster is not destroyed, but all Monster Cards of the same name in the summoning player''s hand and Deck are destroyed. The summoning player''s Deck is then shuffled.",2.24,2.95,3.65,3.06,,Unlimited
476240,Time Seal,Time Seal,https://tcgplayer-cdn.tcgplayer.com/product/476240_200w.jpg,2,22883,https://cpt.tcgcsv.com/QvQ5,2022-12-21T17:51:41.787,1,PSV-EN007,Common,TRAP,,Normal Trap,0,0,Your opponent skips the Draw Phase of his/her next turn.,9.5,9.5,9.5,0.25,,Unlimited
476249,Graverobber,Graverobber,https://tcgplayer-cdn.tcgplayer.com/product/476249_200w.jpg,2,22883,https://cpt.tcgcsv.com/_vQ5,2022-12-21T17:51:49.94,1,PSV-EN008,Super Rare,TRAP,,Normal Trap,0,0,"You can take 1 Spell Card from your opponent''s Graveyard. If it is your turn and you activate it, you take 2000 points of Direct Damage.  If it is your opponent''s turn, you cannot activate it. The Spell Card is returned to your opponent''s Graveyard at the end of this turn.",2.0,2.87,3.74,4.5,,Unlimited
476250,Gift of The Mystical Elf,Gift of The Mystical Elf,https://tcgplayer-cdn.tcgplayer.com/product/476250_200w.jpg,2,22883,https://cpt.tcgcsv.com/0wQ5,2023-05-05T18:16:47.087,1,PSV-EN009,Common,TRAP,,Normal Trap,0,0,"Increase your Life Points by 300 points for each monster on the field, regardless of position.",0.5,0.75,0.99,0.99,,Unlimited
