productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardType,extUPC
27457,Mezuki,Mezuki,https://tcgplayer-cdn.tcgplayer.com/product/27457_200w.jpg,2,267,https://cpt.tcgcsv.com/9_d,2017-07-05T20:43:51.517,1,PP02-EN016,Secret Rare,Zombie/Effect,Earth,1700,800,You can remove from play this card from your Graveyard to Special Summon 1 Zombie-Type monster from your Graveyard.,5.77,10.15,27.99,9.14,,Unlimited,,
27497,Elemental Hero Heat,Elemental Hero Heat,https://tcgplayer-cdn.tcgplayer.com/product/27497_200w.jpg,2,267,https://cpt.tcgcsv.com/Z_d,2014-06-11T14:44:51.903,1,PP02-EN007,Super Rare,FIRE,Pyro,1600,1200,"This card gains 200 ATK for each face-up ""Elemental Hero"" Monster you control.",0.9,2.23,6.0,2.58,,Unlimited,Effect Monster,
28390,Elemental Hero Inferno,Elemental Hero Inferno,https://tcgplayer-cdn.tcgplayer.com/product/28390_200w.jpg,2,267,https://cpt.tcgcsv.com/Qmf,2019-02-11T13:42:50.243,1,PP02-EN010,Secret Rare,FIRE,Pyro,2300,1600,"""Elemental HERO Heat"" + ""Elemental HERO Lady Heat""
Must be Fusion Summoned and cannot be Special Summoned by other ways. If this card battles a WATER monster, this card gains 1000 ATK during the Damage Step only.",0.36,1.0,8.97,0.93,,Unlimited,Fusion/Effect Monster,
32126,Super War-Lion,Super War Lion,https://tcgplayer-cdn.tcgplayer.com/product/32126_200w.jpg,2,267,https://cpt.tcgcsv.com/xSg,2014-06-11T15:44:41,1,PP02-EN001,Super Rare,EARTH,Beast,2300,2100,"This monster can only be Ritual Summoned with the Ritual Spell Card, ""War-Lion Ritual"".",0.1,0.45,1.59,0.35,,Unlimited,Ritual Monster,
32193,Athena,Athena,https://tcgplayer-cdn.tcgplayer.com/product/32193_200w.jpg,2,267,https://cpt.tcgcsv.com/TTg,2014-06-11T16:04:09.61,1,PP02-EN018,Secret Rare,LIGHT,Fairy,2600,800,"Each time a Fairy-Type monster is Summoned, inflict 600 damage to your opponent. Once per turn, you can send 1 Fairy-Type monster you control, except Athena, to the Graveyard to Special Summon 1 Fairy-Type monster from your Graveyard, except Athena.",0.85,1.75,44.99,1.67,,Unlimited,Effect Monster,
32194,Carrierroid,Carrierroid,https://tcgplayer-cdn.tcgplayer.com/product/32194_200w.jpg,2,267,https://cpt.tcgcsv.com/VTg,2014-06-11T16:04:24.823,1,PP02-EN015,Secret Rare,WATER,Machine,1000,800,"When an opponent activates a card's effect that targets and destroys a Spell or Trap Card(s) you control, you can discard 1 card to negate its activation and destroy the card.",0.2,0.5,4.95,0.4,,Unlimited,Effect Monster,
32195,Elemental Hero Knospe,Elemental Hero Knospe,https://tcgplayer-cdn.tcgplayer.com/product/32195_200w.jpg,2,267,https://cpt.tcgcsv.com/WTg,2014-06-11T15:24:46.447,1,PP02-EN005,Super Rare,EARTH,Plant,600,1000,"Each time this card inflicts Battle Damage to your opponent, it gains 100 ATK and loses 100 DEF. While you control another face-up Elemental Hero monster, your opponent cannot select this card as an attack target and this card can attack your opponent dir",0.5,1.36,2.99,1.35,,Unlimited,Effect Monster,
32196,Elemental Hero Lady Heat,Elemental Hero Lady Heat,https://tcgplayer-cdn.tcgplayer.com/product/32196_200w.jpg,2,267,https://cpt.tcgcsv.com/XTg,2014-06-11T15:25:39.363,1,PP02-EN008,Super Rare,FIRE,Pyro,1300,1000,"During each of your End Phases, inflict 200 damage to your opponent for each face-up Elemental Hero monster you control.",0.7,1.24,12.97,0.86,,Unlimited,Effect Monster,
32197,Elemental Hero Poison Rose,Elemental Hero Poison Rose,https://tcgplayer-cdn.tcgplayer.com/product/32197_200w.jpg,2,267,https://cpt.tcgcsv.com/ZTg,2014-06-11T15:26:05.653,1,PP02-EN006,Super Rare,EARTH,Plant,1900,2000,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except with Rose Bud. Your opponent can only select Elemental Hero Poison Rose as an attack target. Each time this card inflicts Battle Damage to your opponent, it gains 200",0.2,0.53,1.99,0.52,,Unlimited,Effect Monster,
32198,Elemental Hero Terra Firma,Elemental Hero Terra Firma,https://tcgplayer-cdn.tcgplayer.com/product/32198_200w.jpg,2,267,https://cpt.tcgcsv.com/-Tg,2014-06-11T15:28:30.06,1,PP02-EN009,Secret Rare,EARTH,Warrior,2500,2000,"Elemental Hero Ocean + Elemental Hero Woodsman
This card cannot be Special Summoned except by Fusion Summon. You can Tribute 1 face-up Elemental Hero monster to have this card gain ATK equal to the the Tributed monster's ATK until the End Phase.",10.0,16.49,69.99,12.89,,Unlimited,Fusion/Effect Monster,
32199,Elemental Hero Voltic,Elemental Hero Voltic,https://tcgplayer-cdn.tcgplayer.com/product/32199_200w.jpg,2,267,https://cpt.tcgcsv.com/_Tg,2014-06-11T15:28:53.69,1,PP02-EN014,Secret Rare,LIGHT,Thunder,1000,1500,"When this card inflicts Battle Damage to your opponent, you can Special Summon 1 of your removed from play Elemental Hero monsters.",4.54,6.38,9.99,5.51,,Unlimited,Effect Monster,
32200,Elemental Hero Woodsman,Elemental Hero Woodsman,https://tcgplayer-cdn.tcgplayer.com/product/32200_200w.jpg,2,267,https://cpt.tcgcsv.com/0Vg,2014-06-11T15:29:25.177,1,PP02-EN004,Secret Rare,EARTH,Warrior,1000,2000,"Once per turn, during your Standby Phase, you can add 1 Polymerization from your Deck or Graveyard to your hand.",0.85,2.09,9.99,2.08,,Unlimited,Effect Monster,
32201,Evil Dragon Ananta,Evil Dragon Ananta,https://tcgplayer-cdn.tcgplayer.com/product/32201_200w.jpg,2,267,https://cpt.tcgcsv.com/2Vg,2021-02-10T13:57:54.73,1,PP02-EN017,Secret Rare,DARK,Reptile,0,0,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by removing from play all Reptile-Type monsters from your side of the field and Graveyard. This card's ATK and DEF are each equal to the number of monsters you removed x 600. During each of your End Phases, destroy 1 card on the field.",1.2,2.31,16.99,2.31,,Unlimited,Effect Monster,
32202,Hecatrice,Hecatrice,https://tcgplayer-cdn.tcgplayer.com/product/32202_200w.jpg,2,267,https://cpt.tcgcsv.com/3Vg,2014-06-11T15:34:34.04,1,PP02-EN019,Super Rare,LIGHT,Fairy,1500,1100,"You can discard this card to the Graveyard to add 1 Valhalla, Hall of the Fallen from your Deck to your hand.",0.25,1.04,4.99,1.06,,Unlimited,Effect Monster,
32203,Hero's Bond,Heros Bond,https://tcgplayer-cdn.tcgplayer.com/product/32203_200w.jpg,2,267,https://cpt.tcgcsv.com/5Vg,2014-06-11T16:05:01.84,1,PP02-EN012,Secret Rare,SPELL,,0,0,"Activate only while there is a face-up Elemental Hero, Destiny Hero, or Evil Hero monster on the field. Special Summon up to 2 Level 4 or lower Elemental Hero monsters from your hand.",0.45,1.36,8.17,1.5,,Unlimited,Normal Spell,
32204,Rose Bud,Rose Bud,https://tcgplayer-cdn.tcgplayer.com/product/32204_200w.jpg,2,267,https://cpt.tcgcsv.com/6Vg,2014-06-11T15:35:31.503,1,PP02-EN011,Super Rare,SPELL,,0,0,Tribute 1 Elemental Hero Knospe you control. Special Summon 1 Elemental Hero Poison Rose from your hand or Deck.,0.05,0.3,2.68,0.25,,Unlimited,Normal Spell,
32205,Sengenjin,Sengenjin,https://tcgplayer-cdn.tcgplayer.com/product/32205_200w.jpg,2,267,https://cpt.tcgcsv.com/7Vg,2014-06-11T15:40:56.253,1,PP02-EN003,Super Rare,EARTH,Beast-Warrior,2750,2500,,0.25,1.59,10.0,1.33,,Unlimited,Normal Monster,
32206,Terra Firma Gravity,Terra Firma Gravity,https://tcgplayer-cdn.tcgplayer.com/product/32206_200w.jpg,2,267,https://cpt.tcgcsv.com/8Vg,2014-06-11T15:48:48.013,1,PP02-EN013,Super Rare,TRAP,,0,0,Activate only during your opponent's Battle Phase. All Level 4 or lower monsters that can attack a face-up Elemental Hero Terra Firma you control must attack it.,0.03,0.28,2.5,0.19,,Unlimited,Normal Trap,
32207,"Valhalla, Hall of the Fallen",Valhalla Hall of the Fallen,https://tcgplayer-cdn.tcgplayer.com/product/32207_200w.jpg,2,267,https://cpt.tcgcsv.com/9Vg,2014-06-11T16:05:25.347,1,PP02-EN020,Secret Rare,SPELL,,0,0,"Once per turn, if you control no monsters, you can Special Summon 1 Fairy-Type monster from your hand.",1.47,2.25,3.98,2.33,,Unlimited,Normal Spell,
32208,War-Lion Ritual,War Lion Ritual,https://tcgplayer-cdn.tcgplayer.com/product/32208_200w.jpg,2,267,https://cpt.tcgcsv.com/bVg,2014-06-11T15:54:02.757,1,PP02-EN002,Super Rare,SPELL,,0,0,This card is used to Ritual Summon Super War-Lion. You must also offer monsters from the field or your hand whose total Levels equal 7 or more.,0.05,0.3,1.95,0.28,,Unlimited,Normal Spell,
57238,Premium Pack 2 Booster Box,Premium Pack 2 Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/57238_200w.jpg,2,267,https://cpt.tcgcsv.com/NVs,2019-08-12T16:14:13.583,1,,,,,,,,499.99,520.5,541.0,,,Normal,,53334623520
90811,Elemental HERO Heat,Elemental HERO Heat Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/90811_200w.jpg,2,267,https://cpt.tcgcsv.com/flL,2014-06-11T15:07:11.63,0,PP02-EN007,Secret Rare,FIRE,Pyro,1600,1200,"This card gains 200 ATK for each face-up ""Elemental HERO"" monster you control.",,,,,,,Effect Monster,
90812,Elemental Hero Knospe,Elemental Hero Knospe Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/90812_200w.jpg,2,267,https://cpt.tcgcsv.com/glL,2014-06-11T15:17:20.15,1,PP02-EN005,Secret Rare,EARTH,Plant,600,1000,"Each time this card inflicts Battle Damage to your opponent, it gains 100 ATK and loses 100 DEF. While you control another face-up Elemental Hero monster, your opponent cannot select this card as an attack target and this card can attack your opponent dir",80.68,95.0,238.75,250.0,,Unlimited,Effect Monster,
90813,Elemental Hero Lady Heat,Elemental Hero Lady Heat Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/90813_200w.jpg,2,267,https://cpt.tcgcsv.com/hlL,2014-06-11T15:19:45.74,1,PP02-EN008,Secret Rare,FIRE,Pyro,1300,1000,"During each of your End Phases, inflict 200 damage to your opponent for each face-up Elemental Hero monster you control.",51.43,59.93,98.99,59.99,,Unlimited,Effect Monster,
90814,Elemental Hero Poison Rose,Elemental Hero Poison Rose Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/90814_200w.jpg,2,267,https://cpt.tcgcsv.com/jlL,2014-06-11T15:23:02.053,1,PP02-EN006,Secret Rare,EARTH,Plant,1900,2000,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except with Rose Bud. Your opponent can only select Elemental Hero Poison Rose as an attack target. Each time this card inflicts Battle Damage to your opponent, it gains 200",42.48,52.88,125.98,26.98,,Unlimited,Effect Monster,
