productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC
31844,Rockstone Warrior,Rockstone Warrior,https://tcgplayer-cdn.tcgplayer.com/product/31844_200w.jpg,2,270,https://cpt.tcgcsv.com/VLg,2013-05-09T12:13:41.653,1,RGBT-EN001,Super Rare,Earth,Rock,Effect Monster,1800,1600,"You take no Battle Damage from battles involving this card. When this attacking card is destroyed by battle and sent to the Graveyard, Special Summon 2 Rockstone Tokens (Rock-Type/Earth/Level 1/ATK 0/DEF 0). These Tokens cannot be Tributed for a Tribute S",0.14,0.5,2.98,0.29,,Unlimited,
31844,Rockstone Warrior,Rockstone Warrior,https://tcgplayer-cdn.tcgplayer.com/product/31844_200w.jpg,2,270,https://cpt.tcgcsv.com/VLg,2013-05-09T12:13:41.653,1,RGBT-EN001,Super Rare,Earth,Rock,Effect Monster,1800,1600,"You take no Battle Damage from battles involving this card. When this attacking card is destroyed by battle and sent to the Graveyard, Special Summon 2 Rockstone Tokens (Rock-Type/Earth/Level 1/ATK 0/DEF 0). These Tokens cannot be Tributed for a Tribute S",0.25,0.67,20.0,0.58,,1st Edition,
31845,Level Warrior,Level Warrior,https://tcgplayer-cdn.tcgplayer.com/product/31845_200w.jpg,2,270,https://cpt.tcgcsv.com/WLg,2013-05-09T12:13:41.653,1,RGBT-EN002,Super Rare,Light,Warrior,Effect Monster,300,600,"If there are no monsters on the field, you can Special Summon this monster from your hand. If this card is Special Summoned by this effect, its Level becomes 2. If your opponent controls a monster and you control no monsters, you can Special Summon this c",0.19,0.5,2.99,0.47,,Unlimited,
31845,Level Warrior,Level Warrior,https://tcgplayer-cdn.tcgplayer.com/product/31845_200w.jpg,2,270,https://cpt.tcgcsv.com/WLg,2013-05-09T12:13:41.653,1,RGBT-EN002,Super Rare,Light,Warrior,Effect Monster,300,600,"If there are no monsters on the field, you can Special Summon this monster from your hand. If this card is Special Summoned by this effect, its Level becomes 2. If your opponent controls a monster and you control no monsters, you can Special Summon this c",0.39,2.2,3.13,1.4,,1st Edition,
31846,Strong Wind Dragon,Strong Wind Dragon,https://tcgplayer-cdn.tcgplayer.com/product/31846_200w.jpg,2,270,https://cpt.tcgcsv.com/XLg,2013-05-09T12:13:41.653,1,RGBT-EN003,Ultra Rare,Wind,Dragon,Effect Monster,2400,1000,"This card cannot be destroyed in battle with monsters with an equal ATK. When this card is Tribute Summoned by Tributing a Dragon-Type monster, it gains ATK equal to half the original ATK of the Tributed monster. When this card attacks a Defense Position",2.63,4.84,8.0,6.32,,Unlimited,
31846,Strong Wind Dragon,Strong Wind Dragon,https://tcgplayer-cdn.tcgplayer.com/product/31846_200w.jpg,2,270,https://cpt.tcgcsv.com/XLg,2013-05-09T12:13:41.653,1,RGBT-EN003,Ultra Rare,Wind,Dragon,Effect Monster,2400,1000,"This card cannot be destroyed in battle with monsters with an equal ATK. When this card is Tribute Summoned by Tributing a Dragon-Type monster, it gains ATK equal to half the original ATK of the Tributed monster. When this card attacks a Defense Position",4.22,8.6,20.0,8.95,,1st Edition,
31847,Dark Verger,Dark Verger,https://tcgplayer-cdn.tcgplayer.com/product/31847_200w.jpg,2,270,https://cpt.tcgcsv.com/ZLg,2013-05-09T12:13:41.653,1,RGBT-EN004,Rare,Earth,Plant,Effect Monster,0,1000,"When a Plant-Type Tuner monster is Normal Summoned to your side of the field, you can Special Summon this card from your Graveyard in Attack Position.",0.18,0.59,2.97,0.6,,Unlimited,
31847,Dark Verger,Dark Verger,https://tcgplayer-cdn.tcgplayer.com/product/31847_200w.jpg,2,270,https://cpt.tcgcsv.com/ZLg,2013-05-09T12:13:41.653,1,RGBT-EN004,Rare,Earth,Plant,Effect Monster,0,1000,"When a Plant-Type Tuner monster is Normal Summoned to your side of the field, you can Special Summon this card from your Graveyard in Attack Position.",0.2,0.75,2.98,0.84,,1st Edition,
31848,Phoenixian Seed,Phoenixian Seed,https://tcgplayer-cdn.tcgplayer.com/product/31848_200w.jpg,2,270,https://cpt.tcgcsv.com/-Lg,2013-05-09T12:13:41.653,1,RGBT-EN005,Common,Fire,Plant,Effect Monster,800,0,You can send this face-up card to the Graveyard to Special Summon 1 Phoenixican Cluster Amaryllis from your hand.,0.07,0.23,1.41,0.22,,Unlimited,
31848,Phoenixian Seed,Phoenixian Seed,https://tcgplayer-cdn.tcgplayer.com/product/31848_200w.jpg,2,270,https://cpt.tcgcsv.com/-Lg,2013-05-09T12:13:41.653,1,RGBT-EN005,Common,Fire,Plant,Effect Monster,800,0,You can send this face-up card to the Graveyard to Special Summon 1 Phoenixican Cluster Amaryllis from your hand.,0.09,0.25,1.7,0.22,,1st Edition,
31849,Phoenixian Cluster Amaryllis,Phoenixian Cluster Amaryllis,https://tcgplayer-cdn.tcgplayer.com/product/31849_200w.jpg,2,270,https://cpt.tcgcsv.com/_Lg,2021-11-01T15:16:30.177,1,RGBT-EN006,Super Rare,FIRE,Plant,Effect Monster,2200,0,"This card cannot be Special Summoned except with its own effect or with ""Phoenixian Seed"". If this card attacks, it is destroyed after damage calculation. If this card you control is destroyed and sent to the Graveyard, inflict 800 damage to your opponent. During your End Phase, you can remove from play 1 Plant-Type monster from your Graveyard to Special Summon this card from your Graveyard in Defense Position.",14.41,17.88,68.77,16.7,,Unlimited,
31849,Phoenixian Cluster Amaryllis,Phoenixian Cluster Amaryllis,https://tcgplayer-cdn.tcgplayer.com/product/31849_200w.jpg,2,270,https://cpt.tcgcsv.com/_Lg,2021-11-01T15:16:30.177,1,RGBT-EN006,Super Rare,FIRE,Plant,Effect Monster,2200,0,"This card cannot be Special Summoned except with its own effect or with ""Phoenixian Seed"". If this card attacks, it is destroyed after damage calculation. If this card you control is destroyed and sent to the Graveyard, inflict 800 damage to your opponent. During your End Phase, you can remove from play 1 Plant-Type monster from your Graveyard to Special Summon this card from your Graveyard in Defense Position.",16.49,21.97,52.99,22.67,,1st Edition,
31850,Rose Tentacles,Rose Tentacles,https://tcgplayer-cdn.tcgplayer.com/product/31850_200w.jpg,2,270,https://cpt.tcgcsv.com/0Mg,2013-05-09T12:13:41.653,1,RGBT-EN007,Common,Earth,Plant,Effect Monster,2200,1200,"This card cannot be Special Summoned. At the beginning of your Battle Phase, this card gains 1 additional attack this turn for each face-up Plant-Type monsters your opponent controls. Each time this card destroys a Plant-Type monster by battle, inflict 30",0.08,0.25,1.16,0.2,,Unlimited,
