productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
637381,Retro Pack 2 (2020 Date Reprint) Booster Pack,Retro Pack 2 2020 Date Reprint Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/637381_200w.jpg,2,24352,https://cpt.tcgcsv.com/FZ67,2025-08-22T04:11:51.17,1,"Last year we dusted off and released Retro Pack – the booster set that was never released in North America! We were astonished at the reaction and had to go back and print more to fill demand. And now we’re getting requests for Retro Pack 2, so…okay!
<br>Unlike its predecessor, Retro Pack 2 was released in the Americas many years ago, but had an extremely limited release, so it was still hard to find.
<br>But like its predecessor, we’re making every effort for the cards in the Retro Pack 2 re-release to be as retro as they can be, so just like before they’ll have:
<br>The original card frames and card look
<br>The original card names and texts
<br>It’s another time capsule from the past!
<br>And just like last time, we made a little change and doubled the drop rate for foil cards compared to the original Retro Pack 2. So it will be twice as easy to get foil cards from Retro Pack 2 (2025 re-release) as it was from Retro Pack 2 (2009 original release).
<br>The complete Retro Pack 2 booster set is 101 cards:
<br>48 Commons
<br>24 Rares
<br>10 Super Rares
<br>8 Ultra Rares
<br>11 Secret Rares
<br>(And before you ask, there never was a Retro Pack 3, so enjoy this while it lasts!)",083717869085,4.99,6.49,7.99,6.56,,Normal,,,,,,,
637382,Retro Pack 2 (2020 Date Reprint) 4-Pack Box,Retro Pack 2 2020 Date Reprint 4 Pack Box,https://tcgplayer-cdn.tcgplayer.com/product/637382_200w.jpg,2,24352,https://cpt.tcgcsv.com/GZ67,2025-09-02T16:52:38.603,1,"Last year we dusted off and released Retro Pack – the booster set that was never released in North America! We were astonished at the reaction and had to go back and print more to fill demand. And now we’re getting requests for Retro Pack 2, so…okay!
<br>Unlike its predecessor, Retro Pack 2 was released in the Americas many years ago, but had an extremely limited release, so it was still hard to find.
<br>But like its predecessor, we’re making every effort for the cards in the Retro Pack 2 re-release to be as retro as they can be, so just like before they’ll have:
<br>The original card frames and card look
<br>The original card names and texts
<br>It’s another time capsule from the past!
<br>And just like last time, we made a little change and doubled the drop rate for foil cards compared to the original Retro Pack 2. So it will be twice as easy to get foil cards from Retro Pack 2 (2025 re-release) as it was from Retro Pack 2 (2009 original release).
<br>The complete Retro Pack 2 booster set is 101 cards:
<br>48 Commons
<br>24 Rares
<br>10 Super Rares
<br>8 Ultra Rares
<br>11 Secret Rares
<br>(And before you ask, there never was a Retro Pack 3, so enjoy this while it lasts!)
<br>Four 9-card packs per box",083717869085,22.0,29.95,52.99,23.87,,Normal,,,,,,,
649810,Gorz the Emissary of Darkness,Gorz the Emissary of Darkness,https://tcgplayer-cdn.tcgplayer.com/product/649810_200w.jpg,2,24352,https://cpt.tcgcsv.com/dXc7,2025-08-22T04:11:51.17,0,"When you take damage from a card your opponent controls: You can Special Summon this card from your hand. You must control no cards to activate and to resolve this effect. When Special Summoned this way, activate the appropriate effect, based on the type of damage:
<br>
<br>Battle Damage: Special Summon 1 ""Emissary of Darkness Token"" (Fairy-Type/LIGHT/Level 7/ATK ?/DEF ?). Its ATK and DEF are each equal to the amount of Battle Damage you took.
<br>
<br>Effect Damage: Inflict damage to your opponent equal to the amount of damage you took.",,14.95,21.78,50.0,21.35,,Unlimited,RP02-EN000,Secret Rare,DARK,Fiend,Effect Monster,2700,2500
649811,Jinzo,Jinzo,https://tcgplayer-cdn.tcgplayer.com/product/649811_200w.jpg,2,24352,https://cpt.tcgcsv.com/fXc7,2025-08-22T04:11:51.17,0,"Trap Cards, and their effects on the field, cannot be activated. The effects of all face-up Trap Cards on the field are negated.",,2.99,4.0,25.0,3.7,,Unlimited,RP02-EN001,Ultra Rare,DARK,Machine,Effect Monster,2400,1500
649812,Parasite Paracide,Parasite Paracide,https://tcgplayer-cdn.tcgplayer.com/product/649812_200w.jpg,2,24352,https://cpt.tcgcsv.com/gXc7,2025-08-22T04:11:51.17,0,"FLIP: Put this card face-up in your opponent's Deck and shuffle it. When your opponent draws this card, it is Special Summoned to their side of the field in face-up Defense Position, and inflicts 1000 damage to them. Then, while this card is face-up on the field, all monsters your opponent controls become Insect-Type monsters.",,0.01,0.1,4.99,0.03,,Unlimited,RP02-EN002,Common,EARTH,Insect,Effect Monster,500,300
649813,Lightforce Sword,Lightforce Sword,https://tcgplayer-cdn.tcgplayer.com/product/649813_200w.jpg,2,24352,https://cpt.tcgcsv.com/hXc7,2025-08-22T04:11:51.17,0,"Banish 1 random card from your opponent's hand, face-down. During your opponent's 4th Standby Phase after this card's activation, return that card to their hand.",,0.05,0.33,4.99,0.33,,Unlimited,RP02-EN003,Common,TRAP,,Normal Trap,,
649814,Chain Destruction,Chain Destruction,https://tcgplayer-cdn.tcgplayer.com/product/649814_200w.jpg,2,24352,https://cpt.tcgcsv.com/jXc7,2025-08-22T04:11:51.17,0,When a monster(s) with 2000 or less ATK is Summoned: Target 1 of them; destroy all cards with that name in its controller's hand and Main Deck.,,1.03,1.81,10.99,1.79,,Unlimited,RP02-EN004,Rare,TRAP,,Normal Trap,,
649815,Dust Tornado,Dust Tornado,https://tcgplayer-cdn.tcgplayer.com/product/649815_200w.jpg,2,24352,https://cpt.tcgcsv.com/kXc7,2025-08-22T04:11:51.17,0,"Target 1 Spell/Trap Card your opponent controls; destroy that target, then you can Set 1 Spell/Trap Card from your hand.",,0.05,0.25,4.99,0.2,,Unlimited,RP02-EN005,Common,TRAP,,Normal Trap,,
649816,Call of the Haunted,Call of the Haunted,https://tcgplayer-cdn.tcgplayer.com/product/649816_200w.jpg,2,24352,https://cpt.tcgcsv.com/lXc7,2025-08-22T04:11:51.17,0,"Activate this card by targeting 1 monster in your Graveyard; Special Summon that target in face-up Attack Position. When this card leaves the field, destroy that target. When that target is destroyed, destroy this card.",,0.05,0.2,4.99,0.1,,Unlimited,RP02-EN006,Common,TRAP,,Normal Trap,,
649817,Mirror Wall,Mirror Wall,https://tcgplayer-cdn.tcgplayer.com/product/649817_200w.jpg,2,24352,https://cpt.tcgcsv.com/mXc7,2025-08-22T04:11:51.17,0,"Each of your opponent's monsters that conducted an attack while this card was face-up on the field has its ATK halved as long as this card remains on the field. During each of your Standby Phases, pay 2000 Life Points or destroy this card.",,0.69,1.5,17.27,1.17,,Unlimited,RP02-EN007,Ultra Rare,TRAP,,Normal Trap,,
