productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC
78171,Gorz the Emissary of Darkness,Gorz the Emissary of Darkness,https://tcgplayer-cdn.tcgplayer.com/product/78171_200w.jpg,2,1292,https://cpt.tcgcsv.com/rhF,2014-01-02T14:24:26.89,1,RP02-EN000,Secret Rare,DARK,Fiend,Effect Monster,2700,2500,"When you take damage from a card your opponent controls: You can Special Summon this card from your hand. You must control no cards to activate and to resolve this effect. When Special Summoned this way, activate the appropriate effect, based on the type of damage:
<br>Battle Damage: Special Summon 1 ""Emissary of Darkness Token"" (Fairy-Type/LIGHT/Level 7/ATK ?/DEF ?). Its ATK and DEF are each equal to the amount of Battle Damage you took.
<br>Effect Damage: Inflict damage to your opponent equal to the amount of damage you took.",9.0,11.98,15.0,11.83,,Limited,
78172,Jinzo,Jinzo,https://tcgplayer-cdn.tcgplayer.com/product/78172_200w.jpg,2,1292,https://cpt.tcgcsv.com/shF,2015-09-15T12:18:30.917,1,RP02-EN001,Ultra Rare,DARK,Machine,Effect Monster,2400,1500,"Trap Cards, and their effects on the field, cannot be activated. The effects of all face-up Trap Cards on the field are negated.",14.0,20.83,79.99,20.83,,Unlimited,
78173,Parasite Paracide,Parasite Paracide,https://tcgplayer-cdn.tcgplayer.com/product/78173_200w.jpg,2,1292,https://cpt.tcgcsv.com/thF,2015-09-15T12:18:37.457,1,RP02-EN002,Common,EARTH,Insect,Effect Monster,500,300,"FLIP: Put this card face-up in your opponent's Deck and shuffle it. When your opponent draws this card, it is Special Summoned to their side of the field in face-up Defense Position, and inflicts 1000 damage to them. Then, while this card is face-up on the field, all monsters your opponent controls become Insect-Type monsters.",0.19,0.75,3.56,0.62,,Unlimited,
78174,Lightforce Sword,Lightforce Sword,https://tcgplayer-cdn.tcgplayer.com/product/78174_200w.jpg,2,1292,https://cpt.tcgcsv.com/vhF,2015-09-15T12:18:42.203,1,RP02-EN003,Common,TRAP,,Normal Trap,,,"Banish 1 random card from your opponent's hand, face-down. During your opponent's 4th Standby Phase after this card's activation, return that card to their hand.",0.08,0.3,1.0,0.36,,Unlimited,
78175,Chain Destruction,Chain Destruction,https://tcgplayer-cdn.tcgplayer.com/product/78175_200w.jpg,2,1292,https://cpt.tcgcsv.com/whF,2015-09-15T12:18:49.027,1,RP02-EN004,Rare,TRAP,,Normal Trap,,,When a monster(s) with 2000 or less ATK is Summoned: Target 1 of them; destroy all cards with that name in its controller's hand and Main Deck.,0.3,0.74,2.03,0.5,,Unlimited,
78176,Dust Tornado,Dust Tornado,https://tcgplayer-cdn.tcgplayer.com/product/78176_200w.jpg,2,1292,https://cpt.tcgcsv.com/xhF,2015-09-15T12:18:53.773,1,RP02-EN005,Common,TRAP,,Normal Trap,,,"Target 1 Spell/Trap Card your opponent controls; destroy that target, then you can Set 1 Spell/Trap Card from your hand.",0.16,0.74,1.98,0.89,,Unlimited,
78177,Call of the Haunted,Call of the Haunted,https://tcgplayer-cdn.tcgplayer.com/product/78177_200w.jpg,2,1292,https://cpt.tcgcsv.com/zhF,2015-09-15T12:18:59.407,1,RP02-EN006,Common,TRAP,,Normal Trap,,,"Activate this card by targeting 1 monster in your Graveyard; Special Summon that target in face-up Attack Position. When this card leaves the field, destroy that target. When that target is destroyed, destroy this card.",0.18,0.49,1.49,0.26,,Unlimited,
78178,Mirror Wall,Mirror Wall,https://tcgplayer-cdn.tcgplayer.com/product/78178_200w.jpg,2,1292,https://cpt.tcgcsv.com/BhF,2015-09-15T12:19:04.273,1,RP02-EN007,Ultra Rare,TRAP,,Normal Trap,,,"Each of your opponent's monsters that conducted an attack while this card was face-up on the field has its ATK halved as long as this card remains on the field. During each of your Standby Phases, pay 2000 Life Points or destroy this card.",7.0,12.3,49.99,14.85,,Unlimited,
78179,Appropriate,Appropriate,https://tcgplayer-cdn.tcgplayer.com/product/78179_200w.jpg,2,1292,https://cpt.tcgcsv.com/ChF,2015-09-15T12:19:09.227,1,RP02-EN008,Common,TRAP,,Normal Trap,,,"Activate only when your opponent draws a card(s), except during their Draw Phase. Draw 2 cards.",0.1,0.28,1.52,0.21,,Unlimited,
78180,Ceasefire,Ceasefire,https://tcgplayer-cdn.tcgplayer.com/product/78180_200w.jpg,2,1292,https://cpt.tcgcsv.com/DhF,2015-09-15T12:19:13.987,1,RP02-EN009,Rare,TRAP,,Normal Trap,,,Flip all face-down Defense Position monsters face-up. Flip Effects are not activated at this time. Inflict 500 damage to your opponent for each face-up Effect Monster on the field.,0.49,0.74,2.47,0.63,,Unlimited,
