productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
564135,Retro Pack (2020 Date Reprint) Booster Pack,Retro Pack 2020 Date Reprint Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/564135_200w.jpg,2,23592,https://cpt.tcgcsv.com/KGw6,2024-08-23T04:08:15.31,1,"The booster set that never was is finally coming to North America and will be available at major retailers!
<br>Retro Pack, the lost booster set, was never released in North America. Now, as part of our ongoing anniversary celebration, you can FINALLY fill this missing hole in your collection!
<br>Only released overseas, Retro Pack was a collection of vintage cards from the earliest days of the game, made to catch up other countries to the North American card pool. But since it was never released here, these exact cards can be hard to find – until now!
<br>And unlike the booster set reprints that kicked off our anniversary last July, Retro Pack will be as retro as we can make it:
<br>The original card frames and card look
<br>The original card names and texts
<br>It’s a time capsule from the past! All the way down to the special LIMITED EDITION labeling on Blue-Eyes Ultimate Dragon!
<br><br>There’s just ONE little change to the set you’ll probably like, though: The drop rates for the foil cards are double that of the original version. So, it will be twice as easy to get foil cards from Retro Pack 2024 as it was from Retro Pack 2008!
<br>The complete Retro Pack booster set is 101 cards:
<br>48 Commons
<br>24 Rares
<br>10 Super Rares
<br>8 Ultra Rares
<br>11 Secret Rares",6.49,8.5,9.79,6.28,,Normal,,,,,,,
564136,Retro Pack Box (4-Pack),Retro Pack Box 4 Pack,https://tcgplayer-cdn.tcgplayer.com/product/564136_200w.jpg,2,23592,https://cpt.tcgcsv.com/LGw6,2024-08-23T04:08:15.31,1,"The booster set that never was is finally coming to North America and will be available at major retailers!
<br>Retro Pack, the lost booster set, was never released in North America. Now, as part of our ongoing anniversary celebration, you can FINALLY fill this missing hole in your collection!
<br>Only released overseas, Retro Pack was a collection of vintage cards from the earliest days of the game, made to catch up other countries to the North American card pool. But since it was never released here, these exact cards can be hard to find – until now!
<br>And unlike the booster set reprints that kicked off our anniversary last July, Retro Pack will be as retro as we can make it:
<br>The original card frames and card look
<br>The original card names and texts
<br>It’s a time capsule from the past! All the way down to the special LIMITED EDITION labeling on Blue-Eyes Ultimate Dragon!
<br><br>There’s just ONE little change to the set you’ll probably like, though: The drop rates for the foil cards are double that of the original version. So, it will be twice as easy to get foil cards from Retro Pack 2024 as it was from Retro Pack 2008!
<br>The complete Retro Pack booster set is 101 cards:
<br>48 Commons
<br>24 Rares
<br>10 Super Rares
<br>8 Ultra Rares
<br>11 Secret Rares",27.71,30.94,45.89,29.03,,Normal,,,,,,,
564147,Blue-Eyes Ultimate Dragon,Blue Eyes Ultimate Dragon,https://tcgplayer-cdn.tcgplayer.com/product/564147_200w.jpg,2,23592,https://cpt.tcgcsv.com/ZGw6,2024-08-23T04:08:15.31,1,"""Blue-Eyes White Dragon"" + ""Blue-Eyes White Dragon"" + ""Blue-Eyes White Dragon""",22.83,25.21,49.99,24.01,,Limited,RP01-EN000,Secret Rare,LIGHT,Dragon,Fusion Monster,4500,3800
564148,Blue-Eyes White Dragon,Blue Eyes White Dragon,https://tcgplayer-cdn.tcgplayer.com/product/564148_200w.jpg,2,23592,https://cpt.tcgcsv.com/-Gw6,2024-08-23T04:08:15.31,1,,4.65,7.87,39.98,5.86,,Unlimited,RP01-EN001,Ultra Rare,LIGHT,Dragon,Normal Monster,3000,2500
564149,Flame Swordsman,Flame Swordsman,https://tcgplayer-cdn.tcgplayer.com/product/564149_200w.jpg,2,23592,https://cpt.tcgcsv.com/_Gw6,2024-08-23T04:08:15.31,1,"""Flame Manipulator"", ""Masaki the Legendary Swordsman""",0.05,0.27,2.0,0.28,,Unlimited,RP01-EN002,Common,FIRE,Warrior,Fusion Monster,1800,1600
564150,Dark Magician,Dark Magician,https://tcgplayer-cdn.tcgplayer.com/product/564150_200w.jpg,2,23592,https://cpt.tcgcsv.com/0Hw6,2024-08-23T04:08:15.31,1,,2.97,5.88,25.0,4.66,,Unlimited,RP01-EN003,Ultra Rare,DARK,Spellcaster,Normal Monster,2500,2100
564151,Gaia The Fierce Knight,Gaia The Fierce Knight,https://tcgplayer-cdn.tcgplayer.com/product/564151_200w.jpg,2,23592,https://cpt.tcgcsv.com/2Hw6,2024-08-23T04:08:15.31,1,,0.01,0.18,10.0,0.13,,Unlimited,RP01-EN004,Common,EARTH,Warrior,Normal Monster,2300,1700
564152,Raigeki,Raigeki,https://tcgplayer-cdn.tcgplayer.com/product/564152_200w.jpg,2,23592,https://cpt.tcgcsv.com/3Hw6,2024-08-23T04:08:15.31,1,Destroy all monsters your opponent controls.,2.38,6.3,15.0,3.39,,Unlimited,RP01-EN005,Ultra Rare,SPELL,,Normal Spell,,
564153,Fissure,Fissure,https://tcgplayer-cdn.tcgplayer.com/product/564153_200w.jpg,2,23592,https://cpt.tcgcsv.com/5Hw6,2024-08-23T04:08:15.31,1,"Destroy the 1 face-up monster your opponent controls that has the lowest ATK. (If it's a tie, you get to choose.)",0.5,0.71,2.11,0.67,,Unlimited,RP01-EN006,Rare,SPELL,,Normal Spell,,
564154,Trap Hole,Trap Hole,https://tcgplayer-cdn.tcgplayer.com/product/564154_200w.jpg,2,23592,https://cpt.tcgcsv.com/6Hw6,2024-08-23T04:08:15.31,1,When your opponent Normal or Flip Summons 1 monster with 1000 or more ATK: Target that monster; destroy that target.,0.05,0.25,2.0,0.13,,Unlimited,RP01-EN007,Common,TRAP,,Normal Trap,,
564155,Polymerization,Polymerization,https://tcgplayer-cdn.tcgplayer.com/product/564155_200w.jpg,2,23592,https://cpt.tcgcsv.com/7Hw6,2024-08-23T04:08:15.31,1,"Fusion Summon 1 Fusion Monster from your Extra Deck, using monsters from your hand or your side of the field as Fusion Materials.",0.09,0.27,2.97,0.27,,Unlimited,RP01-EN008,Common,SPELL,,Normal Spell,,
564156,Curse of Dragon,Curse of Dragon,https://tcgplayer-cdn.tcgplayer.com/product/564156_200w.jpg,2,23592,https://cpt.tcgcsv.com/8Hw6,2024-08-23T04:08:15.31,1,,0.05,0.15,2.0,0.14,,Unlimited,RP01-EN009,Common,DARK,Dragon,Normal Monster,2000,1500
564157,Giant Soldier of Stone,Giant Soldier of Stone,https://tcgplayer-cdn.tcgplayer.com/product/564157_200w.jpg,2,23592,https://cpt.tcgcsv.com/9Hw6,2024-08-23T04:08:15.31,1,,0.01,0.1,2.0,0.06,,Unlimited,RP01-EN010,Common,EARTH,Rock,Normal Monster,1300,2000
