productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription
60114,Return of the Duelist - Booster Box,Return of the Duelist Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/60114_200w.jpg,2,587,https://cpt.tcgcsv.com/j3v,2019-12-31T18:26:55.233,1,0-83717-89116-1,125.0,127.5,264.99,125.0,,Normal,,,,,,,,
60115,Return of the Duelist - Booster Pack,Return of the Duelist Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/60115_200w.jpg,2,587,https://cpt.tcgcsv.com/k3v,2024-05-06T16:07:35.173,1,0-83717-89115-4,3.2,6.21,9.55,6.37,,Normal,,,,,,,,
60150,Noble Knight Gawayn,Noble Knight Gawayn,https://tcgplayer-cdn.tcgplayer.com/product/60150_200w.jpg,2,587,https://cpt.tcgcsv.com/05v,2013-05-09T12:13:41.653,1,,0.5,1.0,3.13,0.57,,Unlimited,REDU-EN000,Super Rare,LIGHT,Warrior,Effect Monster,1900,500,"If your control a LIGHT Normal Monster, you can Special Summon this card (from your hand) in face-up Defense Position."
60150,Noble Knight Gawayn,Noble Knight Gawayn,https://tcgplayer-cdn.tcgplayer.com/product/60150_200w.jpg,2,587,https://cpt.tcgcsv.com/05v,2013-05-09T12:13:41.653,1,,0.5,1.0,2.97,1.07,,1st Edition,REDU-EN000,Super Rare,LIGHT,Warrior,Effect Monster,1900,500,"If your control a LIGHT Normal Monster, you can Special Summon this card (from your hand) in face-up Defense Position."
60151,Trance the Magic Swordsman,Trance the Magic Swordsman,https://tcgplayer-cdn.tcgplayer.com/product/60151_200w.jpg,2,587,https://cpt.tcgcsv.com/25v,2013-05-09T12:13:41.653,1,,0.05,0.25,1.49,0.29,,Unlimited,REDU-EN001,Common,EARTH,Spellcaster,Normal Monster,2600,200,"A peculiar magician with considerable abilities. Supposedly, he's just returned from y trip to outer space."
60151,Trance the Magic Swordsman,Trance the Magic Swordsman,https://tcgplayer-cdn.tcgplayer.com/product/60151_200w.jpg,2,587,https://cpt.tcgcsv.com/25v,2013-05-09T12:13:41.653,1,,0.09,0.24,1.49,0.15,,1st Edition,REDU-EN001,Common,EARTH,Spellcaster,Normal Monster,2600,200,"A peculiar magician with considerable abilities. Supposedly, he's just returned from y trip to outer space."
60152,Damage Mage,Damage Mage,https://tcgplayer-cdn.tcgplayer.com/product/60152_200w.jpg,2,587,https://cpt.tcgcsv.com/35v,2013-05-09T12:13:41.653,1,,0.05,0.23,1.49,0.13,,Unlimited,REDU-EN002,Common,DARK,Spellcaster,Effect Monster,600,1200,"When you take damage from a card effect: You can Special Summon this card from your hand, and if you do, gain Life Points equal to the damage you took."
60152,Damage Mage,Damage Mage,https://tcgplayer-cdn.tcgplayer.com/product/60152_200w.jpg,2,587,https://cpt.tcgcsv.com/35v,2013-05-09T12:13:41.653,1,,0.04,0.21,1.4,0.13,,1st Edition,REDU-EN002,Common,DARK,Spellcaster,Effect Monster,600,1200,"When you take damage from a card effect: You can Special Summon this card from your hand, and if you do, gain Life Points equal to the damage you took."
60153,ZW - Phoenix Bow,ZW Phoenix Bow,https://tcgplayer-cdn.tcgplayer.com/product/60153_200w.jpg,2,587,https://cpt.tcgcsv.com/55v,2013-05-09T12:13:41.653,1,,0.13,0.25,1.0,0.19,,Unlimited,REDU-EN003,Rare,FIRE,Winged Beast,Effect Monster,1100,0,"You can target 1 face-up ""Number C39: Utopia Ray"" you control; equip this card from your hand to that target. It gains 1100 ATK. When the equipped monster destroys an opponent's monster by battle: Inflict 1000 damage to your opponent. You can only control 1 face-up ""ZW - Phoenix Bow""."
60153,ZW - Phoenix Bow,ZW Phoenix Bow,https://tcgplayer-cdn.tcgplayer.com/product/60153_200w.jpg,2,587,https://cpt.tcgcsv.com/55v,2013-05-09T12:13:41.653,1,,0.11,0.29,1.7,0.15,,1st Edition,REDU-EN003,Rare,FIRE,Winged Beast,Effect Monster,1100,0,"You can target 1 face-up ""Number C39: Utopia Ray"" you control; equip this card from your hand to that target. It gains 1100 ATK. When the equipped monster destroys an opponent's monster by battle: Inflict 1000 damage to your opponent. You can only control 1 face-up ""ZW - Phoenix Bow""."
60154,Photon Caesar,Photon Caesar,https://tcgplayer-cdn.tcgplayer.com/product/60154_200w.jpg,2,587,https://cpt.tcgcsv.com/65v,2013-05-09T12:13:41.653,1,,0.09,0.25,1.49,0.15,,Unlimited,REDU-EN004,Common,LIGHT,Warrior,Effect Monster,2000,2800,"When this card is Normal or Flip Summoned: You can Special Summon 1 ""Photon Caesar"" from your hand or Deck."
60154,Photon Caesar,Photon Caesar,https://tcgplayer-cdn.tcgplayer.com/product/60154_200w.jpg,2,587,https://cpt.tcgcsv.com/65v,2013-05-09T12:13:41.653,1,,0.11,0.25,1.0,0.25,,1st Edition,REDU-EN004,Common,LIGHT,Warrior,Effect Monster,2000,2800,"When this card is Normal or Flip Summoned: You can Special Summon 1 ""Photon Caesar"" from your hand or Deck."
