productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
216848,Rise of the Duelist Booster Box [1st Edition],Rise of the Duelist Booster Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/216848_200w.jpg,2,2674,https://cpt.tcgcsv.com/-LL2,2020-08-07T04:03:37.393,1,Each box contains 24 packs with 9 cards each.,083717849698,195.95,222.44,399.99,169.61,,Normal,,,,,,,,,
216849,Rise of the Duelist Booster Pack [1st Edition],Rise of the Duelist Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/216849_200w.jpg,2,2674,https://cpt.tcgcsv.com/_LL2,2020-08-07T04:03:37.393,1,Each pack contains 9 cards.,083717849681,4.0,4.0,4.0,5.03,,Normal,,,,,,,,,
218873,Gaia the Fierce Knight Origin,Gaia the Fierce Knight Origin,https://tcgplayer-cdn.tcgplayer.com/product/218873_200w.jpg,2,2674,https://cpt.tcgcsv.com/tzM2,2025-05-15T20:05:14.75,1,"This card can be treated as 2 Tributes for the Tribute Summon of a Warrior monster. You can only use each of the following effects of ""Gaia the Fierce Knight Origin"" once per turn. You can send 1 Level 5 or higher monster from your hand to the GY; Special Summon this card from your hand. During the Battle Phase (Quick Effect): You can banish this card from your GY, then target 1 monster on the field whose current ATK is different from its original ATK; its ATK becomes its original ATK.",,0.25,0.49,5.43,0.33,,1st Edition,ROTD-EN000,Super Rare,EARTH,Warrior,Effect Monster,1600,1200,,
218875,Gaia the Magical Knight,Gaia the Magical Knight,https://tcgplayer-cdn.tcgplayer.com/product/218875_200w.jpg,2,2674,https://cpt.tcgcsv.com/wzM2,2025-05-15T20:05:14.783,1,"<em>(This card is also always treated as a ""Gaia The Fierce Knight"" card.)</em>
<br>If you control no monsters, or your opponent controls a monster with 2300 or more ATK, you can Normal Summon this card without Tributing. If this card is Normal or Special Summoned: You can Special Summon 1 Level 5 Dragon monster from your hand or GY in Defense Position. You can only use this effect of ""Gaia the Magical Knight"" once per turn.",,0.11,0.55,7.0,0.55,,1st Edition,ROTD-EN001,Super Rare,LIGHT,Warrior,Effect Monster,2300,2100,,
218876,"Curse of Dragon, the Cursed Dragon",Curse of Dragon the Cursed Dragon,https://tcgplayer-cdn.tcgplayer.com/product/218876_200w.jpg,2,2674,https://cpt.tcgcsv.com/xzM2,2025-05-15T20:05:14.83,1,"If this card is Normal or Special Summoned: You can add 1 Spell/Trap from your Deck to your hand, that specifically lists the card ""Gaia the Dragon Champion"" in its text. If this card is sent to the GY: You can target 1 ""Gaia the Dragon Champion"" in your Monster Zone; negate the effects of face-up monsters your opponent currently controls with ATK less than or equal to it until the end of this turn. You can only use each effect of ""Curse of Dragon, the Cursed Dragon"" once per turn.",,0.03,0.19,1.34,0.08,,1st Edition,ROTD-EN002,Common,DARK,Dragon,Effect Monster,2000,1500,,
218877,Artillery Catapult Turtle,Artillery Catapult Turtle,https://tcgplayer-cdn.tcgplayer.com/product/218877_200w.jpg,2,2674,https://cpt.tcgcsv.com/zzM2,2024-09-19T14:45:41.123,1,"You can Tribute 1 monster; Special Summon 1 ""Gaia The Fierce Knight"" monster, or 1 Level 5 Dragon monster, from your hand or Deck. You can only use this effect of ""Artillery Catapult Turtle"" once per turn.",,0.48,1.0,19.0,0.9,2.02,1st Edition,ROTD-EN003,Ultra Rare,WATER,Aqua,Effect Monster,1000,2000,,
218878,Soldier Gaia The Fierce Knight,Soldier Gaia The Fierce Knight,https://tcgplayer-cdn.tcgplayer.com/product/218878_200w.jpg,2,2674,https://cpt.tcgcsv.com/BzM2,2025-05-15T20:05:14.877,1,"(Quick Effect): You can Tribute 1 Dragon Fusion Monster; Special Summon this card from your hand. If this card is Special Summoned: You can target 1 Attack Position monster on the field; change it to Defense Position. You can Tribute this card; add 1 Level 7 or higher Warrior monster from your Deck to your hand, except ""Soldier Gaia The Fierce Knight"". You can only use each effect of ""Soldier Gaia The Fierce Knight"" once per turn.",,0.06,0.39,4.18,0.33,,1st Edition,ROTD-EN004,Super Rare,DARK,Warrior,Effect Monster,2600,2100,,
218879,"Dogmatika Ecclesia, the Virtuous",Dogmatika Ecclesia the Virtuous,https://tcgplayer-cdn.tcgplayer.com/product/218879_200w.jpg,2,2674,https://cpt.tcgcsv.com/CzM2,2022-12-25T11:03:26.077,1,"Cannot be destroyed by battle with a monster Special Summoned from the Extra Deck. You can only use each of the following effects of ""Dogmatika Ecclesia, the Virtuous"" once per turn. If a monster Special Summoned from the Extra Deck is on the field: You can Special Summon this card from your hand. If this card is Normal or Special Summoned: You can activate this effect; add 1 ""Dogmatika"" card from your Deck to your hand, except ""Dogmatika Ecclesia, the Virtuous"", also you cannot Special Summon monsters from the Extra Deck for the rest of this turn.",,0.48,1.02,25.0,0.86,,1st Edition,ROTD-EN005,Ultra Rare,LIGHT,Spellcaster,Effect Monster,1500,1500,,
218881,"Dogmatika Theo, the Iron Punch",Dogmatika Theo the Iron Punch,https://tcgplayer-cdn.tcgplayer.com/product/218881_200w.jpg,2,2674,https://cpt.tcgcsv.com/FzM2,2025-05-15T20:05:14.923,1,"Cannot be destroyed by battle with a monster Special Summoned from the Extra Deck. You can only use each of the following effects of ""Dogmatika Theo, the Iron Punch"" once per turn. If a monster Special Summoned from the Extra Deck is on the field: You can Special Summon this card from your hand. You can target 1 face-up monster on the field that was Special Summoned from the Extra Deck; until the end of this turn, this card gains 600 ATK, and if it does, the targeted monster loses 600 ATK.",,0.04,0.18,1.35,0.09,,1st Edition,ROTD-EN006,Common,LIGHT,Spellcaster,Effect Monster,1800,1500,,
218882,"Dogmatika Adin, the Enlightened",Dogmatika Adin the Enlightened,https://tcgplayer-cdn.tcgplayer.com/product/218882_200w.jpg,2,2674,https://cpt.tcgcsv.com/GzM2,2020-08-07T04:03:37.393,1,"Cannot be destroyed by battle with a monster Special Summoned from the Extra Deck. You can only use each of the following effects of ""Dogmatika Adin, the Enlightened"" once per turn. If a monster Special Summoned from the Extra Deck is on the field: You can Special Summon this card from your hand. If this card on the field is destroyed by battle or card effect: You can Special Summon 1 ""Dogmatika"" monster from your Deck, except ""Dogmatika Adin, the Enlightened"".",,0.09,0.33,5.9,0.17,,1st Edition,ROTD-EN007,Super Rare,LIGHT,Spellcaster,Effect Monster,1000,1800,,
