productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
209426,Secret Slayers Booster Box,Secret Slayers Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/209426_200w.jpg,2,2613,https://cpt.tcgcsv.com/xNH2,2020-02-17T16:59:31.447,1,Each booster box contains 24 packs of 5 random cards.,083717848530,123.98,126.99,154.84,123.99,,Normal,,,,,,,
209427,Secret Slayers Booster Pack,Secret Slayers Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/209427_200w.jpg,2,2613,https://cpt.tcgcsv.com/zNH2,2020-02-17T16:59:38.993,1,Each booster pack contains 5 random cards.,083717848523,4.69,6.33,7.96,4.69,,Normal,,,,,,,
209654,Secret Slayers Booster Box Case [1st Edition],Secret Slayers Booster Box Case 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/209654_200w.jpg,2,2613,https://cpt.tcgcsv.com/6TH2,2020-08-25T20:33:36.55,1,Each case contains 12 boxes; Each box contains 24 packs of 5 random cards.,083717848547,,,,,,,,,,,,,
211604,Adamancipator Seeker,Adamancipator Seeker,https://tcgplayer-cdn.tcgplayer.com/product/211604_200w.jpg,2,2613,https://cpt.tcgcsv.com/6GJ2,2025-05-15T20:10:13.03,1,"If you control an ""Adamancipator"" monster, except ""Adamancipator Seeker"": You can Special Summon this card from your hand. During your Main Phase: You can excavate the top 5 cards of your Deck, and if you do, you can Special Summon 1 excavated Level 4 or lower non-Tuner Rock monster, also place the rest on the bottom of your Deck in any order. You can only use each effect of ""Adamancipator Seeker"" once per turn.",,0.24,0.77,6.0,0.52,,1st Edition,SESL-EN001,Secret Rare,EARTH,Rock,Tuner/Effect Monster,1200,1000
211605,Adamancipator Researcher,Adamancipator Researcher,https://tcgplayer-cdn.tcgplayer.com/product/211605_200w.jpg,2,2613,https://cpt.tcgcsv.com/7GJ2,2020-04-03T15:01:49.753,1,"If you control a Rock monster, except ""Adamancipator Researcher"": You can Special Summon this card from your hand. During your Main Phase: You can excavate the top 5 cards of your Deck, and if you do, you can Special Summon 1 excavated Level 4 or lower non-Tuner Rock monster, also place the rest on the bottom of your Deck in any order. You can only use each effect of ""Adamancipator Researcher"" once per turn.",,9.65,13.99,55.01,9.01,13.9,1st Edition,SESL-EN002,Secret Rare,EARTH,Rock,Tuner/Effect Monster,100,2100
211606,Adamancipator Analyzer,Adamancipator Analyzer,https://tcgplayer-cdn.tcgplayer.com/product/211606_200w.jpg,2,2613,https://cpt.tcgcsv.com/8GJ2,2025-05-15T20:10:13.077,1,"If only your opponent controls a monster: You can Special Summon this card from your hand. During your Main Phase: You can excavate the top 5 cards of your Deck, and if you do, you can Special Summon 1 excavated Level 4 or lower non-Tuner Rock monster, also place the rest on the bottom of your Deck in any order. You can only use each effect of ""Adamancipator Analyzer"" once per turn.",,0.35,0.99,7.0,0.66,,1st Edition,SESL-EN003,Secret Rare,EARTH,Rock,Tuner/Effect Monster,1500,700
211607,Adamancipator Crystal - Leonite,Adamancipator Crystal Leonite,https://tcgplayer-cdn.tcgplayer.com/product/211607_200w.jpg,2,2613,https://cpt.tcgcsv.com/9GJ2,2025-05-15T20:10:13.263,1,"If this card is Special Summoned by the effect of an ""Adamancipator"" card: You can place 1 ""Adamancipator"" card from your hand or GY on top of the Deck. If this card is in your GY: You can target 1 FIRE Synchro Monster you control or in your GY; return it to the Extra Deck, and if you do, place this card on top of the Deck. You can only use each effect of ""Adamancipator Crystal - Leonite"" once per turn.",,0.05,0.3,9.0,0.18,,1st Edition,SESL-EN004,Super Rare,FIRE,Rock,Effect Monster,0,2200
211608,Adamancipator Crystal - Raptite,Adamancipator Crystal Raptite,https://tcgplayer-cdn.tcgplayer.com/product/211608_200w.jpg,2,2613,https://cpt.tcgcsv.com/bGJ2,2025-05-15T20:10:13.31,1,"If this card is Special Summoned by the effect of an ""Adamancipator"" card: You can place 1 Rock monster from your hand or GY on top of the Deck. If this card is in your GY: You can target 1 WIND Synchro Monster you control or in your GY; return it to the Extra Deck, and if you do, place this card on top of the Deck. You can only use each effect of ""Adamancipator Crystal - Raptite"" once per turn.",,0.09,0.26,1.91,0.21,,1st Edition,SESL-EN005,Super Rare,WIND,Rock,Effect Monster,0,2200
211609,Adamancipator Crystal - Dragite,Adamancipator Crystal Dragite,https://tcgplayer-cdn.tcgplayer.com/product/211609_200w.jpg,2,2613,https://cpt.tcgcsv.com/cGJ2,2025-05-15T20:10:13.357,1,"If this card is Special Summoned by the effect of an ""Adamancipator"" card: You can draw 1 card. If this card is in your GY: You can target 1 WATER Synchro Monster you control or in your GY; return it to the Extra Deck, and if you do, place this card on top of the Deck. You can only use each effect of ""Adamancipator Crystal - Dragite"" once per turn.",,0.2,0.48,2.0,0.33,,1st Edition,SESL-EN006,Super Rare,WATER,Rock,Effect Monster,0,2200
211610,Adamancipator Risen - Leonite,Adamancipator Risen Leonite,https://tcgplayer-cdn.tcgplayer.com/product/211610_200w.jpg,2,2613,https://cpt.tcgcsv.com/dGJ2,2020-04-03T15:02:37.073,1,"1 Tuner + 1+ non-Tuner monsters
<br>During your Main Phase: You can excavate the top 5 cards of your Deck, and if you do, you can add 1 excavated ""Adamancipator"" card to your hand, also place the rest on the bottom of your Deck in any order. During your opponent's turn, if a FIRE monster is in your GY (Quick Effect): You can target 1 Rock monster in your GY; Special Summon it. You can only use each effect of ""Adamancipator Risen - Leonite"" once per turn.",,0.67,1.52,25.0,0.86,1.89,1st Edition,SESL-EN007,Secret Rare,FIRE,Rock,Synchro/Effect Monster,2400,2200
