productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extLinkRating,extLinkArrows
173374,Shadows in Valhalla Booster Box,Shadows in Valhalla Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/173374_200w.jpg,2,2292,https://cpt.tcgcsv.com/vmp2,2018-08-06T15:26:35.307,1,"Sound the horns of battle and prepare to Duel! In the twilight of Summer 2018, Shadows in Valhalla will bring Duelists the opportunity to change their own fate and wield the incomparable Mischief of the Time Goddess! Once thought to be too powerful to ever be printed in real life, this classic Spell Card from the original Yu-Gi-Oh! anime skips your opponent’s turn completely and moves the game to your next Battle Phase. But that’s just the tip of the iceberg in this 60-card all-foil booster set!",145.0,149.99,299.99,146.66,,Normal,,,,,,,,,
173375,Shadows in Valhalla Booster Pack,Shadows in Valhalla Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/173375_200w.jpg,2,2292,https://cpt.tcgcsv.com/wmp2,2018-08-06T15:26:40.713,1,"Sound the horns of battle and prepare to Duel! In the twilight of Summer 2018, Shadows in Valhalla will bring Duelists the opportunity to change their own fate and wield the incomparable Mischief of the Time Goddess! Once thought to be too powerful to ever be printed in real life, this classic Spell Card from the original Yu-Gi-Oh! anime skips your opponent’s turn completely and moves the game to your next Battle Phase. But that’s just the tip of the iceberg in this 60-card all-foil booster set!",7.91,17.8,30.0,7.96,,Normal,,,,,,,,,
173432,Valkyrie Dritte,Valkyrie Dritte,https://tcgplayer-cdn.tcgplayer.com/product/173432_200w.jpg,2,2292,https://cpt.tcgcsv.com/Gnp2,2025-05-15T20:11:06.34,1,"If this card is Normal or Special Summoned: You can add 1 “Valkyrie” card from your Deck to your hand, except ""Valkyrie Dritte"". You can only use this effect of ""Valkyrie Dritte"" once per turn. Gains 200 ATK for each of your opponent’s banished monsters.",0.1,0.36,1.49,0.29,,1st Edition,SHVA-EN001,Super Rare,LIGHT,Fairy,Effect Monster,1000,1600,,
173433,Valkyrie Zweite,Valkyrie Zweite,https://tcgplayer-cdn.tcgplayer.com/product/173433_200w.jpg,2,2292,https://cpt.tcgcsv.com/Hnp2,2025-05-15T20:11:06.387,1,"If this card is Summoned: You can target 1 monster your opponent controls; destroy it. After damage calculation, if this card battled: You can target 1 Continuous Spell in your GY; add it to your hand. You can only use each effect of “Valkyrie Zweite” once per turn.",0.1,0.33,2.0,0.23,,1st Edition,SHVA-EN002,Super Rare,LIGHT,Fairy,Effect Monster,1600,1600,,
173434,Valkyrie Erste,Valkyrie Erste,https://tcgplayer-cdn.tcgplayer.com/product/173434_200w.jpg,2,2292,https://cpt.tcgcsv.com/Jnp2,2025-05-15T20:11:06.433,1,"If this card is Special Summoned from your hand by a Spell effect: You can target 1 “Mischief of the Time Goddess” in your GY; add it to your hand. If you control a “Valkyrie” monster other than “Valkyrie Erste” (Quick Effect): You can banish 1 monster from your opponent’s GY, then this card’s ATK becomes equal to the banished monster’s original ATK until the end of this turn. You can only use each effect of “Valkyrie Erste” once per turn.",0.1,0.34,1.91,0.28,,1st Edition,SHVA-EN003,Super Rare,LIGHT,Fairy,Effect Monster,1600,1800,,
173435,Valkyrie Brunhilde,Valkyrie Brunhilde,https://tcgplayer-cdn.tcgplayer.com/product/173435_200w.jpg,2,2292,https://cpt.tcgcsv.com/Knp2,2022-05-28T07:42:52.877,1,"Unaffected by your opponent’s Spell effects. Gains 500 ATK for each monster your opponent controls. When an opponent’s monster declares an attack: You can have this card lose exactly 1000 DEF, and if you do, your “Valkyrie” monsters cannot be destroyed by battle this turn.",13.68,15.65,27.99,14.83,,1st Edition,SHVA-EN004,Secret Rare,LIGHT,Fairy,Effect Monster,1800,2000,,
173445,Fortune Chariot,Fortune Chariot,https://tcgplayer-cdn.tcgplayer.com/product/173445_200w.jpg,2,2292,https://cpt.tcgcsv.com/Wnp2,2018-08-21T13:01:11.76,1,"(This card is also always treated as a “Valkyrie” card.)
<br>Once per turn, you can either: Target 1 Fairy monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. If the equipped monster would be destroyed by battle or card effect, destroy this card instead. The equipped monster can attack directly, but when it does so using this effect, the battle damage inflicted to your opponent is halved.",0.05,0.25,1.49,0.15,0.05,1st Edition,SHVA-EN005,Super Rare,WIND,Fairy,Union/Effect Monster,1000,2000,,
173446,Ride of the Valkyries,Ride of the Valkyries,https://tcgplayer-cdn.tcgplayer.com/product/173446_200w.jpg,2,2292,https://cpt.tcgcsv.com/Xnp2,2018-08-23T15:00:52.513,1,"Special Summon any number of “Valkyrie” monsters with different names from your hand. If you Special Summoned 3 or more monsters with this effect, you take no battle damage until the end of the next turn. During the End Phase of the turn you activated this card, shuffle all monsters you control into the Deck. You can banish this card from your GY; add 1 “Mischief of the Time Goddess” from your Deck to your hand. You can only use this effect of “Ride of the Valkyries” once per turn.",8.23,11.98,25.0,8.59,8.23,1st Edition,SHVA-EN006,Secret Rare,SPELL,,Normal Spell,,,,
173447,Mischief of the Time Goddess,Mischief of the Time Goddess,https://tcgplayer-cdn.tcgplayer.com/product/173447_200w.jpg,2,2292,https://cpt.tcgcsv.com/Znp2,2023-01-12T08:47:45.847,1,"Neither player can activate cards or effects in response to this card’s activation. Cannot be activated as Chain Link 2 or higher. At the end of your Battle Phase, if all monsters you control are “Valkyrie” monsters (min. 1): Send this card to the GY, also, immediately after this effect resolves, skip to the start of the Battle Phase of your next turn. If you do, you cannot activate “Mischief of the Time Goddess” until the end of that turn.",6.0,9.98,23.0,8.81,,1st Edition,SHVA-EN007,Secret Rare,SPELL,,Quick-Play Spell,,,,
173460,Goddess Skuld's Oracle,Goddess Skulds Oracle,https://tcgplayer-cdn.tcgplayer.com/product/173460_200w.jpg,2,2292,https://cpt.tcgcsv.com/dpp2,2025-05-15T20:11:06.48,1,"When this card is activated: If all monsters you control are “Valkyrie” monsters (min. 1), you can add 1 “Goddess Verdande's Guidance” from your Deck to your hand. Once per turn, during your Main Phase: You can look at the top 3 cards of your opponent’s Deck, and if you do, place them on top of their Deck in any order, but you cannot Normal or Special Summon monsters for the rest of this turn, except Fairy monsters. You can only activate 1 “Goddess Skuld's Oracle” once per turn.",0.1,0.36,1.75,0.23,,1st Edition,SHVA-EN008,Super Rare,SPELL,,Continuous Spell,,,,
173461,Goddess Verdande's Guidance,Goddess Verdandes Guidance,https://tcgplayer-cdn.tcgplayer.com/product/173461_200w.jpg,2,2292,https://cpt.tcgcsv.com/fpp2,2018-08-17T13:17:19.453,1,"When this card is activated: If all monsters you control are “Valkyrie” monsters (min. 1), you can add 1 “Goddess Urd's Verdict” from your Deck to your hand. Once per turn: You can declare 1 type of card (Monster, Spell, or Trap); reveal the top card of your opponent’s Deck and if it was the declared type, they Set it to their field. Otherwise, they add it to their hand. You can only activate 1 “Goddess Verdande's Guidance” per turn.",0.05,0.25,1.49,0.16,0.15,1st Edition,SHVA-EN009,Super Rare,SPELL,,Continuous Spell,,,,
