productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense
116035,Shining Victories - Booster Box [1st Edition],Shining Victories Booster Box 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/116035_200w.jpg,2,1761,https://cpt.tcgcsv.com/KqX,2020-06-01T19:35:01.893,1,Each box contains 24 packs.,149.99,306.72,524.99,149.99,,Normal,,,,,,,
116036,Shining Victories - Booster Pack [1st Edition],Shining Victories Booster Pack 1st Edition,https://tcgplayer-cdn.tcgplayer.com/product/116036_200w.jpg,2,1761,https://cpt.tcgcsv.com/LqX,2020-06-01T19:35:45.473,1,Each pack contains 9 cards.,6.93,10.84,13.56,9.92,,Normal,,,,,,,
117763,Magical Cavalry of Cxulub,Magical Cavalry of Cxulub,https://tcgplayer-cdn.tcgplayer.com/product/117763_200w.jpg,2,1761,https://cpt.tcgcsv.com/h7Z,2016-06-22T12:55:15.78,1,"This card is unaffected by monsters' activated effects, except Pendulum Monsters'.",0.04,0.25,1.49,0.26,,Unlimited,SHVI-EN000,Rare,EARTH,Dinosaur,Pendulum/Effect Monster,1500,1800
117763,Magical Cavalry of Cxulub,Magical Cavalry of Cxulub,https://tcgplayer-cdn.tcgplayer.com/product/117763_200w.jpg,2,1761,https://cpt.tcgcsv.com/h7Z,2016-06-22T12:55:15.78,1,"This card is unaffected by monsters' activated effects, except Pendulum Monsters'.",0.1,0.25,1.49,0.28,,1st Edition,SHVI-EN000,Rare,EARTH,Dinosaur,Pendulum/Effect Monster,1500,1800
117898,Angel Trumpeter,Angel Trumpeter,https://tcgplayer-cdn.tcgplayer.com/product/117898_200w.jpg,2,1761,https://cpt.tcgcsv.com/-9Z,2016-06-22T12:55:36.163,1,,0.1,0.48,3.76,0.32,,1st Edition,SHVI-EN001,Common,EARTH,Plant,Tuner Monster,1900,1600
117898,Angel Trumpeter,Angel Trumpeter,https://tcgplayer-cdn.tcgplayer.com/product/117898_200w.jpg,2,1761,https://cpt.tcgcsv.com/-9Z,2016-06-22T12:55:36.163,1,,0.21,0.44,3.7,0.27,,Unlimited,SHVI-EN001,Common,EARTH,Plant,Tuner Monster,1900,1600
117899,Performapal Sellshell Crab,Performapal Sellshell Crab,https://tcgplayer-cdn.tcgplayer.com/product/117899_200w.jpg,2,1761,https://cpt.tcgcsv.com/_9Z,2016-06-22T12:55:54.693,1,"<b>Pendulum Effect :</b> Once per turn, when a ""Performapal"" monster you control is destroyed by battle: You can target 1 ""Performapal"" or ""Odd-Eyes"" card in your Pendulum Zone; Special Summon it.
<br><b>Monster Effect :</b> Once per turn: You can target 1 Pendulum Monster you control; it gains 300 ATK for each ""Performapal"" monster you currently control, until the end of this turn.",0.01,0.21,1.49,0.06,,1st Edition,SHVI-EN002,Common,WATER,Aqua,Pendulum/Effect Monster,500,2500
117899,Performapal Sellshell Crab,Performapal Sellshell Crab,https://tcgplayer-cdn.tcgplayer.com/product/117899_200w.jpg,2,1761,https://cpt.tcgcsv.com/_9Z,2016-06-22T12:55:54.693,1,"<b>Pendulum Effect :</b> Once per turn, when a ""Performapal"" monster you control is destroyed by battle: You can target 1 ""Performapal"" or ""Odd-Eyes"" card in your Pendulum Zone; Special Summon it.
<br><b>Monster Effect :</b> Once per turn: You can target 1 Pendulum Monster you control; it gains 300 ATK for each ""Performapal"" monster you currently control, until the end of this turn.",0.01,0.2,1.49,0.12,,Unlimited,SHVI-EN002,Common,WATER,Aqua,Pendulum/Effect Monster,500,2500
117900,Performapal Odd-Eyes Light Phoenix,Performapal Odd Eyes Light Phoenix,https://tcgplayer-cdn.tcgplayer.com/product/117900_200w.jpg,2,1761,https://cpt.tcgcsv.com/0bZ,2016-06-22T12:56:26.127,1,"<b>Pendulum Effect :</b>When an opponent's monster declares a direct attack while you have a card in your other Pendulum Zone: You can destroy the card in your other Pendulum Zone, and if you do, Special Summon this card.
<br><b>Monster Effect :</b> During either player's turn: You can Tribute this card, then target 1 ""Performapal"" monster you control; it gains 1000 ATK until the end of this turn.",0.1,0.25,1.42,0.17,0.21,Unlimited,SHVI-EN003,Rare,LIGHT,Winged Beast,Pendulum/Effect Monster,2000,1000
117900,Performapal Odd-Eyes Light Phoenix,Performapal Odd Eyes Light Phoenix,https://tcgplayer-cdn.tcgplayer.com/product/117900_200w.jpg,2,1761,https://cpt.tcgcsv.com/0bZ,2016-06-22T12:56:26.127,1,"<b>Pendulum Effect :</b>When an opponent's monster declares a direct attack while you have a card in your other Pendulum Zone: You can destroy the card in your other Pendulum Zone, and if you do, Special Summon this card.
<br><b>Monster Effect :</b> During either player's turn: You can Tribute this card, then target 1 ""Performapal"" monster you control; it gains 1000 ATK until the end of this turn.",0.1,0.25,1.0,0.21,,1st Edition,SHVI-EN003,Rare,LIGHT,Winged Beast,Pendulum/Effect Monster,2000,1000
117901,Performapal Odd-Eyes Unicorn,Performapal Odd Eyes Unicorn,https://tcgplayer-cdn.tcgplayer.com/product/117901_200w.jpg,2,1761,https://cpt.tcgcsv.com/2bZ,2016-06-22T12:56:53.17,1,"<b>Pendulum Effect :</b> Once, while this card is in your Pendulum Zone, when an ""Odd-Eyes"" monster you control declares an attack: You can target 1 other ""Performapal"" monster you control; that attacking monster gains ATK equal to the original ATK of the targeted monster on the field, until the end of the Battle Phase (even if this card leaves the field).
<br><b>Monster Effect :</b> When this card is Normal or Special Summoned: You can target 1 ""Performapal"" monster in your Graveyard; gain LP equal to its ATK.",0.06,0.25,1.99,0.21,,1st Edition,SHVI-EN004,Rare,LIGHT,,Pendulum/Effect Monster,2000,1000
117901,Performapal Odd-Eyes Unicorn,Performapal Odd Eyes Unicorn,https://tcgplayer-cdn.tcgplayer.com/product/117901_200w.jpg,2,1761,https://cpt.tcgcsv.com/2bZ,2016-06-22T12:56:53.17,1,"<b>Pendulum Effect :</b> Once, while this card is in your Pendulum Zone, when an ""Odd-Eyes"" monster you control declares an attack: You can target 1 other ""Performapal"" monster you control; that attacking monster gains ATK equal to the original ATK of the targeted monster on the field, until the end of the Battle Phase (even if this card leaves the field).
<br><b>Monster Effect :</b> When this card is Normal or Special Summoned: You can target 1 ""Performapal"" monster in your Graveyard; gain LP equal to its ATK.",0.07,0.25,1.49,0.18,,Unlimited,SHVI-EN004,Rare,LIGHT,,Pendulum/Effect Monster,2000,1000
117902,Performapal Fireflux,Performapal Fireflux,https://tcgplayer-cdn.tcgplayer.com/product/117902_200w.jpg,2,1761,https://cpt.tcgcsv.com/3bZ,2016-06-22T12:57:10.55,1,"<b>Pendulum Effect :</b> Once per turn, when an opponent's monster declares an attack: You can Tribute 1 ""Performapal"" monster; negate the attack, then end the Battle Phase.
<br><b>Monster Effect :</b> If a ""Performapal"" or ""Odd-Eyes"" monster you control attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step.",0.01,0.18,1.49,0.09,,Unlimited,SHVI-EN005,Common,LIGHT,Insect,Pendulum/Effect Monster,1200,1600
117902,Performapal Fireflux,Performapal Fireflux,https://tcgplayer-cdn.tcgplayer.com/product/117902_200w.jpg,2,1761,https://cpt.tcgcsv.com/3bZ,2016-06-22T12:57:10.55,1,"<b>Pendulum Effect :</b> Once per turn, when an opponent's monster declares an attack: You can Tribute 1 ""Performapal"" monster; negate the attack, then end the Battle Phase.
<br><b>Monster Effect :</b> If a ""Performapal"" or ""Odd-Eyes"" monster you control attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step.",0.04,0.21,1.49,0.09,,1st Edition,SHVI-EN005,Common,LIGHT,Insect,Pendulum/Effect Monster,1200,1600
117903,Speedroid Den-Den Daiko Duke,Speedroid Den Den Daiko Duke,https://tcgplayer-cdn.tcgplayer.com/product/117903_200w.jpg,2,1761,https://cpt.tcgcsv.com/5bZ,2016-06-22T12:57:29.967,1,"You can banish this card from your Graveyard; Special Summon 1 ""Speedroid"" Tuner monster from your hand or Graveyard, except ""Speedroid Den-Den Daiko Duke"". You can only use this effect of ""Speedroid Den-Den Daiko Duke"" once per turn.",0.09,0.33,1.49,0.28,,Unlimited,SHVI-EN006,Rare,WIND,Machine,Tuner/Effect Monster,1000,1000
117903,Speedroid Den-Den Daiko Duke,Speedroid Den Den Daiko Duke,https://tcgplayer-cdn.tcgplayer.com/product/117903_200w.jpg,2,1761,https://cpt.tcgcsv.com/5bZ,2016-06-22T12:57:29.967,1,"You can banish this card from your Graveyard; Special Summon 1 ""Speedroid"" Tuner monster from your hand or Graveyard, except ""Speedroid Den-Den Daiko Duke"". You can only use this effect of ""Speedroid Den-Den Daiko Duke"" once per turn.",0.01,0.26,5.01,0.25,,1st Edition,SHVI-EN006,Rare,WIND,Machine,Tuner/Effect Monster,1000,1000
117904,Speedroid Pachingo-Kart,Speedroid Pachingo Kart,https://tcgplayer-cdn.tcgplayer.com/product/117904_200w.jpg,2,1761,https://cpt.tcgcsv.com/6bZ,2016-06-22T12:57:45.493,1,"Once per turn: You can discard 1 Machine-Type monster, then target 1 monster on the field; destroy it.",0.1,0.25,1.49,0.14,,1st Edition,SHVI-EN007,Rare,WIND,Machine,Effect Monster,1800,1000
117904,Speedroid Pachingo-Kart,Speedroid Pachingo Kart,https://tcgplayer-cdn.tcgplayer.com/product/117904_200w.jpg,2,1761,https://cpt.tcgcsv.com/6bZ,2016-06-22T12:57:45.493,1,"Once per turn: You can discard 1 Machine-Type monster, then target 1 monster on the field; destroy it.",0.1,0.25,1.49,0.18,,Unlimited,SHVI-EN007,Rare,WIND,Machine,Effect Monster,1800,1000
117905,Lunalight Blue Cat,Lunalight Blue Cat,https://tcgplayer-cdn.tcgplayer.com/product/117905_200w.jpg,2,1761,https://cpt.tcgcsv.com/7bZ,2016-06-22T12:58:09.453,1,"If this card is Special Summoned: You can target 1 ""Lunalight"" monster you control, except ""Lunalight Blue Cat""; its ATK becomes double its original ATK until the end of this turn. You can only use this effect of ""Lunalight Blue Cat"" once per turn. If this card on the field is destroyed by battle or card effect: You can Special Summon 1 ""Lunalight"" monster from your Deck.",0.14,0.35,1.49,0.35,,1st Edition,SHVI-EN008,Rare,DARK,Beast-Warrior,Effect Monster,1600,1200
117905,Lunalight Blue Cat,Lunalight Blue Cat,https://tcgplayer-cdn.tcgplayer.com/product/117905_200w.jpg,2,1761,https://cpt.tcgcsv.com/7bZ,2016-06-22T12:58:09.453,1,"If this card is Special Summoned: You can target 1 ""Lunalight"" monster you control, except ""Lunalight Blue Cat""; its ATK becomes double its original ATK until the end of this turn. You can only use this effect of ""Lunalight Blue Cat"" once per turn. If this card on the field is destroyed by battle or card effect: You can Special Summon 1 ""Lunalight"" monster from your Deck.",0.1,0.38,1.5,0.35,,Unlimited,SHVI-EN008,Rare,DARK,Beast-Warrior,Effect Monster,1600,1200
117906,Lunalight Purple Butterfly,Lunalight Purple Butterfly,https://tcgplayer-cdn.tcgplayer.com/product/117906_200w.jpg,2,1761,https://cpt.tcgcsv.com/8bZ,2016-06-22T12:58:26.927,1,"You can send this card from your hand or field to the Graveyard, then target 1 ""Lunalight"" monster you control; it gains 1000 ATK until the end of this turn. You can banish this card from your Graveyard; Special Summon 1 ""Lunalight"" monster from your hand. You can only use this effect of ""Lunalight Purple Butterfly"" once per turn.",0.15,0.37,2.0,0.31,,1st Edition,SHVI-EN009,Common,DARK,Beast-Warrior,Effect Monster,1000,1000
117906,Lunalight Purple Butterfly,Lunalight Purple Butterfly,https://tcgplayer-cdn.tcgplayer.com/product/117906_200w.jpg,2,1761,https://cpt.tcgcsv.com/8bZ,2016-06-22T12:58:26.927,1,"You can send this card from your hand or field to the Graveyard, then target 1 ""Lunalight"" monster you control; it gains 1000 ATK until the end of this turn. You can banish this card from your Graveyard; Special Summon 1 ""Lunalight"" monster from your hand. You can only use this effect of ""Lunalight Purple Butterfly"" once per turn.",0.02,0.3,1.5,0.3,,Unlimited,SHVI-EN009,Common,DARK,Beast-Warrior,Effect Monster,1000,1000
117907,Lunalight White Rabbit,Lunalight White Rabbit,https://tcgplayer-cdn.tcgplayer.com/product/117907_200w.jpg,2,1761,https://cpt.tcgcsv.com/9bZ,2016-06-22T12:58:55.72,1,"When this card is Normal Summoned: You can target 1 ""Lunalight"" monster in your Graveyard, except ""Lunalight White Rabbit""; Special Summon it in Defense Position. Once per turn: You can target Spell/Trap Cards your opponent controls, up to the number of other ""Lunalight"" cards you control; return them to the hand.",0.02,0.5,2.0,0.42,,Unlimited,SHVI-EN010,Common,DARK,Beast-Warrior,Effect Monster,800,800
