productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extLinkRating,extLinkArrows
22949,Blue-Eyes White Dragon (JMP-001),Blue Eyes White Dragon JMP 001,https://tcgplayer-cdn.tcgplayer.com/product/22949_200w.jpg,2,281,https://cpt.tcgcsv.com/_bc,2021-01-04T20:10:55.077,1,JMP-001,Ultra Rare,LIGHT,Dragon,Normal Monster,3000,2500,"<em>This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale.</em>",8.95,16.0,149.99,15.41,19.99,Unlimited,,
22950,Red-Eyes B. Dragon (JMP-002),Red Eyes B Dragon JMP 002,https://tcgplayer-cdn.tcgplayer.com/product/22950_200w.jpg,2,281,https://cpt.tcgcsv.com/0cc,2021-01-04T20:10:41.757,1,JMP-002,Ultra Rare,DARK,Dragon,Normal Monster,2400,2000,,3.24,5.25,36.75,5.23,,Unlimited,,
24846,Blue-Eyes Ultimate Dragon,Blue Eyes Ultimate Dragon,https://tcgplayer-cdn.tcgplayer.com/product/24846_200w.jpg,2,281,https://cpt.tcgcsv.com/XXc,2022-11-14T15:45:04.98,1,JMP-EN005,Ultra Rare,LIGHT,Dragon,Fusion Monster,4500,3800,{Blue Eyes White Dragon}+{Blue Eyes White Dragon}+{Blue Eyes White Dragon},1.79,5.49,80.0,5.37,,Limited,,
25389,Archfiend of Gilfer,Archfiend of Gilfer,https://tcgplayer-cdn.tcgplayer.com/product/25389_200w.jpg,2,281,https://cpt.tcgcsv.com/P9d,2015-05-13T12:25:15.937,1,JMP-EN003,Ultra Rare,DARK,Fiend,Effect Monster,2200,2500,"When this card is sent to the Graveyard, you can activate its effect. You can then equip it to a monster on the field, and this card will be treated as an Equip Spell Card that decreases the ATK of the equipped monster by 500 points.",2.2,4.12,6.73,5.65,,Limited,,
25493,Magician's Valkyria,Magicians Valkyria,https://tcgplayer-cdn.tcgplayer.com/product/25493_200w.jpg,2,281,https://cpt.tcgcsv.com/Tcd,2015-05-13T13:24:21.823,1,JUMP-EN009,Ultra Rare,LIGHT,Spellcaster,Effect Monster,1600,1800,Your opponent cannot select another Spellcaster-Type monster of your side of the field as an attack.,5.6,8.5,30.0,8.87,,Limited,,
25713,Elemental Hero Stratos,Elemental Hero Stratos,https://tcgplayer-cdn.tcgplayer.com/product/25713_200w.jpg,2,281,https://cpt.tcgcsv.com/hjd,2018-06-11T12:21:59.607,1,JUMP-EN012,Ultra Rare,WIND,Warrior,Effect Monster,1800,300,"When this card is Normal Summoned, you can select and activate 1 of these effect:
<br>
<br><b>-</b> Destroy Spell or Trap Cards on the field up to the number of ""Elemental Hero"" and ""Destiny Hero"" monsters you control (not counting this card).
<br>
<br><b>-</b> Select and add 1 ""Elemental Hero"" or ""Destiny Hero"" monster from your Deck to your hand.  </LI>",5.0,11.98,100.0,9.73,,Limited,,
26171,Elemental Hero Ocean,Elemental Hero Ocean,https://tcgplayer-cdn.tcgplayer.com/product/26171_200w.jpg,2,281,https://cpt.tcgcsv.com/rtd,2015-05-13T13:03:17.63,1,JUMP-EN013,Ultra Rare,WATER,Warrior,Effect Monster,1500,1200,"Once per turn, during your Standby Phase you can return 1 ""Elemental Hero"" or ""Destiny Hero"" monster from your side of the field or your Graveyard to it's owners hand.",14.5,17.0,55.55,19.82,,Limited,,
26359,"Green Baboon, Defender of the Forest",Green Baboon Defender of the Forest,https://tcgplayer-cdn.tcgplayer.com/product/26359_200w.jpg,2,281,https://cpt.tcgcsv.com/czd,2015-05-13T13:16:39.25,1,JUMP-EN014,Ultra Rare,EARTH,Beast,Effect Monster,2600,1800,"When a Beast-Type monster you control is destroyed and sent to the Graveyard, you can pay 1000 Life Points to Special Summon this card from your hand or the Graveyard.",4.85,13.62,100.0,14.09,,Limited,,
26580,Obelisk the Tormentor (JMP-EN004),Obelisk the Tormentor JMP EN004,https://tcgplayer-cdn.tcgplayer.com/product/26580_200w.jpg,2,281,https://cpt.tcgcsv.com/DFd,2024-03-28T12:28:49.96,1,JMP-EN004,Secret Rare,LIGHT,Divine-Beast,Normal Monster,4000,4000,"The descent of this mighty creature shall be heralded by burning winds and twisted land. And with the coming of this horror, those who draw breath shall know the true meaning of eternal slumber.",29.81,48.7,200.0,43.74,31.1,Limited,,
26581,Unity,Unity,https://tcgplayer-cdn.tcgplayer.com/product/26581_200w.jpg,2,281,https://cpt.tcgcsv.com/FFd,2015-05-13T14:12:01.327,1,JUMP-EN006,Ultra Rare,SPELL,,Normal Spell,0,0,"Select 1 monster on your side of the field. The DEF of the selected monster becomes equal to the combined original DEF of all face-up monsters on your side of the field, until the end of this turn.",4.82,8.56,65.0,8.36,5.15,Limited,,
26582,Yu-Jo Friendship,Yu Jo Friendship,https://tcgplayer-cdn.tcgplayer.com/product/26582_200w.jpg,2,281,https://cpt.tcgcsv.com/GFd,2015-05-13T14:17:02.107,1,JUMP-EN007,Ultra Rare,SPELL,,Normal Spell,0,0,"Offer your opponent a handshake. If they accept your handshake, each player's Life Points become half the combined Life Points of both players. If you have ""Unity"" in your hand and show it to your opponent, they must accept the handshake.",39.94,64.99,109.92,46.24,,Limited,,
26583,Judgment of the Pharaoh,Judgment of the Pharaoh,https://tcgplayer-cdn.tcgplayer.com/product/26583_200w.jpg,2,281,https://cpt.tcgcsv.com/HFd,2015-05-13T13:20:35.08,1,JUMP-EN008,Ultra Rare,TRAP,,Normal Trap,0,0,"""Pay half your Life Points. Select and activate an appropriate effect which can be applied:
<BR><b>-</b> If """"Yu-Jo Friendship"""" is in your Graveyard, until the end of this turn: your opponent cannot Normal Summon, Set, Flip Summon, or Special Summon a monster(s), or activate an Effect Monster's effect, and their monster's effects are negated.
<BR><b>-</b> If """"Unity"""" is in your Graveyard, until the end of this turn: negate the effects of all Spell and Trap Cards on your opponent's side of the field, and your opponent cannot activate Set Spell or Trap cards.""",24.75,33.65,48.67,30.47,,Limited,,
26584,Toon Dark Magician Girl,Toon Dark Magician Girl,https://tcgplayer-cdn.tcgplayer.com/product/26584_200w.jpg,2,281,https://cpt.tcgcsv.com/JFd,2015-05-13T14:07:25.553,1,JUMP-EN010,Ultra Rare,DARK,Spellcaster,Toon Monster,2000,1700,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned while ""Toon World"" is on your side of the field. You can Special Summon this monster from your hand, but Tributes are required for monsters level 5 or more. When ""Toon World"" on the field is destroyed, this card is also destroyed. If your opponent doesn't control a Toon Monster, this card can attack your opponent's Life Points directly. If a face-up Toon Monster is on your opponent's side of the field, you must select the Toon Monster as an attack target. Increase the ATK of this card by 300 points for each ""Dark Magician"" or ""Magician of Black Chaos"" in either player's Graveyard.",6.8,11.62,40.0,11.62,,Limited,,
26585,Victory Dragon,Victory Dragon,https://tcgplayer-cdn.tcgplayer.com/product/26585_200w.jpg,2,281,https://cpt.tcgcsv.com/KFd,2025-03-05T09:58:27.617,1,JUMP-EN011,Secret Rare,DARK,Dragon,Effect Monster,2400,3000,"This card cannot be Special Summoned. To Tribute Summon this card, you must Tribute 3 Dragon-Type monsters. If this card attacks your opponent directly and reduces their Life Points to 0, you win the Match.",5.15,7.8,79.99,7.33,,Limited,,
26586,Dreadscythe Harvester,Dreadscythe Harvester,https://tcgplayer-cdn.tcgplayer.com/product/26586_200w.jpg,2,281,https://cpt.tcgcsv.com/LFd,2015-05-13T12:59:53.703,1,JUMP-EN015,Ultra Rare,WIND,Insect,Effect Monster,2300,1600,You can Tribute 1 Insect-Type monster to have this card gain 500 ATK until the end of the turn.,4.7,5.72,20.01,5.72,,Limited,,
26587,The Wicked Eraser,The Wicked Eraser,https://tcgplayer-cdn.tcgplayer.com/product/26587_200w.jpg,2,281,https://cpt.tcgcsv.com/MFd,2015-05-13T14:05:02.86,1,JUMP-EN016,Ultra Rare,DARK,Fiend,Effect Monster,0,0,"This card cannot be Special Summoned. This card cannot be Normal Summoned or Set except by Tributing 3 monsters. The ATK and DEF of this card are each equal to the number of cards your opponent controls × 1000. When this card is destroyed and sent to the Graveyard, destroy all cards on the field. During your Main Phase, you can destroy this card.",1.1,2.0,19.99,2.14,,Limited,,
26588,The Wicked Avatar,The Wicked Avatar,https://tcgplayer-cdn.tcgplayer.com/product/26588_200w.jpg,2,281,https://cpt.tcgcsv.com/NFd,2015-05-13T13:58:47.42,1,JUMP-EN017,Ultra Rare,DARK,Fiend,Effect Monster,0,0,"This card cannot be Special Summoned. This card cannot be Normal Summoned or Set except by Tributing 3 monsters. Your opponent cannot activate Spell or Trap Cards until the end of their 2nd turn after this card is Normal Summoned. The ATK and DEF of this card are each 100 points higher than the highest ATK on the field (except ""The Wicked Avatar"").",3.91,6.0,14.5,5.91,4.96,Limited,,
26589,The Wicked Dreadroot,The Wicked Dreadroot,https://tcgplayer-cdn.tcgplayer.com/product/26589_200w.jpg,2,281,https://cpt.tcgcsv.com/PFd,2015-05-13T14:04:18.64,1,JUMP-EN018,Ultra Rare,DARK,Fiend,Effect Monster,4000,4000,"This card cannot be Special Summoned. This card cannot be Normal Summoned or Set except by Tributing 3 monsters. Halve the ATK and DEF of all monsters on the field, except this card.",1.67,5.99,12.95,6.46,,Limited,,
26684,Van'Dalgyon the Dark Dragon Lord,VanDalgyon the Dark Dragon Lord,https://tcgplayer-cdn.tcgplayer.com/product/26684_200w.jpg,2,281,https://cpt.tcgcsv.com/JHd,2015-05-13T14:13:43.843,1,JUMP-EN023,Ultra Rare,DARK,Dragon,Effect Monster,2800,2500,"When a card that your opponent activates is negated by a Counter Trap Card, you may Special Summon this card from your hand. When this card is Special Summoned by this effect, depending on the type of the card negated, use one of the following effects: 
Spell: Inflict 1500 points of damage to your opponent. 
Trap: Select and destroy 1 card your opponent controls. 
Effect Monster: Select 1 monster in your Graveyard and Special Summon it.",0.94,1.88,14.97,1.96,,Limited,,
27496,Dragonic Knight,Dragonic Knight,https://tcgplayer-cdn.tcgplayer.com/product/27496_200w.jpg,2,281,https://cpt.tcgcsv.com/X_d,2015-05-13T12:58:11.24,1,JUMP-EN026,Ultra Rare,FIRE,Dragon,Effect Monster,2800,2300,"When the effect of an opponent's monster is activated that targets and destroys a card(s) you control, you can send the targeted card(s) to the Graveyard to Special Summon this card from your hand.",0.3,0.84,14.0,0.82,,Limited,,
31842,Beast King Barbaros,Beast King Barbaros,https://tcgplayer-cdn.tcgplayer.com/product/31842_200w.jpg,2,281,https://cpt.tcgcsv.com/SLg,2015-05-13T12:34:08.64,1,JUMP-EN032,Ultra Rare,EARTH,Beast-Warrior,Effect Monster,3000,1200,"You can Normal Summon or Set this card without Tributing. If you do, its original ATK becomes 1900. You can Tribute 3 monsters to Tribute Summon this card. When you do, destroy all cards your opponent controls.",3.25,6.29,29.99,6.39,,Limited,,
32814,Dandylion,Dandylion,https://tcgplayer-cdn.tcgplayer.com/product/32814_200w.jpg,2,281,https://cpt.tcgcsv.com/j8h,2015-05-13T12:46:22.277,1,JUMP-EN029,Ultra Rare,EARTH,Plant,Effect Monster,300,300,"When this card is sent to the Graveyard, Special Summon 2 ""Fluff Tokens"" (Plant-Type/WIND/Level 1/ATK 0/DEF 0) in Defense Position. These Tokens cannot be Tributed for a Tribute Summon during the turn they are Special Summoned.",11.5,18.51,69.99,19.14,,Limited,,
32818,Red-Eyes Darkness Metal Dragon,Red Eyes Darkness Metal Dragon,https://tcgplayer-cdn.tcgplayer.com/product/32818_200w.jpg,2,281,https://cpt.tcgcsv.com/n8h,2015-05-13T13:48:05.477,1,JUMP-EN030,Ultra Rare,DARK,Dragon,Effect Monster,2800,2400,"You can remove from play 1 Dragon-Type monster you control to Special Summon this card. Once per turn, you can Special Summon 1 Dragon-Type monster, except ""Red-Eyes Darkness Metal Dragon"", from your hand or Graveyard.",39.99,50.92,149.99,60.63,,Limited,,
33113,Chimeratech Fortress Dragon,Chimeratech Fortress Dragon,https://tcgplayer-cdn.tcgplayer.com/product/33113_200w.jpg,2,281,https://cpt.tcgcsv.com/hgh,2015-05-13T12:39:46.377,1,JUMP-EN031,Ultra Rare,DARK,Machine,Fusion/Effect Monster,0,0,"""Cyber Dragon"" + 1 or more Machine-Type monsters. 
<br>This monster cannot be used as a Fusion Material Monster. You can only Special Summon this card from your Extra Deck by sending the above cards from either side of the field to the Graveyard. (You do not use ""Polymerization"".) The original ATK of this card is equal to 1000 x the number of Fusion Material Monsters used to Special Summon it.",9.99,20.0,50.0,14.9,,Limited,,
33122,Tragoedia,Tragoedia,https://tcgplayer-cdn.tcgplayer.com/product/33122_200w.jpg,2,281,https://cpt.tcgcsv.com/sgh,2022-12-10T20:38:33.28,1,JUMP-EN033,Ultra Rare,DARK,Fiend,Effect Monster,0,0,"You can Special Summon this card from your hand when you take Battle Damage . This card gains 600 ATK and DEF for each card in your hand. Once per turn, you can send 1 monster from your hand to the Graveyard to take control of 1 face-up monster your opponent controls with the same Level as the sent monster. Once per turn, you can select 1 monster in your Graveyard; this card's Level becomes the same as that monster's, until the End Phase.",6.0,8.5,24.95,7.17,,Limited,,
33485,Blast Sphere,Blast Sphere,https://tcgplayer-cdn.tcgplayer.com/product/33485_200w.jpg,2,281,https://cpt.tcgcsv.com/Kph,2015-05-13T12:36:24.52,1,JUMP-EN019,Ultra Rare,DARK,Machine,Effect Monster,1400,1400,"If your opponent's monster attacks this face-down Defense Position card, this card becomes an Equip Card equipped to the attacking monster, without applying damage calculation. Destroy the equipped monster and this card during the Standby Phase of your opponent's next turn, and inflict damage to your opponent equal to the equipped monster's ATK.",3.42,5.85,7.61,5.95,,Limited,,
34944,Cyber Eltanin,Cyber Eltanin,https://tcgplayer-cdn.tcgplayer.com/product/34944_200w.jpg,2,281,https://cpt.tcgcsv.com/V-h,2015-05-13T12:45:07.647,1,JUMP-EN038,Ultra Rare,LIGHT,Machine,Effect Monster,0,0,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by removing from play all LIGHT Machine-Type monsters you control and that are in your Graveyard. This card's ATK and DEF become equal to the number of monsters removed from play when it was Special Summoned x 500. When this card is Special Summoned, send all other face-up monsters on the field to the Graveyard.",5.95,11.46,29.99,7.48,14.97,Limited,,
35328,Hundred-Eyes Dragon,Hundred Eyes Dragon,https://tcgplayer-cdn.tcgplayer.com/product/35328_200w.jpg,2,281,https://cpt.tcgcsv.com/B8j,2015-05-13T13:18:41.73,1,JUMP-EN039,Ultra Rare,DARK,Dragon,Synchro/Effect Monster,3000,2500,"1 DARK Tuner + 1 or more non-Tuner Fiend-Type monsters
<br>Once per turn, you can activate this card's effect by removing from play 1 Level 6 or lower DARK Effect Monster from your Graveyard. Until the End Phase, treat this card's name as that monster's name, and this card gains the same effects as that monster while face-up on the field. When this card is destroyed and sent to the Graveyard, add 1 ""Earthbound Immortal"" monster from your Deck to your hand.",1.12,2.19,17.99,2.49,,Limited,,
35752,Malefic Stardust Dragon,Malefic Stardust Dragon,https://tcgplayer-cdn.tcgplayer.com/product/35752_200w.jpg,2,281,https://cpt.tcgcsv.com/3kj,2015-05-13T13:25:23.377,1,JUMP-EN043,Ultra Rare,DARK,Dragon,Effect Monster,2500,2000,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned, except by removing from play 1 ""Stardust Dragon"" from your Extra Deck. There can only be 1 face-up ""Malefic"" monster on the field. Field Spell Cards cannot be destroyed by effects. Other monsters you control cannot declare an attack. If there is no face-up Field Spell Card on the field, destroy this card.",3.59,5.44,19.99,5.46,3.74,Limited,,
38491,Copycat,Copycat,https://tcgplayer-cdn.tcgplayer.com/product/38491_200w.jpg,2,281,https://cpt.tcgcsv.com/Rpk,2015-05-13T12:43:02.423,1,JUMP-EN020,Ultra Rare,LIGHT,Spellcaster,Effect Monster,0,0,"When this card is Summoned, select 1 monster your opponent controls. This card's ATK and DEF become equal to the selected monster's original ATK and DEF.",16.27,25.63,39.95,23.71,,Limited,,
